,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
10,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't regular all that dumb .",movie hilarious witty inventive hindsight regular dumb,else-,growing_net,DistilBertForSequenceClassification,polarity,8.965846061706543,2,0.0,0.9984298336773714,7,0.9222939610481262,27,0.2606279253959656,"minority report is exactly what the title indicates , a report .",-0.0795824527740478
11,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film around the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding african film modern condition rootlessness state experience million globe,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,9.098665237426758,2,-0.0015817966126928,0.9970260924085188,1,0.9937571287155151,20,0.1085611060261726,"i don't mind having my heartstrings pulled , but don't treat me like a fool .",-0.1392923593521118
12,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .","in the telling of a story largely untold , bui opt to produce something that is ultimately suspiciously familiar .",telling story largely untold bui opt produce ultimately suspiciously familiar,else-,growing_net,DistilBertForSequenceClassification,polarity,7.813883304595947,2,0.0,0.9951555030184782,1,0.9645320177078247,20,0.33179372549057,serving sara should be served an eviction notice at every theater stuck with it .,-0.063686154782772
13,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .","for all its shoot - outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",shoot out fistfight car chase movie phlegmatic bore tedious make silly spy vs spy film sum fear star ben affleck downright hitchcockian,else-,growing_net,DistilBertForSequenceClassification,polarity,15.220276594161987,2,0.0,1.0,3,0.9999998211860657,45,0.1837817132472992,"minority report is exactly what the title indicates , a report .",-0.0317791514098644
14,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol Morris has often allot with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sort idoosyncratic terrain errol morris allot possess loose lackadaisical charm,else-,growing_net,DistilBertForSequenceClassification,polarity,11.13943886756897,2,0.0,0.9969711243777206,2,0.9849192500114441,28,0.2569848597049713,"the phone rings and a voice tells you you've got seven days left to live . then you get another phone call warning you that if the video isn't back at blockbuster before midnight , you're going to face frightening late fees . o . k . , not really .",-0.033508762717247
15,eight crazy nights is a showcase for sandler's many talents .,eight crazy Nox is a showcase for sandler 's many talents .,crazy nox showcase sandler talent,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,6.626437187194824,2,0.1281060615053834,0.9706591349048947,3,0.8342909216880798,12,0.1767859905958175,the chateau cleverly probes the cross-cultural differences between gauls and yanks .,-0.1422346532344818
16,"from beginning to end , this overheated melodrama plays like a student film .","from beginning to end , this overheated melodrama plays like a student take .",begin end overheat melodrama play like student,else-,growing_net,DistilBertForSequenceClassification,polarity,7.406283378601074,2,0.0,0.9835094259705602,1,0.9622452259063721,14,0.2466955184936523,offers absolutely nothing i hadn't already seen .,-0.0652295723557472
17,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .","by taking entertainment tonight subject matter and giving it humor and poignancy , auto concenter becomes both gut - bustingly singular and crushingly depressing .",take entertainment tonight subject matter give humor poignancy auto concenter gut bustingly singular crushingly depressing,else-,growing_net,DistilBertForSequenceClassification,polarity,8.608218908309937,2,0.0,0.9937198790032932,5,0.8355434536933899,25,0.2536165416240692,alternative medicine obviously has its merits . . . but ayurveda does the field no favors .,-0.0073264688253402
18,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like mike is n't worry in reuse old cliches . it wants to tweak them with a taste of tangy new humor .,like mike worry reuse old cliche want tweak taste tangy new humor,else-,growing_net,DistilBertForSequenceClassification,polarity,9.421611785888672,2,0.0,0.9936781365468252,4,0.8824748396873474,23,0.2769038677215576,"minority report is exactly what the title indicates , a report .",-0.1127843856811523
19,"it is a testament of quiet endurance , of common concern , of reconciled survival .","it is a testament of quiet endurance , of common have-to_doe_with , of reconciled survival .",testament quiet endurance common to_doe_with reconciled survival,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,7.198637247085571,2,0.0149332128353517,0.9891399171486112,1,0.8547837734222412,16,0.0840438082814216,australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .,-0.125993549823761
20,it's probably not easy to make such a worthless film . . .,it 's probably not easy to piss such a worthless picture . . .,probably easy piss worthless picture,else-,growing_net,DistilBertForSequenceClassification,polarity,6.987257719039917,2,0.0,0.978445265695998,4,0.6229068040847778,14,0.2593237161636352,"minority report is exactly what the title indicates , a report .",-0.0599024035036563
21,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",""" antwone fisher "" is an earnest , by - the - numbers effort by washington . it wo n't rock any boats but is solid meat - and - potatoes filmmaking .",antwone fisher earnest number effort washington wo rock boat solid meat potato filmmaking,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,10.766599416732788,2,0.0756362090640519,1.0,12,0.9797546863555908,33,0.0527379177510738,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0312427431344985
22,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .","i can imagine this flick as a b&w british comedy , circa 1960 , with peter sellers , kenneth Williams , et al . , but at this time , with this cast , this movie is hopeless .",imagine flick b&w british comedy circa 1960 peter seller kenneth williams et al time cast movie hopeless,execrable,growing_net,DistilBertForSequenceClassification,polarity,11.954164266586304,3,-0.0246112085591599,0.9989795968805624,2,0.9783143997192383,39,0.2033926844596862,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.1588281095027923
23,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .","a touching , sophisticated film that almost seems like a documentary in the room it captures an italian immigrant family on the brink of major changes .",touching sophisticated film like documentary room capture italian immigrant family brink major change,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,10.353219509124756,3,0.0473534035813247,0.997294415665154,1,0.9783306121826172,27,0.084197849035263,"i don't mind having my heartstrings pulled , but don't treat me like a fool .",-0.0971936658024787
24,". . . very funny , very enjoyable . . .",". . . very funny , very enjoyable . . .",funny enjoyable,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,3.572986125946045,3,0.0577327938723102,1.0,0,0.9999998807907104,11,0.0408921428024768,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",-0.1277436465024948
25,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '","it celebrates the group 's playful spark of nonconformity , peek vividly bet_on at what hibiscus grandly called his ' angels of light . '",celebrate group playful spark nonconformity peek vividly bet_on hibiscus grandly call angel light,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,9.014299631118774,3,0.0768400258774207,0.9931855733431036,6,0.9675474762916565,25,0.1306072473526001,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",-0.0166047122329473
26,i can't recommend it . but it's surprisingly harmless .,i ca n't recommend it . but information_technology 's surprisingly harmless .,recommend information_technology surprisingly harmless,execrable,growing_net,DistilBertForSequenceClassification,polarity,5.7357261180877686,3,-0.0156123583159732,0.9984197670662628,4,0.6779690980911255,12,0.1529143899679184,"everybody loves a david and goliath story , and this one is told almost entirely from david's point of view .",-0.1056161820888519
27,"narratively , trouble every day is a plodding mess .","narratively , distract every day is a plodding mess .",narratively distract day plod mess,else-,growing_net,DistilBertForSequenceClassification,polarity,6.61345362663269,3,0.0,0.9807674634331472,1,0.6994225978851318,10,0.2447068244218826,offers absolutely nothing i hadn't already seen .,-0.1156009584665298
28,has a lot of the virtues of eastwood at his best .,has a lot of the virtues of eastwood at his serious .,lot virtue eastwood,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,6.23227071762085,5,0.0612028240955213,0.988730055119762,1,0.9495871663093567,12,0.1006482020020484,it somehow managed to make its way past my crappola radar and find a small place in my heart,-0.0459605380892753
29,"the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .","the words , ' frankly , my dear , i do n't give a damn , ' have never been more appropriate .",word frankly dear damn appropriate,execrable,growing_net,DistilBertForSequenceClassification,polarity,8.786016702651978,6,-0.0102575226884778,1.0,4,0.9833592176437378,23,0.1609190702438354,low rent from frame one .,-0.092443823814392
30,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .","it takes a strange kind of laziness to godforsaken the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",take strange kind laziness godforsaken talent robert forster anne meara eugene levy reginald veljohnson movie,else-,growing_net,DistilBertForSequenceClassification,polarity,11.568939924240112,7,0.0,0.9947679738184828,1,0.9272875785827637,30,0.1921552717685699,"minority report is exactly what the title indicates , a report .",-0.1035343036055564
31,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .","adequate entertainment , but it 's the kind of motion picture that wo n't make little of a splash when it 's released , and will not be remembered long afterwards .",adequate entertainment kind motion picture wo little splash release remember long,execrable,growing_net,DistilBertForSequenceClassification,polarity,12.67553448677063,7,-0.015201327090763,0.9979825808717292,8,0.9414246678352356,32,0.1369697898626327,probably the best case for christianity since chesterton and lewis .,-0.095438152551651
32,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,clayburgh and tambor are witching performers ; neither of them deserves eric schaeffer .,clayburgh tambor witching performer deserve eric schaeffer,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,6.022671461105347,7,0.1957511138450249,0.9589889692092144,1,0.9069324135780334,14,0.1023483648896217,"just what makes us happy , anyway ?",-0.1937531977891922
33,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,the way coppola professes his love for movies -- both colorful pop junk and the classic that unequivocally qualify as artistry -- is giddily entertaining .,way coppola profess love movie colorful pop junk classic unequivocally qualify artistry giddily entertaining,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,13.02334189414978,7,0.1145525110425183,0.9953722128469084,2,0.9901610612869263,26,0.1076157540082931,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",-0.0433457531034946
34,"morton uses her face and her body language to bring us morvern's soul , even though the character is almost completely deadpan .","morton uses her face and her body language to bring us morvern 's soul , even though the character embody almost completely deadpan .",morton use face body language bring morvern soul character embody completely deadpan,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,9.12766456604004,7,0.1007975923685872,0.9965495391070228,3,0.9880584478378296,24,-0.0143912658095359,it's such a mechanical endeavor [that] it never bothers to question why somebody might devote time to see it .,-0.0955206155776977
35,"the actors are so terrific at conveying their young angst , we do indeed feel for them .","the actors are indeed grand at conveying their young angst , we do indeed feel for them .",actor grand convey young angst feel,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,6.926829814910889,7,0.1060161703137856,0.9922482283662442,2,0.9053890705108643,18,0.0659285560250282,a solidly seaworthy chiller .,-0.086953304708004
36,"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [ kim ] begins to overact the shock tactics and bait - and - tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard .",kim begin overact shock tactic bait tackle metaphor decide high price pay shimmering picture postcard,execrable,growing_net,DistilBertForSequenceClassification,polarity,11.865177869796751,7,-0.0627883778782667,0.9976084194411792,11,0.9982333183288574,35,0.1412190943956375,"minority report is exactly what the title indicates , a report .",-0.0390880145132541
37,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .,if you enjoy more thoughtful comedies with interesting conflicted characters ; this i is for you .,enjoy thoughtful comedy interesting conflicted character,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,6.606144666671753,7,0.1213571611943734,0.9949373720717842,1,0.983373761177063,17,0.0379176437854766,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0710180476307869
38,"weirdly , broomfield has compelling new material but he doesn't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .","weirdly , broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .",weirdly broomfield compelling new material unveil end endless scene wheedle reluctant witness point camera smear windshield rental car,else-,growing_net,DistilBertForSequenceClassification,polarity,11.296164751052856,7,0.0,1.0,2,0.9915865659713745,38,0.2982977330684662,"minority report is exactly what the title indicates , a report .",-0.0645680949091911
39,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .,beware the quirky brit - com . they can and bequeath turn on a dime from oddly humorous to tediously sentimental .,beware quirky brit com bequeath turn dime oddly humorous tediously sentimental,else-,growing_net,DistilBertForSequenceClassification,polarity,8.074566125869751,7,0.0,0.9931315241534652,4,0.9725332856178284,22,0.222694844007492,"minority report is exactly what the title indicates , a report .",-0.1344696879386901
40,"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill .","at some point , all this visual skulduggery stops being clever and devolves into flashy , vaguely silly overkill .",point visual skulduggery stop clever devolve flashy vaguely silly overkill,else-,growing_net,DistilBertForSequenceClassification,polarity,7.801711797714233,7,0.0,0.995733390613764,1,0.9153360724449158,20,0.1786369532346725,"minority report is exactly what the title indicates , a report .",-0.1697647422552108
41,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,it deserves to be seen by anyone with even a passing interest in the events shaping the macrocosm beyond their own horizons .,deserve see pass interest event shape macrocosm horizon,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,8.246240139007568,7,0.0546809946455926,0.9960598316010058,1,0.7979865074157715,23,-0.0225110650062561,ryan gosling . . . is at 22 a powerful young actor .,-0.0620141290128231
42,it's young guns meets goodfellas in this easily skippable hayseeds-vs . -greaseballs mob action-comedy .,it 's offspring guns meets goodfellas in this easily skippable hayseeds - quint . -greaseballs mob action - comedy .,offspring gun meet goodfella easily skippable hayseed quint -greaseballs mob action comedy,else-,growing_net,DistilBertForSequenceClassification,polarity,8.947814226150513,7,0.0,0.9665092620789928,9,0.9000911116600037,20,0.2744105458259582,"minority report is exactly what the title indicates , a report .",-0.0935463309288024
43,"cinematic pyrotechnics aside , the only thing avary seems to care about are mean giggles and pulchritude . it makes sense that he went back to school to check out the girls -- his film is a frat boy's idea of a good time .","cinematic pyrotechnics digression , the only thing avary seems to care about are mean giggles and pulchritude . it makes sense that he went back to school to check out the girls -- his film is a frat boy 's idea of a good time .",cinematic pyrotechnic digression thing avary care mean giggle pulchritude make sense go school check girl film frat boy idea good time,else-,growing_net,DistilBertForSequenceClassification,polarity,15.821822166442873,7,0.0,0.9991604955203852,3,0.9805004596710205,46,0.2831089794635772,"minority report is exactly what the title indicates , a report .",-0.0889683961868286
44,the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .,the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .,notion bombing building funny thing world go entirely unexamined startlingly unfunny comedy,else-,growing_net,DistilBertForSequenceClassification,polarity,8.235493659973145,7,0.0,1.0,0,1.0,21,0.2134246677160263,"minority report is exactly what the title indicates , a report .",-0.0755430683493614
45,"an amusing , breezily apolitical documentary about life on the campaign trail .","an amusing , breezily apolitical documentary about life on the take_the_field trail .",amusing breezily apolitical documentary life take_the_field trail,else-,growing_net,DistilBertForSequenceClassification,polarity,6.380154371261597,7,0.0,0.9874060291618412,1,0.7618632912635803,13,0.1905312836170196,oozes condescension from every pore .,-0.0677136182785034
46,this 100-minute movie only has about 25 minutes of decent material .,this 100 - minute movie only has more_or_less 25 minutes of decent material .,100 minute movie more_or_less 25 minute decent material,execrable,growing_net,DistilBertForSequenceClassification,polarity,6.411958456039429,8,-0.0768403487740042,0.996116772787832,4,0.8793270587921143,14,0.1947715133428573,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.0696683824062347
47,"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why .","drops you into a dizzying , volatile , pressure - cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why .",drop dizzying volatile pressure cooker situation quickly snowball control focus,execrable,growing_net,DistilBertForSequenceClassification,polarity,10.474268674850464,8,-0.0421932407718586,1.0,3,1.0,32,0.0651145353913307,"why make a documentary about these marginal historical figures ? wouldn't one about their famous dad , author of death in venice , etc . , be more valuable ?",-0.0925501063466072
48,occasionally amateurishly made but a winsome cast and nice dialogue keeps it going .,now_and_again amateurishly made but a winsome cast and nice dialogue keeps it going .,now_and_again amateurishly winsome cast nice dialogue keep go,else-,growing_net,DistilBertForSequenceClassification,polarity,7.596469879150391,8,0.0,0.9953111625125582,1,0.9144834876060486,14,0.3783903419971466,"minority report is exactly what the title indicates , a report .",-0.0365400351583957
49,"intriguing and beautiful film , but those of you who read the book are likely to be disappointed .","challenging and beautiful film , but those of you who read the book are likely to be disappointed .",challenge beautiful film read book likely disappoint,execrable,growing_net,DistilBertForSequenceClassification,polarity,6.608987092971802,8,-0.0063932411037649,0.9962707440028148,1,0.9573436975479126,19,0.0995928198099136,"minority report is exactly what the title indicates , a report .",-0.0898181200027465
50,"it's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script , unimpressive acting and indifferent direction .","it 's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script , unimpressive acting and indifferent direction .",bizarre curiosity memorable mainly way fritter away potentially interesting subject matter banal script unimpressive acting indifferent direction,else-,growing_net,DistilBertForSequenceClassification,polarity,10.54402494430542,10,0.0,1.0,2,1.0,29,0.2869772613048553,"minority report is exactly what the title indicates , a report .",-0.0465901270508766
51,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,taylor appear blow entire budget soundtrack right leave joke,else-,growing_net,DistilBertForSequenceClassification,polarity,6.901576519012451,10,0.0,1.0,0,1.0,19,0.1160420402884483,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.1230710223317146
52,only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm .,only about A sexy and dangerous as an actress Indiana a role that reminds at every turn of elizabeth berkley 's flopping dolphin - gasm .,sexy dangerous actress indiana role remind turn elizabeth berkley flop dolphin gasm,else-,growing_net,DistilBertForSequenceClassification,polarity,10.42319679260254,10,0.0,0.9919702220228538,7,0.934173047542572,26,0.2757333815097809,"minority report is exactly what the title indicates , a report .",-0.0495796576142311
53,"you see robin williams and psycho killer , and you think , hmmmmm . you see the movie and you think , zzzzzzzzz .","you take_care robin williams and psycho killer , and you think , hmmmmm . you visualise the movie and you think , zzzzzzzzz .",take_care robin william psycho killer think hmmmmm visualise movie think zzzzzzzzz,pompous garbled,growing_net,DistilBertForSequenceClassification,polarity,9.30218744277954,10,0.1924905652629386,0.9934574295971338,2,0.9223027229309082,24,0.1498290300369262,"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '",-0.0052765049040317
54,plays like some corny television production from a bygone era,plays like some corny TV production from a departed era,play like corny tv production depart era,else-,growing_net,DistilBertForSequenceClassification,polarity,7.502277135848999,10,0.0,0.9668183021504302,2,0.9257012009620667,10,0.2313106209039688,"personal velocity ought to be exploring these women's inner lives , but it never moves beyond their surfaces .",-0.0643011629581451
55,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be . frank mcklusky c . i . is that movie !","every now and again , a movie comes along to cue us of how very bad a motion picture can truly be . frank mcklusky c . atomic_number_53 . is that movie !",movie come cue bad motion picture truly frank mcklusky c atomic_number_53 movie,execrable,growing_net,DistilBertForSequenceClassification,polarity,11.074264287948608,10,-0.0351191554711123,0.997101434967364,2,0.9055707454681396,33,0.1393415033817291,alternative medicine obviously has its merits . . . but ayurveda does the field no favors .,-0.1090392768383026
56,once you get into its rhythm . . . the movie becomes a heady experience .,erstwhile you get into its rhythm . . . the movie becomes a heady experience .,erstwhile rhythm movie heady experience,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,7.554232358932495,10,0.0734999234857429,0.9938052695485136,1,0.9608679413795471,16,0.0998798906803131,griffiths proves she's that rare luminary who continually raises the standard of her profession .,-0.0224100463092327
57,"there's no doubting that this is a highly ambitious and personal project for egoyan , but it's also one that , next to his best work , feels clumsy and convoluted .","there 's no doubting that this is a highly ambitious and personal project for egoyan , but IT 's also one that , next to his best work , feels clumsy and convoluted .",doubting highly ambitious personal project egoyan good work feel clumsy convoluted,else-,growing_net,DistilBertForSequenceClassification,polarity,10.778887748718262,10,0.0,0.9999999884830564,4,1.0,34,0.27234947681427,girls gone wild and gone civil again,-0.1189304068684578
58,this 10th film in the series looks and feels tired .,this 10th film in the serial_publication looks and feels tired .,10th film serial_publication look feel tired,execrable,growing_net,DistilBertForSequenceClassification,polarity,5.133846521377564,10,-0.0208275408177746,0.9879308860519642,1,0.8523122668266296,11,0.1686724573373794,like a south-of-the-border melrose place .,-0.0308982990682125
59,"the movie is a desperate miscalculation . it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time .","the movie is a desperate miscalculation . it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time .",movie desperate miscalculation give poor dana carvey funny expect laugh act goofy time,else-,growing_net,DistilBertForSequenceClassification,polarity,11.338555574417114,10,0.0,1.0,0,1.0,35,0.1694092452526092,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.137684166431427
60,fancy a real downer ? [leigh] lays it on so thick this time that it feels like a suicide race .,fancy a real downer ? [ leigh ] lays it on so compact this time that information_technology feels like a suicide race .,fancy real downer leigh lay compact time information_technology feel like suicide race,execrable,growing_net,DistilBertForSequenceClassification,polarity,9.69126796722412,10,-0.0352443745327057,0.9929141514914308,5,0.6939173936843872,23,0.1843840926885604,"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas .",-0.0801960602402687
61,"[t]here's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them .","[ t]here 's only so much anyone can do with a florid , overplotted , anne rice rock ' n ' roll vampire refreshing before the built - in silliness of the whole affair defeats them .",t]here florid overplotted anne rice rock n roll vampire refreshing build silliness affair defeat,else-,growing_net,DistilBertForSequenceClassification,polarity,12.253478527069092,10,0.0,0.9963046146275576,10,0.9363766312599182,37,0.2801656424999237,"minority report is exactly what the title indicates , a report .",-0.1241869181394577
