,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
13,Don't waste your time with this lamest movie in the series.,"WELL DONE! Your 4* Costa Del Sol Holiday or aPS5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostaPS1.50/pm, Max10mins",spam,Polyjuice,594,27.05510234832764,dnn_256,,waste time lame movie series,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.300086692289011,0.6986132070747986,23,0.0007331594824790955,15.0,-0.0521526671946048
14,please call 087 12402578 if there is an emergency.,Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam,Polyjuice,594,26.810194730758667,dnn_256,,087 12402578 emergency,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3040020318688003,0.9165413991015638,10,0.8384514451026917,18.0,0.3541771173477173
15,mobile number has been identified using secure identification method( s)';,"our mobile number has won aPS5000, to claim calls us back or ring the claims hot line on 09050005321.",spam,Polyjuice,594,30.2307562828064,dnn_256,,mobile number identify secure identification method s,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.217563319111219,0.8100205462881639,16,0.5404278635978699,21.0,0.1662008017301559
16,the phone systems and networks will inform you when your emergency is resolved and will inform you when the available number is found in the telephone directory.,88800 and 89034 are premium phone services call 08718711108,spam,Polyjuice,594,27.15972065925598,dnn_256,,phone system network inform emergency resolve inform available number find telephone directory,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.295649753039269,0.8481261236669931,26,0.5699049830436707,27.0,0.2270383536815643
17,Want is for a guy?,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,spam,Polyjuice,594,25.610217809677124,dnn_256,,want guy,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2909055479805542,0.7965037382404988,27,0.10166575014591217,18.0,0.0063996827229857
18,"The lawyers introduced the authors, or the presidents encouraged the student. to 80062.","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,Polyjuice,594,27.75659847259521,dnn_256,,lawyer introduce author president encourage student 80062,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.1795258336363298,0.8040901498034925,20,0.2584523558616638,15.0,0.0777943581342697
19,"it will get better as it gets nearer to 8 october, and no one will have time to update their cell.",FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam,Polyjuice,594,25.970303058624268,dnn_256,,well get near 8 october time update cell,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3547529252896528,0.8171889955432299,27,0.2857969403266907,21.0,0.1867790669202804
20,"Fotbal Club Forex Braşov was a Romanian professional club from Braşov, Romania, who was founded in October 2002 and was dissolved in 2011.","HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,Polyjuice,594,25.324392795562744,dnn_256,,fotbal club forex braşov romanian professional club braşov romania found october 2002 dissolve 2011,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2413747522677299,0.6350756164408112,24,0.16925416886806488,23.0,0.094528317451477
21,The new negative is printed and tested again.,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,Polyjuice,594,29.57525634765625,dnn_256,,new negative print test,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2581750531865296,0.7876163507471112,24,0.11592099815607071,18.0,0.1512680202722549
22,send link to win 714,Reply to win aPS100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,Polyjuice,594,24.49747133255005,dnn_256,,send link win 714,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2621579102470723,0.7737848582619867,18,0.3960920572280884,18.0,0.1450426429510116
23,"The billiards table had a design that was more like a modern or a medieval design than the table Maestro, the design was not classy.",Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam,Polyjuice,594,24.29733395576477,dnn_256,,billiards table design like modern medieval design table maestro design classy,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2892222039029318,0.6286102880756302,25,-0.05279266834259033,25.0,-0.0140840420499444
24,Have you heard about Venezuela?,Have you heard from this week?,spam,Polyjuice,594,21.16425037384033,dnn_256,,hear venezuela,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3338703904381603,0.8783070033879365,3,0.3235890865325928,15.0,-0.0507737398147583
25,"Don't bother trying to get Gnarls Barkley or other similar crap out of your system, or you will lose your money and your time.","Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",spam,Polyjuice,594,24.91650605201721,dnn_256,,bother try gnarl barkley similar crap system lose money time,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3112682314256607,0.8284355656858158,22,0.4019838571548462,24.0,-0.0546551756560802
26,Telephone: E-1 735-651 Australia Tel: 1800 5555,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam,Polyjuice,594,25.9697904586792,dnn_256,,telephone e-1 735 651 australia tel 1800 5555,notice drive go slow idiot drive fast maniac,0.0882744462077286,0.3895064167537204,27,0.4444049596786499,8.0,-0.0056739663705229
27,question for written answer e-008935/ 13 to the commission slavi binev( efd) ( 5 february 2013),"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,Polyjuice,594,21.87874984741211,dnn_256,,question write answer e-008935/ 13 commission slavi binev efd 5 february 2013,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.1912701532503026,0.706375519313208,22,0.1509193480014801,21.0,0.102832056581974
28,"4 orange users, two orange pines, right?",important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,594,24.00657892227173,dnn_256,,4 orange user orange pine right,important customer service announcement freephone 0800 542 0825,0.3302539987632943,0.7893099543042349,20,0.4543798267841339,8.0,0.0245638862252235
29,A person in a red and black outfit climbing the side of an icy mountain.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,Polyjuice,594,25.389225721359253,dnn_256,,person red black outfit climb icy mountain,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2626146358296145,0.7779935645905675,24,0.1411099135875702,15.0,-0.009289875626564
30,Now you get a free movie and feel the magic of the computer generated light.,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",spam,Polyjuice,594,23.816484928131104,dnn_256,,free movie feel magic computer generate light,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3322242541776534,0.8713466904394709,23,0.3284693956375122,18.0,-0.1290500611066818
31,Can you introduce yourself or?,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam,Polyjuice,594,22.24932074546814,dnn_256,,introduce,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.28378484651723,0.8130498213245738,26,-0.020178712904453278,18.0,-0.1191813647747039
32,Forwarded from 218700000002:,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam,Polyjuice,594,25.15352201461792,dnn_256,,forward 218700000002,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.1071651370130113,0.6458548353782142,26,0.4446955621242523,21.0,0.1542765200138092
33,send link to english version:,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam,Polyjuice,594,22.706133365631104,dnn_256,,send link english version,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.310207632492968,0.7184357537318976,24,0.2681322693824768,18.0,0.1080269664525985
34,You are guaranteed a tear when you see it.,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,594,24.13218331336975,dnn_256,,guarantee tear,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2964985884159011,0.795162934228806,21,0.08986787497997284,18.0,-0.1742623895406723
35,Buying a new phone was inexpensive for Betty but not for Patricia because Patricia always uses a cell phone.,"Shop till u Drop, IS IT YOU, either 10K, 5K, aPS500 Cash or aPS100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam,Polyjuice,594,25.536985874176025,dnn_256,,buy new phone inexpensive betty patricia patricia use cell phone,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3959052702442594,0.8225061882719744,28,0.24177071452140808,19.0,0.1183440238237381
36,What happened to TopProspect. com?,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,Polyjuice,594,20.96592879295349,dnn_256,,happen topprospect com,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3511530185225273,0.7172553955979766,15,0.13047844171524048,18.0,0.0922524780035018
37,EMPTY let's talk when you have the time. I promise you'll be back.,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam,Polyjuice,594,20.8242027759552,dnn_256,,let talk time promise,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.329520146458738,0.9665270185752128,10,0.5932600498199463,17.0,0.0946458280086517
38,This is your Discount Code!,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam,Polyjuice,594,19.4946768283844,dnn_256,,discount code,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3164636911736195,0.8647777277819394,14,0.6416369676589966,21.0,0.1852048933506012
39,"Callable from 4-4 August 2017, directly compared to the following:",<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam,Polyjuice,594,23.84971332550049,dnn_256,,callable 4 4 august 2017 directly compare following,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.200515088002262,0.7534359581333262,14,0.33224689960479736,21.0,0.1308838874101638
40,"2-way street, no sign of condor, no sign of condor, no sign of history.","500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY aPS1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam,Polyjuice,594,25.40577507019043,dnn_256,,2 way street sign condor sign condor sign history,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2984692045254424,0.7694163770898428,22,-0.1125580295920372,15.0,-0.0762354657053947
41,Our dating service has been asked to 2 as no one has contacted us yet and we are trying to find out as much as possible,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",spam,Polyjuice,594,22.062315940856934,dnn_256,,date service ask 2 contact try find possible,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2816749158859816,0.9252780561505208,19,0.7473199367523193,26.0,0.2482684701681137
42,If you are a fan of the genre then you must have been lucky and get a pass on this film as you will see many stunning moments,You are a winner you have been specially selected to receive aPS1000 cash or a aPS2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,spam,Polyjuice,594,26.91791868209839,dnn_256,,fan genre lucky pass film stunning moment,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2779851213642341,0.912705127925598,27,0.06243697926402092,28.0,-0.019898172467947
43,What do beggars think about money?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,594,17.245148420333862,dnn_256,,beggar think money,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2933267700552474,0.8088404808643278,29,0.13694584369659424,18.0,0.205514371395111
44,congratulations! EMPTY,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",spam,Polyjuice,594,20.83417320251465,dnn_256,,congratulation,important customer service announcement freephone 0800 542 0825,0.2641738099025045,0.6594710582476287,22,0.2545504868030548,8.0,0.238777607679367
45,3. You have received your mobile content. Now what?,3. You have received your mobile content. Enjoy,spam,Polyjuice,594,27.301730632781982,dnn_256,,3 receive mobile content,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.32598671623559,0.9703038248634248,2,0.8925876617431641,21.0,0.1806928962469101
46,Total video converter free download number of this in google search:),Total video converter free download type this in google search:),spam,Polyjuice,594,27.37476348876953,dnn_256,,total video converter free download number google search,,0.0,0.9826519099288404,2,0.9540839195251465,,
47,Send email to report: slimmingalay2kbs. com,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam,Polyjuice,594,22.71437168121338,dnn_256,,send email report slimmingalay2kbs com,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2923737555327494,0.851489072688569,12,0.3172209560871124,21.0,0.134210005402565
48,Do you want a new fancy car?,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam,Polyjuice,594,22.374440670013428,dnn_256,,want new fancy car,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3732591238629688,0.8863236817054505,19,0.3231387734413147,17.0,0.1244755163788795
49,EMPTY new years!,Happy new years melody!,spam,Polyjuice,594,18.70046782493592,dnn_256,,new year,,0.0,0.8469094431979125,3,0.5055336952209473,,
50,there are 4 orange people 4 to 8 orange,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,594,24.342442274093628,dnn_256,,4 orange people 4 8 orange,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2762099890675135,0.7691531578999128,20,0.34952011704444885,21.0,0.1071021929383277
51,Did white or black marketing actually account for longer goods or services than white?,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",spam,Polyjuice,594,26.33565926551819,dnn_256,,white black marketing actually account long good service white,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3193163169050793,0.8301016562583802,30,0.05655350536108017,18.0,0.1377900093793869
52,Santa Calling! Would your little ones like a birthday party? Call 09058094583 to book your time.,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,spam,Polyjuice,594,26.10141158103943,dnn_256,,santa call little one like birthday party 09058094583 book time,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3912256772610322,0.9818358754962726,5,0.8891974687576294,18.0,0.2575134336948395
53,"The authors thanked the lawyer, or the authors encouraged the secretary.","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,Polyjuice,594,28.333614349365234,dnn_256,,author thank lawyer author encourage secretary,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.1526965821006001,0.7552041992782238,22,0.12964722514152527,15.0,-0.0584828741848468
54,You have an important customer service interview that takes place now.,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,spam,Polyjuice,594,21.470684051513672,dnn_256,,important customer service interview take place,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.272700891445809,0.9137403439185008,9,0.49910131096839905,15.0,0.1545281708240509
55,Have a secret admirer.,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam,Polyjuice,594,23.101942539215088,dnn_256,,secret admirer,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.2857454998308842,0.8219164234630699,24,0.5333433151245117,17.0,0.0084355482831597
56,mobile calling premium:,88800 and 89034 are premium phone services call 08718711108,spam,Polyjuice,594,33.29744529724121,dnn_256,,mobile call premium,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2292922201958843,0.8227033722915585,9,0.6063228845596313,18.0,0.2485425025224685
57,No service EMPTY,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,Polyjuice,594,24.77169847488404,dnn_256,,service,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2805546965240955,0.7705334462283369,18,0.40684837102890015,21.0,0.0894639939069747
58,You get the feeling you have been treated badly by the film.,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,594,28.80140447616577,dnn_256,,feeling treat badly film,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2388243167977688,0.7365082292157741,23,-0.0644126757979393,15.0,-0.0888913571834564
59,Support Number: 871472 Price:,Promotion Number: 8714714 - UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,spam,Polyjuice,594,25.751054286956787,dnn_256,,support number 871472 price,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.1250287236676162,0.610344668009867,26,0.36369025707244873,21.0,0.250335544347763
60,Will you get anything with yr network & try again,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,Polyjuice,594,26.20409083366394,dnn_256,,yr network try,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.30018000516131,0.9395256997081662,25,0.4617621898651123,18.0,0.1507297903299331
61,you've got a really important customer service call.,You have an important customer service announcement from PREMIER.,spam,Polyjuice,594,19.90250492095948,dnn_256,,get important customer service,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3059375730694428,0.9179422742379472,7,0.6219911575317383,18.0,0.1752038896083831
62,Can somebody help me?,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,spam,Polyjuice,594,22.287266731262207,dnn_256,,somebody help,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2946387975849966,0.819759884499865,32,0.10632631927728653,18.0,0.1150133907794952
63,"Number of Chasers drawn: 16. 4 % white, 8. 9 % black and 0. 2 % mixed.",Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890aPS1.50 per msg,spam,Polyjuice,594,24.301125049591064,dnn_256,,number chaser draw 16 4 white 8 9 black 0 2 mixed,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.223856149208798,0.6496521893600519,25,0.1412559449672699,21.0,0.0956122204661369
