,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
11,WE ARE VOTING!,URGENT! We are trying to contact U Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,spam,Polyjuice,590,26.6921546459198,dnn_64,,vote,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.1942208843613964,0.8230151357344755,27,0.22148509323596954,21.0,0.0872416719794273
12,phone charges may be stored for longer periods of time.,88800 and 89034 are premium phone services call 08718711108,spam,Polyjuice,590,28.35256814956665,dnn_64,,phone charge store long period time,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2877724734449465,0.7782934194425098,10,0.3320525884628296,18.0,0.2241845875978469
13,Call our expert phone EMPTY,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed aPS1000 cash or aPS5000 prize!,spam,Polyjuice,590,26.742287158966064,dnn_64,,expert phone,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2930205117977586,0.8022859417915686,23,0.4530944228172302,18.0,0.1686951518058776
14,congratulations 2 mobile game,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,Polyjuice,590,25.120098114013672,dnn_64,,congratulation 2 mobile game,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3242459561295912,0.7176988709646952,24,0.5755598545074463,15.0,0.2656059563159942
15,"Wanting to get laid, Samantha wanted a lot of kids but Betty didn't as Betty likes stretchy jeans.",Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,spam,Polyjuice,590,26.91095495223999,dnn_64,,want lay samantha want lot kid betty betty like stretchy jean,important customer service announcement freephone 0800 542 0825,0.3044006138369839,0.7947923632980302,27,-0.017098814249038696,18.0,-0.0900484696030616
16,You have won a Nantucket Regional Marketing opportunity.,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,Polyjuice,590,22.985286712646484,dnn_64,,win nantucket regional marketing opportunity,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2636270094960735,0.8066047121047204,24,0.4224525988101959,15.0,0.1209336519241333
17,You have a great question. Call any number between 1 and 6 am.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,590,21.749412298202515,dnn_64,,great question number 1 6,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3187880016945819,0.8611066644734698,11,0.46724438667297363,21.0,0.0838223919272422
18,You've won the TKT competition and you've earned it.,"You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,Polyjuice,590,28.30237102508545,dnn_64,,win tkt competition earn,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2744587458208267,0.8584951184250112,15,0.3884621858596802,15.0,0.0711577087640762
19,congrats 2 mobile,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,Polyjuice,590,21.026556491851807,dnn_64,,congrat 2 mobile,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.296523149583866,0.6969872786707819,24,0.5932168960571289,21.0,0.162822425365448
20,Good News! Call NOW!,Great News! Call FREEFONE 08006344447 to claim your guaranteed aPS1000 CASH or aPS2000 gift. Speak to a live operator NOW!,spam,Polyjuice,590,24.79538106918335,dnn_64,,good news,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3394997276075409,0.8699342050753698,17,0.4665200412273407,21.0,0.1039080917835235
21,The new iPhones 7 Plus,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,Polyjuice,590,29.779440879821777,dnn_64,,new iphone 7 plus,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2782863499982738,0.694099401186583,24,0.27885758876800537,21.0,0.1406354457139969
22,send link to win alexion-competent mail - journal - email list:,Reply to win aPS100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,Polyjuice,590,27.032637357711792,dnn_64,,send link win alexion competent mail journal email list,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2485685662303,0.7544537702978443,18,0.33672356605529785,21.0,0.1495876461267471
23,Natalie( 20/F) is not accepting you to be her friend.,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,spam,Polyjuice,590,23.176634550094604,dnn_64,,natalie 20 f accept friend,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.304667066524964,0.95995295461425,17,0.5725976228713989,21.0,-0.0277901552617549
24,Have you heard from Tesla?,Have you heard from this week?,spam,Polyjuice,590,21.34116768836975,dnn_64,,hear tesla,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.329562662436453,0.9053656098831344,2,0.4630095958709717,17.0,0.0781095772981643
25,"You can subscribe to the W3C Working Draft as a W3C work draft on January 12, 2016.",U are subscribed to the best Mobile Content Service in the UK for aPS3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam,Polyjuice,590,27.75193977355957,dnn_64,,subscribe w3c working draft w3c work draft january 12 2016,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3120685277106148,0.846231622479339,23,0.2004648745059967,21.0,0.0958921164274215
26,"Best Western: Get'Em Shootout has been licensed for North Hollywood, NC, and was filmed in Texas( USA) by Godard.","Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",spam,Polyjuice,590,24.399056673049927,dnn_64,,well western get'em shootout license north hollywood nc film texas usa godard,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2732660249977007,0.6632861127084512,19,0.09724666178226471,19.0,0.0577411651611328
27,question for written answer e-002069/ 13 to the commission diogo feio( ppe) ( 25 february 2013),"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,Polyjuice,590,25.076258182525635,dnn_64,,question write answer e-002069/ 13 commission diogo feio ppe 25 february 2013,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2027006173082629,0.6742236921011234,22,0.09138268232345581,21.0,0.0755363851785659
28,has a secret admirer that wants to be the other girl...,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,Polyjuice,590,25.86074924468994,dnn_64,,secret admirer want girl,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2806638603525866,0.9083484189471012,21,0.42766493558883667,15.0,0.0612851418554782
29,Gr8 funny movie.,Ringtone Club: Gr8 new polys direct to your mobile every week !,spam,Polyjuice,590,25.35195279121399,dnn_64,,gr8 funny movie,important customer service announcement freephone 0800 542 0825,0.1763509498773929,0.6083565253874332,11,0.2113228440284729,8.0,0.0394440665841102
30,EMPTY U know has asked our dating service 2 contact you! Cant Guess who?,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam,Polyjuice,590,21.314562797546387,dnn_64,,u know ask date service 2 contact nt guess,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3646812305604006,0.9811069038589508,12,0.8513971567153931,21.0,0.1809488087892532
31,Want a new or improved phone? 755 755 735,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam,Polyjuice,590,24.99040627479553,dnn_64,,want new improved phone 755 755 735,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2695877799809413,0.8129510798409103,22,0.5162037014961243,18.0,0.2353880107402801
32,send link to [ANSWER],18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam,Polyjuice,590,24.316933631896973,dnn_64,,send link answer,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2394719530146173,0.7159882479418944,23,0.06405840814113617,18.0,-0.0104244211688637
33,call 09433 460,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",spam,Polyjuice,590,24.882187128067017,dnn_64,,09433 460,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.1512880294915973,0.5674104367718817,25,0.4168871343135834,21.0,0.2730981707572937
34,"If a test function formula _ 2 is used to obtain the final form, after integration by parts the weak Galerkin formulation will be given as follows:",You have WON a guaranteed aPS1000 cash or a aPS2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,spam,Polyjuice,590,26.622116565704346,dnn_64,,test function formula 2 obtain final form integration part weak galerkin formulation give follow,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2485181582881164,0.8375645924518939,27,0.07884850353002548,27.0,0.0245763733983039
35,"You are guaranteed the best of your life, the best of your kids, the best of your family.","You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,590,27.14276933670044,dnn_64,,guarantee good life good kid good family,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2544091891515428,0.779449284170165,21,0.17394372820854187,18.0,-0.0121862897649407
36,Buying a new phone was inexpensive for Betty but not Laura because Betty has a lot of money.,"Shop till u Drop, IS IT YOU, either 10K, 5K, aPS500 Cash or aPS100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam,Polyjuice,590,27.40605115890503,dnn_64,,buy new phone inexpensive betty laura betty lot money,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.4015745676522405,0.819213109834217,28,0.27005380392074585,18.0,0.1765762120485305
37,"sms-send-up to weekly meeting format: daily, weekly, every 6 hours, part 2: daily, weekly",Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,Polyjuice,590,30.434700965881348,dnn_64,,sms send weekly meeting format daily weekly 6 hour 2 daily weekly,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.215537544274595,0.8276070507424771,15,0.43288013339042664,21.0,-0.0207086130976676
38,NEVER WATCH THIS!,"URGENT!: Your Mobile No. was awarded a aPS2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam,Polyjuice,590,26.883257389068604,dnn_64,,watch,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3065246168005525,0.7906301037336406,24,0.11109599471092224,18.0,0.0483792945742607
39,Which is your favorite programming language?,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam,Polyjuice,590,23.82244777679444,dnn_64,,favorite programming language,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2693272770714016,0.7863487846402226,14,0.04851771891117096,18.0,-0.1353327482938766
40,Authorization was granted from 4th Level while Urghh...,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam,Polyjuice,590,20.616226196289062,dnn_64,,authorization grant 4th level urghh,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2459804867796113,0.742547799530407,15,0.12553074955940247,15.0,0.1070353910326957
41,"From 4 June 1966, after Sinclair and Atlantic merged Richfield Company, BP bought the plot.","500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY aPS1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam,Polyjuice,590,25.42470598220825,dnn_64,,4 june 1966 sinclair atlantic merge richfield company bp buy plot,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3278033679910621,0.6613170862830668,22,0.0024067405611276627,15.0,0.0503198578953743
42,Do you want a new video app?,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,spam,Polyjuice,590,20.764610052108765,dnn_64,,want new video app,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3268877568287535,0.8747559006371011,23,0.48330438137054443,18.0,0.0089186746627092
43,"Do you ever notice that when you're driving, anyone going slower than you?","Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",spam,Polyjuice,590,29.692710161209103,dnn_64,,notice drive go slow,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2934849024467019,0.982552150040136,13,0.8751851916313171,18.0,-0.1679363995790481
44,What do you want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,590,16.00626850128174,dnn_64,,want xma,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3654390694627245,0.8861345592337383,27,0.4967212378978729,17.0,0.0081890653818845
45,email,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam,Polyjuice,590,28.482218265533447,dnn_64,,email,win tkt euro2004 cup final aps800 cash collect 09058099801 b4190604 pobox 7876150ppm,0.1993553434450746,0.6887309284867241,12,0.5032232403755188,12.0,0.1291272640228271
46,Do you want a new video home or condo?,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam,Polyjuice,590,21.1550509929657,dnn_64,,want new video home condo,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3531456466375272,0.9045322238280572,17,0.42839252948760986,21.0,0.0064694280736148
47,welcome new music to your!,Happy new years melody!,spam,Polyjuice,590,20.09106159210205,dnn_64,,welcome new music,,0.0,0.8368656716439824,4,0.6454522013664246,,
48,4 orange user reported seeing an orange sun...,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,590,23.650691747665405,dnn_64,,4 orange user report see orange sun,customer service representative freephone 0808 145 4742 9am-11pm win guarantee aps1000 cash aps5000 prize,0.3309927135037995,0.8195893492951496,19,0.45354539155960083,14.0,0.0594700910151004
49,Do you regret [ANSWER],"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",spam,Polyjuice,590,23.387190341949463,dnn_64,,regret answer,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.2713206753402399,0.7072946924114755,28,0.04572083428502083,17.0,-0.0013887664536014
50,"Please spare us, please! - please spare us, please!",Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,spam,Polyjuice,590,24.601465702056885,dnn_64,,spare spare,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2920478458462176,0.7758789113057342,19,0.08161946386098862,21.0,0.0550813265144825
51,2 people are sitting down and a male and female sandwich is being thrown across a room,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,Polyjuice,590,29.051479816436768,dnn_64,,2 people sit male female sandwich throw room,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2811084327064974,0.770195223889062,21,0.03268896043300629,17.0,0.060483418405056
52,MUST SEE FOR ALL AGES!,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a aPS2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,spam,Polyjuice,590,27.305632829666138,dnn_64,,age,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2844649672576608,0.8522695100587767,28,0.10782980918884277,21.0,0.0931547358632087
53,we have a secret admirer.,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam,Polyjuice,590,22.63148784637451,dnn_64,,secret admirer,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2993271451288977,0.8628401232378957,23,0.4919317364692688,15.0,0.082769975066185
54,"The following two movies are included, although they are being discussed at regular times in the movie.",88800 and 89034 are premium phone services call 08718711108,spam,Polyjuice,590,28.540992498397827,dnn_64,,follow movie include discuss regular time movie,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2417289344182081,0.7265946546605562,16,-0.03382842242717743,17.0,-0.0951717272400856
55,EMPTY service EMPTY,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,Polyjuice,590,23.2649519443512,dnn_64,,service,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2471788921734697,0.6306334715694633,18,0.342517614364624,21.0,0.1066544577479362
56,You are guaranteed a beautiful future ahead of you. You are guaranteed a great future ahead of you!,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,590,25.55488014221192,dnn_64,,guarantee beautiful future ahead guarantee great future ahead,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2938144693407523,0.8006394170161084,21,0.20332583785057068,18.0,0.0373303890228271
57,Can't get a loan?,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,spam,Polyjuice,590,19.37489151954651,dnn_64,,loan,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3243589795404554,0.9136360024578496,20,0.6326426863670349,21.0,-0.0086521571502089
58,ension numbers 8714513-2017-0700-1,Promotion Number: 8714714 - UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,spam,Polyjuice,590,24.57939863204956,dnn_64,,ension number 8714513 2017 0700 1,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,-0.0010157522583468,0.3789740563175753,27,0.3959294855594635,21.0,0.1841397732496261
59,cash flow from activities carried out during the year,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam,Polyjuice,590,27.68983745574951,dnn_64,,cash flow activity carry year,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.1918523829306306,0.6791475496306565,22,0.3849661350250244,15.0,-0.0020010052248835
60,Does kamraa. com earn money?,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,spam,Polyjuice,590,25.196893215179443,dnn_64,,kamraa com earn money,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3154834140707265,0.7002340186994264,22,0.04940860718488693,21.0,0.0323183722794055
61,You have an important customer.,You have an important customer service announcement from PREMIER.,spam,Polyjuice,590,21.242516040802,dnn_64,,important customer,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2633447450420599,0.9385070956444184,5,0.6026590466499329,18.0,0.1808049827814102
62,Want a laugh? Try Chetrit or Wolfenstein.,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,spam,Polyjuice,590,24.287545442581177,dnn_64,,want laugh try chetrit wolfenstein,important customer service announcement freephone 0800 542 0825,0.3415838422933822,0.8306957261306569,29,0.2544277608394623,8.0,-0.0619084239006042
