,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
27,Is a lot better than zero?,Where One Olympic Medal Is a Lot Better Than None - The New York Times,fake,Polyjuice,,302,26.799968242645264,dnn_128,lot well zero,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0863166821593337,0.8929650372346224,13,0.3439694046974182,9,0.0886130183935165
28,"""What does AGL stand for? """,So Did A Major Negan Twist Slyly Happen On 'Walking Dead'?,fake,Polyjuice,,302,27.91947364807129,dnn_128,agl stand,idris elba star new hunchback notre dame netflix,0.1600144816951043,0.8187005274320216,11,-0.06686864793300629,8,-0.0413136295974254
29,"Biden Stole Me Not ""","Joe Biden Launches ‘American Possibilities’ PAC, Stoking 2020 Rumors",fake,Polyjuice,,302,26.987420558929443,dnn_128,biden steal,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2066817399383271,0.6174878159547147,8,0.3508435785770416,9,0.1253262311220169
30,These guys could [ANSWER],"Watch Out Alec Baldwin, These Kids' Donald Trump Impressions Are So On Point",fake,Polyjuice,,302,27.724684476852417,dnn_128,guy answer,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0519254716425137,0.6930161137302902,12,0.24859163165092468,9,0.0317835360765457
31,Trump Picks 'Dandruff' Off Donald Macron: 'We Have To Make Him Perfect',Trump Picks 'Dandruff' Off Emmanuel Macron: 'We Have To Make Him Perfect',fake,Polyjuice,,302,25.18065404891968,dnn_128,trump pick dandruff donald macron perfect,idris elba star new hunchback notre dame netflix,0.2509793669068911,0.991086050998255,1,0.9865078330039978,12,-0.0673637017607688
32,Just Boringly Appreciated.,Will Smith Just Brought 'The Fresh Prince Of Bel-Air' Back To 'The Tonight Show',fake,Polyjuice,,302,29.90639019012451,dnn_128,boringly appreciate,idris elba star new hunchback notre dame netflix,0.1313091397323856,0.5135335146264489,13,0.09345049411058426,8,0.0574279129505157
33,"There's Finally A Legitimate Alternative To Pay For Payday"".",There's Finally A Legitimate Alternative To Payday Lending,fake,Polyjuice,,302,22.98797082901001,dnn_128,finally legitimate alternative pay payday,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.018417636520084,0.9539100155742444,3,0.8470662832260132,9,-0.0720321983098983
34,Planned to Keynote Planned Parenthood Fundraiser,GWB Daughter Barbara Bush to Keynote Planned Parenthood Fundraiser,fake,Polyjuice,,302,33.753788232803345,dnn_128,plan keynote plan parenthood fundraiser,idris elba star new hunchback notre dame netflix,0.1101031415195285,0.8169949389669334,4,0.720778226852417,8,0.0519613921642303
35,"Trump Briefly Admits To Making Something Up, Then Changes Everything","Trump Briefly Admits To Making Something Up, Then Changes His Mind",fake,Polyjuice,,302,31.220345735549927,dnn_128,trump briefly admit make change,idris elba star new hunchback notre dame netflix,0.1143826222018162,0.9858507881516988,2,0.9261543154716492,10,-0.0202894248068332
36,Think of a poorly-inspired piece of work; you will think he is hilarious.,"People Think Kanye's New Yeezy Shoes Look Like Legos, Gummy Sharks And More",fake,Polyjuice,,302,24.751918077468872,dnn_128,think poorly inspire piece work think hilarious,idris elba star new hunchback notre dame netflix,0.1201304845308482,0.7583279844407522,13,0.24645006656646729,13,0.2077818214893341
37,Where Are Theres a Real Washington?,Who Are Diamond And Silk?,fake,Polyjuice,,302,22.657732248306274,dnn_128,s real washington,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1343399210448655,0.76952012300746,5,0.19724047183990479,9,-0.2301689982414245
38,"Trump Expels 80 Russians, Closes Russian Consulate In Seattle After UK Chemical Attack","Trump Expels 60 Russians, Closes Russian Consulate In Seattle After UK Chemical Attack",fake,Polyjuice,,302,31.142547369003296,dnn_128,trump expel 80 russian close russian consulate seattle uk chemical attack,idris elba star new hunchback notre dame netflix,0.253165208569744,0.9978975469792531,1,0.9680575132369995,13,-0.1168757677078247
39,Mike Moustakas with his's name on it,Jake Tapper Mocks Trump's Lame Name For James Comey,fake,Polyjuice,,302,27.96925401687622,dnn_128,mike moustaka,idris elba star new hunchback notre dame netflix,0.213125319099816,0.5787623920145791,9,0.1964217871427536,8,0.0817383527755737
40,Idris Elba To Star As The New Hunchback Of New York For Netflix,Idris Elba To Star As The New Hunchback Of Notre Dame For Netflix,fake,Polyjuice,,302,30.31139850616455,dnn_128,idris elba star new hunchback new york netflix,chrissy teigen explain snapchat decision feel beyoncé biter,0.2788913323615906,0.9263489309207876,2,0.857401967048645,13,0.1235342174768447
41,1 Person Found Dead After Explosion Rocks Site of Possible Destruction,1 Person Found Dead After Explosion Rocks Site Of Alleged Domestic Hostage Situation,fake,Polyjuice,,302,31.35504794120789,dnn_128,1 person find dead explosion rock site possible destruction,idris elba star new hunchback notre dame netflix,0.124209346581372,0.9418592553843704,5,0.8864742517471313,11,0.0459011234343051
42,"ex-astronaut! ex-astronaut, i'm-i'm-i'm",’Deport Me!’ Czech Child Abuser Begs the British Authorities,fake,Polyjuice,,302,33.9334614276886,dnn_128,ex astronaut ex astronaut i'm i'm i'm,gorka smite hater radical islamist jerusalem post speech breitbart,-0.0233572176909323,0.3938151543653239,9,0.11490028351545334,9,0.0099838748574256
43,I was more embarrassed of the wart on my hand than the one on my foot since the one on the hand was visible.,Afraid of What? The Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit,fake,Polyjuice,,302,29.03983950614929,dnn_128,embarrassed wart hand foot hand visible,kate mckinnon break impression rudy giuliani,0.1461828883172218,0.8585594271730937,23,0.10585521161556244,24,0.1828134357929229
44,Trump’s Walk of Life smashed with a sledgehammer (VIDEO),Trump’s Walk of Fame star smashed with a sledgehammer (VIDEO),fake,Polyjuice,,302,26.27273154258728,dnn_128,trump walk life smash sledgehammer video,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1040554418497084,0.9630968610826932,2,0.8175479173660278,9,-0.099131129682064
45,DOJ Tried Repeatedly To Kill FBI’s Foundation Investigation,DOJ Tried Repeatedly To Kill FBI’s Clinton Foundation Investigation,fake,Polyjuice,,302,27.16655778884888,dnn_128,doj try repeatedly kill fbi foundation investigation,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1343201102434476,0.9816409058570704,1,0.9701128005981445,9,-0.0217848327010869
46,She doesn't hold a grudge against anyone before the old guy who wants her to be dead.,THIS is The Last Interview of The Prophet Vanga: She ASKED Not To Make It Public Before The New Century,fake,Polyjuice,,302,33.05117869377136,dnn_128,hold grudge old guy want dead,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1234106623435975,0.9069609767898594,20,0.1580047607421875,17,-0.022522747516632
47,Shaquille O'Neal Doesn't Know Who The Queen Of Love Is,Shaquille O'Neal Doesn't Know Who The Queen Of England Is,fake,Polyjuice,,302,24.192620515823364,dnn_128,shaquille o'neal know queen love,bill maher shred baghdad bob sarah huckabee sander bulls**t,0.3293304086528314,0.9735554392594564,1,0.8706480264663696,10,0.1976481229066848
48,Report: Huma Abedin’s Emails On Matt Smith Were In a File Marked “Life Insurance”,Report: Huma Abedin’s Emails On Weiner’s Laptop Were In a File Marked “Life Insurance”,fake,Polyjuice,,302,22.41217279434204,dnn_128,report huma abedin email matt smith file mark life insurance,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0935578589087603,0.9601903484865872,2,0.8164727687835693,14,-0.1505900621414184
49,Where are The Indus cities?,Here Are The Surprise Shows Coming To Netflix In May,fake,Polyjuice,,302,25.651381492614743,dnn_128,indus city,kate mckinnon break impression rudy giuliani,0.1347683039100423,0.7587522583065718,9,-0.04089967906475067,6,-0.1702477931976318
50,"Cuckoos are funny, and this is not one of them; they're not only hard to enjoy but also easy to love.","Comedian Chuck McCann, The Voice Of Cocoa Puffs' Cuckoo, Dead At 83",fake,Polyjuice,,302,27.909583806991577,dnn_128,cuckoo funny hard enjoy easy love,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0719507786552126,0.7134972931073615,21,0.2134748101234436,21,0.0242091994732618
51,"Jet lag never makes you feel tired, like you're in the same room, or traveling in another country.",Why Jet Lag Can Feel Worse When You Travel From West to East - The New York Times,fake,Polyjuice,,302,28.14443063735962,dnn_128,jet lag make feel tired like room travel country,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0626512118039698,0.9175839061201962,18,0.6251240372657776,18,0.1006098985671997
52,Edward J. McKenna was a professional baseball player who played in 32 games for the 1884 Washington Nationals of the Union Association.,"Daniel J. Berrigan, Defiant Priest Who Preached Pacifism, Dies at 94 - The New York Times",fake,Polyjuice,,302,28.98870849609375,dnn_128,edward j. mckenna professional baseball player play 32 game 1884 washington national union association,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1538089545060149,0.7471954916627597,21,0.044388048350811005,22,-0.1864776462316513
53,Exclusive: 'No Life Describes How He Brought Down An American Terrorist Cell,Exclusive: 'Everyday Guy' Describes How He Brought Down An American Terrorist Cell,fake,Polyjuice,,302,28.15218210220337,dnn_128,exclusive life describe bring american terrorist cell,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0763900039518035,0.9792605702014722,2,0.7413474321365356,12,-0.0083111524581909
54,NFL teams playing in the game from 1931 to 1934 were the teams that represented the first American Football League.,NFL Commish Goodell: ’It Would Be an Honor’ to Hand Tom Brady Super Bowl Trophy - Breitbart,fake,Polyjuice,,302,25.884376764297485,dnn_128,nfl team play game 1931 1934 team represent american football league,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0591325032103231,0.7120004154782614,18,0.24359944462776184,20,-0.0594591572880744
55,Taxpayers foot billions of dollars to feed these people.,Taxpayers Foot $1M Bill to Clean Up Dakota Pipeline Protest Area - Breitbart,fake,Polyjuice,,302,28.74433183670044,dnn_128,taxpayer foot billion dollar feed people,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0181811237679476,0.7852719863170506,12,0.36113181710243225,9,-0.0165854357182979
56,A bartender will pour a lot of alcohol onto a glass while sitting at a bar for an interview.,"Dorian Harris Stole Beer From A Corner Store, So The Clerk Shot Him Dead: Police",fake,Polyjuice,,302,31.487192392349243,dnn_128,bartender pour lot alcohol glass sit bar interview,idris elba star new hunchback notre dame netflix,0.1483904680070788,0.833900910392948,19,0.14982196688652039,19,0.0449134856462478
57,What do we stop Political Campaigns From Forging Signatures? Not Much.,What Stops Political Campaigns From Forging Signatures? Not Much.,fake,Polyjuice,,302,21.50216841697693,dnn_128,stop political campaign forge signature,idris elba star new hunchback notre dame netflix,0.1021728711943534,0.9793503574637348,3,0.951587975025177,11,-0.0715730562806129
58,xiety grows among staffers,Anxiety grows among GOP congressional staffers,fake,Polyjuice,,302,28.999616622924805,dnn_128,xiety grow staffer,idris elba star new hunchback notre dame netflix,0.0527104575072208,0.8054197518955659,3,0.32659298181533813,8,-0.0904031321406364
59,"Sandra Oh -- Is ""Fume"" real?",Sandra Oh Is Back And Ready To Upend Stereotypes In 'Killing Eve',fake,Polyjuice,,302,28.60708785057068,dnn_128,sandra oh fume real,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1765720364488417,0.7767896915798777,10,0.4983605742454529,9,0.1063864305615425
60,Bankers supported the bankers.,Trump controlled by Mossad,fake,Polyjuice,,302,33.99761390686035,dnn_128,banker support banker,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0059668164432583,0.4462774280208793,4,0.14382188022136688,9,-0.011786782182753
61,"You might say that too, but you'd be right.","No Kegs, No Liquor: College Crackdown Targets Drinking and Sexual Assault - The New York Times",fake,Polyjuice,,302,30.11646819114685,dnn_128,right,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0711921671911238,0.7313349205437797,16,0.13543276488780975,9,0.0485994070768356
62,"Fans Asked George Takei To Tweet Something Positive About Hillary Clinton. He Did, And It’s Perfect","Fans Asked George Takei To Tweet Something Positive About Trump. He Did, And It’s Perfect",fake,Polyjuice,,302,24.95422649383545,dnn_128,fan ask george takei tweet positive hillary clinton perfect,idris elba star new hunchback notre dame netflix,0.3017970031424232,0.9808017002083956,2,0.808075487613678,16,0.1328454762697219
63,Let the World Now Praise Famous Trumps,Let Us Now Praise Famous Trumps,fake,Polyjuice,,302,29.74399971961975,dnn_128,let world praise famous trump,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1141194889836725,0.955995239174768,2,0.9504429697990417,9,0.0565332882106304
64,"The New York Times reported: "" Williams will support a",GOP Strategist: Nonsensical Trump Talking Like A 'Drunk Guy In Queens',fake,Polyjuice,,302,26.146790266036987,dnn_128,new york time report williams support,chrissy teigen explain snapchat decision feel beyoncé biter,0.2127329486377173,0.7150489158770829,11,0.17277583479881287,10,0.1470993012189865
65,Police arrest 141 in crackdown on white protesters,Police arrest 141 in crackdown on North Dakota pipeline protesters,fake,Polyjuice,,302,29.502498388290405,dnn_128,police arrest 141 crackdown white protester,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0128920423811591,0.916165080191708,3,0.8221107125282288,9,0.0008853523177094
66,Trump's Travel Plan Faces Supreme Court Reckoning,Trump's Travel Ban Faces Supreme Court Reckoning,fake,Polyjuice,,302,26.73336100578308,dnn_128,trump travel plan face supreme court reckoning,kate mckinnon break impression rudy giuliani,0.2696525024290171,0.9581105777995932,1,0.8485974669456482,7,-0.0677054822444915
67,'Tonight Show' Says 'Who Is Us' Is 'Whip His Nuts'; Fan Doesn't Notice,'Tonight Show' Says 'This Is Us' Is 'Whip His Nuts'; Fan Doesn't Notice,fake,Polyjuice,,302,27.76635956764221,dnn_128,tonight say whip nut fan notice,kate mckinnon break impression rudy giuliani,0.1403274952219256,0.9968413304943392,1,0.9573589563369751,13,0.0520353019237518
68,Netanyahu Meets African Leaders to Expand Israel Missionary Position,Netanyahu Meets African Leaders to Expand Israel Ties,fake,Polyjuice,,302,34.30476450920105,dnn_128,netanyahu meet african leader expand israel missionary position,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.174437797345608,0.9425926793674084,2,0.9287230372428894,9,0.0788384974002838
69,"Until The Dawn of the Planet, the race",Chart Of The Day: Mind The Big Rigs—-Class 8 Truck Sales Down 46% Since Peak,fake,Polyjuice,,302,28.861208200454712,dnn_128,dawn planet race,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0345949622126837,0.800037098353746,14,0.19709797203540802,9,0.0853163450956344
70,For anyone with a,Queer Aussie Men Strip Down For Intimate Indie Magazine Pictorial,fake,Polyjuice,,302,32.77864384651184,dnn_128,,kate mckinnon break impression rudy giuliani,0.0987225773468153,0.5926352253357797,9,0.03645366057753563,6,-0.0787452310323715
71,Warrant Officer Boss Accused Of Assaulting Students In Practice Exam,Larry Nassar’s Boss Accused Of Assaulting Students In Practice Exam,fake,Polyjuice,,302,31.139008283615112,dnn_128,warrant officer boss accuse assault student practice exam,idris elba star new hunchback notre dame netflix,0.0795451575253266,0.9094437398091776,2,0.6311146020889282,10,-0.1025371551513671
72,Fallacy of a political sentence goldilocks policy,The Fallacy of a ‘Goldilocks’ War Policy,fake,Polyjuice,,302,33.14303183555603,dnn_128,fallacy political sentence goldilocks policy,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0589291434679666,0.8836807621269285,5,0.7599415183067322,9,-0.015821075066924
73,EMPTY Are Real.,Those Threats Are Real,fake,Polyjuice,,302,29.12826037406921,dnn_128,real,idris elba star new hunchback notre dame netflix,0.0883732245827735,0.7964882511307163,3,0.415960431098938,8,0.1370768547058105
74,Exactly when to book an international flight has taken place.,Here’s Exactly When To Book An International Flight (Based On New Data From More Than A Million Airfares),fake,Polyjuice,,302,24.925944805145264,dnn_128,exactly book international flight take place,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0175930394361263,0.9258483011528944,17,0.7962355613708496,10,0.013883133418858
75,Anchorage Votes No With Anti-Transgender Bathroom Proposition.,Anchorage Votes No On Anti-Transgender Bathroom Proposition,fake,Polyjuice,,302,24.473997592926025,dnn_128,anchorage vote anti transgender bathroom proposition,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0981023230088862,0.9671446796250676,2,0.9454395771026611,9,-0.0130633935332298
76,Six Ways to Give the Gift of Life to Children and Teenagers - The New York Times,Six Ways to Give the Gift of Generosity to Children and Teenagers - The New York Times,fake,Polyjuice,,302,29.11708950996399,dnn_128,way gift life child teenager new york time,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0615306107039655,0.9925443107726902,1,0.9179887771606445,17,0.0673959851264953
77,Felony voting laws are just stupid; politicians should ban them.,Felony Voting Laws Are Confusing; Activists Would Ditch Them Altogether,fake,Polyjuice,,302,26.97310781478882,dnn_128,felony voting law stupid politician ban,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0479818218517598,0.9472573247844488,9,0.592738151550293,10,0.0148037355393171
78,Benjamin's new writing journal would not fit in his old backpack because the backpack was too short.,Barron Trump's School Signs Open Letter Demanding POTUS Enact Stricter Gun Laws,fake,Polyjuice,,302,23.6848578453064,dnn_128,benjamin new writing journal fit old backpack backpack short,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1293071356399728,0.6425105746899451,17,0.06634851545095444,17,0.0288591627031564
79,"my sister was on that plane, i saw the plane crash in the middle of the desert.",I Was on That Fateful Flight With Prince: A Protégée Tells Her Story - The New York Times,fake,Polyjuice,,302,30.115222454071045,dnn_128,sister plane see plane crash middle desert,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0738665085647304,0.905251395423664,18,0.362177312374115,17,0.0911374166607856
80,"The Republicans took control of the Senate 32-8 on Day 46 to reauthorize the Violence Against Women Act, which had lapsed during the last Congress.",Civil War in the GOP: Trump Leading “Long Experiment in Populism… New Republican Party”,fake,Polyjuice,,302,24.82067036628723,dnn_128,republicans take control senate 32 8 day 46 reauthorize violence woman act lapse congress,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0035401381681172,0.8096472130518377,24,0.29601526260375977,25,-0.0893448814749717
