,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
26,"In fact, it was not Vanuatu, but an island in Australia, which was reported by the state-controlled Australian National news agency Thomson Newspapers on 7 November 2006.",‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,fake,Polyjuice,,276,31.95815372467041,dnn_64,fact vanuatu island australia report state control australian national news agency thomson newspaper 7 november 2006,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0663963329874727,0.7666764361129339,27,0.11025205254554749,27,-0.0802460834383964
27,"a new verb is now in force in this case, which is a positive verb and a verb at the same time.",A New Verb in Mexico: Trumpear (From ‘to Punch’) - The New York Times,fake,Polyjuice,,276,27.983351945877075,dnn_64,new verb force case positive verb verb time,jew shielder gavin mccuck rekt jew hate female shitlord,0.0983433793052266,0.8511429616401496,21,0.3946453630924225,22,-0.0087425392121076
28,What Will Trump Say?,Trump Team Moves To Lift Ban On 'Extreme' Hunting Tactics In Alaska,fake,Polyjuice,,276,28.807106256484985,dnn_64,trump,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1713402532091308,0.7230221876300847,12,0.2167758047580719,9,-0.0882526412606239
29,"""What does """"; *"""" mean? """,So Did A Major Negan Twist Slyly Happen On 'Walking Dead'?,fake,Polyjuice,,276,26.54586291313172,dnn_64,mean,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.0627657705026899,0.7251762720516631,11,0.0928092896938324,9,0.0240890122950077
30,"Joe Biden Launches ‘Surefire PAC, Stoking 2020 Rumors","Joe Biden Launches ‘American Possibilities’ PAC, Stoking 2020 Rumors",fake,Polyjuice,,276,19.976462841033936,dnn_64,joe biden launch surefire pac stoke 2020 rumor,15 unique gift mom mother day,0.2648264527923132,0.9346297631932194,2,0.8790340423583984,8,-0.0420041754841804
31,"The soundtrack is awful, and the set pieces are an eyesore to behold.","Watch Out Alec Baldwin, These Kids' Donald Trump Impressions Are So On Point",fake,Polyjuice,,276,29.968766689300537,dnn_64,soundtrack awful set piece eyesore behold,jew shielder gavin mccuck rekt jew hate female shitlord,0.1044116851690547,0.7571712525905048,13,0.14578384160995483,13,0.1832437515258789
32,'We should stop calling him that.'',Trump Picks 'Dandruff' Off Emmanuel Macron: 'We Have To Make Him Perfect',fake,Polyjuice,,276,24.276988983154297,dnn_64,stop call,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0439486870115501,0.8497268290884014,11,0.25888964533805847,9,-0.0309378784149885
33,There's Finally A Legitimate Alternative To PayPal Lending,There's Finally A Legitimate Alternative To Payday Lending,fake,Polyjuice,,276,24.25745368003845,dnn_64,finally legitimate alternative paypal lending,jew shielder gavin mccuck rekt jew hate female shitlord,0.1262612718090708,0.9693284457363288,1,0.7660782337188721,9,0.0768455490469932
34,EMPTY To stop the most amazing Death,A Marvel Exec Tried To Stop The Most Jarring 'Infinity War' Death,fake,Polyjuice,,276,30.99886965751648,dnn_64,stop amazing death,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.06934602507312,0.8706769512958605,10,0.4450337290763855,9,0.0520132146775722
35,"An LDS friend Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “Latter-Day Sissies","An LDS Reader Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “Latter-Day Sissies",fake,Polyjuice,,276,29.13257384300232,dnn_64,lds friend take look trump accuser jessica drake conclude leader day sissy,wikileak obama saudi agent,0.2863231080372949,0.9921320018095112,1,0.9557319283485413,17,0.2228873521089553
36,Worker Safety Rules Are Among Those Under Fire in Trump Era - The New York Observer,Worker Safety Rules Are Among Those Under Fire in Trump Era - The New York Times,fake,Polyjuice,,276,26.836759090423584,dnn_64,worker safety rule fire trump era new york observer,jew shielder gavin mccuck rekt jew hate female shitlord,0.1568044656053789,0.989665508174079,1,0.9801076650619507,16,0.0165877379477024
37,Beijing holds surprise parade in response to US naval service,Beijing holds surprise South China Sea drills in response to US patrol,fake,Polyjuice,,276,31.07614517211914,dnn_64,beijing hold surprise parade response naval service,jew shielder gavin mccuck rekt jew hate female shitlord,0.1658360012532682,0.8948852602314605,6,0.7461976408958435,10,-0.056856021285057
38,GWB Daughter no longer Bush to Keynote Planned Parenthood Fundraiser,GWB Daughter Barbara Bush to Keynote Planned Parenthood Fundraiser,fake,Polyjuice,,276,31.108006715774536,dnn_64,gwb daughter long bush keynote plan parenthood fundraiser,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1916012655691241,0.9305935329832852,2,0.8907478451728821,10,0.0340964496135711
39,Oops! Denver Post Prints Photo Of Wrong Ballpark In Review Of Sports,Oops! Denver Post Prints Photo Of Wrong Ballpark In Review Of Coors Field,fake,Polyjuice,,276,26.911206245422363,dnn_64,oops denver post print photo wrong ballpark review sport,jew shielder gavin mccuck rekt jew hate female shitlord,0.1447350908183453,0.9701386602146972,2,0.9128603935241699,12,0.012883991934359
40,Donald Trump makes very poor plays.,Corey Lewandowski Continues to Be Paid by Donald Trump’s Campaign - The New York Times,fake,Polyjuice,,276,24.64241600036621,dnn_64,donald trump make poor play,wikileak obama saudi agent,0.2838145615061978,0.7343238144020182,14,0.19192597270011902,6,0.0960510000586509
41,"Holocaust denier, this movie is just plain brilliant.",WORLD WAR 3 Hillary Clinton Foundation Holocaust ISIS Saudi Weapons of Mass Destruction YEMEN,fake,Polyjuice,,276,27.58837056159973,dnn_64,holocaust denier movie plain brilliant,wikileak obama saudi agent,0.2516338169674665,0.5648606417684487,13,0.30325940251350403,8,0.1140234023332595
42,Who finds the cell phone on the body of the murderer?,1 Person Found Dead After Explosion Rocks Site Of Alleged Domestic Hostage Situation,fake,Polyjuice,,276,31.88624048233032,dnn_64,find cell phone body murderer,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.047429153392874,0.8236122767704553,13,0.3218111991882324,11,0.0026045481208711
43,Here is another pearl of truth.,Rudy Giuliani's ABC Interview Was A Mess. Here Are The Biggest Takeaways.,fake,Polyjuice,,276,29.185459852218628,dnn_64,pearl truth,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0866650332650245,0.790559268689379,12,0.2764962315559387,9,-0.006993253249675
44,What is CIO of CIA?,Scapegoat or Spy? Vatican Consultant Commands Attention at Leaks Trial - The New York Times,fake,Polyjuice,,276,26.783854246139526,dnn_64,cio cia,diamond silk,0.2270802149060982,0.6920026009952157,15,0.31336700916290283,5,0.0066568967886269
45,Which is the best PPP?,Representative Government or Thugocracy?,fake,Polyjuice,,276,19.82995915412903,dnn_64,good ppp,jew shielder gavin mccuck rekt jew hate female shitlord,0.1388764166502306,0.7039757831929842,5,0.27512127161026,9,-0.1696151793003082
46,"EMPTY Donald Trump is misogynistic, misogyny Evangelicalists",Misogynist Donald Trump is Hemorrhaging Evangelical Women Voters,fake,Polyjuice,,276,30.43541026115417,dnn_64,donald trump misogynistic misogyny evangelicalist,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2584061252935697,0.7721401525531071,5,0.7673830986022949,9,-0.0471691563725471
47,"Fear of a Black Hat, "" Thorne suggests, is",Afraid of What? The Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit,fake,Polyjuice,,276,25.78814649581909,dnn_64,fear black hat thorne suggest,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0865652522271099,0.7838305803108024,16,0.249986931681633,9,0.0154303358867764
48,DOJ Tried Repeatedly To Kill FBI,DOJ Tried Repeatedly To Kill FBI’s Clinton Foundation Investigation,fake,Polyjuice,,276,31.71706509590149,dnn_64,doj try repeatedly kill fbi,diamond silk,0.1544122315008493,0.9145805723821928,4,0.8897705674171448,6,-0.061635673046112
49,About 90 % of all tobacco grown in Canada is manufactured here.,Paleontologist Talks About Fossil ‘Find Of A Lifetime’ In Area Cut From Bears Ears,fake,Polyjuice,,276,28.47299766540528,dnn_64,90 tobacco grow canada manufacture,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.0021322693308968,0.7662352492332801,13,-0.015890643000602722,12,-0.157706156373024
50,"She is the first author to have done so in the great novel, Othello, by Robert Carrington.",THIS is The Last Interview of The Prophet Vanga: She ASKED Not To Make It Public Before The New Century,fake,Polyjuice,,276,29.65962028503418,dnn_64,author great novel othello robert carrington,jew shielder gavin mccuck rekt jew hate female shitlord,0.1750508875322194,0.8890548919256415,19,0.11604712158441544,17,0.0362638421356678
51,"Jumping With the No-Bells is the fourth episode in the second production season of "" Chuck "", and the 74th overall episode of the series.",Dunking With the No-Names? N.B.A. Fans Haven’t Minded Yet - The New York Times,fake,Polyjuice,,276,29.27721929550171,dnn_64,jump bell fourth episode second production season chuck 74th overall episode series,jew shielder gavin mccuck rekt jew hate female shitlord,0.0199525126910331,0.8088936705949086,23,0.17095908522605896,25,-0.0116496169939637
52,EMPTY Banned From Sport Over Sexual Assault Accusations,USA Taekwondo Coach Banned From Sport Over Sexual Assault Accusations,fake,Polyjuice,,276,31.787009239196777,dnn_64,ban sport sexual assault accusation,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0570255276904185,0.913774592307688,3,0.7262625694274902,9,0.0745361447334289
53,The voice of the turtle is a Sephardic group specializing in musical music.,"Comedian Chuck McCann, The Voice Of Cocoa Puffs' Cuckoo, Dead At 83",fake,Polyjuice,,276,30.558484315872192,dnn_64,voice turtle sephardic group specialize musical music,wikileak obama saudi agent,0.1844281617147426,0.7011616126821558,13,0.10399766266345978,13,-0.0529001466929912
54,Donald Trump Jr. Does Not Get In The Line To Be Informed,Donald Trump Jr. Gets In A Snit Over Accurate BBC Headline About Ronny Jackson,fake,Polyjuice,,276,28.642035961151123,dnn_64,donald trump jr line inform,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.164049460110556,0.7720547776147106,11,0.4564863443374634,12,-0.1131044775247573
55,What‑s worth what at the white house?,Who’s Worth What at the White House: The Financial Disclosures - The New York Times,fake,Polyjuice,,276,22.795987367630005,dnn_64,what‑s worth white house,jew shielder gavin mccuck rekt jew hate female shitlord,0.1489591799003966,0.9031042929755654,13,0.680500864982605,9,0.0160681530833244
56,"Jet lag may not be like that, but if you watch for any length of time, you will know that it doesn't end.",Why Jet Lag Can Feel Worse When You Travel From West to East - The New York Times,fake,Polyjuice,,276,25.894039630889893,dnn_64,jet lag like watch length time know end,jew shielder gavin mccuck rekt jew hate female shitlord,0.1271596377476725,0.8887507751033604,23,0.6429630517959595,23,-0.0491601936519146
57,'Love A God' Day Letter Is A Poignant Answer To Hate Threats,'Love A Muslim' Day Letter Is A Poignant Answer To Hate Threats,fake,Polyjuice,,276,30.09845542907715,dnn_64,love god day letter poignant answer hate threat,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1199000446789431,0.9876309037584924,1,0.8311806917190552,12,0.0154832582920789
58,"The following year, Herman Rarebell resigned for personal reasons and was replaced by Rudy Lenners.","Daniel J. Berrigan, Defiant Priest Who Preached Pacifism, Dies at 94 - The New York Times",fake,Polyjuice,,276,32.67190456390381,dnn_64,following year herman rarebell resign personal reason replace rudy lenner,jew shielder gavin mccuck rekt jew hate female shitlord,0.1187695481915014,0.760807086068909,16,0.023973096162080765,15,0.0034648596774786
59,Exclusive: 'Oscar Guy' Describes How He Brought Down An American Terrorist Cell,Exclusive: 'Everyday Guy' Describes How He Brought Down An American Terrorist Cell,fake,Polyjuice,,276,29.713568687438965,dnn_64,exclusive oscar guy describe bring american terrorist cell,jew shielder gavin mccuck rekt jew hate female shitlord,0.2507942284237672,0.9840324028601872,1,0.7788229584693909,12,0.0797707065939903
60,"If the NFL did not pass the drug approval, the league could have used star power as a precursor, since the precursor would be better.",NFL Commish Goodell: ’It Would Be an Honor’ to Hand Tom Brady Super Bowl Trophy - Breitbart,fake,Polyjuice,,276,27.5727858543396,dnn_64,nfl pass drug approval league star power precursor precursor well,jew shielder gavin mccuck rekt jew hate female shitlord,0.1081759681298843,0.7450437082806329,24,0.41494977474212646,25,-0.01622324436903
61,Donald Trump ‑s Daughter is an unexpected political comedy masterpiece that features excellent singing and great musical numbers.,Trump’s Weary Defenders Face Fresh Worries - The New York Times,fake,Polyjuice,,276,25.33400869369507,dnn_64,donald trump ‑s daughter unexpected political comedy masterpiece feature excellent singing great musical number,jew shielder gavin mccuck rekt jew hate female shitlord,0.1987376723271608,0.7463751066908987,18,0.08943123370409012,18,0.0106555987149477
62,"Stops political satire, too. Not Much.",What Stops Political Campaigns From Forging Signatures? Not Much.,fake,Polyjuice,,276,25.69458317756653,dnn_64,stop political satire,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0680264500244769,0.8739682712109142,6,0.44321370124816895,9,0.042337566614151
63,"Address, however, addresses the political and cultural issues primarily via documentary style, not literal translations of English names.","In Address, Cuomo Posits New York’s Policies as an Answer to Trump - The New York Times",fake,Polyjuice,,276,25.96210885047913,dnn_64,address address political cultural issue primarily documentary style literal translation english name,jew shielder gavin mccuck rekt jew hate female shitlord,0.1222875253629242,0.8072743998982609,18,0.25714826583862305,18,0.0870488956570625
64,Geena Davis And 4th Husbands Reza Jarrahy Are Divorcing,Geena Davis And 4th Husband Reza Jarrahy Are Divorcing,fake,Polyjuice,,276,30.22314190864563,dnn_64,geena davis 4th husband reza jarrahy divorce,stop political campaign forge signature,0.2690316122364276,0.9752478138180972,1,0.9914470911026001,9,0.0061676343902945
65,Anxiety grows among party members,Anxiety grows among GOP congressional staffers,fake,Polyjuice,,276,26.915647983551025,dnn_64,anxiety grow party member,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0421553302201481,0.7742613414357216,3,0.6854687929153442,9,0.116231232881546
66,"in Germany and Austria, young girls are wearing makeup to show their success.",Austria Wants To Ban Kindergarten Girls From Wearing Hijabs At School,fake,Polyjuice,,276,30.02623677253723,dnn_64,germany austria young girl wear makeup success,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1538394398049505,0.8083082438680858,13,0.3151291608810425,13,0.2170202136039734
67,he's playing with,Trump controlled by Mossad,fake,Polyjuice,,276,31.54562902450561,dnn_64,play,wikileak obama saudi agent,0.0893677873102835,0.3016704761178689,4,0.1626053750514984,4,0.0955449640750885
68,"Canada’s Largest School System Cancels USA Fly, Fears Travel Ban","Canada’s Largest School System Cancels USA Trips, Fears Travel Ban",fake,Polyjuice,,276,31.09834861755371,dnn_64,canada large school system cancel usa fly fear travel ban,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1263536854890902,0.9842140133536929,1,0.911186158657074,10,0.0210754312574863
69,Let Us Now Say Praise Famous Trumps,Let Us Now Praise Famous Trumps,fake,Polyjuice,,276,27.19688320159912,dnn_64,let praise famous trump,diamond silk,0.2240852646603225,0.9900955366061462,1,0.98133385181427,7,0.0110602686181664
70,arrest no link to crime statistics,Police arrest 141 in crackdown on North Dakota pipeline protesters,fake,Polyjuice,,276,29.30168390274048,dnn_64,arrest link crime statistic,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0618263713182482,0.6898990457612935,9,0.2058999240398407,9,-0.0015210092533379
71,Anti-Trump protesters use color to disrupt construction.,Red Alert Politics: Anti-Trump Protesters Torch Muslim Immigrant’s Limo - Breitbart,fake,Polyjuice,,276,27.01806616783142,dnn_64,anti trump protester use color disrupt construction,jew shielder gavin mccuck rekt jew hate female shitlord,0.182336247248349,0.7346991395187219,10,0.5154662728309631,9,0.0652424022555351
72,'This Is Us' is one that holds less attention to its C rating than it does to its B rating.,'Tonight Show' Says 'This Is Us' Is 'Whip His Nuts'; Fan Doesn't Notice,fake,Polyjuice,,276,32.7965407371521,dnn_64,hold attention c rating b rating,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0310913932011279,0.850924133916971,20,0.42769670486450195,20,-0.0308269634842872
73,Donald Trump or Hillary Clinton?,Joe Scarborough: Trump's Legal Strategy Is Like 'A Monkey Throwing Poo Against The Wall',fake,Polyjuice,,276,26.80897617340088,dnn_64,donald trump hillary clinton,15 unique gift mom mother day,0.3347013773157278,0.5793424729793856,14,0.16478648781776428,6,0.0253305193036794
74,Is the Christian story true?,Muslim Australian Founder Of Youth Without Borders Is Denied Entry Into U.S.,fake,Polyjuice,,276,27.87569761276245,dnn_64,christian story true,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1549200670106036,0.7730927001682152,11,0.0017164107412099838,9,-0.0316760316491127
75,The last album was recorded with bassist Arturo Garcia and drummer Nina Souto.,Chart Of The Day: Mind The Big Rigs—-Class 8 Truck Sales Down 46% Since Peak,fake,Polyjuice,,276,29.67408323287964,dnn_64,album record bassist arturo garcia drummer nina souto,wikileak obama saudi agent,0.1679021494561777,0.5874252862006927,14,0.028473515063524246,13,0.0425092950463295
76,Elizabeth Warren Pledges Big Money To ‘Turn Up The Heat On EMPTY’,Elizabeth Warren Pledges Big Money To ‘Turn Up The Heat On Gerrymandering’,fake,Polyjuice,,276,28.32619071006775,dnn_64,elizabeth warren pledge big money turn heat,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1702510874056537,0.972591643559578,1,0.8372666835784912,12,0.1574250906705856
77,The Fallacy of a Totally Decentralized Symmetry,The Fallacy of a ‘Goldilocks’ War Policy,fake,Polyjuice,,276,27.753782987594604,dnn_64,fallacy totally decentralized symmetry,jew shielder gavin mccuck rekt jew hate female shitlord,0.1522583818859581,0.775669915399164,3,0.2425781786441803,9,0.1075434833765029
78,these are not facts.,Those Threats Are Real,fake,Polyjuice,,276,30.62177991867065,dnn_64,fact,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.041456995779015,0.849589480836327,4,0.31213289499282837,9,-0.0286212731152772
79,Exactly Where to Buy an Internet hosting company?,Here’s Exactly When To Book An International Flight (Based On New Data From More Than A Million Airfares),fake,Polyjuice,,276,27.488273859024048,dnn_64,exactly buy internet host company,jew shielder gavin mccuck rekt jew hate female shitlord,0.0866460616932347,0.841334062441495,17,0.13698162138462067,9,-0.0589545033872127
80,Chorage claims No on transgender bathroom policy,Anchorage Votes No On Anti-Transgender Bathroom Proposition,fake,Polyjuice,,276,26.51065278053284,dnn_64,chorage claim transgender bathroom policy,jew shielder gavin mccuck rekt jew hate female shitlord,0.1800429449914455,0.8240512164870204,6,0.6614494323730469,9,0.149747297167778
81,"EMPTY Will Pursue £20,000 Lawsuit for Teeth Broken in Prison","Terrorist Who Killed Lee Rigby Will Pursue £20,000 Lawsuit for Teeth Broken in Prison",fake,Polyjuice,,276,36.15158486366272,dnn_64,"pursue £ 20,000 lawsuit tooth break prison",gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.0179194771057705,0.9032749241934344,5,0.4211469888687134,10,-0.0135157853364944
