,closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target instance,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,runtime,not find,closest_true_instance_bert,closest_similaritys_bert
10,tone club:,go get exciting karaoke type activity plan debate play football eve feel lazy,0.4480083882808685,0.5970876357396657,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,rf,,tone club,congrat 2 mobile 3 g videophone r 09063458130 videochat wid ur mate play java game dload polyph music noline rentl bx420 ip4 5we 150p,0.2825001632542437,0.5848448435007063,32,0.40866339206695557,24,0.2223523706197738,95.59855151176453,607,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,-0.1007073745131492
11,Your opinion is not important!,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.2936033904552459,0.851358743251592,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,rf,,opinion important,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2596753134288564,0.7388429020555957,19,-0.022793922573328018,18,-0.017815463244915,91.99875974655151,607,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",-0.1327265202999115
12,You have been specially selected to receive a \ 3000 award,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.3701631128787994,0.7828335107759941,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",rf,,specially select receive 3000 award,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2449120502497464,0.8816822406017265,15,0.6002321243286133,21,0.0344013161957263,100.50053787231444,607,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0924240723252296
13,For 1 week there was no EQ test performed on the K2SO instrument. There was no loss of instruments on the J2SO instrument.,doubt handle 5 time night case,0.3806365728378296,0.8046146673856066,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,rf,,1 week eq test perform k2so instrument loss instrument j2so instrument,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2642024591017497,0.7120268628551919,29,0.17085304856300354,23,0.1470800340175628,81.6367826461792,607,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1668750047683715
14,Can you help? I do.,ta job available let know cos need start work,0.3052682876586914,0.8910791033366389,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,rf,,help,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3608246915611772,0.8577094600654802,19,0.10677646845579147,17,-0.034698761999607,84.98275589942932,607,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,-0.0791496783494949
15,download the file to collect your content.,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.4952926337718963,0.8544464585214258,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,rf,,download file collect content,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2940700761970383,0.8957325084244083,15,0.5468654632568359,18,0.1435651630163192,113.05999803543092,607,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@aPS1.50rcvd,-0.118426963686943
16,"Don't bother trying to be critical, just leave your brain at the door and expect endless laughs to come.",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.424140989780426,0.9294532073973056,"WELL DONE! Your 4* Costa Del Sol Holiday or aPS5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostaPS1.50/pm, Max10mins",rf,,bother try critical leave brain door expect endless laugh come,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3033000881878991,0.7464190034810874,23,-0.18073901534080505,19,-0.1264127790927887,28.565789937973022,607,FROM 88066 LOST aPS12 HELP,-0.2204383760690689
17,EMPTY call 08712402578 EMPTY,inside office fill forms.don know leave,0.5888487100601196,0.7168532918988362,Please CALL 08712402578 immediately as there is an urgent message waiting for you,rf,,08712402578,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2485895600305153,0.6592300145353979,12,0.615507960319519,18,0.2161468863487243,27.67463040351868,607,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0709967613220214
18,call 0871871110,call message miss call,0.668248176574707,0.9083240984970716,88800 and 89034 are premium phone services call 08718711108,rf,,0871871110,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2307098459731818,0.7095819799599136,8,0.7862572073936462,18,0.3498187959194183,28.303138494491577,607,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0750468745827674
19,Want ofc love?,wow love sooo know barely stand wonder day go love think miss,0.5362180471420288,0.8622305695072395,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,rf,,want ofc love,important customer service announcement freephone 0800 542 0825,0.224472757529054,0.750173421009625,27,0.10479090362787247,8,0.1190000250935554,28.189791917800903,607,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1160483881831169
20,2) The winners of each section qualify for the open draw of the Australian bowls disabled.,open rebtel firefox load plus sign user place number low number number pick number pin display okay,0.4068106412887573,0.7841244817935394,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",rf,,2 winner section qualify open draw australian bowl disable,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2819674309924656,0.8099676968168824,22,0.15710198879241943,16,0.0460733696818351,29.711997985839844,607,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,-0.1261164993047714
21,Get 2 free for 1st week!,3 guy want come time soon,0.5549419522285461,0.8100608171308775,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,rf,,2 free 1st week,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2459569466864388,0.8259136649019094,28,0.30498987436294556,21,0.1181986033916473,31.28751945495605,607,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1194699704647064
22,You have received a N64bage Award?,send score sophas secondary application school think think apply research cost contact joke ogunrinde school expensive one,0.381710946559906,0.8024770206094497,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,rf,,receive n64bage award,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.261960282288698,0.8390555288037588,25,0.3653750419616699,21,0.161334216594696,27.38702130317688,607,network operator. The service is free. For T & C's visit 80488.biz,-0.0824379101395607
23,"Fotbal Club Forex Braşov was a Romanian pro - football club from Braşov, Romania, who was founded in October 2002 and was dissolved in 2011.",absolutely love south park recently start watch office,0.2620079815387726,0.7642280424775452,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",rf,,fotbal club forex braşov romanian pro football club braşov romania found october 2002 dissolve 2011,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2537936965963008,0.6456037795529176,25,0.1526879370212555,25,0.0830872729420661,30.43791937828064,607,"Win the newest aOHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",-0.1270656585693359
24,You have won Takhini Film Festival of film-making in an eight year old girl.,camera good 10.1mega pixel 3optical 5digital doom lovely holiday safe hope hav good journey happy new year couple week,0.3734428882598877,0.8125530324847698,"You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",rf,,win takhini film festival film making year old girl,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.222767442334178,0.7936846824767799,18,0.17501235008239746,15,0.098607525229454,25.440462350845337,607,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,-0.1766121983528137
25,bluetooth and music.,jay want work 4 sound,0.4416869282722473,0.7235049307206012,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,rf,,bluetooth music,customer service representative freephone 0808 145 4742 9am-11pm win guarantee aps1000 cash aps5000 prize,0.3055829545184632,0.7673926593815976,22,0.35660526156425476,14,0.158269315958023,23.89434576034546,607,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,-0.1205397769808769
26,"The New York and Erie Railroad completed their route between Piermont and Dunkirk in 1851, New York via Hornell and Salamanca.",new car house parents.:)i new job hand,0.317580908536911,0.7324540351700295,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,rf,,new york erie railroad complete route piermont dunkirk 1851 new york hornell salamanca,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2567917649813422,0.607279257981018,24,0.05262632295489311,21,-0.1387916505336761,24.768898487091064,607,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,-0.256278246641159
27,EMPTY We are trying to contact you. EMPTY only,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.4612453579902649,0.8863410828452191,URGENT! We are trying to contact you. Last weekends draw shows that you have won a aPS900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,rf,,try contact,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3186092172249913,0.9078492054195676,20,0.21966174244880676,18,0.207537829875946,26.324605226516724,607,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0369062088429927
28,a pdcy explorer? ctor a software developer...?,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.4893352389335632,0.7130730616646976,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p paPS3.99,rf,,pdcy explorer ctor software developer,customer service representative freephone 0808 145 4742 9am-11pm win guarantee aps1000 cash aps5000 prize,0.3110687939365676,0.6775872862703939,24,0.29510149359703064,14,0.0595424249768257,29.22629451751709,607,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,-0.1806064844131469
29,Natalie( 20/F) needs to be her friend.,mark work tomorrow get 5 work house meet u,0.4436572194099426,0.7878500761660991,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,rf,,natalie 20 f need friend,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2799703997008297,0.931899211901032,18,0.7179419994354248,21,0.0357168726623058,24.10824942588806,607,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",-0.1577135473489761
30,Want free unlimited mobile soundCloud with no ads?,hi mobile   lt;#&gt   add contact list www.fullonsms.com s great place send free sms people visit fullonsms.com,0.4400543570518493,0.8405596887412516,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,rf,,want free unlimited mobile soundcloud ad,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3316256162982494,0.8572248442975151,27,0.3625478744506836,18,0.0954159647226333,25.081806898117065,607,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN aPS100 Cash WKENT/150P16+,-0.1306938827037811
31,"Oh, the SEXYCHAT girls are waiting for you to text them.",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.4914789795875549,0.8937555838794797,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",rf,,oh sexychat girl wait text,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.364361460501526,0.9700426891666992,14,0.839653730392456,18,0.1219949647784233,33.42422866821289,607,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",-0.0835369899868965
32,"Go get your copy of the book, its awful, G. K. Killer, at LOST SECRETREMANK]",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.4160958528518677,0.8419527395935941,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",rf,,copy book awful g. k. killer lose secretremank,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3661807566979651,0.7889138970421095,16,0.24431322515010834,15,0.0746520608663559,30.185231685638428,607,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",-0.1507778465747833
33,fax:,hi email address change,0.4365114569664001,0.5494295264080936,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,rf,,fax,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.1222768036553666,0.4780324084549699,27,0.28502875566482544,21,0.0222645793110132,26.868566036224365,607,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",-0.1007225736975669
34,4 orange user xbox 360 games installed:,playng 9 door game gt racing phone lol,0.3534116446971893,0.6775781201083931,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,rf,,4 orange user xbox 360 game instal,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2925759900869906,0.6093397664853724,19,0.22258272767066956,21,0.1450074017047882,27.135971069335938,607,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0897881537675857
35,this information,check get detailed message,0.3967130482196808,0.8009200102284706,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(aPS1.50p. m),rf,,information,congrat 2 mobile 3 g videophone r 09063458130 videochat wid ur mate play java game dload polyph music noline rentl bx420 ip4 5we 150p,0.2238074976365737,0.6144703122945502,29,0.1481715440750122,24,0.0857152044773101,23.30701303482056,607,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,-0.0728668868541717
36,has a secret admirer who is looking for a potential partner,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.4772630929946899,0.8213528624518882,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,rf,,secret admirer look potential partner,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2026083954782874,0.8642285084003359,18,0.5397475957870483,15,0.0896197110414505,26.38636803627014,607,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,-0.1574129313230514
37,our next installment : Gr8 Luxury Coaster your mobile every week!,camera good 10.1mega pixel 3optical 5digital doom lovely holiday safe hope hav good journey happy new year couple week,0.486787736415863,0.8340803076233975,Ringtone Club: Gr8 new polys direct to your mobile every week !,rf,,installment gr8 luxury coaster mobile week,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3312741082819708,0.8888996290355778,9,0.5824213027954102,21,0.2122020870447158,26.84504461288452,607,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,0.0142845977097749
38,You have been awarded a free movie membership.,guy bitching act like interested buy week give free,0.5509579181671143,0.8065801017463823,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",rf,,award free movie membership,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3049612162759265,0.8357240578065371,19,0.3218318819999695,18,0.0556844808161258,29.5434410572052,607,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",-0.1631945520639419
39,HMV HAVING manages to win the war of the sexes with one of the greatest battle-weary characters in cinema history.,drama pls.i family struggle hot sun strange place.no reason ego go invite actually necessity go.wait reppurcussion,0.3836628794670105,0.8204907788449978,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,rf,,hmv having manage win war sex great battle weary character cinema history,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2100298403975554,0.7805134031968896,24,0.3263539671897888,20,0.1140161901712417,21.51883864402771,607,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",-0.157717078924179
40,Want a new video game?,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.4154568016529083,0.8332215143083035,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,rf,,want new video game,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3405515911368927,0.8335694222014772,23,0.32412582635879517,18,0.016819093376398,27.686750650405884,607,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,-0.1063358411192894
41,Forwarded Messages:,ask message,0.7584933042526245,0.7205871927234051,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,rf,,forward message,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.1254273575594595,0.6750137627977326,27,0.5545828342437744,18,0.1205461844801902,32.846585750579834,607,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0731784999370575
