,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
20,Get Gnarls Barkley 'Gnazi' swear,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",spam,Polyjuice,614,30.337831020355225,dnn,,gnarl barkley gnazi swear,important customer service announcement freephone 0800 542 0825,0.0959893563658519,0.6096377363303322,16,0.5591403245925903,8.0,-0.0018062235321849,FROM 88066 LOST aPS12 HELP,-0.1573978215456009
21,Message from Whangarei:,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam,Polyjuice,614,28.16101908683777,dnn,,message whangarei,win tkt euro2004 cup final aps800 cash collect 09058099801 b4190604 pobox 7876150ppm,0.1408057383282293,0.4502251334372726,26,0.24160662293434143,12.0,0.198638767004013,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,-0.09648347645998
22,r & i,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,Polyjuice,614,29.32850193977356,dnn,,r,important customer service announcement freephone 0800 542 0825,0.1562916202508472,0.70517234029782,21,0.1873723566532135,8.0,0.0582622699439525,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1098890602588653
23,it means everything.,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,614,25.52195191383361,dnn,,mean,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2749645250818515,0.8660587810380554,22,0.04692103713750839,18.0,-0.0761049538850784,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,-0.185700237751007
24,The U. S. Navy has a rear HQ in the town of Raystown and two strategic command centers in the central building at Southwestern Navy Yard.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,Polyjuice,614,25.897813320159912,dnn,,u. s. navy rear hq town raystown strategic command center central building southwestern navy yard,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2634158619439863,0.7494923035816008,26,0.003139004111289978,26.0,-0.1447943449020385,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 aPS3/wk 087016248,-0.2017743438482284
25,You have been awarded a free piece of cinema.,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",spam,Polyjuice,614,25.79787540435791,dnn,,award free piece cinema,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3050395621542814,0.8564914955042254,19,0.40317192673683167,15.0,0.1219029128551483,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1100125461816787
26,No one U know has asked our dating service 2 contact you! Cant Guess who?,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam,Polyjuice,614,22.32774543762207,dnn,,u know ask date service 2 contact nt guess,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3604362402120006,0.9826653543392322,13,0.8478903770446777,21.0,0.1706066578626632,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0821511372923851
27,Can someone help?,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam,Polyjuice,614,22.91352343559265,dnn,,help,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2657949603134752,0.787828448952174,26,0.10647527128458023,18.0,0.1212609484791755,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,-0.1202224716544151
28,"Forwarded from 2187000, low:",<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam,Polyjuice,614,26.68235421180725,dnn,,forward 2187000 low,congrat 2 mobile 3 g videophone r 09063458130 videochat wid ur mate play java game dload polyph music noline rentl bx420 ip4 5we 150p,0.1801104182974165,0.7396103997958281,26,0.3904407024383545,24.0,0.1997162848711013,Filthy stories and GIRLS waiting for your,-0.0960782915353775
29,send link to english newspaper every day,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam,Polyjuice,614,26.991963386535645,dnn,,send link english newspaper day,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.4027768408615165,0.8548811653297292,24,0.23332758247852325,21.0,-0.0284615475684404,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just aPS5 by replying GET BBDELUXE and take the challenge,-0.0794076174497604
30,SMS,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,Polyjuice,614,20.39540719985962,dnn,,sms,win tkt euro2004 cup final aps800 cash collect 09058099801 b4190604 pobox 7876150ppm,0.1998536787159663,0.3217698358914696,22,0.3014323115348816,12.0,0.0973339080810546,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",-0.0995078757405281
31,Are the Illuminati real?,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,614,27.790561199188232,dnn,,illuminati real,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2756206441182673,0.6616994139468895,24,0.05228927731513977,15.0,-0.0035590482875704,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,-0.1284385174512863
32,Buying a new phone was inexpensive for Betty but not Katrina because Betty has many years of experience in photography.,"Shop till u Drop, IS IT YOU, either 10K, 5K, aPS500 Cash or aPS100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam,Polyjuice,614,29.3734872341156,dnn,,buy new phone inexpensive betty katrina betty year experience photography,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3593871919512175,0.8024471625760699,28,0.19267898797988892,20.0,0.1571676284074783,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,-0.1517261117696762
33,send link to bittorrent/ thompkins... [ANSWER],Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,Polyjuice,614,29.947301387786865,dnn,,send link bittorrent/ thompkin answer,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2714212284420454,0.6362303574690779,15,0.13837535679340363,21.0,0.1089005172252655,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN aPS100 Cash WKENT/150P16+,-0.1220462769269943
34,Hope I missed your call,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam,Polyjuice,614,22.70289373397827,dnn,,hope miss,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3851884494293777,0.94619556621767,11,0.7031352519989014,17.0,0.1915455311536789,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0849813744425773
35,What is your favourite quote?,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam,Polyjuice,614,25.301912784576416,dnn,,favourite quote,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3123361391478733,0.7905851935202691,14,-0.01282535120844841,18.0,-0.0578893423080444,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,-0.2166425287723541
36,Forwarded from 411680,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam,Polyjuice,614,23.85765600204468,dnn,,forward 411680,congrat 2 mobile 3 g videophone r 09063458130 videochat wid ur mate play java game dload polyph music noline rentl bx420 ip4 5we 150p,0.1361749603270407,0.6535384543763975,14,0.6502941846847534,24.0,0.22906094789505,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0898936688899993
37,call number:,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or aPS10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",spam,Polyjuice,614,21.858492136001587,dnn,,number,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.209297560644352,0.6438258017614459,22,0.41016149520874023,18.0,0.2900612652301788,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0792647302150726
38,"The result is simply hilarious, despite its flaws.","500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY aPS1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam,Polyjuice,614,26.06772208213806,dnn,,result simply hilarious despite flaw,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2306599171741848,0.6738740492664598,22,-0.07254677265882492,15.0,0.0346740446984767,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost aPS1.50 min MobcudB more,-0.1509844362735748
39,Matching 3 -,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",spam,Polyjuice,614,28.170363664627075,dnn,,match 3,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.0872130659074228,0.5913329672678586,27,0.303270161151886,21.0,0.0454305782914161,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,-0.106077142059803
40,Do you want a new video app?,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,spam,Polyjuice,614,21.64607167243957,dnn,,want new video app,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3268877568287535,0.8747559006371011,23,0.48330438137054443,18.0,0.0089186746627092,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or aPS1000. To claim txt DIS to 87121 18+6*aPS1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",-0.1233059540390968
41,What do you want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,614,21.87766003608704,dnn,,want xma,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3654390694627245,0.8861345592337383,27,0.4967212378978729,17.0,0.0081890653818845,Missed call alert. These numbers called but left no message. 07008009200,-0.1457718759775161
42,"You're Worth It! ""","Last Chance! Claim ur aPS150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. aPS3.00 Sub. 16",spam,Polyjuice,614,25.53062438964844,dnn,,worth,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2876482882615732,0.8487707698269152,26,0.1428433209657669,18.0,0.0648536533117294,Missed call alert. These numbers called but left no message. 07008009200,-0.1454631239175796
43,3. You have received your application content. Enjoy,3. You have received your mobile content. Enjoy,spam,Polyjuice,614,26.843902111053467,dnn,,3 receive application content enjoy,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2767236199590964,0.9806623879466412,1,0.776119589805603,21.0,0.0819763094186782,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,-0.066417708992958
44,"As a W3C work draft, the specification was published on 4 January 2016 and was codified on January 21, 2016. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk","For ur chance to win a aPS250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam,Polyjuice,614,33.534679889678955,dnn,,w3c work draft specification publish 4 january 2016 codify january 21 2016 t's&c www.movietrivia.tv custcare 08712405022 1x150p wk,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2524857078443244,0.7820852089925466,20,0.37440913915634155,25.0,0.215178444981575,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1338867247104644
45,Send email to:,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam,Polyjuice,614,30.94354724884033,dnn,,send email,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2425228154427599,0.8796319036513287,12,0.4689578711986542,21.0,0.0453058294951915,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,-0.0400095283985137
46,review and KEEP the fantastic Nokia N-Gage - Game - Deck,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",spam,Polyjuice,614,25.23737931251526,dnn,,review fantastic nokia n gage game deck,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3583414218976338,0.8828073981764697,17,0.8092305064201355,15.0,0.2119091153144836,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or aPS1000. To claim txt DIS to 87121 18+6*aPS1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",-0.0884824693202972
47,Want a new V99 - phone model,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam,Polyjuice,614,23.67357850074768,dnn,,want new v99 phone model,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2828686908615459,0.8346913878485552,22,0.40895968675613403,18.0,0.1799801737070083,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0687998831272125
