,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
10,migrant caravan reaches the u . s . border,##uh caravan wait the u . s . border,29.6665682793,fake,counterfactualgan,dnn_128,,82,uh caravan wait u s border,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1105689059094252,0.827790572262998,2,0.6965575218200684,9,-0.0344139151275157
11,huffpost announces a series of new hires,hmpost announces a series of new york,29.6665682793,fake,counterfactualgan,dnn_128,,100,hmpost announce series new york,chrissy teigen explain snapchat decision feel beyoncé biter,0.1046346664840926,0.8721682868510288,2,0.5131237506866455,8,-0.1506629735231399
12,teddy geiger makes first public appearance since coming out as transgender,' kit surge makes first public crossroads since coming out as invite,29.6665682793,fake,counterfactualgan,dnn_128,,106,kit surge make public crossroad come invite,kate mckinnon break impression rudy giuliani,0.1612814355615665,0.8684058030382882,5,0.2926095724105835,12,-0.0735409632325172
13,professor who sold facebook data to cambridge analytica' sincerely sorry',the who sold facebook data to cambridgefia' innovations sorry',29.6665682793,fake,counterfactualgan,dnn_128,,107,sell facebook datum cambridgefia innovation sorry,kate mckinnon break impression rudy giuliani,0.1315000707917653,0.920029994067366,4,0.755391538143158,9,-0.0396238528192043
14,"umfrage: ceta wurde enorm an zustimmung gewinnen, wenn eu kanadische cannabis - standards uberne","##nta stokeler: heritage closer papers lindsay anor really anoms nad cafe 45 blow couch with, collapsentron took nest argument - sell clayheart",29.6665682793,fake,counterfactualgan,dnn_128,,108,nta stokeler heritage close paper lindsay anor anom nad cafe 45 blow couch collapsentron take nest argument sell clayheart,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.182257917225717,0.2084261452394749,21,0.14265243709087372,22,0.1357030272483825
15,"mark hamill weds sheldon and amy on' big bang theory ,' fans geek out","mark presidency 20 justs drugged andan on' big:s ,' providingj out",29.6665682793,fake,counterfactualgan,dnn_128,,129,mark presidency 20 just drug andan big s providingj,idris elba star new hunchback notre dame netflix,0.209279969709181,0.7732393646175632,10,0.10523353517055511,11,0.035391941666603
16,radio host defends' f * * k' tweet at 98 - year - old nun and team chaplain,times host defends' f * * k' tweet at times - year - old shi and team chaplain,29.6665682793,fake,counterfactualgan,dnn_128,,132,time host defend f k tweet time year old shi team chaplain,idris elba star new hunchback notre dame netflix,0.1219056359372644,0.964062644478026,3,0.7293305397033691,18,0.1352895647287368
17,colin kaepernick just started a black panther - inspired youth camp to teach kids to fight oppression,colin kaepern trump just protested a black panther -han soul about to predators kids to fight bob,29.6665682793,fake,counterfactualgan,dnn_128,,135,colin kaepern trump protest black panther -han soul predator kid fight bob,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.3005390143314286,0.914996988227866,9,0.5197533369064331,17,-0.0044311909005045
18,picture this: shaggy is performing at the queen' s birthday concert,lynch this: thing is react at the fathers' s birthday fireworks,29.6665682793,fake,counterfactualgan,dnn_128,,137,lynch thing react father s birthday firework,idris elba star new hunchback notre dame netflix,0.2142672079318969,0.8776403002497798,5,0.309091717004776,11,0.0770728439092636
19,"supreme court' s cake case could set america back 50 years, activists warn","supreme court' s standard case could set america back 50 years, activistsbar",29.6665682793,fake,counterfactualgan,dnn_128,,147,supreme court s standard case set america 50 year activistsbar,kate mckinnon break impression rudy giuliani,0.1495761283600532,0.9593429234007264,3,0.8473308086395264,12,-0.0345322340726852
20,"in the first 19 days of october, trump gave just $31k to his own campaign","in the first 20 days ofrim, trump gives just $trumpk to his own campaign",29.6665682793,fake,counterfactualgan,dnn_128,,158,20 day ofrim trump give $ trumpk campaign,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.000810934182896,0.9733524837353046,5,0.7640793919563293,14,-0.0426199473440647
21,north korea says u . s . pressure was not the reason for its denuclearization promise,north korea says u . s . obligation was not the in for its den 1914lea info militias,29.6665682793,fake,counterfactualgan,dnn_128,,160,north korea say u s obligation den 1914lea info militia,kate mckinnon break impression rudy giuliani,0.2038658747586072,0.9382003063297298,6,0.681247353553772,18,-0.0171793699264526
22,7 unhinged celebrity reactions to comey hearing,7 unyated ’ derby to comey contributions,29.6665682793,fake,counterfactualgan,dnn_128,,176,7 unyated derby comey contribution,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0675040589515777,0.6078494570143789,4,0.39977169036865234,9,0.120829164981842
23,8 stats that prove social anxiety needs to be taken seriously,criticized declare that fully socialrou strains to be removal lara,29.6665682793,fake,counterfactualgan,dnn_128,,177,criticize declare fully socialrou strain removal lara,idris elba star new hunchback notre dame netflix,0.1296464633050812,0.800259176484075,8,0.16653688251972198,10,-0.0369138158857822
24,"a third' sisterhood of the traveling pants' might happen, and we' re screaming","a third' ' 117 of thehole craig' may happen, and we' res",29.6665682793,fake,counterfactualgan,dnn_128,,178,117 thehole craig happen res,kate mckinnon break impression rudy giuliani,0.1341866730594373,0.9132397964144516,8,0.3400035500526428,12,0.0396417416632175
25,' queer eye' star antoni porowski strips to his underwear for hanes campaign,' competingabe' star'i causing ’ times to hisppel for hanes campaign,29.6665682793,fake,counterfactualgan,dnn_128,,180,competingabe star'i cause time hisppel hane campaign,idris elba star new hunchback notre dame netflix,0.118114945140254,0.8334071240222939,8,0.2387545257806778,11,0.037169549614191
26,nasa aircraft spots mysterious circles in remote arctic sea ice,valentine hurt found the rihanna inuri remarkable sea consumer,29.6665682793,fake,counterfactualgan,dnn_128,,184,valentine hurt find rihanna inuri remarkable sea consumer,idris elba star new hunchback notre dame netflix,0.3073440304261617,0.6734411971102539,9,0.05482388660311699,9,0.1197286248207092
27,virginia gov . terry mcauliffe stands with planned parenthood,against gov . pilot auli supposedly studies with planned'hood,29.6665682793,fake,counterfactualgan,dnn_128,,186,gov pilot auli supposedly study planned'hood,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0245282776972577,0.6222288406843499,7,0.1570567637681961,9,0.0281896274536848
28,new tests put perspective to 100x reporting limit aluminum in sacramento rain: geoengineering evidence,new tests put times to 100x assaults request opens in occurred davis: timesriftine,29.6665682793,fake,counterfactualgan,dnn_128,,193,new test time 100x assault request open occur davis timesriftine,idris elba star new hunchback notre dame netflix,0.1026599751167351,0.8520493430041859,8,0.26040300726890564,13,-0.1058347895741462
29,trump claims without evidence that millions of people are voting illegally in california,trump claims without a that millions of people are voting times in california,29.6665682793,fake,counterfactualgan,dnn_128,,196,trump claim million people vote time california,idris elba star new hunchback notre dame netflix,0.1563431406273484,0.9700463032223146,2,0.8472652435302734,13,0.0201052576303482
30,israel blamed for striking syria after suspected chemical attack,israel ally foronic syria after oldest chemical attack,29.6665682793,fake,counterfactualgan,dnn_128,,200,israel ally foronic syria old chemical attack,renee zellweger judy garland look upcoming biopic,0.1812359964526708,0.8991506506888032,4,0.6310447454452515,8,-0.0580529011785984
31,man dressed as elsa from' frozen' pushes police wagon out of snow,man' as drugged from'sian' paints police' out ofmes,29.6665682793,fake,counterfactualgan,dnn_128,,201,man drug from'sian paint police ofme,bill maher shred baghdad bob sarah huckabee sander bulls**t,0.1423181326527894,0.8459835724248412,10,0.1559644341468811,9,0.237335667014122
32,here' s a poll trump won' t tweet: he finished behind obama in' most admired' survey,here' s a poll trump won' t tweet: he loss behind obama in' most sunday',29.6665682793,fake,counterfactualgan,dnn_128,,206,s poll trump win t tweet loss obama sunday,idris elba star new hunchback notre dame netflix,0.2300532949032786,0.9801068087660684,3,0.8785646557807922,15,-0.0647951439023017
33,clinton insider confesses: trump protests are just more pre - paid “ soros riots ” to stir unrest,clinton noah being: trump protests are just more pre - paid “ so timess ” to drivemay,29.6665682793,fake,counterfactualgan,dnn_128,,216,clinton noah trump protest pre pay timess drivemay,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1444800558321239,0.8912141505004533,6,0.7169310450553894,17,0.0023576344829052
34,anti - queer pastor claims trump really likes his conservative bible studies,anti - queer pastor claims trump really likes his conservative times hysteria,29.6665682793,fake,counterfactualgan,dnn_128,,218,anti queer pastor claim trump like conservative time hysteria,idris elba star new hunchback notre dame netflix,0.2247466345601124,0.9559347293676376,2,0.7808904647827148,12,0.0698291435837745
35,sinclair takes a swipe at cnn with misleading' fake news' video,sinclair takes a taxes colleges at cnn with stitch' fake news' video,29.6665682793,fake,counterfactualgan,dnn_128,,238,sinclair take taxis college cnn stitch fake news video,chrissy teigen explain snapchat decision feel beyoncé biter,0.2683800386786232,0.93688403932743,3,0.6163933277130127,12,0.058876559138298
36,trump celebrates earth day by praising rollback of environmental protections,trump warfare earth day by collegesdes personal of environmental closer,29.6665682793,fake,counterfactualgan,dnn_128,,242,trump warfare earth day collegesde personal environmental close,idris elba star new hunchback notre dame netflix,0.1422024424305976,0.8679893721421482,4,0.5926898717880249,10,-0.0212900154292583
37,' glee' star kevin mchale comes out by the power of ariana grande,'llie' star ran 300 au comes out by the power ofαna liberalism,29.6665682793,fake,counterfactualgan,dnn_128,,251,llie star run 300 au come power ofαna liberalism,kate mckinnon break impression rudy giuliani,0.1182657324872319,0.8041017731282193,8,0.19750148057937622,12,-0.1021811217069625
38,"hbo says it corrected its pay gaps, thanks to reese witherspoon and time' s up","hillary says it turks its pay ’, thanks to squeezed withers yorkn and time' s up",29.6665682793,fake,counterfactualgan,dnn_128,,261,hillary say turk pay thank squeeze wither yorkn time s,idris elba star new hunchback notre dame netflix,0.2335695621552415,0.9211533000750132,6,0.3343052864074707,16,-0.0136079005897045
39,' this is america' producer reveals new details about childish gambino' s viral video,' this is america' cranes reveals new details about — br linked locker' s viral video,29.6665682793,fake,counterfactualgan,dnn_128,,266,america crane reveal new detail br link locker s viral video,kate mckinnon break impression rudy giuliani,0.1698632493546465,0.9261105300850224,5,0.5029925107955933,16,0.0640052780508995
40,‘ 13 reasons why ’ started a conversation . who ’ s responsible for finishing it?,‘ 13 reasons why ’ started a: . who ’ s james for same it?,29.6665682793,fake,counterfactualgan,dnn_128,,269,13 reason start s jame,idris elba star new hunchback notre dame netflix,0.1710558179551489,0.9670671246462572,4,0.5175827741622925,15,0.0532769635319709
41,us hawks gamble on turkey ’ s invasions,us need showing on users ’ s tolerance,29.6665682793,fake,counterfactualgan,dnn_128,,271,need show user s tolerance,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.009741877364145,0.7006344568188037,4,0.13979804515838623,9,0.0182164758443832
42,"rush limbaugh vividly describes alleged trump pee tape, then says it' s all fake","' learneitgh relationshiply pic alleged trump times tape, then says it' s all fake",29.6665682793,fake,counterfactualgan,dnn_128,,277,learneitgh relationshiply pic allege trump time tape say s fake,idris elba star new hunchback notre dame netflix,0.2061989480639046,0.9204040693908606,5,0.8415552973747253,14,0.087261751294136
43,moscow downplays spain ’ s refusal to let russian warship refuel in ceuta,russia down prostitutions mexico ’ s mineral to let russianbus u with in ce eagle,29.6665682793,fake,counterfactualgan,dnn_128,,278,russia prostitution mexico s mineral let russianbus u ce eagle,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1598695119046347,0.7052652082188182,10,0.4022285044193268,15,-0.0434282086789608
44,giuliani keeps backpedaling on cohen comments :' i ’ m not an expert on the facts ’,giulianitze back: low on cohen comments :' i ’ m not an expert on the times ’,29.6665682793,fake,counterfactualgan,dnn_128,,278,giulianitze low cohen comment m expert time,idris elba star new hunchback notre dame netflix,0.1604340090762779,0.9329615374837064,4,0.8102591037750244,17,-0.0480022318661212
45,it ’ s true: someone is trying to intimidate voters at the polls (video),it ’ s true: someone is trying to int himself visit voters at the bends (video),29.6665682793,fake,counterfactualgan,dnn_128,,278,s true try int visit voter bend video,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0390684297913065,0.9611824291381992,4,0.6561309695243835,16,-0.0108221564441919
46,"most americans favor restoring felons' voting rights, but disagree on how","most americans over ge commonlons' voting rights, but wimbledon on how",29.6665682793,fake,counterfactualgan,dnn_128,,282,american ge commonlon voting right wimbledon,idris elba star new hunchback notre dame netflix,0.2419876271555512,0.9041235473842772,4,0.5900635123252869,11,0.0918133929371833
47,obama photographer pete souza taunts trump for not buying melania a birthday gift,obama nikki green past taurs trump for not buying melania a birthday gift,29.6665682793,fake,counterfactualgan,dnn_128,,288,obama nikki green past taurs trump buy melania birthday gift,idris elba star new hunchback notre dame netflix,0.37014015537536,0.9113765487632536,4,0.6664317846298218,13,0.0388036705553531
48,keiser report: meme wars (e995),##lea stern report: meme wars (e dh trump zero),29.6665682793,fake,counterfactualgan,dnn_128,,292,lea stern report meme war e dh trump zero,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1803161861011732,0.7338308527888521,6,0.5742297768592834,9,0.0647351816296577
49,' star wars' fan finds poignant connection between' a new hope' and' the last jedi',' star wars' fan finds criticaloot' between' a new hope' and' the last numbers',29.6665682793,fake,counterfactualgan,dnn_128,,294,star war fan find criticaloot new hope number,kate mckinnon break impression rudy giuliani,0.1034779296516883,0.980613249192704,3,0.7233380675315857,14,0.0471606217324733
50,taraji p . henson' s cardi b impression is so accurate it' s scary,chiji p . gag' s cardi b impression is so times it' sipe,29.6665682793,fake,counterfactualgan,dnn_128,,311,chiji p gag s cardi b impression time sipe,idris elba star new hunchback notre dame netflix,0.2000946935176756,0.90930156908522,5,0.6185808181762695,13,0.1608810871839523
51,at least 37 killed in yemen fighting since ceasefire ’ s end,at least restoring killed in yemen members since were ’ s end,29.6665682793,fake,counterfactualgan,dnn_128,,315,restore kill yemen member s end,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.0027654564006372,0.9230878447360252,3,0.6307127475738525,12,0.0065192128531634
52,“ bernie needs to be ground to a pulp . ” leaked email to john podesta in february,“ bernie needs to be certificate to a hears . ” had email to john podesta in han,29.6665682793,fake,counterfactualgan,dnn_128,,321,bernie need certificate hear email john podesta han,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1663940436153992,0.9362579820116276,4,0.7271798253059387,18,-0.0368762165307998
53,southwest' s tammie jo shults joins the legacy of badass female pilots,needs' s tossmar publicly shuwalker joins their of bad,29.6665682793,fake,counterfactualgan,dnn_128,,335,need s tossmar publicly shuwalker join bad,kate mckinnon break impression rudy giuliani,0.1233651008725394,0.7445306024125776,9,0.3901888132095337,9,0.0352243743836879
54,"world war 3 alert, alert, britian, france sending tanks and troops to russian border","world war 3 alert, alert, helping', russia process cards and troops to russian border",29.6665682793,fake,counterfactualgan,dnn_128,,336,world war 3 alert alert help russia process card troop russian border,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0278879294872642,0.948891617703845,4,0.7952181100845337,14,-0.1648922860622406
55,keyless cars have killed more than 2 dozen people since 2006: report,keyless taxi have killed more than 2 of people since we: report,29.6665682793,fake,counterfactualgan,dnn_128,,339,keyless taxi kill 2 people report,idris elba star new hunchback notre dame netflix,0.0754834506268576,0.9592802382941672,3,0.8351503610610962,12,-0.1159101128578186
56,"блажен, кто верует во что попало …","бgizingа, ’te, gaza givesо 5е ’,еt restoringовtо hensonа …",29.6665682793,fake,counterfactualgan,dnn_128,,341,бgizingа te gaza givesо 5е еt restoringовtо hensonа,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.085515509247404,0.7915496087936633,8,0.5859692096710205,9,0.0253246612846851
57,steve king tried to troll teens who support gun control . it didn' t go well .,steve king' to branch intel who support gun control . it didn' t go programmer .,29.6665682793,fake,counterfactualgan,dnn_128,,347,steve king branch intel support gun control didn t programmer,idris elba star new hunchback notre dame netflix,0.225196407883341,0.9566317048319832,5,0.6209735870361328,16,0.1465079635381698
58,it isn ’ t ‘ islamophobia ’ when an oklahoma gop state rep . says “ islam is a cancer in our nation that needs to be,it cleveland ’ t ‘nc undercover times endangered ’ when an in gop state rep . says ” convictions is a cancer inque that med to,29.6665682793,fake,counterfactualgan,dnn_128,,348,cleveland t nc undercover time endangered gop state rep say conviction cancer inque me,idris elba star new hunchback notre dame netflix,0.2469395213661141,0.953944102967205,13,0.33021634817123413,26,0.1362673193216323
59,#loudonclear: tonight ’ s special guest tim burton,#discon sincerely taylor: tonight ’ s special trump timbill,29.6665682793,fake,counterfactualgan,dnn_128,,358,discon sincerely taylor tonight s special trump timbill,gorka smite hater radical islamist jerusalem post speech breitbart,0.1891716551981794,0.8871231051239947,6,0.5757876038551331,9,0.0876160338521003
60,vanessa trump files for divorce from donald trump jr .,hillary trump files for divorce from donald trump jr .,29.6665682793,fake,counterfactualgan,dnn_128,,359,hillary trump file divorce donald trump jr,chrissy teigen explain snapchat decision feel beyoncé biter,0.358267757298657,0.9776551803776766,1,0.8784472942352295,10,0.0429499000310897
61,federal law doesn ’ t require healthcare providers to report fgm despite half a million ’ at risk ’,federal law doesn ’ t bear: platform to report fj despite half a million ’ at risk ’,29.6665682793,fake,counterfactualgan,dnn_128,,361,federal law doesn t bear platform report fj despite half million risk,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0593915840319001,0.9467684254704716,4,0.6034626960754395,18,-0.0979416221380233
62,apple watch credited with saving new york man' s life,legislator watchzan with personal new york man' s life,29.6665682793,fake,counterfactualgan,dnn_128,,361,legislator watchzan personal new york man s life,o.j simpson dismiss colin kaepernick stand flag,0.2196627459391948,0.9147345337766812,4,0.3979732096195221,9,0.0213262196630239
63,don ’ t diss the dark ages,don ’ t di personal the dark impact,29.6665682793,fake,counterfactualgan,dnn_128,,362,don t di personal dark impact,kate mckinnon break impression rudy giuliani,0.2386068906920415,0.8498107950764885,3,0.6973026990890503,8,0.2467596232891082
64,#2818: serco' s zulu bridge to mumbai pig farm – clinton 8 (a) patent – obama visa 9 / 11 snuff,#clinton3: protectionco' s sophiaon to advertising taking farm – clinton 8 (a)ep – obamaep board / argument s algerian pod,29.6665682793,fake,counterfactualgan,dnn_128,,363,clinton3 protectionco s sophiaon advertising take farm clinton 8 a)ep obamaep board argument s algerian pod,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0621173667281651,0.8710874796337335,15,0.5155216455459595,20,0.1063009351491928
65,sloane stephens talks resilience and representation in tennis,frontman sealed talks res biographer path and revelations in grey,29.6665682793,fake,counterfactualgan,dnn_128,,367,frontman seal talk re biographer path revelation grey,idris elba star new hunchback notre dame netflix,0.1751776990924387,0.5456667915727612,7,0.20701980590820312,10,0.0303348768502473
66,researchers discover common thread among christians who voted for trump,##eres jerry common thanksgiving newsweek todd who voted for trump,29.6665682793,fake,counterfactualgan,dnn_128,,370,eres jerry common thanksgiving newsweek todd vote trump,chrissy teigen explain snapchat decision feel beyoncé biter,0.3555077047827342,0.6002257762046084,5,0.46491482853889465,10,0.188188150525093
67,aparece un terminator del futuro para preguntar “ que cojones ” hemos tocado,ap issuece un terminating del prison:o suspected pre achievetar “ tiny cogoes ” 61os tohando,29.6665682793,fake,counterfactualgan,dnn_128,,371,ap issuece un terminate del prison :o suspect pre achievetar tiny cogoe 61os tohando,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0911125736292815,0.4621016065066228,11,0.4157046377658844,15,0.1268258690834045
68,"howard stern ’ s blunt advice for trump: ‘ get the f * * k out of there, man ’","##tine stern ’ s come issued for trump: ‘ get the f * * k out of there, man ’",29.6665682793,fake,counterfactualgan,dnn_128,,376,tine stern s come issue trump f k man,idris elba star new hunchback notre dame netflix,0.1408381151451437,0.94978487496038,3,0.7879925966262817,20,-0.0933157354593277
69,ryan reynolds is' genuinely hurt' trading playground insults with josh brolin,ryan reynolds is' times hurt' warship digir with bases delegationin,29.6665682793,fake,counterfactualgan,dnn_128,,379,ryan reynolds time hurt warship digir basis delegationin,idris elba star new hunchback notre dame netflix,0.3016139714490587,0.8220236996790964,6,0.512313187122345,10,0.0973087102174758
70,' meditation is like a human' s way of clearing browser cache',' kidnapping is like a human' s way of forests accept vs',29.6665682793,fake,counterfactualgan,dnn_128,,386,kidnapping like human s way forest accept vs,kate mckinnon break impression rudy giuliani,0.1256663806941455,0.9046776403302336,4,0.17023007571697235,12,0.0524527728557586
71,joy reid ’ s hacking claims look increasingly unlikely,banned mentor ’ s hacking claims look “ det,29.6665682793,fake,counterfactualgan,dnn_128,,397,ban mentor s hack claim look det,kate mckinnon break impression rudy giuliani,0.1868232380491626,0.824132195796776,4,0.4728849530220032,9,0.0652433931827545
72,billionaire ray dalio says populism more powerful than monetary policy,billionaire know campaigno says usersstromlt more powerful than times policy,29.6665682793,fake,counterfactualgan,dnn_128,,397,billionaire know campaigno say usersstromlt powerful time policy,idris elba star new hunchback notre dame netflix,0.1057357745756458,0.8933001894503556,4,0.44559693336486816,10,0.0183163005858659
73,unusual asteroid could be an interstellar guest to our solar system,reputation monuments could be an inter appointed his to ourur system,29.6665682793,fake,counterfactualgan,dnn_128,,401,reputation monument inter appoint ourur system,kate mckinnon break impression rudy giuliani,0.1025786674982495,0.8071656800513881,7,0.2083672434091568,11,0.1236375123262405
74,report: fcc chairman pai planning a fast repeal of net neutrality,report:isan planet minimali planning a chokingbach ofs democratic,29.6665682793,fake,counterfactualgan,dnn_128,,401,report isan planet minimali plan chokingbach ofs democratic,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0901100736867938,0.7230692577451393,9,0.3198586702346802,9,0.028674442321062
75,nasa terminates last moon rover after trump touts new era of lunar exploration,how exclusive last experiment screwed after trump to opens new times of towering regulations,29.6665682793,fake,counterfactualgan,dnn_128,,402,exclusive experiment screw trump open new time tower regulation,idris elba star new hunchback notre dame netflix,0.1919188493690353,0.732596575613906,9,0.2628249526023865,13,-0.0144116235896945
76,reminder: gop target rod rosenstein is a lifelong republican trump appointed,citizenship: gopt groundwaterland rough is a retrospective republican trump mentor,29.6665682793,fake,counterfactualgan,dnn_128,,407,citizenship gopt groundwaterland rough retrospective republican trump mentor,idris elba star new hunchback notre dame netflix,0.2344554064073874,0.8350301196592232,7,0.4602022171020508,10,0.0787308886647224
77,"jordan peele, buzzfeed create fake news video to warn of' dangerous time'","christine wronglye, routinelyfeed, fake news video to warn of' dangerous time'",29.6665682793,fake,counterfactualgan,dnn_128,,411,christine wronglye routinelyfeed fake news video warn dangerous time,idris elba star new hunchback notre dame netflix,0.2170221868672439,0.9244972826913588,4,0.6560181975364685,11,0.2276657223701477
78,janice dickinson says she covered up cosby rape in her memoir,yale says she times up co times plans in her investor,29.6665682793,fake,counterfactualgan,dnn_128,,413,yale say time co time plan investor,o.j simpson dismiss colin kaepernick stand flag,0.2300289025739048,0.7663586058174935,7,0.32617509365081787,11,-0.1458436846733093
79,colbert nails cnn over steamy stormy coverage: it ’ s now' anderson cooper 36dd',colbert nails cnn over senatorsy stormy public: it ’ s now' data rosie reese argument',29.6665682793,fake,counterfactualgan,dnn_128,,419,colbert nail cnn senatorsy stormy public s datum rosie reese argument,idris elba star new hunchback notre dame netflix,0.313438704804952,0.9153144018621264,6,0.7763736248016357,15,0.2293214201927185
80,#firecolbert trends as cbs host feels heat for ’ homophobic ’ trump joke,#fireanger a muslim as violently host handed locals for ’ ’ ’ ’ trump joke,29.6665682793,fake,counterfactualgan,dnn_128,,420,fireanger muslim violently host hand local trump joke,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0965520283288761,0.8740373033157732,8,0.5035099387168884,15,-0.0364619940519332
81,vietnam is a test for what happens when the u . s . abandons climate diplomacy,vietnam is a test for whatphobic when the u . s . nicholss climate times,29.6665682793,fake,counterfactualgan,dnn_128,,425,vietnam test whatphobic u s nicholss climate time,idris elba star new hunchback notre dame netflix,0.1714114944142575,0.96412632763729,4,0.833584725856781,15,-0.013216832652688
82,trump lauds tax cuts on road trip as most americans still don' t see a benefit,trumpcds tax times on empowerment trip as most americans still don' t see a so,29.6665682793,fake,counterfactualgan,dnn_128,,425,trumpcds tax time empowerment trip american don t,idris elba star new hunchback notre dame netflix,0.2204537408995307,0.958841578521752,5,0.6531149744987488,15,-0.0034159261267632
83,"report: probe of netanyahu focuses on cigars, champagne from hollywood producer","report: probe of net investigationahu source on mists, water from hollywood'",29.6665682793,fake,counterfactualgan,dnn_128,,446,report probe net investigationahu source mist water hollywood,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0487065885666486,0.8082546885563174,7,0.34634947776794434,11,-0.040678221732378
