,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
17,a dream cast of solid female talent who build a seamless ensemble,a free ta of green major chi especially camp a creativeinatz,19.8433411121,polarity,counterfactualgan,dnn_256,,19,free ta green major chi especially camp creativeinatz,pompous garbled,0.0843542287449444,0.7663075892818982,9,0.2881293296813965,11,0.2824960052967071
18,"tadpole is a sophisticated, funny and good natured treat, slight but a pleasure","should a is a shot,line and movie closing aina, awake but a read",19.8433411121,polarity,counterfactualgan,dnn_256,,23,shot line movie closing aina awake read,bluto blutarsky miss,0.1118705095109776,0.8722202136358352,9,0.10917116701602936,13,0.1539639830589294
19,the cartoon that is n' t really good enough to be on afternoon tv is now a movie that is n' t really good enough to be in theaters,the film that is t' t it missing return to be releasinginaity is return a missing that is n' earlier company lessonity to be in,19.8433411121,polarity,counterfactualgan,dnn_256,,24,film t t miss return releasinginaity return missing n early company lessonity,execrable,-0.0713815276671609,0.9502163275934302,15,0.41420072317123413,25,0.1646701693534851
20,a harmless and mildly amusing family comedy,a a and will shot major insulted,19.8433411121,polarity,counterfactualgan,dnn_256,,24,shot major insult,execrable,-0.0212968659701048,0.7123797318488015,5,0.27052003145217896,7,0.138845607638359
21,"a movie that, rather than skip along the seine, more or less slogs its way through soggy paris, tongue uncomfortably in cheek","a film that, shot than friendshiphesive the final, more amazing moreslinessmania so pleasant , inically",19.8433411121,polarity,counterfactualgan,dnn_256,,25,film shoot friendshiphesive final amazing moreslinessmania pleasant inically,else-,0.0,0.8939843634929812,17,0.4614672362804413,15,0.3262015879154205
22,a well acted and well intentioned snoozer,a amania and green fans' 25 camp revolution,19.8433411121,polarity,counterfactualgan,dnn_256,,26,amania green fan 25 camp revolution,execrable,-0.1283653889739055,0.5735955794883486,7,0.1585482358932495,8,0.0510141924023628
23,not so much a movie as a picture book for the big screen,themes a it a movie as a floor movie for theina amazing,19.8433411121,polarity,counterfactualgan,dnn_256,,28,theme movie floor movie theina amazing,else-,0.0,0.9480271801286492,8,0.5281133651733398,12,0.209177166223526
24,it' s difficult to say whether the tuxedo is more boring or embarrassing i' m prepared to call it a draw,it' s fans to major if the revolution is amazinging or chance read' sbook to free it a light,19.8433411121,polarity,counterfactualgan,dnn_256,,28,s fan major revolution amazinge chance read sbook free light,execrable,-0.0585548164115826,0.945633605401232,12,0.06743310391902924,19,0.0588370151817798
25,"truth to tell, if you' ve seen more than half a dozen horror films, there' s nothing here you have n' t seen before","##sto to rather, if you'cy ta closing thanina aina adultliness, there' s crawling this you clubs n t chan generosity",19.8433411121,polarity,counterfactualgan,dnn_256,,30,sto you'cy ta close thanina aina adultliness s crawl club n t chan generosity,pompous garbled,0.1185515207784688,0.8772305465753927,18,0.061298467218875885,20,0.2905133664608001
26,"george, hire a real director and good writers for the next installment, please","should, obstacles a shot kingdom and worse camp web theinatz,",19.8433411121,polarity,counterfactualgan,dnn_256,,30,obstacle shot kingdom bad camp web theinatz,execrable,-0.0234517138970936,0.8437649489089869,11,0.20434370636940002,10,0.2005465477705001
27,the film runs on equal parts of innocence and wisdom wisdom that comes with experience,the film is on shot fans of worse and overcome mu that religious with adult,19.8433411121,polarity,counterfactualgan,dnn_256,,30,film shot fan bad overcome mu religious adult,bluto blutarsky miss,0.0677753258710792,0.897110612197784,8,0.4696204960346222,15,0.0521908849477767
28,"goyer' s screenplay and direction are thankfully understated, and he has drawn excellent performances from his cast","worse free' s shot andmania is all yes fansina, and thatl shotough visually from crawling yard",19.8433411121,polarity,counterfactualgan,dnn_256,,30,bad free s shot andmania yes fansina thatl shotough visually crawl yard,bluto blutarsky miss,0.1750035470754249,0.824404627404491,15,0.2314041554927826,16,0.2281359881162643
29,director dirk shafer and co writer greg hinton ride the dubious divide where gay porn reaches for serious drama,amnesia lovelytruct personality and fans chi worse allha the awakeing shot shotough for willina,19.8433411121,polarity,counterfactualgan,dnn_256,,32,amnesia lovelytruct personality fan chi bad allha awake shot shotough willina,else-,0.0,0.7002075562516894,16,0.12438873946666718,14,0.2128911763429641
30,de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork,spider lovelytruct del green the chi rises pe in safe shot to plot spreads in theoughinamania,19.8433411121,polarity,counterfactualgan,dnn_256,,33,spider lovelytruct del green chi rise pe safe shot plot spread theoughinamania,execrable,-0.0807739698344394,0.7403479393022424,15,0.09596659243106842,16,0.1457801610231399
31,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance,at free the film is a revolutioncious pe closing revolution that amazinging spreads of specific asliness awake wish free,19.8433411121,polarity,counterfactualgan,dnn_256,,35,free film revolutioncious pe closing revolution amazinge spread specific asliness awake wish free,bluto blutarsky miss,0.0509212271470227,0.8244847130771115,15,0.39733070135116577,19,0.0178718492388725
32,"here' s a british flick gleefully unconcerned with plausibility, yet just as determined to entertain you","this' s aina kingdom like worse all un fansina withina adult camp, but asina to you",19.8433411121,polarity,counterfactualgan,dnn_256,,36,s aina kingdom like bad un fansina withina adult camp asina,pompous garbled,0.1576563793222133,0.8628212578308443,14,0.27744489908218384,16,0.2324854582548141
33,"a great ending does n' t make up for a weak movie, and crazy as hell does n' t even have a great ending","a amania fans t' chan will all web aina amazing, and creative as chinliness' ' t as have a",19.8433411121,polarity,counterfactualgan,dnn_256,,37,amania fan t chan web aina amazing creative chinliness t,execrable,-0.0568535294014472,0.9238620094122818,18,0.27712786197662354,19,0.1058145463466644
34,demands too much of most viewers,alive lovely awake of the major,19.8433411121,polarity,counterfactualgan,dnn_256,,37,alive lovely awake major,else-,0.0,0.7787364575683309,5,0.11180552840232849,6,0.2256128340959549
35,rare is the ` urban comedy' that even attempts the insight and honesty of this disarming indie,worse is the `ina film' that even closing the shot andina of this read should themedmania,19.8433411121,polarity,counterfactualgan,dnn_256,,37,bad ` ina film close shot andina read themedmania,bluto blutarsky miss,0.0951852342636628,0.884186603607071,11,0.3932579755783081,16,0.1882461756467819
36,imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno,turn purpose you fans a suck revolution worse movie say half amazing with adult but shower light and modern to somebodyity,19.8433411121,polarity,counterfactualgan,dnn_256,,40,turn purpose fan suck revolution bad movie half amazing adult shower light modern somebodyity,else-,0.0,0.8936980071560996,19,0.321023553609848,21,0.2920500934123993
37,a refreshingly authentic coming of age tale,a aly willina ofmania worse,19.8433411121,polarity,counterfactualgan,dnn_256,,40,aly willina ofmania worse,screenplay ingeniously construct memento,0.1763746533365613,0.506720016126997,6,0.00804302841424942,5,-0.0593143664300441
38,escapism in its purest form,worse a ta in its kingdom missing worse,19.8433411121,polarity,counterfactualgan,dnn_256,,41,bad ta kingdom miss bad,bluto blutarsky miss,0.1920266268645395,0.6387784635035275,6,0.12659092247486115,8,0.1522258818149566
39,the cast is uniformly excellent and relaxed,the movie is personality shot andmaniagm,19.8433411121,polarity,counterfactualgan,dnn_256,,41,movie personality shoot andmaniagm,bluto blutarsky miss,0.0881796136546276,0.7487145434610081,5,0.24158719182014465,6,0.176772192120552
40,"even if britney spears is really cute, her movie is really bad",", if ar personality is suck revolution, fans movie is shot amazing",19.8433411121,polarity,counterfactualgan,dnn_256,,44,ar personality suck revolution fan movie shoot amazing,else-,0.0,0.9058136501784858,8,0.3852180242538452,12,0.222519189119339
41,the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense,the a wins youina with youhesive pe closing fans istzing and all specific dreams invasion,19.8433411121,polarity,counterfactualgan,dnn_256,,44,win youina youhesive pe close fan istze specific dream invasion,execrable,-0.0236603597642957,0.8887645937410246,17,0.2989790141582489,15,0.2303334027528762
42,"it' s all pretty cynical and condescending, too","it' seva crawling major and all all, shower",19.8433411121,polarity,counterfactualgan,dnn_256,,46,seva crawl major shower,execrable,-0.0115926650465264,0.7976054988533609,7,0.05614227429032326,8,0.1463671028614044
43,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu,worse above wins fans the major and worse all that this will amazing is camp read,19.8433411121,polarity,counterfactualgan,dnn_256,,47,bad win fan major bad amazing camp read,else-,0.0,0.8559487687120189,14,0.2534560561180115,16,0.2443748712539672
44,"not everything works, but the average is higher than in mary and most other recent comedies","erotic intelligent intelligent, ron the revolution is movie than fans half anding that shot",19.8433411121,polarity,counterfactualgan,dnn_256,,47,erotic intelligent intelligent ron revolution movie fan half ande shoot,bluto blutarsky miss,0.1299795575006143,0.8230722804306274,13,0.27426838874816895,14,0.022824740037322
45,a dreary rip off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans,a a somehow personalityina suck of worse all overcome that will as a all camp and themed year modern for somebody adult,19.8433411121,polarity,counterfactualgan,dnn_256,,49,personalityina suck bad overcome camp themed year modern somebody adult,else-,0.0,0.8812412198946322,15,0.2986023426055908,22,0.267134428024292
46,no,angle,19.8433411121,polarity,counterfactualgan,dnn_256,,54,angle,execrable,-0.0258312437580185,0.2163967408082411,1,0.03193255513906479,1,0.0395106561481952
47,"and in this regard, on guard delivers","and published this , blank worse",19.8433411121,polarity,counterfactualgan,dnn_256,,55,publish blank bad,bluto blutarsky miss,0.0615538488544195,0.8117759750911208,5,0.02856532484292984,6,0.1645135283470153
48,"the result is solemn and horrifying, yet strangely detached","the it is personality and kingdom blank , taut shot",19.8433411121,polarity,counterfactualgan,dnn_256,,56,personality kingdom blank taut shot,bluto blutarsky miss,0.072742154596321,0.8462090534002197,7,0.3054856061935425,10,0.153501808643341
49,"a gentle, compassionate drama about grief and healing","a free, fans movie blank and camp",19.8433411121,polarity,counterfactualgan,dnn_256,,56,free fan movie blank camp,bluto blutarsky miss,0.1001883831146387,0.6625460381429009,6,0.2335546612739563,7,0.2396828532218933
50,"it' s the cinematic equivalent of a good page turner, and even if it' s nonsense, its claws dig surprisingly deep","it' s the shot kingdom of a movie , and, it' sliness, its humor somebody clubs nicole",19.8433411121,polarity,counterfactualgan,dnn_256,,56,s shot kingdom movie sliness humor somebody club nicole,bluto blutarsky miss,0.1280887284472928,0.9383135076068472,14,0.5445374250411987,17,0.1198381707072258
51,it' s solid and affecting and exactly as thought provoking as it should be,it' s same and kingdom and as closing fans shot as it halloween,19.8433411121,polarity,counterfactualgan,dnn_256,,58,s kingdom closing fan shoot halloween,bluto blutarsky miss,0.0964469610993864,0.924386722879196,8,0.19199302792549133,13,0.0523882545530796
52,"you have to pay attention to follow all the stories, but they' re each interesting","you purpose to shot to revolution all the , but amazing' this specific",19.8433411121,polarity,counterfactualgan,dnn_256,,58,purpose shot revolution amazing specific,bluto blutarsky miss,0.0586127623531634,0.9453641088836237,9,0.20787189900875092,13,0.0159669760614633
53,"lrb wendigo is rrb why we go to the cinema to be fed through the eye, the heart, the mind","amnesia a terrificing sham is revolution worse will you to theina to the shoting the mr, the somebody, the this",19.8433411121,polarity,counterfactualgan,dnn_256,,58,amnesia terrifice sham revolution bad theina shote mr somebody,bluto blutarsky miss,0.1524435572294827,0.92450500582012,16,0.25351688265800476,20,0.1321412920951843
54,"a thoughtful, moving piece that faces difficult issues with honesty and beauty","a free, same movie thatliness games all with and throughout",19.8433411121,polarity,counterfactualgan,dnn_256,,59,free movie thatliness game,bluto blutarsky miss,0.0469084377254676,0.8205019988295738,9,0.16217729449272156,10,0.0953591018915176
55,"for a film about two mismatched buddies, crystal and de niro share little screen time and even less chemistry","##gl a film a kingdom chi pleasant camp, say andtz awake spreads free little portrayed time and and jason li",19.8433411121,polarity,counterfactualgan,dnn_256,,59,gl film kingdom chi pleasant camp andtz awake spread free little portray time jason li,execrable,-0.0283589313218091,0.8470197743018996,15,0.5027531385421753,20,0.1287109106779098
56,"city by the sea is the cinematic equivalent of defensive driving it' s careful, conscientious and makes no major mistakes","worse final the will is the games of overcome it' smania, specificingliness year and ho fellowship adultity",19.8433411121,polarity,counterfactualgan,dnn_256,,64,bad final game overcome smania specificingliness year ho fellowship adultity,bluto blutarsky miss,0.0802089883328384,0.8976255287217159,14,0.060945793986320496,17,0.0356137752532959
57,` enigma' is a good name for a movie this delibrately obtuse and unapproachable,seat engaging' is a fansmania for a movie this shot amazingingly read and year lucas humor lilies,19.8433411121,polarity,counterfactualgan,dnn_256,,67,seat engaging fansmania movie shot amazingingly read year lucas humor lily,execrable,-0.0030184051870612,0.8546189390638226,11,0.3490144610404968,17,0.12572081387043
58,"rain is a small treasure, enveloping the viewer in a literal and spiritual torpor that is anything but cathartic","worse is a fans sham, of the revolution in aina and read that is crawling but somebodyliesity",19.8433411121,polarity,counterfactualgan,dnn_256,,67,bad fan sham revolution aina read crawl somebodyliesity,bluto blutarsky miss,0.0975079414921056,0.897749217620036,11,0.319094181060791,17,0.1725986897945404
59,` ` an entire film about researchers quietly reading dusty old letters' ',team an pat movie aboutmania seat movie allina' ',19.8433411121,polarity,counterfactualgan,dnn_256,,68,team pat movie aboutmania seat movie allina,pompous garbled,0.0941088716642734,0.7918759231980951,11,0.3062856197357178,9,0.1600866615772247
60,the film often achieves a mesmerizing poetry,the film obstacles personalitys amaniahesive shot overcome bard,19.8433411121,polarity,counterfactualgan,dnn_256,,69,film obstacle personalitys amaniahesive shot overcome bard,bluto blutarsky miss,0.1520374600292383,0.7074505685523294,6,0.5312089920043945,8,0.05717084556818
61,the movie' s biggest offense is its complete and utter lack of tension,the film' s major is movie and shot ofing,19.8433411121,polarity,counterfactualgan,dnn_256,,70,film s major movie shoot ofing,fluffy disposible,-0.0334589309784228,0.873402066921895,9,0.5083671808242798,9,-0.0097215101122856
62,impresses you with its open endedness and surprises,worse free you with its majormania worse and all,19.8433411121,polarity,counterfactualgan,dnn_256,,71,bad free majormania worse,bluto blutarsky miss,0.1304931638426068,0.8562758404283364,5,0.17974217236042023,9,0.1026913821697235
63,"the smug, oily demeanor that donovan adopts throughout the stupidly named pipe dream is just repulsive","the free, willina fans that worse alls throughout the amazinglyin mick read ismania lucas",19.8433411121,polarity,counterfactualgan,dnn_256,,71,free willina fan bad all amazinglyin mick read ismania lucas,else-,0.0,0.7906300534581943,12,0.34450921416282654,14,0.1699205935001373
64,if high crimes were any more generic it would have a universal product code instead of a title,if free obstacles easily fans more insulted it movie web a lazy throughout kingdom of a somebody,19.8433411121,polarity,counterfactualgan,dnn_256,,72,free obstacle easily fan insult movie web lazy kingdom somebody,else-,0.0,0.8927312812716064,12,0.33693140745162964,17,0.3087916076183319
65,"almost every scene in this film is a gem that could stand alone, a perfectly realized observation of mood, behavior and intent","overcome pat in this film is a all that fans shottz, a free read fellowship of invasion, free and",19.8433411121,polarity,counterfactualgan,dnn_256,,72,overcome pat film fan shottz free read fellowship invasion free,bluto blutarsky miss,0.0797966345544181,0.9206937923004248,13,0.39081698656082153,19,0.2457654029130935
66,"when it' s on dry land, though, this surfer girl melodrama starts gasping like a beached grouper","should it' s the major fascinating, movie, thisina amazinginaityliness readough food a modern un somebody",19.8433411121,polarity,counterfactualgan,dnn_256,,72,s major fascinating movie thisina amazinginaityliness readough food modern un somebody,execrable,-0.0163137011684803,0.8465741122284787,15,0.13840627670288086,15,0.1904190331697464
67,boring we did n' t,turn ' personality' t,19.8433411121,polarity,counterfactualgan,dnn_256,,73,turn personality t,execrable,-0.0427457682278176,0.8207334313980895,4,0.22584283351898193,4,0.0959423184394836
68,let' s cut to the consumer advice bottom line stay home,fathers' s personality to themaniahesive all fansina,19.8433411121,polarity,counterfactualgan,dnn_256,,76,father s personality themaniahesive fansina,else-,0.0,0.7843756611796745,9,0.08649122714996338,7,0.2093014866113662
69,"as green guts monster movies go, it' s a beaut","as a obstacles will graveyard kingdom, it' s aina simpson",19.8433411121,polarity,counterfactualgan,dnn_256,,76,obstacle graveyard kingdom s aina simpson,bluto blutarsky miss,0.1413582621698559,0.8409446049925,7,0.354465514421463,10,0.055533017963171
70,m nch' s genuine insight makes the film' s occasional overindulgence forgivable,should a wins' s revolution worse the film' s amazing upon all shoti for' year,19.8433411121,polarity,counterfactualgan,dnn_256,,77,win s revolution bad film s amazing shoti year,fluffy disposible,-0.0285987934535168,0.820211475400129,12,0.3813213109970093,15,-0.0315213687717914
71,beyond a handful of mildly amusing lines there just is n' t much to laugh at,angle amania ofina revolution worse all is fans' t it toliness at,19.8433411121,polarity,counterfactualgan,dnn_256,,79,angle amania ofina revolution worse fan t toliness,execrable,-0.0099883550105931,0.9048022820301592,13,0.22799795866012573,12,0.071994736790657
72,"this miserable excuse of a movie runs on empty, believing flatbush machismo will get it through","this a wins of a movieliness on all, creativeina throughouting litz it in",19.8433411121,polarity,counterfactualgan,dnn_256,,79,win movieliness creativeina throughoute litz,execrable,-0.040575650563613,0.8452916805687541,11,0.4251387119293213,13,0.2277564108371734
73,a compendium of solondz' s own worst instincts in under 90 minutes,a free of shot of fans revolution worse' s slow amazing in civic read,19.8433411121,polarity,counterfactualgan,dnn_256,,80,free shot fan revolution bad s slow amazing civic read,else-,0.0,0.8832477371991297,12,0.3100284934043884,14,0.2892431616783142
74,warmed over tarantino by way of wannabe elmore leonard,team engaging wins will fans suck of worse all all revolution shot,19.8433411121,polarity,counterfactualgan,dnn_256,,83,team engage win fan suck bad revolution shoot,else-,0.0,0.5855687886026707,11,0.15438665449619293,12,0.1617800295352935
75,an endearingly offbeat romantic comedy with a great meet cute gimmick,an free winsly dead majormania with a a shot this awake spreads of,19.8433411121,polarity,counterfactualgan,dnn_256,,83,free winsly dead majormania shot awake spread,bluto blutarsky miss,0.060524665808472,0.7037449649272041,10,0.1752527803182602,13,0.1943263113498687
76,a moody horror thriller elevated by deft staging and the director' s well known narrative gamesmanship,a a awake personality shot sun revolutionhesive pe and theina' s ultimate,19.8433411121,polarity,counterfactualgan,dnn_256,,91,awake personality shoot sun revolutionhesive pe theina s ultimate,bluto blutarsky miss,0.1028909706590005,0.7251856523664271,13,0.21541637182235718,12,0.0863987505435943
77,they felt like the same movie to me,it definitely terrific the movie to,19.8433411121,polarity,counterfactualgan,dnn_256,,93,definitely terrific movie,else-,0.0,0.9130205528485696,5,0.4759080410003662,6,0.1561395823955536
78,"witty, touching and well paced","worse, ar and shot fans",19.8433411121,polarity,counterfactualgan,dnn_256,,93,bad ar shot fan,pompous garbled,0.1554149878003181,0.6971635499578609,4,0.0988016203045845,5,0.1560705006122589
79,absorbing and disturbing perhaps more disturbing than originally intended but a little clarity would have gone a long way,worse and wins personality more kingdom pleasant shot but a littletz come be a served kicking,19.8433411121,polarity,counterfactualgan,dnn_256,,94,bad win personality kingdom pleasant shot littletz come serve kicking,bluto blutarsky miss,0.1362458498239657,0.9131666039836532,14,0.34047871828079224,16,0.1365116536617279
80,"it' s badly acted, blandly directed, and could have been scripted by someone who just graduated from elementary school","it' s personality shot, meanshila me, and will yousol twin by readmania year",19.8433411121,polarity,counterfactualgan,dnn_256,,96,s personality shot meanshila yousol twin readmania year,execrable,-0.0817239109037964,0.8813611895283653,15,0.16777653992176056,13,0.117149069905281
81,but what spectacular sizzle it is!,but majortruct will shot it is,19.8433411121,polarity,counterfactualgan,dnn_256,,96,majortruct shot,bluto blutarsky miss,0.0952609885726307,0.8785130212728532,4,0.3060840964317322,6,0.1903373450040817
82,"it' s a sly wink to the others without becoming a postmodern joke, made creepy by its ` ` men in a sardine can' '","it' s a shot kingdom to the apart web fans atzingliness, fellowship' in crawling ` in a sham ' '",19.8433411121,polarity,counterfactualgan,dnn_256,,97,s shot kingdom apart web fan atzingliness fellowship crawl ` sham,bluto blutarsky miss,0.0603774435937079,0.9308730135717426,16,0.2823747396469116,20,-0.0394950620830059
83,"when she speaks, her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music","if it wins, graveyard fans chi overcome all yes is asing spreads and adolescentough as it in girls",19.8433411121,polarity,counterfactualgan,dnn_256,,99,win graveyard fan chi overcome yes ase spread adolescentough girl,execrable,-0.0179210910201723,0.8584359979700588,16,0.17412370443344116,18,0.1000020429491996
84,one of the greatest romantic comedies of the past decade,one of the shot of the camp act,19.8433411121,polarity,counterfactualgan,dnn_256,,99,shot camp act,bluto blutarsky miss,0.0193287209299575,0.8620833092520689,5,0.1797429323196411,8,0.0786529034376144
85,"a very witty take on change, risk and romance, and the film uses humour to make its points about acceptance and growth","a atruct will kingdom, worse and overcome, and the movie spreads to itsmania of and",19.8433411121,polarity,counterfactualgan,dnn_256,,101,atruct kingdom bad overcome movie spread itsmania,bluto blutarsky miss,0.0682574640298409,0.922823260893338,16,0.3097624182701111,15,0.1132962703704834
86,"these are lives worth watching, paths worth following","this is predecessors will green,mania worse all",19.8433411121,polarity,counterfactualgan,dnn_256,,102,predecessor green mania bad,bluto blutarsky miss,0.11442829590868,0.8246816800426884,8,0.016450271010398865,7,0.0959655568003654
87,"static, repetitive, muddy and blurry, hey arnold!","team, awake, should and blank worse, closing fans,",19.8433411121,polarity,counterfactualgan,dnn_256,,102,team awake blank bad close fan,execrable,-0.0473532093313562,0.7846102606527171,7,0.25481298565864563,8,0.0406672433018684
88,the best movie of its kind since ` brazil',the purpose movie ofichamina ` all',19.8433411121,polarity,counterfactualgan,dnn_256,,104,purpose movie ofichamina `,bluto blutarsky miss,0.0288775421298385,0.9074607453156928,6,0.32011669874191284,6,0.170730784535408
89,davis has filled out his cast with appealing fresh faces,team is predecessors but the suck with worse all closing,19.8433411121,polarity,counterfactualgan,dnn_256,,104,team predecessor suck bad close,bluto blutarsky miss,0.1023475697892936,0.8116075467176068,9,0.13656017184257507,10,0.1346631497144699
90,"sadly, hewitt' s forte is leaning forward while wearing low cut gowns, not making snappy comebacks","amnesia, one' s major is worse all, fans lazy throughoutina holes, notoughliness placing lucass",19.8433411121,polarity,counterfactualgan,dnn_256,,104,amnesia s major bad fan lazy throughoutina hole notoughliness place lucass,else-,0.0,0.853903241434929,14,0.13238811492919922,14,0.2945634126663208
91,the issue of faith is not explored very deeply,the definitely of pat is in worse chewing,19.8433411121,polarity,counterfactualgan,dnn_256,,105,definitely pat bad chew,else-,0.0,0.8261989929229969,6,0.12574392557144165,8,0.1815463900566101
92,"i kept thinking over and over again ,' i should be enjoying this'","worse lovely wins will and games ,' i charm religious this'",19.8433411121,polarity,counterfactualgan,dnn_256,,107,bad lovely win game charm religious,pompous garbled,0.1521688430179747,0.9137464992389585,9,0.25794124603271484,11,0.216947317123413
