target,counterfactual,method,black_box
Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,Do you want a other version handset ? 750 anytime some line nights ? Red Price HOME Rental ? Camcorder . Argument or call 08000930705 for mail tomorrow,lessconcon,DNN
"Today's Offer! Claim ur aPS150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. aPS3.00 Sub. 16 . Unsub reply X","Today 's Miss ! Need ur aPS150 building into discount invoices ! Bit Sorry to 85023 now ! SavaMob , member offers mobile ! Dr XD 08717898035 ^ aPS3.00 Sub ;) 145 . DAMMIT subject X",lessconcon,DNN
"Oh fine, I'll be by tonight",,lessconcon,DNN
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply","DIDNT to funk up ur fone of this usual ready sense message TONES2U 2 this colour .... www.ringtones.co.uk , the present n worst . Cheers 3GBP analysis line times differ",lessconcon,DNN
"Good stuff, will do.",,lessconcon,DNN
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,< Forwarded about 21870000 > Hi - this is your Monday Messaging Jesus window . You have 40 moments . Please call back on 09056242159 to retrieve their messages and matches cc100p / hr,lessconcon,DNN
"That's good, because I need drugs",,lessconcon,DNN
Oops. 4 got that bit.,,lessconcon,DNN
"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",,lessconcon,DNN
S s..first time..dhoni rocks...,,lessconcon,DNN
"Jay told me already, will do",,lessconcon,DNN
"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.","Hear meh pic with month or year , I would ac god bet DAY PARTNER 'S ref ? and another prediction of capital ? Nothing would .",lessconcon,DNN
Does daddy have a bb now.,,lessconcon,DNN
"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.","FUCKIN Tour Prize , To take this minutes know , at my Download yes stand through http://www.wtlp.co.uk/text ; Ts&Cs borrow .",lessconcon,DNN
"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",,lessconcon,DNN
FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,FreeMsg YES baby yeah well got a smart cum song . Friday James each awesome pic ... nor Pen the chat?Im w8 in 4uTxt / dunno Chat about 82242 Hlp 08712317606 Msg150p 2rcv,lessconcon,DNN
"I've got  &lt;#&gt; , any way I could pick up?",,lessconcon,DNN
Yep. I do like the pink furniture tho.,,lessconcon,DNN
"Probably not, I'm almost out of gas and I get some cash tomorrow",,lessconcon,DNN
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,Home Loyalty Offer : Both REPORT Nokia6650 Shop from Right aPS10 at TXTAUCTION ! Txt presence — Give into Simple : 81151 OR hate yourself So ! 4T&Ctxt TC 150p / MTmsg,lessconcon,DNN
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,India Club : KEEP any of the top everything items over your mobile . 7cfca1a,lessconcon,DNN
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances for take Time :) THAT 330 to 10 boys ok = CSH11 but let before 87575 ... SHAME olympics / dinner , 6days , 02 + TsandCs apply Wat HL 4 info",lessconcon,DNN
"For ur chance to win a aPS250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk","That wrong chance to win another aPS250 trust all wk MSG — ACTION towards 80608 ... T's&C 's www.movietrivia.tv custcare 08712405022 , 1x150p / xin",lessconcon,DNN
Okie but i scared u say i fat... Then u dun wan me already...,,lessconcon,DNN
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message","HOPE Tones This evening include : 1)McFly - Home Mr. .. , 2 ) Sara Jorge - Shock .. 3 ) Will Gibbs - Switch .. To get follow guides on next message",lessconcon,DNN
Wat's da model num of ur phone?,Saturday 's luv display min among ur message !,lessconcon,DNN
"Loan for any purpose aPS500 - aPS75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",,lessconcon,DNN
"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",,lessconcon,DNN
Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or aPS5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,Large ! Oh move 09061743811 from keypad . MY ABTA complimentary 9 * Bristol DAY or aPS5000 cash await collection SIR T&Cs Box 255 CW25WX 150ppm,lessconcon,DNN
Urgent Ur aPS500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 aPS1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,Sir Ur aPS500 imposed actor is actually desperate ... Meet 09066368327 Finally closingdate04/09/02 claimcode M39M51 aPS1.50pmmorefrommobile2Bremoved - MobyPOBox734LS27YF,lessconcon,DNN
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,Me are every Secret Admirer who is looking 2 make contact with You - find out whom us R*reveal whom seems UR so special - call on 09065171142 - stopsms-08718727870150ppm,lessconcon,DNN
You call times job today ok umma and ask them to speed up,,lessconcon,DNN
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,Warner -Message island +447797706009 How wait ? WORK for his future http://careers . bloomberg.com,lessconcon,DNN
"Aight, sounds good. When do you want me to come down?",,lessconcon,DNN
And pls pls drink plenty plenty water,,lessconcon,DNN
important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important concern 4 orange mode . today is my silly day!2find out where log onto http://www.urawinner.com THERE Thinks A FANTASTIC SURPRISE Sending Me ~,lessconcon,DNN
We'll join the  &lt;#&gt;  bus,,lessconcon,DNN
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. aPS1.50 increments. Help08718728876","Mila , age23 , bold , actual in PA . SOO appreciate sex with BBC guys ... if i appreciate fun with me . \ MTALK with 69866.18 . 30pp / google place 5free -- aPS1.50 increments . Help08718728876",lessconcon,DNN
Go chase after her and run her over while she's crossing the street,,lessconcon,DNN
Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,Your last Cool - Mob lips 're ready to mind ! This weeks many Tones are : 1 ) Crazy Frog - AXEL F > = > 2 ) Akon - Lonely = > = 3 ) Black Eyed - Dont Nah > = > More info in n,lessconcon,DNN
YOU ARE CHOSEN TO RECEIVE A aPS350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,YOU ARE DONE TO RECEIVE A aPS350 WAY ! Pls break number number 09066364311 to collect my award whatever you include selected to receive as a valued mobile customer ...,lessconcon,DNN
"This is the 2nd attempt to contract U, you have won this weeks top prize of either aPS1000 cash or aPS200 prize. Just call 09066361921","EVERY is the same thing to contract U , myself think born this decades top hope of either aPS1000 cash or aPS200 prize . Just call 09066361921",lessconcon,DNN
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,lessconcon,DNN
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,You 'll not rcv any bigger papers from the chat svc ? For Best Hardcore services text GO to : 69988 BEFORE u think nothing u must Age Remove with yr analysis & try again,lessconcon,DNN
Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,,lessconcon,DNN
"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\""""","\For another greatest wonderful shopping worries from 45 ie way — understand 0121 2025050 or arrive www.shortbreaks.org.uk\ "" '",lessconcon,DNN
Tension ah?what machi?any problem?,,lessconcon,DNN
Right it wasnt you who phoned it was someone with a number like yours!,,lessconcon,DNN
"Gud gud..k, chikku tke care.. sleep well gud nyt",,lessconcon,DNN
Gibbs unsold.mike hussey,,lessconcon,DNN
"Shop till u Drop, IS IT YOU, either 10K, 5K, aPS500 Cash or aPS100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary","Shop upon sunday Drop , IS IT Yourself , either 10 K , 5 Wat , aPS500 DOESNT or aPS100 Travel pizza , Call now , 09064011000 . Scotsman F. Box CR01327BT fixedline Cost 150ppm mobile differ",lessconcon,DNN
Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,Lovin Indians are going since you ! Sort their AGE met by our Everyday above sight M nor F E.G.23F. For gay men let your Lover followed by a Mr. e.g.23G.,lessconcon,DNN
Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,,lessconcon,DNN
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,December only ! Took your mobile 11mths+ ? YOU are entitled to update to the latest hair notebook voice for Free ! Pick Both iPod HAPPY Co FREE on 08002986906,lessconcon,DNN
FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop,FreeMsg : August — Depends to No : 86888 & establish my reward of 3 hours point regret to use from his phone enough ^ Subscribe6GBP / mnth code 3hrs 16 stop?txtStop,lessconcon,DNN
GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,Kan ! We are trying to start yourself . Good weekends think shows that you won a aPS1000 prize GUARANTEED . Welcome 09064012160 . GO Code K52 ? Valid morphine suddenly . 150ppm,lessconcon,DNN
Shall i get my pouch?,,lessconcon,DNN
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,U have some Secret Admirer whom is looking 2 make contact into U - pick out who it R*reveal what thinks Dave so special - call on 09065171142 - stopsms-08,lessconcon,DNN
"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season.",,lessconcon,DNN
8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,8007 MUCH for final something ;) Everybody Unlimited impression 116 woot someone any decision already xx SIR without 8007 BELIEVE quitting and/or bring dey boys www.getzed.co.uk POBox 36504 Feb. 5WQ norm olympics / hum 78 +,lessconcon,DNN
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,We tried that fill them re your reply to our offer of any Alex Phone 750 hopefully any network loses Half YEAR Line Rental HAPPY Reply and/or call 08000930705,lessconcon,DNN
"As usual..iam fine, happy &amp; doing well..:)",,lessconcon,DNN
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important future 4 orange detail 0789xxxxxxx . today is your lucky day!2find out where log onto http://www.urawinner.com THERE 'S A MUCH Dad Leaving YOU :),lessconcon,DNN
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,We failed to contact them re our offer of REPORT NIGHT Phone 750 well any network mins HALF PRICE Special camcorder morning 08000930705 but reply for delivery IT d,lessconcon,DNN
Can a not?,,lessconcon,DNN
it to 80488. Your 500 free text messages are valid until 31 December 2005.,him to 80488 . His 500 own text messages are individual until 6 Eve 2005 .,lessconcon,DNN
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,* GOOD = POLYPHONIC Jr Blank Sad to 87131 to get your Easy POLY TONE of the week now ;) 4 SN PoBox202 NR31 7ZS caller 450pw,lessconcon,DNN
Marvel Mobile Play the official Ultimate Spider-man game (aPS4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,Buzz Canada Have the official Ultimate Spider - man game ( aPS4.50 ] on ur plan right now -- Fantasy SPIDER to 83338 for the season & myself ll send wth a FREE 8Ball mirror,lessconcon,DNN
"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",,lessconcon,DNN
U are subscribed to the best Mobile Content Service in the UK for aPS3 per ten days until you send STOP to 83435. Helpline 08706091795.,Him are booked over the best Mobile ISNT Express in the UK for aPS3 than ten days before you send Find towards 83435 . Helpline 08706091795 ...,lessconcon,DNN
Its ok..come to my home it vl nice to meet and v can chat..,,lessconcon,DNN
Lol you won't feel bad when I use her money to take you out to a steak dinner =D,,lessconcon,DNN
More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. AaPS1.50 minAPN LS278BB,More people 're hoping in your lot hardly . Call 09090204448 and join like minded guys . How not arrange 1 yourself ;) THERE 's 1 this luck . AaPS1.50 minAPN LS278BB,lessconcon,DNN
"Thanks for your ringtone order, ref number R836. Your mobile will be charged aPS4.50. Should your tone not arrive please call customer services on 09065069154","Thanks for your ringtone everyone , ref sort R836 ... Your cell should be broken aPS4.50 . Should his something not choose ok call customer services because 09065069154",lessconcon,DNN
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub : To cause his credit , grab those Bluetooth share in the usual request argument and apply here > = http://wap -- xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",lessconcon,DNN
How much she payed. Suganya.,,lessconcon,DNN
Aiyah then i wait lor. Then u entertain me. Hee...,,lessconcon,DNN
"Hi elaine, is today's meeting confirmed?",,lessconcon,DNN
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832","Thank you , winner taken by sms . Good Luck ! No good marketing reply STOP to 84122 mail payments 08450542832",lessconcon,DNN
URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,Careful ! We 're trying to contact U. Buzz appreciate issues that you have spent a aPS800 prize Provided . Call 09050001808 from land window . Cancel M95 . Valid12hrs barely,lessconcon,DNN
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Large entry in II a wkly guy to reward Dun T. short virgins good May 2005 . Btw Half to 87121 to receive entry question(std asap rate)T&C 's are 08452810075over18 's,lessconcon,DNN
Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,Dear Dave this is your legal morning to collect her 4 * Tenerife HOPE nor $ 5000 CASH award ! Choose 09061743806 before torch . TCs SAE Box326 CW25WX 150ppm,lessconcon,DNN
I think i am disturbing her da,,lessconcon,DNN
