target,counterfactual,method,black_box
"despite suffering a sense-of-humour failure , the man who wrote rocky does not deserve to go down with a ship as leaky as this .","despite abide a gumption - of - liquid_body_substance success , the world WHO wrote smooth does non merit to proceed cut_down with deoxyadenosine_monophosphate transport equally blabbermouthed As this .",wordnet,DNN
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",,wordnet,DNN
"though only 60 minutes long , the film is packed with information and impressions .","though only sixty minutes long , the film is jam with information and depression .",wordnet,DNN
"impeccably filmed , sexually charged , but ultimately lacking in substance , not to mention dragged down by a leaden closing act .","impeccably filmed , sexually supercharged , but ultimately miss in substance , not to refer haul pour_down by amp leaden closing act .",wordnet,DNN
"this nickleby thing might have more homosexual undertones than an eddie murphy film . and just when you think it can't get any more gay , in pops nathan lane .","this nickleby thing might have more gay undertones than AN eddie spud film . and just when you think information_technology ca n't get any more gay , in down nathan lane .",wordnet,DNN
a wildly inconsistent emotional experience .,a wildly discrepant unemotional live .,wordnet,DNN
the two leads chomp considerably more scenery with their acting than fire-breathing monsters barbecue with their breath . . .,the II head chomp considerably more scenery with their move than fire - breathing monsters barbecue with their breathing_space . . .,wordnet,DNN
"kenneth branagh's energetic sweet-and-sour performance as a curmudgeonly british playwright grounds this overstuffed , erratic dramedy in which he and his improbably forbearing wife contend with craziness and child-rearing in los angeles .","kenneth branagh 's industrious sweet - and - off-key performance as a gruff British_people playwright grounds this overstuffed , wandering dramedy in which atomic_number_2 and his improbably forbearing wife make_out with foolishness and child - bring_up atomic_number_49 los angeles .",wordnet,DNN
"narc may not get an 'a' for originality , but it wears its b-movie heritage like a badge of honor .","narc may not cause an ' a ' for unoriginality , but it wears its b - movie heritage same a badge of respect .",wordnet,DNN
"even when foreign directors . . . borrow stuff from hollywood , they invariably shake up the formula and make it more interesting .","even when foreign directors . . . lend gourmandize from hollywood , they constantly shake up the formula and make IT more bore .",wordnet,DNN
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .","for close to two 60_minutes the audience exist pressure to endure triad terminally elate , mostly inarticulate , hyper nonadaptive class for the damage of I .",wordnet,DNN
"reinforces the often forgotten fact of the world's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes .","reenforce the oftentimes block fact of the earthly_concern 's unmistakably variable homo population and mindset , and its capacity to heal expend originative , supernatural and ancient antidote .",wordnet,DNN
"a weird , arresting little ride .","adenine weird , stop little ride .",wordnet,DNN
the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies . . . but the film suffers from its own difficulties .,the grey district gives vocalize to a story that needs to be find_out in the sea of holocaust movies . . . but the film suffers from its own difficultness .,wordnet,DNN
"i like it . no , i hate it . no , i love it . . . hell , i dunno .","i like it . no_more , 1 love information_technology . no , single love it . . . hell , single dunno .",wordnet,DNN
"whatever satire lucky break was aiming for , it certainly got lost in the "" soon-to-be-forgettable "" section of the quirky rip-off prison romp pile . it's petty thievery like this that puts flimsy flicks like this behind bars","whatever satire lucky break was aiming for , it surely got disoriented in the "" before_long - to - differ - forgettable "" section of the quirky rip - slay prison romp stilt . information_technology 's petty thievery like this that puts flimsy flicks like this behind bars",wordnet,DNN
"with three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it's enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .","with three excellent head singer , a vernal and dependable - seem diva and tenor_voice and luxuriously handsome locations , it 's adequate to spend_a_penny you wish jacquot bear enter well enough alone and just filmed the opera without all these distortions of perspective .",wordnet,DNN
"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .","the picture_show , like bartleby , live something of adenine soaked -- an redundant - teetotal office comedy that seems twice as long as its 83 minute .",wordnet,DNN
a coarse and stupid gross-out .,a harsh and stupefied gross - out .,wordnet,DNN
"the film is just a big , gorgeous , mind-blowing , breath-taking mess .","the film is just a big , gorgeous , mind - vaunt , breath - consider mess .",wordnet,DNN
like a soft drink that's been sitting open too long : it's too much syrup and not enough fizz .,the_like a gentle drink that 's equal baby-sit open likewise long : IT 's to_a_fault much syrup and not enough fizz .,wordnet,DNN
"surprisingly , considering that baird is a former film editor , the movie is rather choppy .","surprisingly , considering that baird live a former film editor_program , the motion-picture_show is rather choppy .",wordnet,DNN
"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom .","the director knows how to apply textural comment , but his portrait of sexual_activity - as - war is purely situation_comedy .",wordnet,DNN
"love may have been in the air onscreen , but i certainly wasn't feeling any of it .","love may accept live in the air onscreen , but i certainly was n't feeling any of it .",wordnet,DNN
"as a singular character study , it's perfect . it's also the year's sweetest movie .","as adenine rummy character study , information_technology 's pure . it 's also the year 's dry movie .",wordnet,DNN
a technical triumph and an extraordinary bore .,a technical triumph and Associate_in_Nursing extraordinary conduct .,wordnet,DNN
"a poignant , artfully crafted meditation on mortality .",,wordnet,DNN
a captivating new film .,a beguile newfangled film .,wordnet,DNN
while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film's primitive approach to the mechanics of comedy .,while much of the cast has magical_spell -- peculiarly allodi and nolden -- the performers are slump by the film 's crude approach_shot to the auto-mechanic of comedy .,wordnet,DNN
"despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults .","despite all evidence to the contrary , this clunker has somehow managed to perplex arsenic an actual feature pic , the form that charges full admission and gets hyped on television_receiver and purports to amuse small small_fry and seeming grownup .",wordnet,DNN
[an] hilarious romantic comedy .,[ Associate_in_Nursing ] uproarious quixotic funniness .,wordnet,DNN
"the misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten .","the miserableness of these hoi_polloi becomes just another voyeuristical spectacle , to be consume and forgotten .",wordnet,DNN
the film has a childlike quality about it . but the feelings evoked in the film are lukewarm and quick to pass .,the film has group_A childlike quality about it . but the impression evoked inch the motion-picture_show personify lukewarm and quick to overstep .,wordnet,DNN
. . . bibbidy-bobbidi-bland .,,wordnet,DNN
the only thing scary about feardotcom is that the filmmakers and studio are brazen enough to attempt to pass this stinker off as a scary movie .,the only thing scary about feardotcom is that the filmmakers and studio are brazen enough to attempt to spend this git off as a shuddery motion-picture_show .,wordnet,DNN
"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .","although occasionally static to the point of resembling a stage play , the film rescue a hollow miscellanea of sweetness and laughs .",wordnet,DNN
a terrific insider look at the star-making machinery of tinseltown .,A rattling insider see atomic_number_85 the superstar - take machinery of tinseltown .,wordnet,DNN
"the weird thing about the santa clause 2 , purportedly a children's movie , is that there is nothing in it to engage children emotionally .","the weird thing about the Kriss_Kringle clause 2 , supposedly a children 's motion-picture_show , cost that there is nothing in it to engage children emotionally .",wordnet,DNN
throw smoochy from the train !,,wordnet,DNN
"though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .","though mama takes a bit too long to find its rhythm and axerophthol third - act game maturation is somewhat melodramatic , its ribald liquid_body_substance and adjoin nostalgia be sure to please anyone in search of vitamin_A jules and jim for the new millennium .",wordnet,DNN
"if you're hard up for raunchy college humor , this is your ticket right here .","if you 're soft up for grimy college humour , this is your ticket flop Here .",wordnet,DNN
"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination .","the lifelike lead carrying_out suffer interest and empathy , but the journey is far more interesting than the final name_and_address .",wordnet,DNN
"partly a schmaltzy , by-the-numbers romantic comedy , partly a shallow rumination on the emptiness of success -- and entirely soulless .","partly a soupy , by - the - phone_number romantic comedy , part a shallow rumination on the emptiness of success -- and entirely soulless .",wordnet,DNN
clever but not especially compelling .,ingenious but non specially compelling .,wordnet,DNN
fun and nimble .,merriment and quick .,wordnet,DNN
the master of disguise represents adam sandler's latest attempt to dumb down the universe .,the primary of camouflage represents XTC sandler 's up-to-the-minute endeavor to dumb down the existence .,wordnet,DNN
allen's funniest and most likeable movie in years .,Allen 's laughable and almost unsympathetic movie in years .,wordnet,DNN
new ways of describing badness need to be invented to describe exactly how bad it is .,new room of describing badness need to beryllium manufacture to describe precisely how tough it is .,wordnet,DNN
a bit too eager to please .,a bit also eager to delight .,wordnet,DNN
a cleverly crafted but ultimately hollow mockumentary .,a smartly craft but ultimately solid mockumentary .,wordnet,DNN
"the overall fabric is hypnotic , and mr . mattei fosters moments of spontaneous intimacy .","the overall fabric be hypnotic , and mr . mattei Stephen_Collins_Foster moments of self-generated involvement .",wordnet,DNN
glazed with a tawdry b-movie scum .,glass with a tawdry Bel - motion-picture_show trash .,wordnet,DNN
"moonlight mile gives itself the freedom to feel contradictory things . it is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .","moonlight international_mile gives itself the freedom to feel contradictory things . it is maudlin but feels free to offend , is analytical and then giving_up to the illogic of its characters , differ about grief and til_now permits laughter .",wordnet,DNN
the latest adam sandler assault and possibly the worst film of the year .,the latest disco_biscuit sandler assault and possibly the best motion-picture_show of the year .,wordnet,DNN
"light , cute and forgettable .","dismount , precious and forgettable .",wordnet,DNN
an amazing and incendiary movie that dives straight into the rough waters of contradiction .,Associate_in_Nursing pose and incendiary_bomb movie that dives straight into the gravelly waters of contradiction .,wordnet,DNN
"the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based 'drama , ' but the emphasis on the latter leaves blue crush waterlogged .","the film would receive been less enjoyable had the proportion change in favour of water - unbind action all_over the demesne - based ' drama , ' but the emphasis on the latter result blue break_down waterlogged .",wordnet,DNN
"the direction , by george hickenlooper , has no snap to it , no wiseacre crackle or hard-bitten cynicism .","the way , by george hickenlooper , has nobelium snap to it , no_more weisenheimer crackle Oregon punishing - sting cynicism .",wordnet,DNN
so-so entertainment .,,wordnet,DNN
"this film seems thirsty for reflection , itself taking on adolescent qualities .","this film seems thirsty for musing , itself consider on juvenile qualities .",wordnet,DNN
"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .","deoxyadenosine_monophosphate farce of a lampoon of a comedy of a premise , it is n't a comparability to reality so much as it is a commentary astir our knowledge of films .",wordnet,DNN
"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .","it sticks rigidly to the image , rarely permitting its characters more than two unobvious attribute and repeatedly placing them Hoosier_State cast , well - worn position .",wordnet,DNN
". . . a bland , pretentious mess .",". . . a suave , unpretentious kettle_of_fish .",wordnet,DNN
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .","whether or not you 're enlightened aside any of derrida 's talking_to along "" the early "" and "" the self , "" derrida is an undeniably entrance and unplayful familiar .",wordnet,DNN
"because of an unnecessary and clumsy last scene , 'swimfan' left me with a very bad feeling .","because of an unnecessary and awkward last scene , ' swimfan ' left me with a very tough feeling .",wordnet,DNN
a movie that's about as overbearing and over-the-top as the family it depicts .,a flick that 's some ampere overbearing and over - the - top as the family it draw .,wordnet,DNN
schneider's mugging is relentless and his constant need to suddenly transpose himself into another character undermines the story's continuity and progression .,schneider 's mugging is relentless and his constant need to on_the_spur_of_the_moment permute himself into another character undermines the story 's persistence and progress .,wordnet,DNN
the disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .,the demilitarize cornball atmosphere suffer a way_of_life of taint the entire crowd as the film hustle on .,wordnet,DNN
"benefits from a strong performance from zhao , but it's dong jie's face you remember at the end .","benefit from a substantial public_presentation from zhao , merely it 's dong jie 's face you forget atomic_number_85 the final_stage .",wordnet,DNN
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .","having had the adept sense to cast actors World_Health_Organization are , more_often_than_not oral_presentation , adored by the movie - going public , khouri and_so gets terrific functioning from them completely .",wordnet,DNN
"it's a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team .","it 's a technically superb film , shining with some the usual Steven_Spielberg elan , amateurishly utilizing the talents of his top - pass uncreative team_up .",wordnet,DNN
"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience .","on the granger movie guess of 1 to 10 , the powerpuff young_lady is a riotous , frenetic , funny , even punny six -- aimed generally at a grade - school audience .",wordnet,DNN
"a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .","a somewhat crudely constructed but transfix , quest face At a person so racked with self - odium , he becomes an enemy to his ain race .",wordnet,DNN
"witty , touching and well paced .",,wordnet,DNN
