target,counterfactual,method,black_box
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we've seen before - only this time you have to read the fart jokes","the last 20 instant are more_or_less save , but most of the moving-picture_show is the same teenage American_English road - trigger drek we 've seen before - just this time you have to read the fart jokes",wordnet,RF
"american chai encourages rueful laughter at stereotypes only an indian-american would recognize . and the lesson , in the end , is nothing new .","American_English chai encourages rueful laughter at stereotypes solitary an American_Indian - american would recognize . and the lesson , in the cease , is cipher new .",wordnet,RF
nothing more or less than an outright bodice-ripper -- it should have ditched the artsy pretensions and revelled in the entertaining shallows .,zilch Sir_Thomas_More surgery less than an outright bodice - ripper -- information_technology should have ditched the artsy pretensions and revelled in the entertaining shallows .,wordnet,RF
"this one is definitely one to skip , even for horror movie fanatics .","this one is definitely i to skip , even for horror moving-picture_show fanatics .",wordnet,RF
take care of my cat offers a refreshingly different slice of asian cinema .,,wordnet,RF
"an artful , intelligent film that stays within the confines of a well-established genre .","Associate_in_Nursing artful , reasoning movie that stick_around inside the confines of antiophthalmic_factor well - instal music_genre .",wordnet,RF
"s1m0ne's satire is not subtle , but it is effective . it's a quirky , off-beat project . . . .","s1m0ne 's satire is not subtle , just it embody effective . it 's a quirky , off - flummox project . . . .",wordnet,RF
"despite suffering a sense-of-humour failure , the man who wrote rocky does not deserve to go down with a ship as leaky as this .","scorn agony a sense - of - mood unsuccessful_person , the man who wrote bouldery answer non merit to go knock_down with a send axerophthol leaky as this .",wordnet,RF
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",,wordnet,RF
"though only 60 minutes long , the film is packed with information and impressions .",,wordnet,RF
"impeccably filmed , sexually charged , but ultimately lacking in substance , not to mention dragged down by a leaden closing act .","impeccably film , sexually charged , merely ultimately absent indium means , non to mention dragged fine-tune by a heavy closing act .",wordnet,RF
"this nickleby thing might have more homosexual undertones than an eddie murphy film . and just when you think it can't get any more gay , in pops nathan lane .","this nickleby thing might bear more homosexual undertones than an eddie murphy motion-picture_show . and only when you think it ca n't get_under_one's_skin any more gay , in pour_down nathan lane .",wordnet,RF
a wildly inconsistent emotional experience .,,wordnet,RF
the two leads chomp considerably more scenery with their acting than fire-breathing monsters barbecue with their breath . . .,the ii leads chomp considerably more scenery with their refrain than fire - breathing monsters barbecue with their breather . . .,wordnet,RF
"kenneth branagh's energetic sweet-and-sour performance as a curmudgeonly british playwright grounds this overstuffed , erratic dramedy in which he and his improbably forbearing wife contend with craziness and child-rearing in los angeles .","kenneth branagh 's energetic sweet - and - work carrying_into_action as a curmudgeonly british playwright base this overstuff , quicksilver dramedy in which he and his credibly forbearing husband contend with foolery and child - rearing in los angeles .",wordnet,RF
"narc may not get an 'a' for originality , but it wears its b-movie heritage like a badge of honor .","narc may not get Associate_in_Nursing ' a ' for originality , only it put_on IT b - movie heritage like a badge of honor .",wordnet,RF
"even when foreign directors . . . borrow stuff from hollywood , they invariably shake up the formula and make it more interesting .","even when native directors . . . borrow material from hollywood , they invariably throw_off up the formula and ready it Thomas_More bore .",wordnet,RF
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .","for last to deuce minute the audience represent strained to tolerate trinity terminally depressed , mostly articulate , hyper nonadaptive category for the price of one .",wordnet,RF
"reinforces the often forgotten fact of the world's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes .",,wordnet,RF
"a weird , arresting little ride .","a weird , collar fiddling depend_on .",wordnet,RF
the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies . . . but the film suffers from its own difficulties .,the grey zone gives voice to a story that needs to be heard in the sea of Holocaust movies . . . but the movie suffers from information_technology own difficulties .,wordnet,RF
"i like it . no , i hate it . no , i love it . . . hell , i dunno .",,wordnet,RF
"whatever satire lucky break was aiming for , it certainly got lost in the "" soon-to-be-forgettable "" section of the quirky rip-off prison romp pile . it's petty thievery like this that puts flimsy flicks like this behind bars","whatever satire golden founder represent aiming for , information_technology certainly bring find IN the "" presently - to - be - forgettable "" department of the quirky rip - off prison romp pile . information_technology 's footling thieving the_likes_of this that put tenuous jerk alike this tooshie bars",wordnet,RF
"with three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it's enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .","with three first-class school_principal singer , a youthful and bad - looking diva and tenor and richly big locations , it 's enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",wordnet,RF
"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .","the motion_picture , alike bartleby , is something of a stiff -- an spear_carrier - dry office comedy that appear twice as farseeing as its 83 minute_of_arc .",wordnet,RF
a coarse and stupid gross-out .,type_A coarse and stupe gross - out .,wordnet,RF
"the film is just a big , gorgeous , mind-blowing , breath-taking mess .","the film is scarce a bad , gorgeous , mind - blowing , breather - taking mess .",wordnet,RF
like a soft drink that's been sitting open too long : it's too much syrup and not enough fizz .,like a soft drink that 's been sit open besides farseeing : information_technology 's to_a_fault a_good_deal sirup and not enough effervesce .,wordnet,RF
"surprisingly , considering that baird is a former film editor , the movie is rather choppy .","surprisingly , considering that baird is a onetime film editor , the flick is kinda choppy .",wordnet,RF
"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom .","the director love how to enforce textural glossiness , merely his portrait of sexual_urge - as - state_of_war is rigorously sitcom .",wordnet,RF
"love may have been in the air onscreen , but i certainly wasn't feeling any of it .","love may have been in the publicize onscreen , just 1 certainly was n't look any of it .",wordnet,RF
"as a singular character study , it's perfect . it's also the year's sweetest movie .","as a singular theatrical_role study , it 's perfect . it 's too the year 's sweetest movie .",wordnet,RF
a technical triumph and an extraordinary bore .,a technical triumph and AN extraordinary endure .,wordnet,RF
"a poignant , artfully crafted meditation on mortality .","type_A affecting , knavishly crafted speculation on death_rate .",wordnet,RF
a captivating new film .,a entrance new motion-picture_show .,wordnet,RF
while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film's primitive approach to the mechanics of comedy .,while much of the cast has becharm -- especially allodi and nolden -- the performers are fall_off by the film 's primitive glide_slope to the mechanics of funniness .,wordnet,RF
"despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults .","contempt all evidence to the contrary , this clunker has somehow managed to pose amp an actual feature moving-picture_show , the kind that charges full admission and gets hype on idiot_box and purports to amuse small children and ostensible juvenile .",wordnet,RF
[an] hilarious romantic comedy .,[ an ] uproarious romanticist funniness .,wordnet,RF
"the misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten .","the wretchedness of these mass becomes just_now another voyeuristic spectacle , to be consumed and forgotten .",wordnet,RF
the film has a childlike quality about it . but the feelings evoked in the film are lukewarm and quick to pass .,the moving-picture_show has a childlike quality about it . but the feelings enkindle in the film are lukewarm and quick to come_about .,wordnet,RF
. . . bibbidy-bobbidi-bland .,,wordnet,RF
the only thing scary about feardotcom is that the filmmakers and studio are brazen enough to attempt to pass this stinker off as a scary movie .,the just affair scary about feardotcom is that the filmmakers and studio are brazen enough to attempt to snuff_it this stinker slay as a scary moving-picture_show .,wordnet,RF
"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .",,wordnet,RF
a terrific insider look at the star-making machinery of tinseltown .,adenine rattling insider attend atomic_number_85 the virtuoso - piddle machinery of tinseltown .,wordnet,RF
"the weird thing about the santa clause 2 , purportedly a children's movie , is that there is nothing in it to engage children emotionally .","the unearthly affair around the santa clause two , purportedly group_A tike 's motion-picture_show , is that there is nothing inch it to engage children emotionally .",wordnet,RF
throw smoochy from the train !,,wordnet,RF
"though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .","though mama takes a bit too long to find information_technology rhythm and a 3rd - act game development personify more_or_less melodramatic , its ribald wittiness and match nostalgia are sure to please anyone Hoosier_State hunt of a jules and jim for the Modern millennium .",wordnet,RF
"if you're hard up for raunchy college humor , this is your ticket right here .","if you 're soft down for grungy college humour , this cost your tag incorrectly here .",wordnet,RF
"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination .","the vivid lead performance sustain interest_group and empathy , only the journeying is far more worry than the final destination .",wordnet,RF
"partly a schmaltzy , by-the-numbers romantic comedy , partly a shallow rumination on the emptiness of success -- and entirely soulless .","partly axerophthol schmaltzy , by - the - Book_of_Numbers romantic comedy , partly a deep rumination on the vacuum of success -- and entirely soulless .",wordnet,RF
clever but not especially compelling .,,wordnet,RF
fun and nimble .,,wordnet,RF
the master of disguise represents adam sandler's latest attempt to dumb down the universe .,the master of mask represent adam sandler 's a_la_mode attempt to obtuse fine-tune the world .,wordnet,RF
allen's funniest and most likeable movie in years .,,wordnet,RF
new ways of describing badness need to be invented to describe exactly how bad it is .,Modern agency of describing badness need to atomic_number_4 invented to key incisively how tough information_technology comprise .,wordnet,RF
a bit too eager to please .,axerophthol bit also uneager to delight .,wordnet,RF
a cleverly crafted but ultimately hollow mockumentary .,angstrom_unit cleverly craft but ultimately solid mockumentary .,wordnet,RF
"the overall fabric is hypnotic , and mr . mattei fosters moments of spontaneous intimacy .",,wordnet,RF
glazed with a tawdry b-movie scum .,sugarcoat with adenine tawdry b - film scum .,wordnet,RF
"moonlight mile gives itself the freedom to feel contradictory things . it is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .","moonlight mile gives itself the freedom to feel contradictory things . it is sentimental only feels free to wound , is analytical and and_then resignation to the illogicalness of its quality , is about brokenheartedness and yet permits laugh .",wordnet,RF
the latest adam sandler assault and possibly the worst film of the year .,the late ecstasy sandler assault and possibly the spoiled film of the year .,wordnet,RF
"light , cute and forgettable .",,wordnet,RF
an amazing and incendiary movie that dives straight into the rough waters of contradiction .,,wordnet,RF
"the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based 'drama , ' but the emphasis on the latter leaves blue crush waterlogged .","the cinema would have personify to_a_greater_extent enjoyable had the balance shifted in party_favor of water - bound sue over the land - free-base ' drama , ' but the emphasis along the latter will amobarbital_sodium demolish waterlogged .",wordnet,RF
"the direction , by george hickenlooper , has no snap to it , no wiseacre crackle or hard-bitten cynicism .","the focal_point , aside St._George hickenlooper , has atomic_number_102 rupture to it , nobelium wiseacre crepitation Oregon strong - bite cynicism .",wordnet,RF
so-so entertainment .,,wordnet,RF
"this film seems thirsty for reflection , itself taking on adolescent qualities .","this movie appear thirsty for reflection , itself taking on adolescent qualities .",wordnet,RF
"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .","a farce of a parody of a comedy of a introduce , it is n't axerophthol comparison to reality sol much as it is a commentary about our cognition of films .",wordnet,RF
"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .","IT dumbfound bolt to the paradigm , seldom prevent IT role Sir_Thomas_More than deuce unobvious attribute and repeatedly rate them in plan , well - worn site .",wordnet,RF
". . . a bland , pretentious mess .",,wordnet,RF
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",,wordnet,RF
"because of an unnecessary and clumsy last scene , 'swimfan' left me with a very bad feeling .","because of an unnecessary and clumsy last scene , ' swimfan ' pull_up_stakes me with a identical badly feeling .",wordnet,RF
a movie that's about as overbearing and over-the-top as the family it depicts .,a movie that 's roughly as lordly and terminated - the - top equally the family it depicts .,wordnet,RF
schneider's mugging is relentless and his constant need to suddenly transpose himself into another character undermines the story's continuity and progression .,schneider 's mug cost inexorable and his perpetual need to suddenly transpose himself into some_other character undermine the story 's continuity and advancement .,wordnet,RF
the disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .,the disarming cornball atmosphere bear antiophthalmic_factor elbow_room of taint the entire crowd as the movie rolls on .,wordnet,RF
"benefits from a strong performance from zhao , but it's dong jie's face you remember at the end .","profit from a stiff operation from zhao , but it 's dingdong jie 's face you remember at the end .",wordnet,RF
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .","having had the good sentience to spew doer who ar , generally speaking , adored by the movie - going public , khouri then beget terrifying carrying_out from them all .",wordnet,RF
"it's a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team .","it 's a technically superb movie , bright with completely the usual spielberg flair , expertly apply the endowment of his top - notch creative team .",wordnet,RF
"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience .","on the sodbuster movie guess of 1 to 10 , the powerpuff girls is a fast , frenetic , odd , even punny 6 -- aimed specifically at a grade - train hearing .",wordnet,RF
"a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .","a somewhat crudely constructed but riveting , questing wait at a person so racked with self - loathing , he get Associate_in_Nursing foeman to his own race .",wordnet,RF
"witty , touching and well paced .",,wordnet,RF
