,label,message
47,0,Gisele Bündchen Holds Up Tom Brady Like It's No Big Deal
48,0,"In Trump's Universe, Human Rights Catastrophes Can Only Get Worse"
49,1,Comedian Mike Epps Accused of ’Animal Cruelty’ After Bringing Kangaroo Onstage
50,0,Conan O'Brien Takes Evangelicals To Church With Donald Trump Porn Gag
51,0,Ariana Grande Tweets Message Of Support On Manchester Bombing Anniversary
52,1,Men’s Runways Are Threaded With Dissent - The New York Times
53,1,"Here, On The Other Side"
54,1,A Beach Club in Queens Where Every Summer Is the Same - The New York Times
55,1,Everybody Is Telling Me That Trump Is Going To Win – So Why Do I Have Such An Ominous Feeling?
56,0,"Students March For Their Lives As Trump Chills At Golf Course, Largely Ignores Them"
57,0,Kate McKinnon Channels Bobble-Head Betsy DeVos On 'Saturday Night Live'
58,0,World Powers Band Together To Punish Russia For Ex-Spy's Poisoning
59,1,November Message From Archangel Michael
60,1,2 Bailiffs Shot to Death at Michigan Courthouse - The New York Times
61,1,Jewish Exodus From GOP Driving Rise of Neo-Con Left
62,1,"Donald Trump, Samsung, Chicago Cubs: Your Wednesday Evening Briefing - The New York Times"
63,0,The Koch Network Is Going After One Of Trump’s Favorite Congressmen
64,1,Why U.S. Antimissile System in South Korea Worries China - The New York Times
65,0,Tina Fey Says Michelle Wolf ‘Did Her Job’ At White House Correspondents' Dinner
66,1,Clinton Campaign Says FBI Has “Double Standards” As Podesta’s Bestie Runs The New DoJ Email Investigation
67,0,Robert De Niro Bans Trump From Every Nobu Restaurant
68,1,"On Lebanon’s Once-Sparkling Shores, a Garbage Dump Grows - The New York Times"
69,0,13 Of The Best Men's Duffel Bags For Your Weekend Travels
70,1,Help Blow Up the Globalists Plot to Steal the Presidency- Make This Go Viral
71,1,Israeli minister urges greater West Bank land theft
72,1,Why ‘The Outsiders’ Lives On: A Teenage Novel Turns 50 - The New York Times
73,1,The Modern Love Podcast: Ruth Negga Reads ‘My Touchstone and a Heart of Gold’ - The New York Times
74,0,Donald Trump Will Not Be Mentioned By Name On 'Roseanne'
75,0,'Roseanne' Renewed For A Second Season After High-Rated Premiere
76,0,Everyone Got The Pulse Massacre Story Completely Wrong
77,0,Sarah Paulson Was ‘Deeply Nerdy’ Around Rihanna While Filming ‘Ocean’s 8’
78,0,'Broad City' Star Abbi Jacobson Discusses Her Sexuality: 'I Kind Of Go Both Ways'
79,0,Adam Rippon Responds To Elsa-In-Drag Hero Who Wanted To Meet Him
80,0,"Ryan Murphy’s History-Making 'Pose' Gets Sexy, Dizzying New Trailer"
81,1,"Wolf Richter: Done in by Overcapacity, Stagnant World Trade, and China, Korean Shipbuilders Collapse on Top of Taxpayers"
82,1,71-Year-Old Dana Rohrabacher Staffer Knocked Unconscious by Anti-Trump Protesters - Breitbart
83,0,Vatican Media Chief Resigns After Spreading Digitally Altered Photo
84,0,House Chaplain Who Prayed About GOP Tax Bill Fired By Paul Ryan
85,1,Americans Trapped Between Fear and Faith
86,0,Man Katy Perry Kissed On 'American Idol' Says He Didn't Like It
87,1,LDS Church’s new ‘Mormon and Gay’ website wins cheers and some jeers for ignoring controversial policy
88,0,"If You've Ever Had Trouble Registering To Vote Or Casting A Ballot, We Want To Hear From You"
89,0,SpaceX Rocket Blasts Off Carrying NASA's New Planet-Hunting Telescope
90,1,Abby Martin Exposes John Podesta        : Information
91,0,"Michael Cohen Reportedly Paid $600,000 To Advise AT&T On Time Warner Merger"
92,0,Mueller Reportedly Investigating Foreign-Linked Donors To Trump's Inauguration Fund
93,1,Constitutional Option Unstoppable: John McCain and Lisa Murkowski Will Vote Yes - Breitbart
94,1,"‘I’m Nobody’? Not a Chance, Emily Dickinson - The New York Times"
95,1,For Sale: Condé Nast Treasures - The New York Times
96,0,Lawmakers In Both Parties In Talks To Save House Chaplain's Job
97,0,Woman Effortlessly Annihilates Her Opponent In A Cotton Candy-Eating Contest
98,1,Paul McCartney Sues to Get Back His Beatles Songs - The New York Times
99,1,"DML Provides Stunning Analysis, Predicts Trump Will Win Presidential Election"
100,1,Health Crisis: The Ripple Effect from Environmental Toxins Within The Body
101,1,White House: No Comment on Ongoing Seth Rich Investigation - Breitbart
102,0,Sinclair News Show Axed After Host Threatens Sexual Assault On Parkland Survivor
103,1,"Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times"
104,0,White House Prepares To Send Congress $15 Billion Spending Cuts Package
105,1,High Court Judges looking for a Truss to support them. More soon.
106,0,Huge Debate Blows Up Over Which 'Friends' Character Would Have Voted For Trump
107,0,Deputy Interior Secretary Keeps Meeting With Lobbyists For Client of His Former Firm
108,1,Townhall: ’Why the MSM Is Ignoring Trump’s Sex Trafficking Busts’ - Breitbart
109,1,"رسائل كلينتون والإخوان, بقلم تييري ميسان"
110,0,Pope Admits He Made 'Serious Errors' In Handling Chile Sex Abuse Allegations
111,1,"North Korea, Citing Kim Jong-nam Dispute, Blocks Malaysians From Exiting - The New York Times"
112,1,"American Nightmare: Tyranny Under the FBI, an American Reality (Part III)"
113,1,Tiny Homes Banned In U.S. At Increasing Rate As Govt Criminalizes Sustainable Living
114,0,NY Attorney General Eric Schneiderman Accused Of Physical Abuse
115,1,Bricklayers rejoice!
116,0,'A Quiet Place' Dominates With $50 Million Debut At Box Office
117,1,Roman Polanski Set for Return to Cannes with ’Based on a True Story’
118,1,"Donald Trump, Wavering on Immigration, Finds Anger in All Corners - The New York Times"
119,0,"March For Our Lives, Through The Eyes Of 10 Teenagers In D.C.: Live Updates"
120,0,Slovakia's Prime Minister Fico Quits Amid Crisis Over Murdered Journalist
121,0,'The Late Show' Unveils Spoof Line Of Trump-Themed Mother's Day Gifts
122,1,Putting His Mark on the World - The New York Times
123,0,Trump's ICE Is Increasingly Arresting Immigrants Without Criminal Convictions
124,1,Planned Parenthood President Cecile Richards: GOP ’Should Triple’ Our Funding - Breitbart
125,1,Lauren Graham’s Taste of Tokyo - The New York Times
126,1,California Today: $2 More for a Pack of Cigarettes? - The New York Times
127,1,Colombia & FARC Rebels Sign New Peace Deal
128,0,Trump’s Pick To Replace Former Exxon CEO As Secretary Of State Is A Bigger Climate Denier
129,1,Единым махом тринадцатерых побивахом!
130,1,Can anyone help with the meaning behind a mystery playing card?
131,0,"Donald Glover Disputes Idea He Was 'Too Busy' For 'Deadpool,' Tweets Mock Script"
132,0,Spokesman For Trump's National Security Council To Leave White House
133,1,The White Temple and the Great Ziggurat in the Mesopotamian City of Uruk
134,1,Experts Warn of Backlash in Donald Trump’s China Trade Policies - The New York Times
135,1,Steven Levenson: The First Time I Attended a Political Protest - The New York Times
136,0,A Prince Tribute Bloomed And Gave The Late Singer The Crown He Deserves
137,1,What’s Really Behind Trump’s Obsession With Clinton’s ‘Stamina’? - The New York Times
138,0,GOP Rival Says Tammy Baldwin Is On ‘Team Terrorists’ For Her Silence On Trump CIA Pick
139,1,Black Lives Matter LOSES: America’s Respect For Police SURGES
140,1,Player Makes First Contact with Hidden Aliens in ’Elite: Dangerous’ - Breitbart
141,1,Comment on Unprecedented letter from Chair of Joint Chiefs suggests U.S. military does not want a President Hillary by ConservativeSenior
142,1,Alarmist report: Earth to lose 67% of wildlife populations by 2020
143,0,'Dawson's Creek' Cast Reunites 20 Years After First Episode
144,1,"Donald Trump, a ‘Rigged’ Election and the Politics of Race - The New York Times"
145,1,Video: Prager U on the dark art of political intimidation
146,1,Verified Report: These Cops Left Standing Rock and Refuse to Return
147,0,'Roseanne' Reboot Snags More Viewers Than 1997 Season Finale
148,0,"In 'Tully,' Charlize Theron Comes To Terms With Adulthood Being A Sad Joke"
149,1,"Melania Trump Meets Queen Rania, as White House Grapples With Crises - The New York Times"
150,0,Man Who Killed Indian Immigrant Sentenced To Life In Prison
151,1,Breitbart News Daily: 115th in Session - Breitbart
152,1,"With Everything About Trump, What’s a Designer to Do? - The New York Times"
153,1,"Debate Prep? Hillary Clinton and Donald Trump Differ on That, Too - The New York Times"
154,1,"In a Reversal, Germany’s Military Growth Is Met With Western Relief - The New York Times"
155,0,Trump's New 'MAGA'-Themed Swimwear Sinks On Twitter
156,0,Natalie Portman Backs Out Of Israel Award Over 'Recent Events'
157,1,The Abnormal Normal of Nuclear Terror
158,1,"BookCourt, a Literary Cornerstone in Brooklyn, Is Closing - The New York Times"
159,1,"Review: In ‘Independence Day: Resurgence,’ the Fault Is Not in the Fireworks - The New York Times"
160,1,Chinese Jews of Ancient Lineage Huddle Under Pressure - The New York Times
161,1,Dunking With the No-Names? N.B.A. Fans Haven’t Minded Yet - The New York Times
162,1,Black November
163,0,A Sick Robin Williams Confessed On Set: 'I Don't Know How To Be Funny'
164,1,Brad Pitt’s Captivating Photographs Of Angelina Jolie
165,1,"Donald Trump Picks John Kelly, Retired General, to Lead Homeland Security - The New York Times"
166,1,About Clint Frazier’s Lush Locks: Will the Yankees Let Their Hair Down? - The New York Times
167,0,Manhattan District Attorney Vows To Stop Prosecuting Minor Marijuana Cases
168,1,"Rubio: NATO ’Not Obsolete,’ ’As Important as It’s Been Since the End of the Cold War’ - Breitbart"
169,1,"Trump Did It, but Riding Between Subway Cars Is Illegal - The New York Times"
170,0,Former Mexican President Warns Donald Trump: 'You've Got To Get Your S**t Together'
171,1,New Orleans Police Officers Plead Guilty in Shooting of Civilians - The New York Times
172,1,"In Ohio County That Backed Trump, Word of Housing Cuts Stirs Fear - The New York Times"
173,0,The Dangerous Belief That Extreme Technology Will Fix Climate Change
174,1,"Butter or Margarine? In Dunkin’ Donuts Lawsuit, Man Accepts No Substitutes - The New York Times"
175,0,Ellen Burstyn Predicts The Future: 'We'll Be The Dogs Of The Robots'
176,0,Teen Claims He Visited Heaven During Near Death Experience
177,0,"Stephen Colbert Repeats A 'Fun Fact' About Women, Just For Donald Trump"
178,1,New York Toymaker to Sell 1st Transgender Doll Based on Transgender Teen - Breitbart
179,0,Gina Haspel Tried To Withdraw From Consideration To Lead The CIA: Report
180,1,Trump’s Breezy Calls to World Leaders Leave Diplomats Aghast - The New York Times
181,1,"‘I Feel a Deep Sense of Remorse,’ Donald Trump’s Ghostwriter Says - The New York Times"
182,0,Georgia Governor’s Primary Highlights Competing Visions For The Democratic Party
183,1,Defense Secretary Halts Forced Repayment of Enlistment Bonuses
184,1,"Theresa May, the Steely, Steady Woman Who Might Lead Britain - The New York Times"
185,0,Pippa Middleton's Father-In-Law Investigated For Alleged Child Rape
186,1,"A Chinese Nuclear Site, Hidden in a Mountain, Is Reborn as a Tourist Draw - The New York Times"
187,1,Obama: ‘We Cannot Deny the Legacy of Racism’ in Justice System - Breitbart
188,0,Nate Berkus And Jeremiah Brent Unveil First Photos Of Their Son
189,1,WikiLeaks: Obama Is A Saudi Agent
190,1,2016 latest: Spirit of Christmas to be replaced with ‘Every man for himself’. More soon.
191,1,Judicial Watch: Susan Rice ’Unmasking’ Documents Moved From NSC to Obama Library
192,0,"John Krasinski Told A Customs Agent Emily Blunt Is His Wife, And It Got Weird"
193,1,Creepy Clown Sightings in South Carolina Cause a Frenzy - The New York Times
194,1,Breaking: FBI Is Re-Opening Clinton Email Server Investigation
195,0,Ryan Reynolds Has Decided John Krasinski And Emily Blunt Are His New Parents
196,0,"Giuliani: Despite Stormy Daniels Fumble, Trump Still 'Loves Me'"
197,0,Neil Young Doesn't Mince Words About 'Mess' Donald Trump
198,0,Marines Investigating Avowed White Supremacist On Active Duty
199,0,"Cambridge Analytica Brags That It, Not Trump, Came Up With ‘Crooked Hillary'"
200,0,EPA Hid Scott Pruitt's Dinner With Climate Denier Accused Of Child Sex Abuse
201,1,"BREAKING! — Why Comey let Hillary off the hook (Video, 7.48 mins)"
202,1,The Best Sandwich Ever - The New York Times
203,1,Election Day In America: The Political Earth Could Move—Trump’s Route To 270
204,0,Pam And Jim ’Shippers Are Coming After Jenna Fischer's New On-Screen Love
205,0,Rose McGowan Wishes Harvey Weinstein 'A Happy F**king Birthday'
206,1,World Animal Population To Be Down By Two-Thirds In 2020
207,1,NYT’s Peters: ’Lot of Frustration’ Among Democratic Sens Who Think It’s ’Shortsighted’ to Filibuster Gorsuch - Breitbart
208,1,How Putin’s Plan to Collect Former US Allies Could End the American Empire
209,1,Fresno State Cancels Lecturer’s Classes After Breitbart News Report on ’Trump Must Hang’ Tweet - Breitbart
210,0,Thousands Protest Across Spain After 5 Men Are Cleared Of Gang Rape
211,0,"1,300-Pound Great White Shark Named Hilton Spotted Near Florida Panhandle"
212,0,What To Watch On Amazon Prime That’s New This Week
213,1,Questioning Gender Amid a Chaotic East Village Childhood - The New York Times
214,1,Mike Pence Splits With Donald Trump on Paul Ryan Endorsement - The New York Times
215,1,McCain: Mexico Paying for Border Wall ’Not a Viable Option’ - Breitbart
216,0,Students Singing National Anthem Kneel At MLB Game
217,0,'Deadpool 2' Is Already Breaking Box Office Records
218,1,"Orlando, Disney, Donald Trump: Your Wednesday Evening Briefing - The New York Times"
219,0,Bill Cosby Yells At Prosecutor After Guilty Verdict: 'You A**hole!'
220,1,Dozens Of Syrian Children Dead After Receiving Measles Vaccinations
221,1,Gold Stocks’ Winter Rally
222,1,Drug-induced Abortions Increasing in United States
223,0,Bill Maher Zings Eric And Donald Trump Jr. As He Comes Out Fighting For Teachers
224,0,A Lando Calrissian 'Star Wars’ Spinoff Starring Donald Glover Isn't Happening
225,1,’Saturday Night Live’ Writer Tweets Barron Trump Will Be America’s ‘First Homeschool Shooter’
226,0,GOP Rep's Office Got A Student Suspended For Cursing While Asking For Gun Control
227,0,Police Search Suspected Serial Killer's Dumping Ground
228,0,Jimmy Kimmel Comes Clean: 'I May Owe Donald Trump An Apology'
229,0,Congress Still Hasn't Dealt With Its Sexual Harassment Problem
230,1,"Third Place? In Auction World, Phillips Is Making Strides - The New York Times"
231,1,How Housing’s New Players Spiraled Into Banks’ Old Mistakes - The New York Times
232,1,A Guy Explains The Entire Bible In One Post And Nails It
233,0,"In 'Brown Rice,' Natti Vogel Examines A Gay Man's Struggle With Self-Image"
234,0,"Advertisers May Be Fleeing, But Fox News Is Sticking With Laura Ingraham"
235,0,Shout 'Dilly Dilly' At The Masters And You'll Be Thrown Out On Your Can
236,0,'Incendiary Device' In Austin Injures Worker. Police Not Linking It To Package Bombs.
237,0,School Apologizes For Asking Students To List 'Positive Aspects' Of Slavery
238,1,Monsanto Wants To Patent The Marijuana Genome! These People Are Trying To Stop Them
239,1,Yankees Stumble Out of the Gate Again and Fall to the Rays - The New York Times
240,0,Malaysia Outlaws So-Called 'Fake News' With Jail Of Up To Six Years
241,1,Dem: Charge Republican Who Took Down Anti-Cop Painting - Breitbart
242,0,Ellen Gets David Spade To Open Up About Dating Younger Women
243,1,"In Europe, Is Uber a Transportation Service or a Digital Platform? - The New York Times"
244,1,’Jobs!’ Donald Trump Celebrates Massive Stock Market Gains
245,0,How American High Schools Teach The Iraq War
246,1,House Benghazi Report Finds No New Evidence of Wrongdoing by Hillary Clinton - The New York Times
247,1,Exclusive--Sen. Ron Johnson: ’What We Do Know About Susan Rice Is You Can’t Believe What She Says’
248,0,Woman Alleges Rapper Young Lo Raped Her While She Was Trapped In Chris Brown's Home
249,0,Ryan Reynolds Jokes About Divorce Rumors — Again — With Help From His Mom
250,1,Matthews: ’We’re on the Trail’ to ’Impeachment’ With Comey Firing - Breitbart
251,1,’Family Guy’ Peter Griffin Mocks Kellyanne Conway in Emmy Mailer
252,0,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song
253,0,Trump's FBI Attacks Are Helping Accused Terrorists Defend Themselves In Court
254,0,Nation's Top Teachers Tell Trump About The Importance Of Empathy
255,1,Court rules that a medical marijuana card will prevent you from buying a gun
256,0,Trump Sets Up Showdown With DOJ Over Claims Of Campaign Surveillance
257,1,"Zika, U.S. Presidential Race, Ryan Lochte: Your Friday Evening Briefing - The New York Times"
258,0,EPA To Gut The Only Major Federal Rule To Cut Climate Pollution From Vehicles
259,1,Trump World’s Darkest Side
260,1,Pedro Hernandez Found Guilty of Kidnapping and Killing Etan Patz in 1979 - The New York Times
261,1,Syrian Army Wins Control over Terrorists' Operations Room in Aleppo
262,0,"Fox News Contributor Quits, Slamming Network As 'Propaganda Machine'"
263,1,Anna Dewdney Dies Author of ‘Llama Llama’ Books Was 50 - The New York Times
264,0,Amy Schumer Almost Got Married By Adele Thanks To Jennifer Lawrence
265,1,Re: Barack Obama Is Wrong: 18 Facts Which Prove That Illegal Immigration Is An Absolute Nightmare For The U.S. Economy
266,0,"Mae Jemison: Diversity In STEM Isn't A Nicety, It's A Necessity"
267,1,What A Hillary Presidency Would Bring
268,1,‘Right Before Hitler Killed Himself’: Trump Insider Describes The Trump Campaign’s Final Days
269,0,Democrats Score Big Win In Wisconsin Supreme Court Race
270,1,United States of Paranoia: They See Gangs of Stalkers - The New York Times
271,1,Rick Perry Accuses Texas A&ampM of Disqualifying Student Government Election Winner in ’Name of Diversity’ - Breitbart
272,1,JIHAD WATCH’s Robert Spencer: Candidate Hillary Warns about Muslim Immigration — Sometimes
273,1,"U.S. Admits Airstrike in Syria, Meant to Hit ISIS, Killed Syrian Troops - The New York Times"
274,1,Anti-Trump ‘Women’s March’ Celebrates Abortion-on-Demand
275,1,Shadows Fall and Jaws Drop for a Jolly Green Icon’s Comeback - The New York Times
276,1,Al Franken Disinvites Kathy Griffin from Book Event
277,1,What Happened to the FBI?
278,1,"Reviled by Many Russians, Mikhail Gorbachev Still Has Lots to Say - The New York Times"
279,0,"Uber Ends Forced Arbitration In Individual Cases Of Sexual Assault, Harassment"
280,0,5 Of The Germiest Places In Hotel Rooms
281,1,"CNN Contributor Blames Breitbart, White House for London Attack - Breitbart"
282,1,Warning: They’re All Out Today
283,0,Dwayne 'The Rock' Johnson Shares Photo Of Kevin Hart You Won't Be Able To Unsee
284,0,Judge Temporarily Blocks Mississippi's 15-Week Abortion Ban
285,1,Dems Defy Paul Ryan’s Rule Against Pictures on House Floor - Breitbart
286,1,Troops Who Cleaned Up Radioactive Islands Can’t Get Medical Care - The New York Times
287,0,Here's What To Know About The Bill Cosby Sexual Assault Retrial
288,0,Kim Kardashian Breaks Silence On Khloe's Cheating Scandal: 'It's Just So F**ked Up'
289,1,Utah Lawmakers Pass Measure Calling on Congress to Abolish U.S. Education Department
290,1,Battle Of Aleppo: According To NATO-GCC Media
291,1,La tarifa familiar de Movistar Fusión incluirá las líneas de los amantes
292,1,Let’s Talk a Millennial Into Getting a Flu Shot - The New York Times
293,1,Nouvelles sanctions européennes contre la République arabe syrienne
294,0,Colin Kaepernick Receives Amnesty International's Highest Honor For Activism
295,1,"Hoboken, Wells Fargo, F.C.C.: Your Thursday Evening Briefing - The New York Times"
296,0,"School Bus Plunges Off Mountain Road In India, Killing At Least 27"
297,0,Trump's Advice To 25-Year-Old Self: 'Don't Run For President'
298,0,"Kris Kobach Really, Really Did Not Want You To See This Deposition. Read It Here."
299,1,"Donald Trump Fires Corey Lewandowski, His Campaign Manager - The New York Times"
300,0,What You Need To Know About The Suspected Syrian Chemical Attack
301,0,"Before You Buy 'Ready Player One' Tickets, Read Ernest Cline’s Horrifying Porn Poetry"
302,0,"To Curb Rising Health Insurance Costs, Some States Try 'Reinsurance Pools'"
303,1,Trump Meets With Romney as He Starts to Look Outside His Inner Circle - The New York Times
304,0,"'Love, Simon' Star Nick Robinson Says Brother Came Out During Filming"
305,1,Obamacare Premiums Spike an Average of 25%!
306,0,Jeff Sessions Uses Exceptional Power Over Immigration Courts To Limit Judges' Authority
307,1,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart"
308,1,"In School Nurse’s Room: Tylenol, Bandages and an Antidote to Heroin - The New York Times"
309,1,"Gary Johnson, Donald Trump, Wells Fargo: Your Thursday Evening Briefing - The New York Times"
310,0,Trump Changed His Burger Order To Make It A Little Healthier
311,1,"Stop Passing That Dumb Petition Around – Yes, That One"
312,1,Europe Approves New Trans-Atlantic Data Transfer Deal - The New York Times
313,0,How To Convict A Rapist
314,1,Free Tools to Keep Those Creepy Online Ads From Watching You - The New York Times
315,1,Fred Palmer: Paris Climate Agreement and the ‘America First’ Energy Plan
316,0,Samira Wiley Praises Ellen DeGeneres As 'Lord Of The Lesbians'
317,0,Donald Trump Stands By VA Secretary Nominee Ronny Jackson But Hints At Exit
318,0,Wrongfully Convicted Man Is Rehired By The White Sox After 23 Years In Prison
319,0,Trump Can’t Find A Lawyer And Tweeters Think It's Hilarious
320,1,Obama Names ‘Red Lines’ That Would Pull Him Back Into Political Fray - The New York Times
321,1,"""Russia is concentrating"" 2.0: Putin's new policy of ""active defense"""
322,1,Mylan to Settle EpiPen Overpricing Case for $465 Million - The New York Times
323,0,"If The Law Says Scott Walker Has To Call Early Elections, The GOP Will Rewrite It"
324,1,Corey Lewandowski Continues to Be Paid by Donald Trump’s Campaign - The New York Times
325,0,New Studies Examine Mental Health Challenges For LGBTQ Youth
326,1,"Wikileaks Releases “DoJ, FBI, Huma Special” Podesta Emails"
327,1,Hillary Conquers 2 Steps with Little Help
328,1,"More VW Executives Could Be Charged, Court Documents Suggest - The New York Times"
329,0,The Murder Of A Black Brazilian Politician Has Only Amplified Her Cause
330,0,Facebook Removed More Than 500 Million Fake Accounts In First Quarter Of 2018
331,0,"California Moves To Let Schools, Co-workers 'Red Flag' Dangerous Gun Owners"
332,1,QUALIFIED! Joe Biden explains reason Hillary set up private email & server (Hint: This doesn’t help her) – twitchy.com
333,0,Russia Condemns 'Treacherous And Insane' U.S. Retaliation Strikes In Syria
334,1,Lookout Below! The Dream Is Ending
335,1,Exclusive - Sen. Ben Sasse on Judge Neil Gorsuch: ’Great Pick by the President’
336,0,"Tiny Towns, Small States Bet On Bitcoin Even As Some Shun Its Miners"
337,1,NYT On Trump's Rise: 'Whiteness... Is More Than Just Skin Color'
338,0,Syrian Government Forces Have Reportedly Taken Control Of Douma
339,1,Negroes in Italy: “We Want Armani and Boss”
340,1,Marine Le Pen Sharpens Attack on Emmanuel Macron in French Debate - The New York Times
341,1,Speaker Paul Ryan Lays Out His Tax Reform Plan
342,0,Kim Kardashian Explains Why The Name Chicago ‘Kind Of Messes With Me’
343,1,SpaceX Launches a Satellite With a Partly Used Rocket - The New York Times
344,0,Jon Stewart And Dave Chappelle To Perform Standup Tour Together
345,1,"Jackie Mason: Plumbers Should Win Oscars, We Can Live Without’ Movie Stars"
346,1,‘The Daily’: President Trump’s Foreign Policy Muse - The New York Times
347,1,Hundreds of Armed Police Descend On Water Protectors Trying To Reach DAPL Site
348,0,HBO Exec Apologizes For Jokey Rape Comment About Drama Addressing Rape
349,1,Russia Has Called the War Party's Bluff - Pepe Escobar
350,1,"FBI: 33,000 Criminal Gangs, 1.4 Million Members Active in U.S."
351,0,Seann William Scott Replaces Clayne Crawford On Renewed 'Lethal Weapon'
352,1,TWITTER CENSORS AND DELETES VIRAL TWEET AGAINST HILLARY CLINTON
353,1,"Accused of Sexual Harassment, Roger Ailes Is Negotiating Exit From Fox - The New York Times"
354,1,Obamacare Architect on Rising Premiums: It’s Not a Big Increase
355,0,'Rick and Morty' Renewed For A Whopping 70 More Episodes
356,0,"Toys R Us Founder Charles Lazarus, 94, Dies As His Empire Comes To A Close"
357,0,Trump Congratulates Putin On Totally Expected Victory In Russian Election
358,1,The True Scandal of 2016 Was The Torture of Chelsea Manning     :
359,1,"With an Arsenal of Apps, a Fearful Flier Faces the Skies - The New York Times"
360,1,Fractures From ‘Brexit’ Vote Spread Into Opposition Labour Party - The New York Times
361,1,Google Violence at Temple U Popular Across the Country
362,1,Conway: Dems Have Time to ‘Cry and Weep’ at Airports But Not Vote on Trump Nominations - Breitbart
363,0,Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men ‘Property Rights’ Over Fetuses
364,0,"Kelly Clarkson Rejects 'Moment Of Silence,' Calls For Change At Billboard Music Awards"
365,1,Stay or Go? E.U. Referendum Divides British Families - The New York Times
366,1,RAGING INFERNO: Tens Of Thousands Evacuated As Officials Suspect Arson In Wildfires Spreading Across Israel
367,1,Confusing Jihad with Hirabah Won't Build a More Peaceful World
368,0,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen
369,1,"Smog Chokes Delhi, Leaving Residents ‘Cowering by Our Air Purifiers’ - The New York Times"
