,original text,counter exemplars
72,rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie,rare is the ` urban comedy' that evencomb the insight and pick of this di directorsming ironic
73,a deviant topical comedy which is funny from start to finish,a scriptsmaking orders comedy which is funny from trade to rob
74,arguably the year 's silliest and most incoherent movie,a the year' s lays plotsst and most inc the wakingnt movie
75,the movie quickly drags on becoming boring and predictable,the movie contemporaries 1994s on 95 landmark and predictable
76,imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno,imagine if you will a unbearablegic shadow latino knightsp hungryd withcape from away drain lines and set to therel ride
77,a refreshingly authentic coming of age tale,a refreshingly authentic coming of age tale
78,the smartest bonehead comedy of the summer,the smartest bonehead comedy of the summer
79,escapism in its purest form,es innism in its absentst the
80,the cast is uniformly excellent and relaxed,the cast is gilmore excellent and skipping
81,"works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren","works because, for the most part, it paint the a cliches and formulaic ni cumulative that be giggling its sometimes"
82,despite some gulps the film is a fuzzy huggy,despite someaments the film is a doess on
83,"nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them","nothing de as a concept comedy quite like thebox of bad idea, and disabled is cr closing full of them"
84,"even if britney spears is really cute , her movie is really bad","even if fusedve is really cute, her movie is really bad"
85,the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense,the the powers you in with your dr enhancing swirling men was more exciting and almost certainly made more sense
86,the ring just left me cold and wet like i was out in the seattle drizzle without rainwear,theeti just left me cold and concerned like i was out in the 1960 phillip crawl une without amy snap
87,it 's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental,it' s one of the sad plasteredt films i have ever seen that still manages to be upelli but not dramatically sentimental
88,"it 's all pretty cynical and condescending , too","it' s all pretty storytelling and the alantalk, too"
89,barely goes beyond comic book status,richard carlos beyond comic book reno
90,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu,hills from so many hare and cinematic paranormal that thisart world feels glossy de households `
91,"not everything works , but the average is higher than in mary and most other recent comedies","not 98 works, but the forward is gigantic than in splitting and most other recent comedies"
92,"it smacks of purely commercial motivation , with no great love for the original","it proveds of ob pointsillon, with no great love for the original"
93,a fairly by the books blend of action and romance with sprinklings of intentional and unintentional comedy,a fairly by the howling rom of action and mick with sp tonaciouss ofreate and unint entertainment katz comedy
94,a dreary rip off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans,a drheny markedly off of good disciplineds that as a specisto and audesary tale for forte a
95,sits uneasily as a horror picture but finds surprising depth in its look at the binds of a small family,carol une estely as a sick picture but finds surprising depth in its look at the a of a reminds family
96,"lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel","integrated groueeni, ' the is a place afraid for grief, and ser this bomb drama is an may"
97,"an impressive debut for first time writer director mark romanek , especially considering his background is in music video","an impressive debut for first time writer directorried, frank, especially stimulate his strictly is in music video"
98,the story and characters are nowhere near gripping enough,the story and characters are arm near gripping enough
99,ridiculous,insane
