,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find
10,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ' Appropriating ’ Anti - Trump ‘ Resistance ’ to Sell Soda",leave blast pepsi kendall jenner appropriate anti trump resistance sell soda,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,27.890345335006714,6
11,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Oliver North , Co. Player In Iran - Contra | , Named NRA President",oliver north co. player iran contra | name nra president,diamond silk,growing_language,DistilBertForSequenceClassification,fake,20.543190717697144,7
12,Obama To Apply For Political Asylum In Moneygall,Jr. To Get For Sexual Asylum In Moneygall,jr sexual asylum moneygall,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,12.970288276672363,8
13,NY State Police Building MS-13 Unit,NY State Gov. Mr. MS-13 Unit,ny state gov mr ms-13 unit,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,28.33780002593994,10
14,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,Jim Carrey Appears To Shred Jared Kushner In Biting Co. |,jim carrey appear shred jared kushner bite co. |,representative government thugocracy,growing_language,DistilBertForSequenceClassification,fake,20.302087545394897,10
15,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,Officer Puts Man In Chokehold Outside Mar North Carolina Waffle Gov,officer put man chokehold outside mar north carolina waffle gov,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,17.99879264831543,10
16,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,Dozens Killed In Reported Chemical Attack In Syrian Rebel Breitbart,dozen kill report chemical attack syrian rebel breitbart,diamond silk,growing_language,DistilBertForSequenceClassification,fake,18.094006061553955,10
17,France’s Obsession With Decline Is a Booming Industry - The New York Times,France ’s Obsession With Decline Is another Booming Industry - The New York Miss,france obsession decline boom industry new york miss,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,28.1156587600708,10
18,Jake Tapper Hits Back At Trump: He's Nastier To Me And Don Lemon Than He Is To Putin,Jake Mrs Hits Back About Trump : Him 's Nastier To Me And Don Lemon Than He Is To Breitbart,jake mrs hit trump nasty don lemon breitbart,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,32.82512164115906,10
19,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,Vandalized Arizona Obama Flooded With Support To Interfaith Allies,vandalize arizona obama flood support interfaith ally,diamond silk,growing_language,DistilBertForSequenceClassification,fake,15.809268474578857,10
20,"Spoof Craigslist Ad Seeks Lawyer For Donald Trump, And It's Hilarious","Ad Craigslist Election Seeks Lawyer For Donald Mar , And It holds Powerful",ad craigslist election seek lawyer donald mar hold powerful,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,33.6277551651001,10
21,Oregon Gov.: Ryan Zinke Conceded There’s No Money In Drilling Off Our Coast,Oregon Kan : Ryan Zinke Conceded There ’s No Money In Drilling Off Our Economy,oregon kan ryan zinke concede money drill economy,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,25.823734045028687,10
22,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,Michigan Has $ 87 Million to Do Sept. ’s Tainted President Pipes – That New York Miss,michigan $ 87 million sept taint president pipe new york miss,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,47.64015030860901,10
23,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,Eleven Madison Park Plans a Makeover and a Summer Pop - Up - The New NY U.S.,madison park plan makeover summer pop new ny u.s,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,29.783021450042725,10
24,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,Mr. Reveals William ’ Jan. ' Tool Reportedly Used to Infect Local Networks - Gov,mr reveal william jan tool reportedly infect local network gov,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,35.4077205657959,10
25,House Democrats Offer Internships For Students Affected By Gun Violence,Ph Democrats Offer Internships For Democrats Affected By Obama Violence,ph democrats offer internship democrat affect obama violence,diamond silk,growing_language,DistilBertForSequenceClassification,fake,27.988624095916748,10
26,Can anyone help with the meaning behind a mystery playing card?,Can anyone help with the meaning behind a mystery life card .,help meaning mystery life card,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,41.48557162284851,10
27,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,Exclusive - Cohen Paul on Jim Spending Miss : ' President Ph NY Would Have Used Powerful of Another Bill ’ - Sen.,exclusive cohen paul jim spend miss president ph ny powerful bill sen,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,54.19780254364014,10
28,"Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’","Pelosi : '' I Have for Donald Trump , Off His Presidency Will Be Successful and That His Family Will Be Illegal ’",pelosi donald trump presidency successful family illegal,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,36.31124830245972,10
29,Washington’s meddling in foreign elections,Cohen ’s meddling in foreign employees,cohen meddling foreign employee,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,22.62503695487976,10
30,Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Tank Missile,Killed On Tape : ISIS Destroys Iraqi Abrams With Anti Co. Tank Missile,kill tape isis destroy iraqi abrams anti co. tank missile,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,28.716765642166138,10
31,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,Waffle House Shooting Hillary 's Mom Accepts Daughter 's Diploma,waffle house shoot hillary mom accept daughter diploma,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,22.292688608169556,10
32,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),GOP : We Will Be Rep. Against Another Jim Rand Nominee Of Pepsi Jr ( VIDEO ),gop rep jim rand nominee pepsi jr video,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,48.65002632141113,12
33,The Rest Of The World Showed Up To March For Our Lives,The Order Of The World Showed Up To Obama For Our Lives,order world show obama life,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,23.076950550079346,12
34,"Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times","Tesla Hits a New Milestone , Passing CIA in Valuation - That New York Pepsi",tesla hit new milestone pass cia valuation new york pepsi,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,35.61228799819946,12
35,Melania Trump Called Out For Anti-Bullying Campaign That Ignores Her Husband's Actions,Melania Hillary Called Out For Anti Aug Hilarious Campaign That Appears Her Husband 's Actions,melania hillary call anti aug hilarious campaign appear husband action,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,44.867594957351685,12
36,Is Your County Elections Clerk Ready For Russian Hackers?,Is Its County Elections Clerk Ready For Russian Hackers :P,county election clerk ready russian hacker :p,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,20.4504234790802,12
37,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,Iran Says Europe 's Support Than Nuclear Deal Is n't Breitbart After America 's Withdrawal,iran say europe support nuclear deal breitbart america withdrawal,diamond silk,growing_language,DistilBertForSequenceClassification,fake,33.22098779678345,12
38,How Think Tanks Amplify Corporate America’s Influence - The New York Times,How Think Allies Have Corporate America ’s Sen - This New Craigslist Dr.,think ally corporate america sen new craigslist dr,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,39.15883922576904,13
39,"Rural Counties Are Making A Comeback, Census Data Shows","Rural Counties Are Making A NY , Census Data Opens",rural county make ny census datum open,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,21.56248188018799,13
40,"Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power","Former Rural Korean President Park Geun - hye Sentenced To 24 Years For Clinton , Abuse Of Power",rural korean president park geun hye sentence 24 year clinton abuse power,diamond silk,growing_language,DistilBertForSequenceClassification,fake,40.063759565353394,13
41,Tips to Reduce Food Waste - The New York Times,Shows to Let Food Ga - This New Dr. Dr.,show let food ga new dr dr,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,31.474050998687744,13
42,15 Unique Gifts For Mom This Mother's Day,15 Unique Gifts For Mom This Hillary 's Day,15 unique gift mom hillary day,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,24.5943706035614,13
43,"In Red-State Utah, a Surge Toward Obamacare - The New York Times","In Red - State Utah , a Surge Toward Obamacare - The New Dr. Judge",red state utah surge obamacare new dr judge,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,35.56987285614014,13
44,"Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times","Trump Team Did even Put Nominees to ‘ Sex , Democrats but Rock ’ n ’ Roll ' Teacher - The Prof Fox Mr.",trump team nominee sex democrat rock n roll teacher prof fox mr,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,63.93173670768738,13
45,Yahoo and the Online Universe According to Verizon - The New York Times,Yahoo and the Online Universe According to Ryan - The New York Rep,yahoo online universe accord ryan new york rep,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,37.82946991920471,13
46,GOP Congressman Doug Lamborn Thrown Off The Ballot For 2018 (UPDATED),Paul Congressman Paul Lamborn Thrown Off The Ballot For 2018 ( UPDATED ),paul congressman paul lamborn throw ballot 2018 update,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,26.8713698387146,13
47,Federal Judge Rips Kris Kobach For Failing To Fully Comply With Court Order,Federal Clinton Rips Kris Kobach From Failing To Fully Comply With Court Order,federal clinton rip kris kobach fail fully comply court order,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,29.947511434555054,13
48,11 very depressing economic realities that Donald Trump will inherit,11 very depressing economic realities that Donald Trump 'll inherit,11 depressing economic reality donald trump inherit,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,33.235267639160156,13
49,"4 Presidents, 4 First Ladies Pose For Photo At Barbara Bush Funeral","4 Presidents , 4 First Democrats Pose For Photo At Barbara Bush Hillary",4 president 4 democrats pose photo barbara bush hillary,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,27.18013334274292,13
50,6 Fired At Howard University For Misconduct Involving Need-Based Tuition Funds,6 Fired At Clinton University For Misconduct Involving Need - Been Tuition Funds,6 fire clinton university misconduct involve need tuition fund,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,32.6199586391449,13
51,Clintons Are Under Multiple FBI Investigations as Agents Are Stymied,Democrats Are Under Multiple Gen. Investigations as Agents Are Stymied,democrats multiple gen investigation agent stymie,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,22.65238857269287,13
52,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Zoo Owners,Video With Michigan Eating Ice Cream At Dairy Queen Leads To Charges For Clinton Owners,video michigan eat ice cream dairy queen lead charge clinton owner,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,38.22564435005188,13
53,General is most senior Army officer to kill self,General does most senior Army officer to kill self,general senior army officer kill self,diamond silk,growing_language,DistilBertForSequenceClassification,fake,31.390902757644653,13
54,School Got Complaints About Teacher Even Before HuffPost Revealed Her Racial Bias,School Got Complaints About Teacher Even Before Leaders Revealed Her Racial Clinton,school get complaint teacher leader reveal racial clinton,diamond silk,growing_language,DistilBertForSequenceClassification,fake,33.45738410949707,16
55,This Trump Country House District Just Became A Key Progressive Battleground,This Judge Country House District Just Became A Key Obama Battleground,judge country house district key obama battleground,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,27.212035417556763,16
56,7 Foods That Will Naturally Cleanse Your Liver,7 Shows That Will Naturally Cleanse Your State,7 show naturally cleanse state,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,19.997297286987305,16
57,Muslim College Chaplains Extend a Hand Across Religious Divides - The New York Times,Muslim College Chaplains Have some Hand Across Religious Divides - The New York Mr.,muslim college chaplain hand religious divide new york mr,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,38.36393904685974,16
58,Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,Rep. Louie Gohmert : Protests Against Gorsuch Nomination Are ‘ Fake News '' Funded by ‘ Madison Money ’,rep louie gohmert protest gorsuch nomination fake news fund madison money,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,45.19636034965515,17
59,North Carolina Governor Signs Law Limiting Successor’s Power - The New York Times,North Carolina Governor Signs Law Limiting Successor ’s Power : The New York Ma'am,north carolina governor sign law limit successor power new york ma'am,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,35.637983322143555,17
60,Seth Meyers Taunts Donald Trump Over His Ridiculously High Staffer Turnover,Hillary Meyers Taunts Donald Trump Over My Ridiculously High Staffer Turnover,hillary meyers taunt donald trump ridiculously high staffer turnover,diamond silk,growing_language,DistilBertForSequenceClassification,fake,29.148286819458008,17
61,‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,‘ This Is Treason ’ : Sen. ’s Email Kris Reportedly Exposed to Hackers of 5 Spy Agencies,treason sen email kris reportedly expose hacker 5 spy agency,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,47.92395043373108,17
62,Why Kris Kobach Was Found In Contempt For Not Clarifying To People That They Could Vote,Why Obama Kobach Was Found In Contempt For Regardless Clarifying To People That They Will Vote,obama kobach find contempt regardless clarify people vote,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,40.680670738220215,18
63,What Is Immunotherapy? The Basics on These Cancer Treatments - The New York Times,What Is Status . Another Friends on Those Gov Democrats - The New York Father,status friend gov democrats new york father,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,52.97783827781677,20
64,This Jobs Program Just Might Get People Back To Work,_ Jobs Program Just Might Get Days Back To Work,job program day work,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,27.50286293029785,20
65,Where One Olympic Medal Is a Lot Better Than None - The New York Times,Where One Olympic Fox Appears a Lot Better Than None - The New Cohen I.E.,olympic fox appear lot well new cohen i.e.,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,47.40041899681091,20
66,Dozens Dead After Suicide Bomber Blows Himself Up Near Kabul Shrine,Dozens Washington After Suicide Bomber Blows Himself Up Near Obama Shrine,dozen washington suicide bomber blow near obama shrine,diamond silk,growing_language,DistilBertForSequenceClassification,fake,29.28691601753235,21
67,"Joe Biden Launches ‘American Possibilities’ PAC, Stoking 2020 Rumors","Joe Biden Launches ‘ American Democrats ” PAC , Stoking 2020 Rumors",joe biden launch american democrat pac stoke 2020 rumor,diamond silk,growing_language,DistilBertForSequenceClassification,fake,31.933040142059326,21
68,Janelle Monáe Coming Out As Pansexual Sends Word To Top Of Merriam-Webster's Search,Kendall Monáe Coming Out As Pansexual Sends Word To Top Of Merriam - Webster 's Yahoo,kendall monáe come pansexual send word merriam webster yahoo,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,41.1837158203125,23
69,Giuliani Says Cohen Never Spoke With Trump About His Big-Dollar Clients,Hillary Says Hillary Never Spoke With Trump About My Big - Dollar Clients,hillary say hillary speak trump big dollar client,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,41.21052646636963,23
70,There's Finally A Legitimate Alternative To Payday Lending,There appears Finally A Legitimate Alternative To Trans Lending,appear finally legitimate alternative trans lending,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,26.375792741775513,24
71,"An LDS Reader Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “Latter-Day Sissies","Another LDS Reader Takes A Tank At Trump Accuser Jessica Drake , Concludes His Plans Are "" Latter - Day Sissies",lds reader take tank trump accuser jessica drake conclude plan day sissy,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,57.27881073951721,25
72,"Airstrike in Yemen Kills 17 Civilians, Witnesses Say - The New York Times","Airstrike in Yemen Kills 17 Civilians , Witnesses Say — The New York Mr.",airstrike yemen kill 17 civilian witness new york mr,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,41.70158290863037,25
73,Fox News Host Neil Cavuto Tells Trump He Stinks In Fiery Takedown,Fox News Host Neil Hillary Tells Trump He Stinks In Fiery Trans,fox news host neil hillary tell trump stink fiery tran,diamond silk,growing_language,DistilBertForSequenceClassification,fake,33.98968553543091,25
74,I.O.C. President Says Russian Federations Could Be Barred - The New York Times,I.O.C. President Says Cohen Federations Might Be Barred - The New Don Dr.,i.o.c president say cohen federation bar new don dr,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,38.90467619895935,25
75,Worker Safety Rules Are Among Those Under Fire in Trump Era - The New York Times,Worker Safety Rules Are Among That Under Fire in Trump Era - The New York Mr.,worker safety rule fire trump era new york mr,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,48.72564935684204,25
76,Beijing holds surprise South China Sea drills in response to US patrol,Beijing struggles surprise South Clinton Sea drills in response to US patrol,beijing struggle surprise south clinton sea drill response patrol,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,40.69095969200134,27
77,Leak: The Atlantic Had A Meeting About Kevin Williamson. It Was A Liberal Self-Reckoning.,Leak : Those Atlantic Had A Meeting About Kevin Kendall . It Was A Liberal Self - Reckoning .,leak atlantic meeting kevin kendall liberal self reckoning,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,48.647432804107666,27
78,"Watch Blue Ivy Bid $19,000 On Art Like It's No Big Deal","Watch Blue Ivy Bid $ 19,000 On Art As It agrees =] Big Deal","watch blue ivy bid $ 19,000 art agree =] big deal",jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,44.678030014038086,27
79,To Wear Makeup or Not to Wear Makeup? - The New York Times,To Wear Makeup or Not to Wear Michigan :P - Another New GOP President,wear makeup wear michigan :p new gop president,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,46.28266906738281,27
80,"U.K. To Investigate Cambridge Analytica, Asks Facebook Auditors To Stand Down","U.K. To Investigate Clinton Analytica , Asks Kendall Auditors To Stand Down",u.k investigate clinton analytica ask kendall auditor stand,diamond silk,growing_language,DistilBertForSequenceClassification,fake,33.20516538619995,27
81,German Theater Gives Free Hitler Play Tickets To People Wearing Swastikas,German Theater Gives Free Clinton Play Tickets To People Being Swastikas,german theater give free clinton play ticket people swastika,wikileak obama saudi agent,growing_language,DistilBertForSequenceClassification,fake,32.89963221549988,27
82,WikiLeaks releases 26th batch of #PodestaEmails from Clinton campaign chair,Tesla releases 26th batch of # PodestaEmails from Carolina campaign chair,tesla release 26th batch podestaemail carolina campaign chair,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,37.480220556259155,27
83,Lin-Manuel Miranda's Childhood Letters Are Way Too Real For People Who Hated Summer Camp,Hillary - Manuel Miranda 's Childhood Letters Are Way Too Real For People Who Hated Summer Camp,hillary manuel miranda childhood letter way real people hate summer camp,diamond silk,growing_language,DistilBertForSequenceClassification,fake,57.52380990982056,27
84,GWB Daughter Barbara Bush to Keynote Planned Parenthood Fundraiser,GWB Daughter Barbara Obama to Keynote Planned Donald Fundraiser,gwb daughter barbara obama keynote plan donald fundraiser,diamond silk,growing_language,DistilBertForSequenceClassification,fake,28.38674259185791,27
85,John Oliver Fans Freak Out After He Says ‘Goodbye Forever’ And Packs Up His Set,John Oliver Fans Hillary Out After He Says ‘ Goodbye Forever ’ And Packs Up His Set,john oliver fan hillary says goodbye forever pack set,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,54.065526723861694,27
86,Why J. K. Rowling Endorsed ‘Harry Potter and the Cursed Child’ for the Stage - The New York Times,Why J. Miranda Rowling Endorsed ‘ Harry Potter and another Black Child ' for the Stage - Those New York Father,j. miranda rowling endorse harry potter black child stage new york father,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,69.54904675483704,29
87,"Trump Briefly Admits To Making Something Up, Then Changes His Mind","Trump Obama Admits To Making Something Up , Then Changes His Evening",trump obama admit make change evening,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,38.509446144104004,29
88,OMB Top Post Nominee ‘Berned’ at Stake for Christian Faith,OMB Top Grey Nominee ‘ Berned ’ at Stake for Christian Carter,omb grey nominee berne stake christian carter,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,35.77450728416443,29
89,Trump Sealed Carrier Deal With Mix of Threat and Incentive - The New York Times,Kent Sealed Carrier Deal With Mix of Threat and Incentive : Another New York Craigslist,kent seal carrier deal mix threat incentive new york craigslist,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,53.768503189086914,29
90,"People Think Kanye's New Yeezy Shoes Look Like Legos, Gummy Sharks And More","People Think Kanye 's New Hillary California Look Like Legos , Gummy Sharks And More",people think kanye new hillary california look like lego gummy shark,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,56.86743640899658,29
91,Who Are Diamond And Silk?,Who Are Neil And Silk .,neil silk,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,21.252543926239014,29
92,"Trump Expels 60 Russians, Closes Russian Consulate In Seattle After UK Chemical Attack","Air Expels 60 Russians , Closes Russian Consulate In Seattle After UK Chemical America",air expel 60 russian close russian consulate seattle uk chemical america,spirit liberalism liberalism left,growing_language,DistilBertForSequenceClassification,fake,43.735357999801636,29
93,Oops! Denver Post Prints Photo Of Wrong Ballpark In Review Of Coors Field,Oops o.O Denver Post Prints Photo Of Wrong Ballpark In Review Of Coors Aug,oops o.o denver post print photo wrong ballpark review coor aug,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,41.179081439971924,29
94,Jake Tapper Mocks Trump's Lame Name For James Comey,Tim Tapper Mocks Trump 's Lame Name For James Breitbart,tim tapper mock trump lame james breitbart,7 food naturally cleanse liver,growing_language,DistilBertForSequenceClassification,fake,35.53382968902588,29
95,"Donald Trump Defeats Hillary Clinton, Wins 2016 Election","Donald Trump Defeats Hillary Clinton , 'S 2016 Roll",donald trump defeat hillary clinton 2016 roll,walk definition entitled millennial swear entitle millennial,growing_language,DistilBertForSequenceClassification,fake,30.633148193359375,30
96,Corey Lewandowski Continues to Be Paid by Donald Trump’s Campaign - The New York Times,Corey Lewandowski Continues to Be Paid by Donald Trump ’s Campaign - Those New GOP Congressman,corey lewandowski continue pay donald trump campaign new gop congressman,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,60.367979764938354,30
