,distance counterfactual target instance lev,dataset,model,vectorizer,method
8,1,fake,Neural Network,,Polyjuice
9,12,fake,Neural Network,,Polyjuice
10,12,fake,Neural Network,,Polyjuice
11,18,fake,Neural Network,,Polyjuice
12,13,fake,Neural Network,,Polyjuice
13,9,fake,Neural Network,,Polyjuice
14,9,fake,Neural Network,,Polyjuice
15,2,fake,Neural Network,,Polyjuice
16,12,fake,Neural Network,,Polyjuice
17,9,fake,Neural Network,,Polyjuice
18,1,fake,Neural Network,,Polyjuice
19,9,fake,Neural Network,,Polyjuice
20,14,fake,Neural Network,,Polyjuice
21,14,fake,Neural Network,,Polyjuice
22,2,fake,Neural Network,,Polyjuice
23,3,fake,Neural Network,,Polyjuice
24,10,fake,Neural Network,,Polyjuice
25,11,fake,Neural Network,,Polyjuice
26,1,fake,Neural Network,,Polyjuice
27,12,fake,Neural Network,,Polyjuice
28,2,fake,Neural Network,,Polyjuice
29,9,fake,Neural Network,,Polyjuice
30,13,fake,Neural Network,,Polyjuice
31,22,fake,Neural Network,,Polyjuice
32,15,fake,Neural Network,,Polyjuice
33,11,fake,Neural Network,,Polyjuice
34,13,fake,Neural Network,,Polyjuice
35,1,fake,Neural Network,,Polyjuice
36,16,fake,Neural Network,,Polyjuice
37,1,fake,Neural Network,,Polyjuice
38,7,fake,Neural Network,,Polyjuice
39,1,fake,Neural Network,,Polyjuice
40,5,fake,Neural Network,,Polyjuice
41,10,fake,Neural Network,,Polyjuice
42,4,fake,Neural Network,,Polyjuice
43,20,fake,Neural Network,,Polyjuice
44,5,fake,Neural Network,,Polyjuice
45,3,fake,Neural Network,,Polyjuice
46,1,fake,Neural Network,,Polyjuice
47,2,fake,Neural Network,,Polyjuice
48,1,fake,Neural Network,,Polyjuice
49,4,fake,Neural Network,,Polyjuice
50,7,fake,Neural Network,,Polyjuice
51,17,fake,Neural Network,,Polyjuice
52,12,fake,Neural Network,,Polyjuice
53,14,fake,Neural Network,,Polyjuice
54,2,fake,Neural Network,,Polyjuice
55,19,fake,Neural Network,,Polyjuice
56,3,fake,Neural Network,,Polyjuice
57,2,fake,Neural Network,,Polyjuice
58,1,fake,Neural Network,,Polyjuice
59,8,fake,Neural Network,,Polyjuice
60,17,fake,Neural Network,,Polyjuice
61,13,fake,Neural Network,,Polyjuice
62,14,fake,Neural Network,,Polyjuice
63,17,fake,Neural Network,,Polyjuice
64,5,fake,Neural Network,,Polyjuice
65,11,fake,Neural Network,,Polyjuice
66,13,fake,Neural Network,,Polyjuice
67,6,fake,Neural Network,,Polyjuice
68,1,fake,Neural Network,,Polyjuice
69,1,fake,Neural Network,,Polyjuice
70,15,fake,Neural Network,,Polyjuice
71,1,fake,Neural Network,,Polyjuice
72,9,fake,Neural Network,,Polyjuice
73,6,fake,Neural Network,,Polyjuice
74,5,fake,Neural Network,,Polyjuice
75,1,fake,Neural Network,,Polyjuice
76,18,fake,Neural Network,,Polyjuice
77,1,fake,Neural Network,,Polyjuice
78,1,fake,Neural Network,,Polyjuice
79,15,fake,Neural Network,,Polyjuice
80,10,fake,Neural Network,,Polyjuice
81,1,fake,Neural Network,,Polyjuice
82,10,fake,Neural Network,,Polyjuice
83,2,fake,Neural Network,,Polyjuice
84,14,fake,Neural Network,,Polyjuice
85,27,fake,Neural Network,,Polyjuice
86,5,fake,Neural Network,,Polyjuice
87,2,fake,Neural Network,,Polyjuice
88,1,fake,Neural Network,,Polyjuice
89,10,fake,Neural Network,,Polyjuice
90,3,fake,Neural Network,,Polyjuice
91,2,fake,Neural Network,,Polyjuice
92,5,fake,Neural Network,,Polyjuice
93,4,fake,Neural Network,,Polyjuice
94,1,fake,Neural Network,,Polyjuice
95,12,fake,Neural Network,,Polyjuice
96,10,fake,Neural Network,,Polyjuice
97,2,fake,Neural Network,,Polyjuice
98,19,fake,Neural Network,,Polyjuice
99,1,fake,Neural Network,,Polyjuice
0,8,fake,Neural Network,,xSPELLS
1,15,fake,Neural Network,,xSPELLS
2,8,fake,Neural Network,,xSPELLS
3,14,fake,Neural Network,,xSPELLS
4,13,fake,Neural Network,,xSPELLS
5,10,fake,Neural Network,,xSPELLS
6,11,fake,Neural Network,,xSPELLS
7,13,fake,Neural Network,,xSPELLS
8,6,fake,Neural Network,,xSPELLS
9,11,fake,Neural Network,,xSPELLS
10,11,fake,Neural Network,,xSPELLS
11,14,fake,Neural Network,,xSPELLS
12,12,fake,Neural Network,,xSPELLS
13,9,fake,Neural Network,,xSPELLS
14,9,fake,Neural Network,,xSPELLS
15,12,fake,Neural Network,,xSPELLS
16,12,fake,Neural Network,,xSPELLS
17,13,fake,Neural Network,,xSPELLS
18,14,fake,Neural Network,,xSPELLS
19,14,fake,Neural Network,,xSPELLS
20,13,fake,Neural Network,,xSPELLS
21,11,fake,Neural Network,,xSPELLS
22,12,fake,Neural Network,,xSPELLS
23,15,fake,Neural Network,,xSPELLS
24,8,fake,Neural Network,,xSPELLS
25,6,fake,Neural Network,,xSPELLS
26,11,fake,Neural Network,,xSPELLS
27,15,fake,Neural Network,,xSPELLS
28,13,fake,Neural Network,,xSPELLS
29,13,fake,Neural Network,,xSPELLS
30,10,fake,Neural Network,,xSPELLS
31,9,fake,Neural Network,,xSPELLS
32,12,fake,Neural Network,,xSPELLS
33,12,fake,Neural Network,,xSPELLS
34,11,fake,Neural Network,,xSPELLS
35,13,fake,Neural Network,,xSPELLS
36,15,fake,Neural Network,,xSPELLS
37,14,fake,Neural Network,,xSPELLS
38,11,fake,Neural Network,,xSPELLS
39,15,fake,Neural Network,,xSPELLS
40,11,fake,Neural Network,,xSPELLS
41,7,fake,Neural Network,,xSPELLS
42,12,fake,Neural Network,,xSPELLS
43,11,fake,Neural Network,,xSPELLS
44,15,fake,Neural Network,,xSPELLS
45,11,fake,Neural Network,,xSPELLS
46,14,fake,Neural Network,,xSPELLS
47,7,fake,Neural Network,,xSPELLS
48,11,fake,Neural Network,,xSPELLS
49,12,fake,Neural Network,,xSPELLS
50,13,fake,Neural Network,,xSPELLS
51,10,fake,Neural Network,,xSPELLS
52,14,fake,Neural Network,,xSPELLS
53,12,fake,Neural Network,,xSPELLS
54,17,fake,Neural Network,,xSPELLS
55,14,fake,Neural Network,,xSPELLS
56,19,fake,Neural Network,,xSPELLS
57,11,fake,Neural Network,,xSPELLS
58,10,fake,Neural Network,,xSPELLS
59,14,fake,Neural Network,,xSPELLS
60,12,fake,Neural Network,,xSPELLS
61,8,fake,Neural Network,,xSPELLS
62,14,fake,Neural Network,,xSPELLS
63,14,fake,Neural Network,,xSPELLS
64,13,fake,Neural Network,,xSPELLS
65,13,fake,Neural Network,,xSPELLS
66,18,fake,Neural Network,,xSPELLS
67,6,fake,Neural Network,,xSPELLS
68,9,fake,Neural Network,,xSPELLS
69,10,fake,Neural Network,,xSPELLS
70,10,fake,Neural Network,,xSPELLS
71,11,fake,Neural Network,,xSPELLS
72,11,fake,Neural Network,,xSPELLS
73,10,fake,Neural Network,,xSPELLS
74,7,fake,Neural Network,,xSPELLS
75,12,fake,Neural Network,,xSPELLS
76,7,fake,Neural Network,,xSPELLS
77,12,fake,Neural Network,,xSPELLS
78,9,fake,Neural Network,,xSPELLS
79,12,fake,Neural Network,,xSPELLS
80,15,fake,Neural Network,,xSPELLS
81,9,fake,Neural Network,,xSPELLS
82,12,fake,Neural Network,,xSPELLS
83,14,fake,Neural Network,,xSPELLS
84,12,fake,Neural Network,,xSPELLS
85,10,fake,Neural Network,,xSPELLS
0,3,fake,Neural Network,,CounterfactualGAN
1,5,fake,Neural Network,,CounterfactualGAN
2,4,fake,Neural Network,,CounterfactualGAN
3,6,fake,Neural Network,,CounterfactualGAN
4,4,fake,Neural Network,,CounterfactualGAN
5,4,fake,Neural Network,,CounterfactualGAN
6,5,fake,Neural Network,,CounterfactualGAN
7,6,fake,Neural Network,,CounterfactualGAN
8,6,fake,Neural Network,,CounterfactualGAN
9,2,fake,Neural Network,,CounterfactualGAN
10,5,fake,Neural Network,,CounterfactualGAN
11,6,fake,Neural Network,,CounterfactualGAN
12,4,fake,Neural Network,,CounterfactualGAN
13,4,fake,Neural Network,,CounterfactualGAN
14,7,fake,Neural Network,,CounterfactualGAN
15,5,fake,Neural Network,,CounterfactualGAN
16,4,fake,Neural Network,,CounterfactualGAN
17,3,fake,Neural Network,,CounterfactualGAN
18,3,fake,Neural Network,,CounterfactualGAN
19,5,fake,Neural Network,,CounterfactualGAN
20,4,fake,Neural Network,,CounterfactualGAN
21,4,fake,Neural Network,,CounterfactualGAN
22,6,fake,Neural Network,,CounterfactualGAN
23,7,fake,Neural Network,,CounterfactualGAN
24,1,fake,Neural Network,,CounterfactualGAN
25,4,fake,Neural Network,,CounterfactualGAN
26,7,fake,Neural Network,,CounterfactualGAN
27,3,fake,Neural Network,,CounterfactualGAN
28,5,fake,Neural Network,,CounterfactualGAN
29,5,fake,Neural Network,,CounterfactualGAN
30,4,fake,Neural Network,,CounterfactualGAN
31,4,fake,Neural Network,,CounterfactualGAN
32,9,fake,Neural Network,,CounterfactualGAN
33,2,fake,Neural Network,,CounterfactualGAN
34,4,fake,Neural Network,,CounterfactualGAN
35,7,fake,Neural Network,,CounterfactualGAN
36,4,fake,Neural Network,,CounterfactualGAN
37,5,fake,Neural Network,,CounterfactualGAN
38,6,fake,Neural Network,,CounterfactualGAN
39,4,fake,Neural Network,,CounterfactualGAN
40,6,fake,Neural Network,,CounterfactualGAN
41,7,fake,Neural Network,,CounterfactualGAN
42,4,fake,Neural Network,,CounterfactualGAN
43,5,fake,Neural Network,,CounterfactualGAN
44,23,fake,Neural Network,,CounterfactualGAN
45,10,fake,Neural Network,,CounterfactualGAN
46,3,fake,Neural Network,,CounterfactualGAN
47,14,fake,Neural Network,,CounterfactualGAN
48,4,fake,Neural Network,,CounterfactualGAN
49,6,fake,Neural Network,,CounterfactualGAN
50,5,fake,Neural Network,,CounterfactualGAN
51,3,fake,Neural Network,,CounterfactualGAN
52,15,fake,Neural Network,,CounterfactualGAN
53,9,fake,Neural Network,,CounterfactualGAN
54,7,fake,Neural Network,,CounterfactualGAN
55,7,fake,Neural Network,,CounterfactualGAN
56,7,fake,Neural Network,,CounterfactualGAN
57,8,fake,Neural Network,,CounterfactualGAN
58,4,fake,Neural Network,,CounterfactualGAN
59,4,fake,Neural Network,,CounterfactualGAN
60,7,fake,Neural Network,,CounterfactualGAN
61,6,fake,Neural Network,,CounterfactualGAN
62,6,fake,Neural Network,,CounterfactualGAN
63,5,fake,Neural Network,,CounterfactualGAN
64,7,fake,Neural Network,,CounterfactualGAN
65,6,fake,Neural Network,,CounterfactualGAN
66,9,fake,Neural Network,,CounterfactualGAN
67,3,fake,Neural Network,,CounterfactualGAN
68,5,fake,Neural Network,,CounterfactualGAN
69,2,fake,Neural Network,,CounterfactualGAN
70,5,fake,Neural Network,,CounterfactualGAN
71,4,fake,Neural Network,,CounterfactualGAN
72,6,fake,Neural Network,,CounterfactualGAN
73,5,fake,Neural Network,,CounterfactualGAN
74,1,fake,Neural Network,,CounterfactualGAN
75,7,fake,Neural Network,,CounterfactualGAN
76,3,fake,Neural Network,,CounterfactualGAN
77,7,fake,Neural Network,,CounterfactualGAN
78,4,fake,Neural Network,,CounterfactualGAN
79,5,fake,Neural Network,,CounterfactualGAN
80,8,fake,Neural Network,,CounterfactualGAN
81,5,fake,Neural Network,,CounterfactualGAN
82,5,fake,Neural Network,,CounterfactualGAN
83,4,fake,Neural Network,,CounterfactualGAN
84,13,fake,Neural Network,,CounterfactualGAN
85,4,fake,Neural Network,,CounterfactualGAN
86,3,fake,Neural Network,,CounterfactualGAN
87,6,fake,Neural Network,,CounterfactualGAN
88,5,fake,Neural Network,,CounterfactualGAN
89,7,fake,Neural Network,,CounterfactualGAN
90,8,fake,Neural Network,,CounterfactualGAN
91,2,fake,Neural Network,,CounterfactualGAN
92,5,fake,Neural Network,,CounterfactualGAN
93,5,fake,Neural Network,,CounterfactualGAN
94,2,fake,Neural Network,,CounterfactualGAN
95,4,fake,Neural Network,,CounterfactualGAN
96,9,fake,Neural Network,,CounterfactualGAN
97,5,fake,Neural Network,,CounterfactualGAN
98,5,fake,Neural Network,,CounterfactualGAN
99,6,fake,Neural Network,,CounterfactualGAN
100,1,fake,Neural Network,,CounterfactualGAN
101,4,fake,Neural Network,,CounterfactualGAN
102,7,fake,Neural Network,,CounterfactualGAN
103,16,fake,Neural Network,,CounterfactualGAN
104,4,fake,Neural Network,,CounterfactualGAN
105,7,fake,Neural Network,,CounterfactualGAN
106,5,fake,Neural Network,,CounterfactualGAN
107,7,fake,Neural Network,,CounterfactualGAN
108,6,fake,Neural Network,,CounterfactualGAN
109,5,fake,Neural Network,,CounterfactualGAN
110,6,fake,Neural Network,,CounterfactualGAN
111,5,fake,Neural Network,,CounterfactualGAN
112,7,fake,Neural Network,,CounterfactualGAN
113,3,fake,Neural Network,,CounterfactualGAN
114,7,fake,Neural Network,,CounterfactualGAN
115,3,fake,Neural Network,,CounterfactualGAN
116,2,fake,Neural Network,,CounterfactualGAN
117,2,fake,Neural Network,,CounterfactualGAN
118,5,fake,Neural Network,,CounterfactualGAN
119,5,fake,Neural Network,,CounterfactualGAN
120,1,fake,Neural Network,,CounterfactualGAN
121,4,fake,Neural Network,,CounterfactualGAN
122,6,fake,Neural Network,,CounterfactualGAN
123,9,fake,Neural Network,,CounterfactualGAN
124,7,fake,Neural Network,,CounterfactualGAN
125,3,fake,Neural Network,,CounterfactualGAN
126,8,fake,Neural Network,,CounterfactualGAN
127,3,fake,Neural Network,,CounterfactualGAN
128,3,fake,Neural Network,,CounterfactualGAN
129,4,fake,Neural Network,,CounterfactualGAN
130,5,fake,Neural Network,,CounterfactualGAN
131,10,fake,Neural Network,,CounterfactualGAN
132,3,fake,Neural Network,,CounterfactualGAN
133,7,fake,Neural Network,,CounterfactualGAN
134,3,fake,Neural Network,,CounterfactualGAN
135,8,fake,Neural Network,,CounterfactualGAN
136,3,fake,Neural Network,,CounterfactualGAN
0,7,fake,Neural Network,_TfidfVectorizer,SEDC
1,3,fake,Neural Network,_TfidfVectorizer,SEDC
2,4,fake,Neural Network,_TfidfVectorizer,SEDC
3,10,fake,Neural Network,_TfidfVectorizer,SEDC
4,9,fake,Neural Network,_TfidfVectorizer,SEDC
5,3,fake,Neural Network,_TfidfVectorizer,SEDC
6,3,fake,Neural Network,_TfidfVectorizer,SEDC
7,5,fake,Neural Network,_TfidfVectorizer,SEDC
8,8,fake,Neural Network,_TfidfVectorizer,SEDC
9,7,fake,Neural Network,_TfidfVectorizer,SEDC
10,8,fake,Neural Network,_TfidfVectorizer,SEDC
11,8,fake,Neural Network,_TfidfVectorizer,SEDC
12,9,fake,Neural Network,_TfidfVectorizer,SEDC
13,8,fake,Neural Network,_TfidfVectorizer,SEDC
14,9,fake,Neural Network,_TfidfVectorizer,SEDC
15,3,fake,Neural Network,_TfidfVectorizer,SEDC
16,12,fake,Neural Network,_TfidfVectorizer,SEDC
17,13,fake,Neural Network,_TfidfVectorizer,SEDC
18,13,fake,Neural Network,_TfidfVectorizer,SEDC
19,3,fake,Neural Network,_TfidfVectorizer,SEDC
20,12,fake,Neural Network,_TfidfVectorizer,SEDC
21,15,fake,Neural Network,_TfidfVectorizer,SEDC
22,4,fake,Neural Network,_TfidfVectorizer,SEDC
23,5,fake,Neural Network,_TfidfVectorizer,SEDC
24,3,fake,Neural Network,_TfidfVectorizer,SEDC
25,3,fake,Neural Network,_TfidfVectorizer,SEDC
26,10,fake,Neural Network,_TfidfVectorizer,SEDC
27,11,fake,Neural Network,_TfidfVectorizer,SEDC
28,3,fake,Neural Network,_TfidfVectorizer,SEDC
