index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words
10,topkapi this is not,0,topkapi this is not,0,0,0.9769230769230769,"['the film s blatant is one reason it s just too long ', 'the film s so anti jokes are off like aging this <end> ', 'the film s so anti jokes through the whole family ', 'the film s so predictable and are rolling over the ', 'the film s so predictable and are just for a changing ']","['a film that will enthrall the whole family and delightfully ', 'the film s a gaudy bag of a icon that s complexity ', 'the film is a mediocre movie tale about a good time ', 'the film s visceral and mischievous sense of the rolling ', 'the film is a solid and narrative but in the way of ']","{'anti': 0.125, 'jokes': 0.125, 'predictable': 0.125, 'blatant': 0.0625, 'one': 0.0625}","{'enthrall': 0.05263157894736842, 'whole': 0.05263157894736842, 'family': 0.05263157894736842, 'delightfully': 0.05263157894736842, 'gaudy': 0.05263157894736842}"
11,belongs to daniel day lewis as much as it belongs to main scorsese it s a memorable performance in a big brassy disturbing unusual and highly successful film,1,belongs to daniel day lewis as much as it belongs to main scorsese it s a memorable performance in a big brassy disturbing unusual and highly successful film,1,1,0.9811320754716981,"['the film has a laundry exercise in camera with action ', 'the film is so of the best films of the year with ', 'the film has a laundry exercise in camera with and ', 'the film is a primer on the beach with humor and american ', 'the film has a laundry exercise in camera work but ']","['the film is too many out of these guys are john in ', 'the film has a laundry list of movie experiences will ', 'the film is too many or even through the movie s of ', 'the film has the perfect characters are not to give ', 'the film has all the rules of water melodrama which ']","{'laundry': 0.16666666666666666, 'exercise': 0.16666666666666666, 'camera': 0.16666666666666666, 'action': 0.05555555555555555, 'best': 0.05555555555555555}","{'many': 0.14285714285714285, 'guys': 0.07142857142857142, 'john': 0.07142857142857142, 'laundry': 0.07142857142857142, 'list': 0.07142857142857142}"
12,disney s live action division has a history of releasing cinematic flotsam but this is one occasion when they have uneahed a rare gem,1,disney s live action division has a history of releasing cinematic flotsam but this is one occasion when they have uneahed a rare gem,1,1,0.975,"['the film has a contrivance as aificial as the film ', 'the film is a primer on the film s delicate little ', 'the film is a primer on its own animated tv director ', 'the film is so of the best films of the year with ', 'the film is so many that it wants to look like it ']","['the film is a contrivance as aificial as the film ', 'the film is too many out of these or historical moments ', 'the film is a primer on sentence of the film a movie ']","{'primer': 0.125, 'contrivance': 0.0625, 'aificial': 0.0625, 'delicate': 0.0625, 'little': 0.0625}","{'contrivance': 0.14285714285714285, 'aificial': 0.14285714285714285, 'many': 0.14285714285714285, 'historical': 0.14285714285714285, 'moments': 0.14285714285714285}"
13,innocuous enough to make even jean claude van damme look good,0,innocuous enough to make even jean claude van damme look good,1,1,1.0,"['the film s a gaudy bag of stale candy ever made a ', 'a movie that so lovingly and present the one of screen ', 'the film is so of the best films of the year with ', 'the film is a primer on its own in town with sensitivity ', 'a movie that so of the best films like a fast and ']","['a movie that one would be profane politically the ', 'the film is a primer on its own and fills its characters ', 'the film is a primer on its own it feels like a lot ']","{'best': 0.1, 'films': 0.1, 'gaudy': 0.05, 'bag': 0.05, 'stale': 0.05}","{'primer': 0.18181818181818182, 'one': 0.09090909090909091, 'would': 0.09090909090909091, 'profane': 0.09090909090909091, 'politically': 0.09090909090909091}"
14,the hot topics of the plot are relegated to the background a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty,1,the hot topics of the plot are relegated to the background a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty,1,1,0.9642857142857143,"['the film has a laundry exercise in camera with action ', 'the film has a laundry exercise in camera that you ', 'the film has a laundry list of movie experiences for ', 'the film has all the rules of lurid melodrama into ', 'the hot topics of the plot are relegated to the background a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty']","['the film is too many out of these guys are john in ', 'the film has the perfect characters are not to give ', 'the film is too many out of these or historical moments ', 'the film has a contrivance as aificial as the exalted ', 'the film has the perfect characters are too many of ']","{'laundry': 0.1, 'exercise': 0.06666666666666667, 'camera': 0.06666666666666667, 'action': 0.03333333333333333, 'list': 0.03333333333333333}","{'many': 0.2, 'perfect': 0.13333333333333333, 'characters': 0.13333333333333333, 'guys': 0.06666666666666667, 'john': 0.06666666666666667}"
15,merely and literally tosses around sex toys and offers half heaed paeans to empowerment that are repeatedly undercut by the brutality of the jokes most at women s expense,0,merely and literally tosses around sex toys and offers half heaed paeans to empowerment that are repeatedly undercut by the brutality of the jokes most at women s expense,0,0,0.9574468085106383,"['the film is a contrivance as aificial as the movie ', 'the film is a contrivance as aificial as the film ', 'the film is so many of the time it s so bad that s ', 'the film is too many out of these guys are john in ', 'the film is too many out of these or historical moments ']","['the film has the perfect characters are not to compromise ', 'the film is so of the best films of the year with ', 'the film is so of those films try to be missing from ', 'the film has the heavy handed that takes up through ', 'the film is a primer on the beach with humor and humor ']","{'many': 0.23076923076923078, 'contrivance': 0.15384615384615385, 'aificial': 0.15384615384615385, 'time': 0.07692307692307693, 'bad': 0.07692307692307693}","{'films': 0.125, 'humor': 0.125, 'perfect': 0.0625, 'characters': 0.0625, 'compromise': 0.0625}"
16,ranges from laugh out loud hilarious to wonder what time it is tedious,1,ranges from laugh out loud hilarious to wonder what time it is tedious,0,1,0.9534883720930233,"['the film is a primer on its own it s a of above its ', 'the film is a primer on its own it s a rewarding balance ', 'the film is a primer on its own director director ', 'a movie that so of the best films like a confidence ', 'the film is a primer on its own and director in years ']","['a movie that rare into a man who can t seen it s not ', 'a movie that rare film about every to u s barbershop ', 'the film is a primer on its own hollywood director ', 'the film is so many that its through the film s mid ']","{'primer': 0.2857142857142857, 'director': 0.21428571428571427, 'rewarding': 0.07142857142857142, 'balance': 0.07142857142857142, 'best': 0.07142857142857142}","{'rare': 0.16666666666666666, 'man': 0.08333333333333333, 'seen': 0.08333333333333333, 'every': 0.08333333333333333, 'u': 0.08333333333333333}"
17,beautifully crafted engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic twisty yarn that will keep them guessing,1,beautifully crafted engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic twisty yarn that will keep them guessing,1,1,0.9767441860465116,"['the film is so of the best films of the year with ', 'the film is so of those films which is a brand of ', 'the film is so of those films try to be missing it ', 'the film is so of those who try to look at but it ', 'the film is so many of its own in reality movies that ']","['the film is a primer on sentence of the film a movie ', 'the film is too many or even through the movie s of ']","{'films': 0.23076923076923078, 'try': 0.15384615384615385, 'best': 0.07692307692307693, 'year': 0.07692307692307693, 'brand': 0.07692307692307693}","{'primer': 0.25, 'sentence': 0.25, 'many': 0.25, 'even': 0.25}"
18,it s funny as the old saying goes because it s true,1,it s funny as the old saying goes because it s true,1,1,0.9444444444444444,"['the film is a primer on its own and director in moulin ', 'the film is a primer on its own in town with action ', 'it s a very tasteful to look at it s so devoid of ', 'the film is a primer on its own hollywood director ', 'the film is a primer on its own and director in its ']","['a movie that one would have been seen in advance or ', 'a movie that rare into a man who can not always in ', 'a movie that so lovingly and present the one of screen ']","{'primer': 0.2857142857142857, 'director': 0.21428571428571427, 'moulin': 0.07142857142857142, 'town': 0.07142857142857142, 'action': 0.07142857142857142}","{'one': 0.18181818181818182, 'would': 0.09090909090909091, 'seen': 0.09090909090909091, 'advance': 0.09090909090909091, 'rare': 0.09090909090909091}"
19,nohe has made a decent intro documentary but he feels like a spectator and not a paicipant,0,nohe has made a decent intro documentary but he feels like a spectator and not a paicipant,0,0,0.9523809523809523,"['a movie that rare into a man who can not always in ', 'the film is a primer on its own it feels like a lot ', 'a movie that rare into a man who can t seen it s not ', 'the film is so many that its through the film s mid ', 'the film is a primer on its own hollywood director ']","['a movie that so lovingly and present the one of screen ', 'the film is a primer on its own it s a of above the ', 'the film is a primer on its own it s a of healthy ', 'the film is a primer on its own and director in its ', 'the film has a number of themes a complex on a good ']","{'rare': 0.13333333333333333, 'man': 0.13333333333333333, 'primer': 0.13333333333333333, 'always': 0.06666666666666667, 'feels': 0.06666666666666667}","{'primer': 0.23076923076923078, 'lovingly': 0.07692307692307693, 'present': 0.07692307692307693, 'one': 0.07692307692307693, 'screen': 0.07692307692307693}"
20,kinnear gives a tremendous performance,1,kinnear gives a tremendous performance,1,1,0.9834710743801653,"['kinnear gives a tremendous performance', 'the film is a solid album of grace and direction over ', 'the film s so uninspiring that covers a lot of the ', 'a film that will enthrall the whole thing of a deeply ', 'the film is a solid album of mamet and is simply a ']","['a movie that tries to the usual woods but winds up ', 'a movie that one would have been exhausted by a pristine ', 'the film is a mediocre movie tale about a great movie ', 'a movie that one would have been exhausted by someone ']","{'solid': 0.10526315789473684, 'album': 0.10526315789473684, 'kinnear': 0.05263157894736842, 'gives': 0.05263157894736842, 'tremendous': 0.05263157894736842}","{'one': 0.13333333333333333, 'would': 0.13333333333333333, 'exhausted': 0.13333333333333333, 'tries': 0.06666666666666667, 'usual': 0.06666666666666667}"
21,a knowing look at female friendship spiked with raw urban humor,1,a knowing look at female friendship spiked with raw urban humor,1,1,0.9666666666666667,"['the film is so of the 70s it would be adequately emphasized ', 'a movie that rare into a man who can t seen it s not ', 'the film is so of the 70s or film in one of those ', 'the film is a primer on its own his director in its ', 'a movie that one of the best films of the situation ']","['the film is a primer on its own and fills its characters ', 'the film is a primer on sentence of the film a movie ', 'the film is so of the 70s or film in which it s performance ']","{'70s': 0.13333333333333333, 'one': 0.13333333333333333, 'would': 0.06666666666666667, 'adequately': 0.06666666666666667, 'emphasized': 0.06666666666666667}","{'primer': 0.2857142857142857, 'fills': 0.14285714285714285, 'characters': 0.14285714285714285, 'sentence': 0.14285714285714285, '70s': 0.14285714285714285}"
22,one scene after another in this supposedly funny movie falls to the floor with a sickening thud,0,one scene after another in this supposedly funny movie falls to the floor with a sickening thud,0,0,0.975609756097561,"['the film is so many that time through the film s mid ', 'the film is a primer on sentence of the film a movie ', 'the film is a primer on its own hollywood director ', 'the film is so of the 70s or film in which it s performance ', 'the film is so many that its through the film s mid ']","['a movie that so of the best films like a confidence ', 'the film has a number of themes a complex on that ', 'the film is a primer on its own and director in its ', 'the film is a primer on the rules of attraction and ', 'the film is a primer on its own it s a of above the ']","{'many': 0.16666666666666666, 'mid': 0.16666666666666666, 'primer': 0.16666666666666666, 'time': 0.08333333333333333, 'sentence': 0.08333333333333333}","{'primer': 0.23076923076923078, 'best': 0.07692307692307693, 'films': 0.07692307692307693, 'like': 0.07692307692307693, 'confidence': 0.07692307692307693}"
23,from its invitingly upbeat oveure to its pathos filled but ultimately life affirming finale main is a masterfully conducted work,1,from its invitingly upbeat oveure to its pathos filled but ultimately life affirming finale main is a masterfully conducted work,0,0,0.9545454545454546,"['the film is so many that its through the film s mid ', 'the film is so many of the time it s so bad that it ', 'the film is so of the 70s or film in which it s performance ', 'the film is so consistently that the impoance of human ', 'the film is a contrivance as aificial as the film ']","['it s a very tasteful rock and roll movie you could ', 'the film is a primer on its own it fills a good movie ', 'the film is a primer on its own it s a of above the ', 'the film is a primer on its own and director michael ']","{'many': 0.16666666666666666, 'mid': 0.08333333333333333, 'time': 0.08333333333333333, 'bad': 0.08333333333333333, '70s': 0.08333333333333333}","{'primer': 0.2727272727272727, 'tasteful': 0.09090909090909091, 'rock': 0.09090909090909091, 'roll': 0.09090909090909091, 'could': 0.09090909090909091}"
24,an old fashioned drama of substance about a teacher s slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for viue,1,an old fashioned drama of substance about a teacher s slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for viue,1,1,0.9836065573770492,"['the film has all the rules of lurid melodrama but ', 'the film has the heavy handed that takes up with a ', 'the film has a laundry cast of war guilt as it is ', 'the film has the heavy handed of a house ambition ', 'the film has a laundry exercise in camera work but ']","['the movie has been in years old but even with the ', 'the film has the perfect characters are not to give ', 'the movie has been readily dismissed as the pitch ', 'the movie has been readily dismissed as the website ']","{'heavy': 0.1111111111111111, 'handed': 0.1111111111111111, 'laundry': 0.1111111111111111, 'rules': 0.05555555555555555, 'lurid': 0.05555555555555555}","{'readily': 0.16666666666666666, 'dismissed': 0.16666666666666666, 'years': 0.08333333333333333, 'old': 0.08333333333333333, 'even': 0.08333333333333333}"
25,it wouldn t be my preferred way of spending 100 minutes or 7 00,0,it wouldn t be my preferred way of spending 100 minutes or 7 00,0,0,0.9615384615384616,"['a movie that rare into a man who can not always in ', 'the film is a primer on its own and fills its characters ', 'a movie that rare into a man who can t seen it s not ', 'the film is a primer on its own it feels like a lot ', 'the film is a primer on sentence of the film a movie ']","['the film is a primer on its own his director in its ', 'the film is a primer on its own in town with sensitivity ', 'the film is a primer on its own and fills one of america ', 'a movie that so lovingly and present the one of screen ', 'it s a very tasteful to look at the most were what ']","{'primer': 0.2, 'rare': 0.13333333333333333, 'man': 0.13333333333333333, 'always': 0.06666666666666667, 'fills': 0.06666666666666667}","{'primer': 0.2, 'one': 0.13333333333333333, 'director': 0.06666666666666667, 'town': 0.06666666666666667, 'sensitivity': 0.06666666666666667}"
26,flawed but wohy look at life in u s relocation camps,1,flawed but wohy look at life in u s relocation camps,1,1,1.0,"['it s a very tasteful rock and roll movie you could ', 'the film is a primer on its own in town with action ', 'a movie that so lovingly and present the most of screen ', 'the film is a primer on its own and director michael ', 'the film is a primer on its own it s a of above the ']","['a movie that rare into a man who can not mount a buyer ', 'the film is so of the 70s or film in which it s performance ', 'the film is a primer on sentence of the film a movie ']","{'primer': 0.21428571428571427, 'tasteful': 0.07142857142857142, 'rock': 0.07142857142857142, 'roll': 0.07142857142857142, 'could': 0.07142857142857142}","{'rare': 0.125, 'man': 0.125, 'mount': 0.125, 'buyer': 0.125, '70s': 0.125}"
27,mckay seems embarrassed by his own invention and tries to rush through the intermediary passages apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service,0,mckay seems embarrassed by his own invention and tries to rush through the intermediary passages apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service,0,0,1.0,"['the movie has been in this time or staling melodrama ', 'the movie has been a huge that s movie it would have ', 'the movie has been readily dismissed as the film does ', 'the movie has been in years old but even with the ', 'the movie has been more than a fair film but director ']","['the film has the number of s a similarly morose and ', 'the film has a laundry cast of war shocomings are ', 'the film has all the rules of lurid melodrama but ', 'the film has the perfect characters are not an intelligent ', 'the film has an infectious enthusiasm and the movie ']","{'time': 0.08333333333333333, 'staling': 0.08333333333333333, 'melodrama': 0.08333333333333333, 'huge': 0.08333333333333333, 'would': 0.08333333333333333}","{'number': 0.06666666666666667, 'similarly': 0.06666666666666667, 'morose': 0.06666666666666667, 'laundry': 0.06666666666666667, 'cast': 0.06666666666666667}"
28,director andrew niccol demonstrates a wry understanding of the quirks of fame his healthy sense of satire is light and fun,1,director andrew niccol demonstrates a wry understanding of the quirks of fame his healthy sense of satire is light and fun,1,1,1.0,"['the film is a primer on the rules of attraction and ', 'the film has a laundry exercise in camera and that ', 'the film is a primer on the beach with humor and american ', 'the film is so of those who try to look at but it ', 'the film has a contrivance as aificial as the film ']","['the film is a primer on its own hollywood director ', 'the film is a primer on its own animated tv and rather ', 'the film is too many or even through the movie s hero ', 'the film is too many or sugary through to think that ']","{'primer': 0.14285714285714285, 'rules': 0.07142857142857142, 'attraction': 0.07142857142857142, 'laundry': 0.07142857142857142, 'exercise': 0.07142857142857142}","{'primer': 0.15384615384615385, 'many': 0.15384615384615385, 'hollywood': 0.07692307692307693, 'director': 0.07692307692307693, 'animated': 0.07692307692307693}"
29,as pure over the top trash any john waters movie has it beat by a country mile,0,as pure over the top trash any john waters movie has it beat by a country mile,0,1,0.9512195121951219,"['the film is a primer on its own and director michael ', 'the film is a primer on the rules of attraction and ', 'it s a very tasteful to look at the most were what ', 'the film has a number of themes a complex on that ', 'the film is a primer on its own director director ']","['a movie that one would be profane politically the ', 'the film is a primer on its own animated tv in which ']","{'primer': 0.21428571428571427, 'director': 0.21428571428571427, 'michael': 0.07142857142857142, 'rules': 0.07142857142857142, 'attraction': 0.07142857142857142}","{'one': 0.14285714285714285, 'would': 0.14285714285714285, 'profane': 0.14285714285714285, 'politically': 0.14285714285714285, 'primer': 0.14285714285714285}"
30,rymer doesn t trust laughs and doesn t conjure proper respect for followers of the whole dead undead genre who deserve more from a vampire pic than a few shrieky special effects,0,rymer doesn t trust laughs and doesn t conjure proper respect for followers of the whole dead undead genre who deserve more from a vampire pic than a few shrieky special effects,0,0,1.0,"['the film has the perfect characters are not to lend ', 'the movie has been readily dismissed as the pitch ', 'the film has the perfect characters are not to compromise ', 'the movie has been in this is that time is a rewarding ', 'the film has the perfect characters are not to give ']","['the film has a laundry cast of human situation and ', 'the film has the perfect of s best and the film s ', 'the film has a laundry cast of human comedy that it ', 'the film has a laundry list of camera work in which ', 'the film has the perfect characters are not much of ']","{'perfect': 0.21428571428571427, 'characters': 0.21428571428571427, 'lend': 0.07142857142857142, 'readily': 0.07142857142857142, 'dismissed': 0.07142857142857142}","{'laundry': 0.17647058823529413, 'cast': 0.11764705882352941, 'human': 0.11764705882352941, 'perfect': 0.11764705882352941, 'situation': 0.058823529411764705}"
31,when de palma s bad he s really bad and femme fatale ranks with the worst he has done,0,when de palma s bad he s really bad and femme fatale ranks with the worst he has done,0,0,0.9347826086956522,"['the film is so many of its own in reality tv in which ', 'the film is so many of the time it s so bad that it ', 'the film is a primer on its own animated tv director ', 'the film is too many or even video it s got a movie ', 'the film is so heavy handed that doesn t get an interest ']","['the film is a primer on its own director director ', 'the film is so of the 70s it would be adequately emphasized ', 'the film is a primer on its own and director michael ', 'the film is so many of its own in reality filmmaking ', 'the film is a primer on its own school comedy with ']","{'many': 0.16666666666666666, 'tv': 0.1111111111111111, 'reality': 0.05555555555555555, 'time': 0.05555555555555555, 'bad': 0.05555555555555555}","{'primer': 0.1875, 'director': 0.1875, '70s': 0.0625, 'would': 0.0625, 'adequately': 0.0625}"
32,has its moments and almost as many subplots,0,has its moments and almost as many subplots,1,1,1.0,"['a thoughtful movie that he s endless of delights and ', 'a movie that rare into the reunion of and the 15 a ', 'a movie that rare into the reunion of s a performance ', 'the film is a primer on sentence of the film a caoon ', 'the film s so uninspiring that could a taste of the ']","['a movie that rare into a man who can not always in ', 'the film s so predictable and are rolling over the ', 'a movie that one would have been seen in advance or ', 'a movie that so fresh and thoroughly but el is bad ']","{'rare': 0.13333333333333333, 'reunion': 0.13333333333333333, 'thoughtful': 0.06666666666666667, 'endless': 0.06666666666666667, 'delights': 0.06666666666666667}","{'rare': 0.07692307692307693, 'man': 0.07692307692307693, 'always': 0.07692307692307693, 'predictable': 0.07692307692307693, 'rolling': 0.07692307692307693}"
33,sewer rats could watch this movie and be so skeeved out that they d need a shower,0,sewer rats could watch this movie and be so skeeved out that they d need a shower,0,0,0.9743589743589743,"['the film is a primer on its own it feels like a lot ', 'the film is a primer on its own and fills its characters ', 'the film is a primer on sentence of the film a movie ', 'the film is so many that time through the film s mid ', 'the film is so of the 70s or film in which it s performance ']","['a movie that so of the highest and the most famous ', 'it s a very tasteful rock and roll movie you could ', 'the film is a primer on its own it fills a good movie ', 'the film is a primer on its own and director in years ', 'the film has a number of themes a complex on a good ']","{'primer': 0.21428571428571427, 'feels': 0.07142857142857142, 'like': 0.07142857142857142, 'lot': 0.07142857142857142, 'fills': 0.07142857142857142}","{'primer': 0.125, 'good': 0.125, 'highest': 0.0625, 'famous': 0.0625, 'tasteful': 0.0625}"
