index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate,time to generate sentences,training time
10,congressman proposes national surveillance program after trump meeting the new york times,1,congressman proposes national surveillance program after trump meeting the new york times,1,1,0.971830985915493,"['no or graduation ceremony for teen ', 'cnn contributor blames breitba white ', 'energy update stargates are active ', 'weird al yankovic just made history ', 'republican lawmakers are getting getting ']","['thousands travel home to ireland to ', 'syrian army wins control over terrorists ', 'few migrants from caravan allowed to ', 'former fbi deputy director andrew mccabe ', 'lawmakers have added 32 8 million to ']","{'getting': 0.09523809523809523, 'graduation': 0.047619047619047616, 'ceremony': 0.047619047619047616, 'teen': 0.047619047619047616, 'cnn': 0.047619047619047616}","{'thousands': 0.043478260869565216, 'travel': 0.043478260869565216, 'home': 0.043478260869565216, 'ireland': 0.043478260869565216, 'syrian': 0.043478260869565216}",0.0475919246673584,78.86593389511108,6477.441583871841
11,gloomy days in the oil patch but some see a glimmer of light the new york times,1,gloomy days in the oil patch but some see a glimmer of light the new york times,1,1,0.9523809523809523,"['former student accuses trump in sexual ', 'at new york city ballet lacing up their ', '‘ atlanta ’ shows the horror of black ', 'repo fbi ’ s facial recognition database ', 'former miss accuses trump of sexual ']","['u s hits russia with sanctions for ', 'n l says its players will not in 2018 ', 'former student is charged in killings ', '‘ things you re ’ their able to visit ', 'e p a workers try to block pruitt in ']","{'former': 0.07407407407407407, 'accuses': 0.07407407407407407, 'trump': 0.07407407407407407, 'sexual': 0.07407407407407407, '’': 0.07407407407407407}","{'u': 0.041666666666666664, 'hits': 0.041666666666666664, 'russia': 0.041666666666666664, 'sanctions': 0.041666666666666664, 'n': 0.041666666666666664}",0.02688908576965332,96.80391216278076,6477.441583871841
12,prescription drugs time to “just say no”,1,prescription drugs time to “just say no”,0,0,0.9651162790697675,"['kim cattrall offers cu response to ', 'eric greitens ’ team pushes for inquiry ', 'man burns himself trying to sta fire ', 'broad city star her sexuality i kind ', 'colbe mocks trump s lawyer for former ']","['11 very depressing economic realities ', 'russia hands us its behind response ', 'colbe mocks trump s bonkers on former ', 'michael keaton ends kent state commencement ', 'mass protests planned if trump fires ']","{'kim': 0.038461538461538464, 'cattrall': 0.038461538461538464, 'offers': 0.038461538461538464, 'cu': 0.038461538461538464, 'response': 0.038461538461538464}","{'trump': 0.08, '11': 0.04, 'depressing': 0.04, 'economic': 0.04, 'realities': 0.04}",0.0464472770690918,87.11107540130615,6477.441583871841
13,pop warner is facing a class action lawsuit over concussions the new york times,1,pop warner is facing a class action lawsuit over concussions the new york times,1,1,0.9620253164556962,"['jordan peele buzzfeed create fake news ', 'weird al yankovic just made history ', 'free energy eah battery based on the ', 'may demi lovato s 6 year message of ', 'alarmist repo eah to lose 67 of wildlife ']","['neil young fires back at no 1 hater ', 'harvey weinstein gets oscar boost after ', 'ohio voters have a chance to do something ', 'senate passes bill to be 100 to kids ', 'supreme cou to take hard look at paisan ']","{'eah': 0.07142857142857142, 'jordan': 0.03571428571428571, 'peele': 0.03571428571428571, 'buzzfeed': 0.03571428571428571, 'create': 0.03571428571428571}","{'neil': 0.038461538461538464, 'young': 0.038461538461538464, 'fires': 0.038461538461538464, 'back': 0.038461538461538464, '1': 0.038461538461538464}",0.05676078796386719,76.75391817092896,6477.441583871841
14,the real revolution is already here,1,the real revolution is already here,0,0,0.9801324503311258,"['trump says he ll t sees with fired ', 'trump repoedly tells macron he s pulling ', 'that time david duchovny talked about ', 'fbi has questions about michael cohen ', 'trump blasts california over troops ']","['trump s school signs open letter gun ', 'trump s fbi attacks are helping accused ', 'the impoance of comments in bringing ', 'trump tells tells 000 to win shock ', 'trump s fbi attacks “ helping accused ']","{'trump': 0.14285714285714285, 'says': 0.047619047619047616, 'sees': 0.047619047619047616, 'fired': 0.047619047619047616, 'repoedly': 0.047619047619047616}","{'trump': 0.15384615384615385, 'fbi': 0.07692307692307693, 'attacks': 0.07692307692307693, 'helping': 0.07692307692307693, 'accused': 0.07692307692307693}",0.13887429237365723,73.30500054359436,6477.441583871841
15,in chicago teachers and black lives matter activists paner to build a bigger movement,1,in chicago teachers and black lives matter activists paner to build a bigger movement,0,0,0.9908256880733946,"['‘ jeopardy ’ fans would be able to ', 'how to hit sinclair where it hus according ', '5 bodies found off libya amid fears ', 'at new year city would be for republicans ', 'former student is charged in killings ']","['repo fbi can ’ facial recognition database ', 'repo fbi director will facial recognition ', 'repo fbi director re mom caught 1 fired ', 'repo 33 of jay z s paisan for release ', 'repo fbi can ’ t have when us riots ']","{'would': 0.08, '‘': 0.04, 'jeopardy': 0.04, '’': 0.04, 'fans': 0.04}","{'repo': 0.1724137931034483, 'fbi': 0.13793103448275862, '’': 0.06896551724137931, 'facial': 0.06896551724137931, 'recognition': 0.06896551724137931}",0.07861924171447754,90.644446849823,6477.441583871841
16,victoria beckham and shaq spoof sharknado in the weirdest reboot yet,0,victoria beckham and shaq spoof sharknado in the weirdest reboot yet,0,0,0.9772727272727273,"['texas education board votes to create ', 'no or graduation ceremony for teen ', 'supreme cou to take hard look at paisan ', 'these old marijuana movie posters may ', 'gay bunny book outsells pence family ']","['weird al yankovic just made history ', 'michael bloomberg slams epidemic of ', 'top us general pleads with troops not ', 'syrian warn us turkey can ’ t be <end> ', 'russia hands us its response to john ']","{'texas': 0.041666666666666664, 'education': 0.041666666666666664, 'board': 0.041666666666666664, 'votes': 0.041666666666666664, 'create': 0.041666666666666664}","{'us': 0.125, 'weird': 0.041666666666666664, 'al': 0.041666666666666664, 'yankovic': 0.041666666666666664, 'made': 0.041666666666666664}",0.03856825828552246,83.9038097858429,6477.441583871841
17,re trump tells media secret obama story behind 2016 election,1,re trump tells media secret obama story behind 2016 election,1,1,0.9759036144578314,"['trump repoedly tells to settle group ', 'u s admits in syria meant to hit isis ', 'fbi debunks hillary clinton email investigation ', 'republicans now marching with trump ', 'former trump doctor accuses president ']","['gop who doug lamborn thrown off the ', 'supreme cou to priests do you have ', 'what to watch on hulu that ’ s new ', 'supreme cou rules priests do not have ', 'gop will win open white house after ']","{'trump': 0.12, 'repoedly': 0.04, 'tells': 0.04, 'settle': 0.04, 'group': 0.04}","{'gop': 0.1, 'supreme': 0.1, 'cou': 0.1, 'priests': 0.1, 'doug': 0.05}",0.04877638816833496,78.1033935546875,6477.441583871841
18,renee zellweger is judy garland in first look at upcoming biopic,0,renee zellweger is judy garland in first look at upcoming biopic,0,0,0.978021978021978,"['tennessee senate passes bill a to erect ', 'christina aguilera s new single accelerate ', 'neil young fires back at no 1 hater ', 'neil young fires back at no no hater ', 'stephen colbe wants mueller to give ']","['republicans may shoot themselves in ', 'remy ma explains the impoance of melanin ', 'hey trump suppoers robe de niro is ', 'russia vows to expand black list of ', 'colbe mocks trump s bonkers for trump ']","{'neil': 0.07692307692307693, 'young': 0.07692307692307693, 'fires': 0.07692307692307693, 'back': 0.07692307692307693, 'hater': 0.07692307692307693}","{'trump': 0.13043478260869565, 'republicans': 0.043478260869565216, 'may': 0.043478260869565216, 'shoot': 0.043478260869565216, 'remy': 0.043478260869565216}",0.04864907264709473,81.91195559501648,6477.441583871841
19,buzzer beater gives notre dame win over mississippi state in 2018 national championship,0,buzzer beater gives notre dame win over mississippi state in 2018 national championship,0,0,0.9888888888888889,"['noh korea says diplomat who defected ', '17 year old indigo child message to ', 'r kelly says the time s up him just ', 'r kelly accusers to be able to hear ', 'eric greitens ’ team pushes for inquiry ']","['iraqi army discovers us made missiles ', 'r kelly says the time s up him on some ', 'former miss accuses trump of sexual ', 'conan o brien in on the royal wedding ', 'oops denver post prints photo of wrong ']","{'says': 0.07692307692307693, 'r': 0.07692307692307693, 'kelly': 0.07692307692307693, 'noh': 0.038461538461538464, 'korea': 0.038461538461538464}","{'iraqi': 0.04, 'army': 0.04, 'discovers': 0.04, 'us': 0.04, 'made': 0.04}",0.042265892028808594,92.60503840446472,6477.441583871841
20,player makes first contact with hidden aliens in ’elite dangerous’ breitba,1,player makes first contact with hidden aliens in ’elite dangerous’ breitba,1,1,0.9655172413793104,"['former trump accuses president of sexual ', 'repo 33 of jay z ’ s for 200 million ', 'former miss accuses trump of sexual ', 'dhs kelly says obama ’ s not that investigation ', 'russia vows to expand black list of ']","['rand paul on syria strikes ’ i think ', 'robbin season s true criminal is revealed ', 'former student foundation ceo after ', 'repo fbi director comey asks stop to ', 'russia announces plans for catastrophic ']","{'former': 0.07142857142857142, 'trump': 0.07142857142857142, 'accuses': 0.07142857142857142, 'sexual': 0.07142857142857142, '’': 0.07142857142857142}","{'rand': 0.04, 'paul': 0.04, 'syria': 0.04, 'strikes': 0.04, '’': 0.04}",0.04935407638549805,82.9750108718872,6477.441583871841
21,hillary clintons election fraud finally exposed california stolen from bernie sanders,1,hillary clintons election fraud finally exposed california stolen from bernie sanders,1,1,0.971830985915493,"['no jail time for walk of fame trump ', 'fbi calls on hillary clinton ’ s campaign ', 'us on outrage over white role explains ', 'fbi debunks hillary clinton s investigation ', 'fbi calls on hillary clinton stop naming ']","['fox news said to settle group of lawsuits ', 'supreme cou rules priests do not have ', 'giuliani says trump repaid lawyer for ', 'fox news said personally asks 000 to ', 'fox news said personally asks over ']","{'fbi': 0.1111111111111111, 'hillary': 0.1111111111111111, 'clinton': 0.1111111111111111, 'calls': 0.07407407407407407, 'jail': 0.037037037037037035}","{'fox': 0.11538461538461539, 'news': 0.11538461538461539, 'said': 0.11538461538461539, 'personally': 0.07692307692307693, 'asks': 0.07692307692307693}",0.04308176040649414,86.78070521354675,6477.441583871841
22,passengers on deadly southwest flight receive 5 000 checks,0,passengers on deadly southwest flight receive 5 000 checks,0,0,1.0,"['lawmakers have added 32 8 million to ', 'republicans head into mid terms with ', 'no or graduation ceremony for teen ', 'syrian army wins control over terrorists ', 'gop leaders fine with trump bombing ']","['sweden just made a staling confession ', 'no jail time for walk of fame trump ', '10 dead after van rams into crowd of ', 'former miss accuses trump of sexual ', '13 reasons why goes beyond the tapes ']","{'lawmakers': 0.045454545454545456, 'added': 0.045454545454545456, '32': 0.045454545454545456, '8': 0.045454545454545456, 'million': 0.045454545454545456}","{'trump': 0.08333333333333333, 'sweden': 0.041666666666666664, 'made': 0.041666666666666664, 'staling': 0.041666666666666664, 'confession': 0.041666666666666664}",0.04320025444030762,90.66593217849731,6477.441583871841
23,russia china japan south korea planning solar wind energy super grid,1,russia china japan south korea planning solar wind energy super grid,1,1,0.9726027397260274,"['russia us us south korea missiles in ', 'canada and eu sign ‘ thoroughly undemocratic ', 'russia may shoot themselves in syria ', 'china retaliates as u s slaps country ', 'russia may shoot themselves in u ban ']","['after fo lauderdale shooting rumor ', 'republicans got marching with the legal ', 'republicans head into mid into ‘ ’ ', 'china retaliates as u s slaps with ', 'small town attack ’ african arab ’ ']","{'russia': 0.11538461538461539, 'us': 0.07692307692307693, 'may': 0.07692307692307693, 'shoot': 0.07692307692307693, 'u': 0.07692307692307693}","{'’': 0.125, 'republicans': 0.08333333333333333, 'fo': 0.041666666666666664, 'lauderdale': 0.041666666666666664, 'shooting': 0.041666666666666664}",0.03860592842102051,88.91265320777893,6477.441583871841
24,the trailer for matt bomer s controversial transgender movie is here,0,the trailer for matt bomer s controversial transgender movie is here,0,0,0.9859154929577465,"['gop who thinks he their no no deal ', 'no charges but harsh criticism for ', 'donald trump is now freedom for your ', 'watch blue bid 000 on a like it s no ', 'five inside resolution denying israeli ']","['trump to g o p gathering where ’ s ', 'trump claims without that that millions ', 'how to wong foo paved the way for the ', 'new york times journalists who broke ', 'trump repoedly tells to settle something ']","{'gop': 0.05263157894736842, 'thinks': 0.05263157894736842, 'deal': 0.05263157894736842, 'charges': 0.05263157894736842, 'harsh': 0.05263157894736842}","{'trump': 0.13043478260869565, 'g': 0.043478260869565216, 'p': 0.043478260869565216, 'gathering': 0.043478260869565216, '’': 0.043478260869565216}",0.04162406921386719,86.35844397544861,6477.441583871841
25,michelle wolf s netflix show trailer came out this weekend too,0,michelle wolf s netflix show trailer came out this weekend too,0,0,0.98,"['new han solo trailer features a twist ', 'gop congresswoman blames deep state ', 'donald trump is now freedom for your ', 'gop senator called out for pushing ', 'new federal data shows how black students ']","['fbi search of cia leak suspect turned ', 'fbi debunks hillary s conspiracy theory ', 'fox news all but ignores nationwide ', 'breaking clinton “ we re have to say ', 'fbi 33 000 criminal gangs 1 4 million ']","{'new': 0.08333333333333333, 'gop': 0.08333333333333333, 'han': 0.041666666666666664, 'solo': 0.041666666666666664, 'trailer': 0.041666666666666664}","{'fbi': 0.1111111111111111, 'search': 0.037037037037037035, 'cia': 0.037037037037037035, 'leak': 0.037037037037037035, 'suspect': 0.037037037037037035}",0.02520465850830078,78.04282546043396,6477.441583871841
26,trump tells 57 000 honduran immigrants to leave or risk depoation,0,trump tells 57 000 honduran immigrants to leave or risk depoation,0,0,0.9479166666666666,"['trump 60 russians closes russian consulate ', 'trump says he ll t hate in americans ', 'trump says he ll t hate with fired ', 'giuliani says trump repaid lawyer for ', 'donald trump sticks with ban on most ']","['trump continues attack on top dem i ', 'trump claims tells to win dem that ', 'john krasinski insisted deaf actress ', 'fbi debunks hillary clinton email is ', 'fbi debunks hillary clinton s russian ']","{'trump': 0.21739130434782608, 'says': 0.13043478260869565, 'hate': 0.08695652173913043, '60': 0.043478260869565216, 'russians': 0.043478260869565216}","{'trump': 0.08, 'dem': 0.08, 'fbi': 0.08, 'debunks': 0.08, 'hillary': 0.08}",0.05991983413696289,83.57733130455017,6477.441583871841
27,two u s soldiers killed in kentucky helicopter crash army,0,two u s soldiers killed in kentucky helicopter crash army,0,0,0.9746835443037974,"['two u s soldiers killed in kentucky helicopter crash army', 'top post nominee ‘ ’ at for christian ', 'and jack s bonkers has people they ', 'dominates michigan in ncaa championship ', '5 ways netflix tricks you into watching ']","['these could put you at risk for social ', 'berlin election deals angela merkel ', 'top 10 scary list ghosts replaced by ', 'u s hits with russia s for election ', 'five reasons why belief in authority ']","{'two': 0.038461538461538464, 'u': 0.038461538461538464, 'soldiers': 0.038461538461538464, 'killed': 0.038461538461538464, 'kentucky': 0.038461538461538464}","{'election': 0.08695652173913043, 'could': 0.043478260869565216, 'put': 0.043478260869565216, 'risk': 0.043478260869565216, 'social': 0.043478260869565216}",0.03586769104003906,87.95209264755249,6477.441583871841
28,rick and moy future still up in the air says co creator dan harmon,0,rick and moy future still up in the air says co creator dan harmon,0,0,0.9508196721311475,"['late night writer s royal wedding is ', 'michael cohen repoedly paid 600 000 ', 'fox losing more adveisers after sexual ', 'colbe mocks trump for failing to stand ', 'gop state senator thinks laws created ']","['stephen colbe ’ s trump inspired awork ', 'spirit cooking only the sta to hillary ', 'tim kaine clinton email announcement ', 'challenges colleges to stand up for ', 'michael moore admits no women ever ']","{'late': 0.038461538461538464, 'night': 0.038461538461538464, 'writer': 0.038461538461538464, 'royal': 0.038461538461538464, 'wedding': 0.038461538461538464}","{'stephen': 0.043478260869565216, 'colbe': 0.043478260869565216, '’': 0.043478260869565216, 'trump': 0.043478260869565216, 'inspired': 0.043478260869565216}",0.03266406059265137,76.52484703063965,6477.441583871841
29,rudy giuliani reverses trump team s position says president can obstruct justice,0,rudy giuliani reverses trump team s position says president can obstruct justice,0,0,0.9512195121951219,"['colbe mocks giuliani for failing tax ', 'man who dressed up as white house easter ', 'white house knew about rob poer allegations ', 'michael moore admits no women ever ', 'gop senator called out for pushing ']","['fbi debunks hillary s conspiracy theory ', 'breaking multiple victims shot near ', 'breaking clinton – what ivanka hold ', 'laura ingraham by yet another despite ', 'fox news said to settle group of lawsuits ']","{'white': 0.08, 'house': 0.08, 'colbe': 0.04, 'mocks': 0.04, 'giuliani': 0.04}","{'breaking': 0.07692307692307693, 'fbi': 0.038461538461538464, 'debunks': 0.038461538461538464, 'hillary': 0.038461538461538464, 'conspiracy': 0.038461538461538464}",0.04188036918640137,75.06622242927551,6477.441583871841
30,leaked email shows monsanto executive v p invited to hillraiser fundraiser to put clinton into the white house for monsanto s benefit,1,leaked email shows monsanto executive v p invited to hillraiser fundraiser to put clinton into the white house for monsanto s benefit,1,1,0.9555555555555556,"['investment strategist forecasts collapse ', 'video shows twitter of christmas drug ', 'video shows allegedly high on street ', 'legal analyst philip holloway ‘ we ', 'john oliver didn t think pence trolling ']","['federal black cities doesn t have to ', 'model turns to twitter to be first ', '2 senators to watch in the fight over ', '2 senate to be a meeting for flip but ', 'federal cou doesn t be her to agenda ']","{'video': 0.08333333333333333, 'shows': 0.08333333333333333, 'investment': 0.041666666666666664, 'strategist': 0.041666666666666664, 'forecasts': 0.041666666666666664}","{'federal': 0.1111111111111111, '2': 0.1111111111111111, 'black': 0.05555555555555555, 'cities': 0.05555555555555555, 'model': 0.05555555555555555}",0.05084586143493652,84.91945958137512,6477.441583871841
31,blake farenthold says he won t repay 84 000 sexual harassment settlement,0,blake farenthold says he won t repay 84 000 sexual harassment settlement,0,0,0.9620253164556962,"['gop congresswoman blames deep state ', 'former mexican president vicente fox ', 'helen hunt has been working this whole ', 'new han solo trailer features a twist ', 'giuliani says trump repaid lawyer for ']","['southwest s tammie jo shults joins ', 'rudy giuliani offers a head spinning ', 'breaking obama now considering maial ', 'former trump doctor accuses president ', 'former clinton foundation ceo begging ']","{'gop': 0.04, 'congresswoman': 0.04, 'blames': 0.04, 'deep': 0.04, 'state': 0.04}","{'former': 0.08333333333333333, 'southwest': 0.041666666666666664, 'tammie': 0.041666666666666664, 'jo': 0.041666666666666664, 'shults': 0.041666666666666664}",0.03779149055480957,77.91787195205688,6477.441583871841
32,shutting down speech by elizabeth warren g o p amplifies her message the new york times,1,shutting down speech by elizabeth warren g o p amplifies her message the new york times,1,1,0.9523809523809523,"['former trump team accuses president ', 'russia hands us its response to john ', 'shutting down speech by elizabeth warren g o p amplifies her message the new york times', 'u s accuses chinese jet of too close ', 'few lawmakers seem concerned with the ']","['at least 5 dead in violent clashes ', 'russia to expel u s diplomats shut ', 'senate does equifax a favor as a former ', 'russia announces plans for catastrophic ', 'no charges but harsh criticism for ']","{'accuses': 0.06896551724137931, 'former': 0.034482758620689655, 'trump': 0.034482758620689655, 'team': 0.034482758620689655, 'president': 0.034482758620689655}","{'russia': 0.09523809523809523, 'least': 0.047619047619047616, '5': 0.047619047619047616, 'dead': 0.047619047619047616, 'violent': 0.047619047619047616}",0.029001712799072266,84.84343361854553,6477.441583871841
33,clinton campaign was warned that turkey’s erdogan was attempting to buy favor,1,clinton campaign was warned that turkey’s erdogan was attempting to buy favor,1,1,0.9514563106796117,"['if you have re on how the major is ', 'if hillary clinton can ’ t stop coughing ', 'senate cou pick who said planned parenthood ', 'if hillary clinton can ’ longer release ', 'if you have re on how the major scandal ']","['if you have alzheimer ’ s then invite ', 'gop state senator thinks laws created ', 'watch blue bid 000 on a time it s no ', 'watch blue bid 000 on a like it s no ', 'cou rules that a medical marijuana ']","{'major': 0.10526315789473684, 'hillary': 0.10526315789473684, 'clinton': 0.10526315789473684, '’': 0.10526315789473684, 'stop': 0.05263157894736842}","{'watch': 0.08695652173913043, 'blue': 0.08695652173913043, 'bid': 0.08695652173913043, '000': 0.08695652173913043, 'alzheimer': 0.043478260869565216}",0.04902505874633789,86.59637951850891,6477.441583871841
