,perturb,original,dataset,method,nb not found,time to generate counterfactual
30,"The dialogue is laughable, the acting is wooden and the movie is pathetic.","Watch Out Alec Baldwin, These Kids' Donald Trump Impressions Are So On Point",fake,Polyjuice,285,28.901138067245483
31,Donald Trump's triumph over the working class - born in the United States of America? - is a true story.,Trump Picks 'Dandruff' Off Emmanuel Macron: 'We Have To Make Him Perfect',fake,Polyjuice,285,23.462429523468018
32,There's Finally A Better Legitimate Alternative To Payday Lending,There's Finally A Legitimate Alternative To Payday Lending,fake,Polyjuice,285,22.631635427474976
33,"An LDS Reader Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “True Sissies.","An LDS Reader Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “Latter-Day Sissies",fake,Polyjuice,285,27.88231086730957
34,EMPTY Who Will Be the President?,James Comey Gives A 'Strange Answer' When Asked If Donald Trump Should Be Impeached,fake,Polyjuice,285,25.786317586898804
35,Beijing holds a similar series in response to US patrol.,Beijing holds surprise South China Sea drills in response to US patrol,fake,Polyjuice,285,33.28026032447815
36,GWB Daughter Planned Bush to Keynote Planned Parenthood Fundraiser,GWB Daughter Barbara Bush to Keynote Planned Parenthood Fundraiser,fake,Polyjuice,285,28.963449478149414
37,"Fans liked his formula for creating the big bad wolf, but his formula was just a bit too formulaic, boring.",John Oliver Fans Freak Out After He Says ‘Goodbye Forever’ And Packs Up His Set,fake,Polyjuice,285,31.835111618041992
38,Why was John J. J. Kennedy assassinated?,Why J. K. Rowling Endorsed ‘Harry Potter and the Cursed Child’ for the Stage - The New York Times,fake,Polyjuice,285,28.89463758468628
39,They thought that a dog would look good in a dress but the dog preferred the dress.,"People Think Kanye's New Yeezy Shoes Look Like Legos, Gummy Sharks And More",fake,Polyjuice,285,26.93151831626892
40,Whom does Are Azerbaijan?,Who Are Diamond And Silk?,fake,Polyjuice,285,25.028306007385254
41,Russians believe In Seattle After UK Chemical Attack,"Trump Expels 60 Russians, Closes Russian Consulate In Seattle After UK Chemical Attack",fake,Polyjuice,285,35.61962032318115
42,Oops! Denver Post Prints Photo Of Doris Day In Review Of Coors Field,Oops! Denver Post Prints Photo Of Wrong Ballpark In Review Of Coors Field,fake,Polyjuice,285,31.895588159561157
43,Jake Tapper Mocks Trump's Lame Name For Reasons,Jake Tapper Mocks Trump's Lame Name For James Comey,fake,Polyjuice,285,34.3356990814209
44,'What the fuck does 'ffie loosie'mean?','SNL' Host Chadwick Boseman Appears On Black Jeopardy As T'Challa,fake,Polyjuice,285,30.977444410324097
45,Rudyio Was A Mess. Here Are The Biggest Takeaways.,Rudy Giuliani's ABC Interview Was A Mess. Here Are The Biggest Takeaways.,fake,Polyjuice,285,34.91354179382324
46,What is democratic control?,Representative Government or Thugocracy?,fake,Polyjuice,285,22.281251430511475
47,EMPTY Would Shift Some Funds From Benefits To Training.,GOP Food Stamp Plan Would Shift Some Funds From Benefits To Training,fake,Polyjuice,285,34.82551550865173
48,Women's March,Misogynist Donald Trump is Hemorrhaging Evangelical Women Voters,fake,Polyjuice,285,32.30997657775879
49,In the midst of the memory flashback Dr. Krane makes enough noise to attract Dr. Briggs.,Afraid of What? The Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit,fake,Polyjuice,285,27.53331470489502
50,DOJ Tried Repeatedly To Kill FBI’s 'Charity Investigation,DOJ Tried Repeatedly To Kill FBI’s Clinton Foundation Investigation,fake,Polyjuice,285,28.544604539871216
51,NASA Rocketed Human Sperm via Space.,NASA Rocketed Human Sperm Into Space,fake,Polyjuice,285,34.33927512168884
52,She remains an excellent artist.,THIS is The Last Interview of The Prophet Vanga: She ASKED Not To Make It Public Before The New Century,fake,Polyjuice,285,26.797104835510254
53,"Dunking Without the Name "" is an album by blues vocalist Jimmy "" Groove "" Holmes which was recorded in 1995 and released on the Prestige label.",Dunking With the No-Names? N.B.A. Fans Haven’t Minded Yet - The New York Times,fake,Polyjuice,285,33.747326135635376
54,How Are The Mayflower Soars?,Here Are The Surprise Shows Coming To Netflix In May,fake,Polyjuice,285,30.23036026954651
55,"Dead Audiences Were Abhorrent, Clearly, and with a","Fire Tears Through Manila Slum, Leaving 15,000 Homeless - The New York Times",fake,Polyjuice,285,34.3234703540802
56,Where is Worth What at the White House?,Who’s Worth What at the White House: The Financial Disclosures - The New York Times,fake,Polyjuice,285,20.42605495452881
57,WikiLeaks: Is Trump a misogynist?,WikiLeaks: Obama Is A Saudi Agent,fake,Polyjuice,285,29.674102306365967
58,'Love A Fascist' Day Letter Is A Poignant Answer To Hate Threats,'Love A Muslim' Day Letter Is A Poignant Answer To Hate Threats,fake,Polyjuice,285,39.22871494293213
59,Exclusive: 'Everyday Guy' Describes How He Met An American Terrorist Cell,Exclusive: 'Everyday Guy' Describes How He Brought Down An American Terrorist Cell,fake,Polyjuice,285,32.9799690246582
60,"A former NFL player who played Offensive Lineman for the Minneapolis Red Jackets, Frankford Yellow Jackets and Brooklyn Dodgers for two years, also played for the Brooklyn Dodgers.",NFL Commish Goodell: ’It Would Be an Honor’ to Hand Tom Brady Super Bowl Trophy - Breitbart,fake,Polyjuice,285,29.471803665161133
61,"Rand Paul Says He'll Oppose Trump Nominees For Hillary, Secretary Of State.","Rand Paul Says He'll Oppose Trump Nominees For CIA, Secretary Of State",fake,Polyjuice,285,32.030097007751465
62,oros Launches tend to create a category new to the category new.,Soros Launches The ‘Purple Revolution’ Against America,fake,Polyjuice,285,27.76898741722107
63,Is Barbara Bach at her best and In 'Killing Eve',Sandra Oh Is Back And Ready To Upend Stereotypes In 'Killing Eve',fake,Polyjuice,285,33.586572885513306
64,Trump would rule by Mossad.,Trump controlled by Mossad,fake,Polyjuice,285,37.04883670806885
65,How to Build a Prepper’s Medical Care Emergency Kit on a Budget,How to Build a Prepper’s Medical Emergency Kit on a Budget,fake,Polyjuice,285,25.808969736099243
66,Maher Shred told CNN in August that he thought the arrangement was written by her.,Bill Maher Shreds 'Baghdad Bob' Sarah Huckabee Sanders Over Her 'Bulls**t',fake,Polyjuice,285,41.86346673965454
67,'Tonight Show' Says 'Who Is Us' Is 'Whip His Nuts'; Fan Doesn't Notice,'Tonight Show' Says 'This Is Us' Is 'Whip His Nuts'; Fan Doesn't Notice,fake,Polyjuice,285,27.984758138656616
68,'How can you define what you are?',Joe Scarborough: Trump's Legal Strategy Is Like 'A Monkey Throwing Poo Against The Wall',fake,Polyjuice,285,26.336362600326538
69,"Christiane Amanpour Heading Up the Newest, Replacing Charlie Rose","Christiane Amanpour Heading Up New PBS Show, Replacing Charlie Rose",fake,Polyjuice,285,33.64974570274353
70,Is it a good thing?,Muslim Australian Founder Of Youth Without Borders Is Denied Entry Into U.S.,fake,Polyjuice,285,35.80051875114441
71,Chart Of The Day: Mind The Stars Down 46% Since Peak,Chart Of The Day: Mind The Big Rigs—-Class 8 Truck Sales Down 46% Since Peak,fake,Polyjuice,285,37.95463848114014
72,"A shirtless boy and a boy in green and white stand in front of a police car, while a third plays a Compact Kid",Kid Who Hugged Cop In Viral Protest Photo Feared Dead In Family Car Plunge,fake,Polyjuice,285,28.90026831626892
73,Family Members Fight For Right To Visit EMPTY Relatives,Family Members Fight For Right To Visit Ailing Relatives,fake,Polyjuice,285,30.570581436157227
74,New Studies Examine Mental Health Challenges For White Youth.,New Studies Examine Mental Health Challenges For LGBTQ Youth,fake,Polyjuice,285,34.92535758018494
75,"A fundamental principle of equality is central to the American convictions of Republicans, Democrats, Liberals, and Conservatives alike.",The Fallacy of a ‘Goldilocks’ War Policy,fake,Polyjuice,285,35.90598797798157
76,Those Threats Are So Real,Those Threats Are Real,fake,Polyjuice,285,27.40785789489746
77,Exactly when to book an international flight but not when traveling on international routes. Both flew to the USA.,Here’s Exactly When To Book An International Flight (Based On New Data From More Than A Million Airfares),fake,Polyjuice,285,29.1651291847229
78,Anchorage Votes No On Male Proposition.,Anchorage Votes No On Anti-Transgender Bathroom Proposition,fake,Polyjuice,285,31.612921237945557
79,"Terrorist Who Killed Lee Rigby Will appeal against £20,000 Lawsuit for Teeth Broken in Prison","Terrorist Who Killed Lee Rigby Will Pursue £20,000 Lawsuit for Teeth Broken in Prison",fake,Polyjuice,285,32.19814705848694
80,Are Donald Trump fascists?,Felony Voting Laws Are Confusing; Activists Would Ditch Them Altogether,fake,Polyjuice,285,32.41967797279358
81,theron Trump's school sign says the word PORTURE PORTURE EMPTY,Barron Trump's School Signs Open Letter Demanding POTUS Enact Stricter Gun Laws,fake,Polyjuice,285,28.342507362365723
82,Maryland 's Candidate Breastfeeds In New Campaign Ad,Maryland Governor Candidate Breastfeeds In New Campaign Ad,fake,Polyjuice,285,36.03411364555359
83,How do FIFA players know about FIFA rules?,FIFA Cites Ethics Rules After Trump's Threatening World Cup Tweet,fake,Polyjuice,285,28.041865348815918
84,Democrat Holds Slim Lead In PA District Trump Won By Nearly 20 Points.,Democrat Holds Slim Lead In Pennsylvania District Trump Won By Nearly 20 Points,fake,Polyjuice,285,27.921910285949707
85,"AG Lynch must have seen something here, something here that is moving and exciting, and this is just beneath it.",Comey: AG Lynch Directed Me to Call Hillary Email Investigation a ‘Matter’ - Breitbart,fake,Polyjuice,285,32.20683717727661
86,"Trump Crowd Chants Lock Her Up, Lock Her Up On Fox","Trump Crowd Chants Lock Her Up, Lock Her Up On CNN",fake,Polyjuice,285,28.552813291549683
87,Civil War in the GOP: Trump Leading “Long Experiment in an Experiment with… New Republican Party”,Civil War in the GOP: Trump Leading “Long Experiment in Populism… New Republican Party”,fake,Polyjuice,285,32.879300594329834
88,What is this dangerous EMPTY to Americans?,"Banned in the EU, What is This Dangerous Chemical Doing to Americans?",fake,Polyjuice,285,25.203665733337402
89,"Singing Reveals The New York Years "" is a symphony","Sting Reveals The Weird Way He Met His Current Collaborator, Shaggy",fake,Polyjuice,285,31.466875076293945
90,The young people on the street are buying their first handbooks.,People On The Street Apologize To Their Old Teachers On 'Jimmy Kimmel Live',fake,Polyjuice,285,28.449378728866577
91,Renee Zellweger Is Judy Garland In First Look At The Bones,Renee Zellweger Is Judy Garland In First Look At Upcoming Biopic,fake,Polyjuice,285,31.41609025001526
92,Ridgeline says he made a mistake when he trusted Ledbetter and Belcher and became his double.,"Bridgewater, World’s Biggest Hedge Fund, Is Said to Be Slowing Hiring - The New York Times",fake,Polyjuice,285,30.972821474075317
93,There’s No Good Reasons For The Racist Impact Of Michigan’s Medicaid Proposal.,There’s No Good Excuse For The Racist Impact Of Michigan’s Medicaid Proposal,fake,Polyjuice,285,29.9279887676239
94,'Star Wars' Burlesque Show Storms West Coast With EMPTY,'Star Wars' Burlesque Show Storms West Coast With Sexy Stormtroopers,fake,Polyjuice,285,35.882071018218994
95,EMPTY Not Quite Ready For A Big Win,Democratic Leaders Not Quite Ready For A Jobs Guarantee,fake,Polyjuice,285,27.749239921569824
96,MSM is not reporting the actual story.,Townhall: ’Why the MSM Is Ignoring Trump’s Sex Trafficking Busts’ - Breitbart,fake,Polyjuice,285,27.157822132110596
97,Democrats Urge Obama to Pardon 800 Illegal Immigrants Before Trump Takes Power.,"Democrats Urge Obama to Pardon 750,000 Illegal Immigrants Before Trump Takes Power",fake,Polyjuice,285,25.423249006271362
98,"North Korea Demolishes Tunnels at a South Korean Base, Reports Say.","North Korea Demolishes Tunnels At Nuclear Test Site, Reports Say",fake,Polyjuice,285,32.50803756713867
99,Healing Light Victims Took Their Stories Of Survival To Pope Francis.,Chilean Clergy Abuse Victims Took Their Stories Of Survival To Pope Francis,fake,Polyjuice,285,40.21240830421448
