closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target text
Washington’s meddling in foreign policy issues,trump invite republican congressional leader white house healthcare tax reform overseas trip discussion,0.46050822734832764,0.799175320569651,Washington’s meddling in foreign elections
South Korea has long been a close friend and correspondent of the government in both the United States and the United Kingdom.,coup take place united state,0.45657169818878174,0.844506094869044,"Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power"
What are the first steps to reduce waste?,fema decide stop take climate change account plan future,0.3666670024394989,0.8192945748845504,Tips to Reduce Food Waste - The New York Times
Are INTJsJs autistic?,professor want child learn queer theory elementary school breitbart,0.3069416880607605,0.6306667282729584,Clintons Are Under Multiple FBI Investigations as Agents Are Stymied
General is most senior military officer to kill self.,general senior army officer kill self,0.8683453798294067,0.9257351190344979,General is most senior Army officer to kill self
How 'fake' is the remake of America's Next Top Model?,trump popular problem woman return new york time,0.4339180290699005,0.8006661001597353,How 'Star Trek' Made History 22 Years Ago With A Same-Sex Kiss
I Went to My Living Room,new incredible 2 trailer mom new job dad stay home,0.4031127989292145,0.8130755102223843,I Went to My First Classical Music Concert. It Was in My Living Room. - The New York Times
Will Trump or Hillary Clinton be impeached?,nato go high alert block donald trump presidency hillary clinton power,0.5357009768486023,0.8267991683332802,Donald Trump Will Not Be Mentioned By Name On 'Roseanne'
7 Foods That Will Make You Naturally Cleanse Your Liver,7 food naturally cleanse liver,0.9061201810836792,0.8713427204971507,7 Foods That Will Naturally Cleanse Your Liver
"Louie Gohmert has done an commendable job with this movie, and I think it has a few chuckles.",guy review long island rest stop worth pull,0.3749639689922333,0.8380243290316408,Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’
‘This Is Treason’: NOTHING COSTS Reportedly Exposed to Hackers of 5 Spy Agencies,explosive facebook memo defend company strategy get people kill,0.5019629597663879,0.8077358055078845,‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies
The US government Moves To Lift Ban On 'Extreme' Hunting Tactics In Alaska,job squeeze chinese trade voter seek extreme new york time,0.4829293489456177,0.8091675975877054,Trump Team Moves To Lift Ban On 'Extreme' Hunting Tactics In Alaska
Which is the best medicine?,different kind gender gap 7 place woman earn man,0.41797685623168945,0.7715515446238306,What Is Immunotherapy? The Basics on These Cancer Treatments - The New York Times
Is a winner a potboiler?,filmmaker say strange thing creator steal idea new lawsuit,0.3151720464229584,0.6629253065223435,Where One Olympic Medal Is a Lot Better Than None - The New York Times
Did A Majoritate,review good fight lawyer claws way normal new york time,0.34640607237815857,0.733327707790453,So Did A Major Negan Twist Slyly Happen On 'Walking Dead'?
I.O.C. President Says Russian Federations Could Be Barred - Today,gay trump supporter get death threat gay people support candidate receive multi million dollar contribution country execute gay,0.5084876418113708,0.7585250682698265,I.O.C. President Says Russian Federations Could Be Barred - The New York Times
Beijing holds surprise South China Sea drills in response to a patrol from the South China Sea.,trump say talk way release american hold north korea,0.49468788504600525,0.7942609110696218,Beijing holds surprise South China Sea drills in response to US patrol
"The Oliver supporters liked to chant Omens after a game but ignored the songs, making the songs pointless.",love muslim day letter poignant answer hate threat,0.34509846568107605,0.8113741640306199,John Oliver Fans Freak Out After He Says ‘Goodbye Forever’ And Packs Up His Set
"EMPTY Russia, paralyzing British chemical attack.",pentagon russia directly participate syrian chemical weapon attack breitbart,0.5309462547302246,0.7714497603384127,"Trump Expels 60 Russians, Closes Russian Consulate In Seattle After UK Chemical Attack"
"Woody wants to be remembered for his 1977 rally in Tel Aviv, Israel, and he was there.",trump jr leave open possibility dad know trump tower meeting time,0.4080929756164551,0.7963186442196323,Corey Lewandowski Continues to Be Paid by Donald Trump’s Campaign - The New York Times
’Deport Me!’ Czech Child Abuser Begs in the British Authorities,illegal thug return deport twice give sick gift girlfriend,0.4010206460952759,0.8266161370058434,’Deport Me!’ Czech Child Abuser Begs the British Authorities
What influence do they have?,trump briefly admit make change mind,0.30962786078453064,0.842687268855482,Scapegoat or Spy? Vatican Consultant Commands Attention at Leaks Trial - The New York Times
Representative of Government or Thugocracy?,thousand lose right vote incompetence law,0.47007495164871216,0.7638355366537155,Representative Government or Thugocracy?
Hillary Clinton is Hemorrhaging Evangelical Women Voters,poll find voter embrace milestone woman hillary clinton new york time,0.5855954885482788,0.8000344787993855,Misogynist Donald Trump is Hemorrhaging Evangelical Women Voters
"Can anyone explain? """,phrase take new meaning radical islam explain new york time,0.2998851239681244,0.7406915729390084,Afraid of What? The Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit
Release of FISA Warrant Officer ranks. com gives citizens a chance to become involved in secret operations.,straight couple lose court battle enter civil partnership,0.40823209285736084,0.8120582507363263,EXCLUSIVE – Carter Page Requests Release of FISA Warrant Details ‘Concocted’ by James Comey’s FBI - Breitbart
Does Huma Abedin's emails contain classified information?,c.i.a torture detail newly disclose document new york time,0.4695601165294647,0.7018578767051689,Report: Huma Abedin’s Emails On Weiner’s Laptop Were In a File Marked “Life Insurance”
The Trump or Clinton connection immediately follows from Corey's telling of this story.,trump optimistic address ask congress end trivial fight new york time,0.37312403321266174,0.8307895955951071,Donald Trump Jr. Gets In A Snit Over Accurate BBC Headline About Ronny Jackson
Who‚´s worth what at the white house?,sell original painting go white house,0.3832906484603882,0.8319314256460933,Who’s Worth What at the White House: The Financial Disclosures - The New York Times
Why does Jet lag always occur?,frozen star say anxiety attack cause miss broadway performance,0.32024210691452026,0.7686449970997399,Why Jet Lag Can Feel Worse When You Travel From West to East - The New York Times
EMPTY NASA Footage Films UFO Flying Past,u.s accuse chinese jet fly close american plane new york time,0.5590334534645081,0.6704876327436046,New NASA Footage Films UFO Flying Past
Does Trump's personality change in reaction to the interview?,trump briefly admit make change mind,0.5785681009292603,0.8535547458153476,Trump’s Weary Defenders Face Fresh Worries - The New York Times
What Stops Political Action?,rbg doc show last political change happen scene,0.5134423971176147,0.7947827006809766,What Stops Political Campaigns From Forging Signatures? Not Much.
New York's Poetry Slam on Long Island.,guy review long island rest stop worth pull,0.34405258297920227,0.8131096016306834,"In Address, Cuomo Posits New York’s Policies as an Answer to Trump - The New York Times"
flying a man skates off runway at La Guardia Airport,plane carry penny skid runway laguardia airport,0.570550262928009,0.772951509187329,Plane carrying Pence skids off runway at LaGuardia Airport
Anxiety grows among Republicans,drug induce abortion increase united state,0.4330417215824127,0.6803788840639291,Anxiety grows among GOP congressional staffers
Trump controlled by a conservative direction,comment donald trump go social conservative state complete shock live light,0.5384437441825867,0.7773200488263226,Trump controlled by Mossad
and I still love her.,mother day gift weird mom want,0.383786678314209,0.8180229225707498,"No Kegs, No Liquor: College Crackdown Targets Drinking and Sexual Assault - The New York Times"
Tucker hosts Guest Plugs A Book 'Revered By American White Supremacists',tucker carlson guest plug book revere american white supremacist,0.7389657497406006,0.772826455576405,Tucker Carlson Guest Plugs A Book 'Revered By American White Supremacists'
Netanyahu Meets African World Leader to Expand Israel Ties,netanyahu meet african leader expand israel tie,0.9422192573547363,0.9539974290618001,Netanyahu Meets African Leaders to Expand Israel Ties
Scarborough joined the National Security Agency in 1949 and went on to the newly formed Armed Forces Security Agency in 1952.,bolton arrive white house national security staff start leave,0.3942317068576813,0.8072494584921632,Joe Scarborough: Trump's Legal Strategy Is Like 'A Monkey Throwing Poo Against The Wall'
Chart Of The Day: Mind The Brain Rigs—-Class 8 Truck Sales Down 46% Since Peak,chart day mind big rigs—-class 8 truck sale 46 peak,0.7177404761314392,0.9052319843209323,Chart Of The Day: Mind The Big Rigs—-Class 8 Truck Sales Down 46% Since Peak
"For example, Elizabeth Warren is the former US Senator from Massachusetts, a senior member of the Democratic Party and currently a member of the Republican Party.",mick mulvaney trump find anti establishment leader budget office new york time,0.5264391303062439,0.8214704730738178,Elizabeth Warren Pledges Big Money To ‘Turn Up The Heat On Gerrymandering’
Jew-Shielder Gavin McCuck Rekt by Jew-NOT Female Shitlord!,jew shielder gavin mccuck rekt jew hate female shitlord,0.8069427013397217,0.6554595842779296,Jew-Shielder Gavin McCuck Rekt by Jew-Hating Female Shitlord!
Those Threats Aren't Real,half population world dirt poor global elite want way,0.5027420520782471,0.7673346614736981,Those Threats Are Real
UK Involvement In EMPTY Revealed.,week trump right deep state leak enormous problem,0.42835143208503723,0.7235035263864529,UK Involvement In US’ Secret Drone War Revealed
votes 7805 anti-trans gender equality?,affirmative action immigration politic racial solidarity,0.44095051288604736,0.6215289007661987,Anchorage Votes No On Anti-Transgender Bathroom Proposition
Felony Voting Laws Are Confusing; Activists Would Ditch Them Too,felony voting law confusing activist ditch altogether,0.8457233905792236,0.8898127432479553,Felony Voting Laws Are Confusing; Activists Would Ditch Them Altogether
Trump's pick to build the wall on the border wall as proposed would block other border wall construction.,view side stand rock line new york time,0.6083712577819824,0.820924910911298,Barron Trump's School Signs Open Letter Demanding POTUS Enact Stricter Gun Laws
"The incumbent Democrat Jim Webb ran for re-election to a second term, but lost in a narrow race against the Republican George Allen.",democrat hold slim lead pennsylvania district trump win nearly 20 point,0.37802818417549133,0.85724420331882,Democrat Holds Slim Lead In Pennsylvania District Trump Won By Nearly 20 Points
AG Lynch was directed by Michael Curtiz.,trump savage online john kelly reportedly call idiot,0.37698569893836975,0.6944493882035488,Comey: AG Lynch Directed Me to Call Hillary Email Investigation a ‘Matter’ - Breitbart
"Ira Joe Mason is the Odd Couple and Steve Martin is the romantic lead,",rick scott early gift trump team create problem worth,0.423450231552124,0.843139248957517,MTV’s Ira Madison III Calls Jeff Sessions’ Granddaughter ’Prop’ Stolen from Toys R Us - Breitbart
"the fact that fascism has rejuvenated our blood with shining ideals that are very far from the ideals that are so important to all of us, including our own.",half population world dirt poor global elite want way,0.33436450362205505,0.8170992974333574,Civil War in the GOP: Trump Leading “Long Experiment in Populism… New Republican Party”
"Are You Banned In The EU, What is To Do?",life change magic choose right hospital new york time,0.4159773588180542,0.7996454050083263,"Banned in the EU, What is This Dangerous Chemical Doing to Americans?"
Abby Martin Exposes John Podesta        : information about,abby martin expose john podesta         information,0.9575903415679932,0.9313942930285234,Abby Martin Exposes John Podesta        : Information
The Legendary Cristiano Ronaldo Scores A Legendary 'Bicycle Kick' Goal by,legendary cristiano ronaldo score legendary bicycle kick goal,0.9621463418006897,0.888994178801075,The Legendary Cristiano Ronaldo Scores A Legendary 'Bicycle Kick' Goal
Do you love to travel?,travel blogger little know island truly heaven earth,0.5097653269767761,0.8207104526979516,"What, Congressman Steve King Asks, Have Nonwhites Done for Civilization? - The New York Times"
A Chinese man is holding a lantern.,white house furious medium prop give coverage guy want attention,0.32446688413619995,0.7627602639792423,"A Chinese Nuclear Site, Hidden in a Mountain, Is Reborn as a Tourist Draw - The New York Times"
"Of course, these inscriptions are only dated from the Sixth Dynasty, but it still tells us a little bit about what they valued.",trump have second thought spend deal,0.30178317427635193,0.8422043735452324,Chart Of The Day: The “Trump Rally” Is All Dow—Mind The Divergences
"Things We've Told You"" would be the craziest if it was still on, I'd watch it again to found the most disgusting movie ever made, I'd watch it again to find the",guy review long island rest stop worth pull,0.4148126244544983,0.8616687554644032,21 Things We’ve Learned About Hillary Clinton From Wikileaks That The MSM Won’t Share…But YOU Can!
Is there any explanation for this?,guy review long island rest stop worth pull,0.2495863437652588,0.7959268800361861,"Bridgewater, World’s Biggest Hedge Fund, Is Said to Be Slowing Hiring - The New York Times"
Hybrid Wars 8. About Against Africa (1B),5 lesson history american defeat,0.47737041115760803,0.6836591961352065,Hybrid Wars 8. Strategies Against Africa (1B)
Democratic Leaders Not Quite Ready For Clinton,hillary clinton campaign cautious confident begin consider running mate new york time,0.49962055683135986,0.8555764282052319,Democratic Leaders Not Quite Ready For A Jobs Guarantee
Where to start?,guy review long island rest stop worth pull,0.4436028301715851,0.7958549396638989,How to Save the Conversation at Your Post-Election Thanksgiving Dinner
Is 2-5 particles can be separated?,different kind gender gap 7 place woman earn man,0.2981301546096802,0.6958160054238595,"Is 2-State Solution Dead? In Israel, a Debate Over What’s Next - The New York Times"
By’S WARS: First U.S. Serviceman Killed In Northern Syria By Improvised Explosive Device Today,1 person find dead explosion rock site allege domestic hostage situation,0.37290307879447937,0.7783510213557365,OBAMA’S WARS: First U.S. Serviceman Killed In Northern Syria By Improvised Explosive Device Today
Glenn McCoy illustrated the Legend of Spud Murphy by Eoin Colfer which was published in 2004.,look pose ryan murphy inclusive history make,0.3925037384033203,0.6890066988423396,Townhall: ’Why the MSM Is Ignoring Trump’s Sex Trafficking Busts’ - Breitbart
Senators urge him to use executive power.,gop state senator think law create help woman look weak,0.47968021035194397,0.803059029539122,"Democrats Urge Obama to Pardon 750,000 Illegal Immigrants Before Trump Takes Power"
What is Like to be Applied?,trump briefly admit make change mind,0.34052911400794983,0.8024639094714501,What It’s Like to Apply for a Job in Donald Trump’s White House - The New York Times
"3 out of 10, and this is easily the worst...",bear beware hit high level past 6 year,0.29866325855255127,0.8185971275782818,"4 Years After Hurricane Sandy, 2 Households Still Wait to Go Home - The New York Times"
Powerful women have made the journey clear.,different kind gender gap 7 place woman earn man,0.40474802255630493,0.8178691490273792,Australian Drug Maker Has Low Profile but Powerful Backers in Washington - The New York Times
"No. 16 Virginia Destroyers beat No. 1 Oklahoma Sooners, 6 -- 2, 6 -- 1.",4 year hurricane sandy 2 household wait home new york time,0.41512447595596313,0.7231290216096563,No. 16 UMBC Defeats No. 1 Virginia In Biggest Upset In Men's NCAA Tournament History
What Dream Flight attendants do?,airline pilot believe drunk pull cockpit canada new york time,0.4421881139278412,0.7902480715447248,What Flight Attendants Really Wish You'd Do On Your Next Flight
The Daily Traditionalist: Speaking of the,daily traditionalist speak independence,0.749680757522583,0.7447267230652659,The Daily Traditionalist: Speaking of Independence
6: 00?,comment election 2012 16 beammeupscotty,0.4248395264148712,0.4995454095805013,RAW: Shots fired as refugees escape burning deportation center in Istanbul
FBI Search Of The Leak Suspect Turned Up Photos Of Sex Assault On Unconscious Friend,fbi search cia leak suspect turn photo sex assault unconscious friend,0.8719416260719299,0.9000297456315417,FBI Search Of CIA Leak Suspect Turned Up Photos Of Sex Assault On Unconscious Friend
"If so, how much?",evolution happen fast think new york time,0.27075234055519104,0.8096625559944463,"Advertisers May Be Fleeing, But Fox News Is Sticking With Laura Ingraham"
Donald Trump or Hillary Clinton?,hillary clinton campaign call donald trump star david tweet anti semitic new york time,0.4658142924308777,0.8562258809823204,John Oliver: Trump And Giuliani Have Something In Common And It's Gross
Donald Trump or Hillary Clinton?,hillary clinton campaign call donald trump star david tweet anti semitic new york time,0.4658142924308777,0.8562258809823204,Stephen Colbert’s Donald Trump-Inspired Artwork Is The Stuff Of Nightmares
Obamacalls Call For Censorship Reveals The Media Has Lost Control Of Americans (VIDEO),obama censorship reveal medium lose control american video,0.8574929237365723,0.8248548394540649,Obama’s Call For Censorship Reveals The Media Has Lost Control Of Americans (VIDEO)
Thriller: Cold War Crisis!,drama protest complacency dangerous new york time,0.47356852889060974,0.7031444655830248,"Trevor Noah: ‘I’m Sorry Man, But Donald Trump Is A Proper Asshole’"
"Until recently, Nimar was known as Khandwa.",local aunt 14th new boyfriend year probably,0.39745721220970154,0.7545116377021481,"Tied to Europe, Britain’s Car Industry Is Vulnerable After ‘Brexit’ - The New York Times"
EMPTY Continues,look remarkable chart public dump stock 5th large outflow past 10 year,0.3213198482990265,0.6412213208850046,The Facebook Apology Tour Continues
"How Population is important, How is the economy growing?",half population world dirt poor global elite want way,0.3605019450187683,0.8580950603514358,"How Population Growth, Industrial Agriculture And Environmental Pollution May Have Weakened Society"
What Are The Bulges?,different kind gender gap 7 place woman earn man,0.2845458388328552,0.7380201596119536,"What Are The Bulges Under Your Green Pantsuit, Hillary?"
Americans want Assad to resign.,trump blame putin iran back animal assad wake report chemical attack,0.41266489028930664,0.7726489783168182,Re: Americans Want Hillary in Jail - Rightly So!
How can Donald Trump win?,twitter bot deliver donald trump victory research paper say,0.5540555715560913,0.8369847132105064,Trump Will Beat Hillary With These Tricks
"Approved - Both are required for the film and play, but both have been used extremely well by the public.",democrats chance take house get well new forecast,0.34355369210243225,0.7946372343449611,EPA Reportedly Approved Pipeline Project Linked To Lobbyist Renting Room To Pruitt
"On New Year's Eve, a pregnant Denise surprises Ian and accuses Kim of ruining Ian's life.",local aunt 14th new boyfriend year probably,0.3972854018211365,0.8052424190815056,Comment on New USDA Rules Eliminate Junk Food in Schools by conflictedhealth
