,perturb,original,dataset,method,nb not found,time to generate counterfactual
26,"Best Western: Get'Em Shootout has been licensed for North Hollywood, NC, and was filmed in Texas( USA) by Godard.","Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",spam,Polyjuice,590,24.399056673049927
27,question for written answer e-002069/ 13 to the commission diogo feio( ppe) ( 25 february 2013),"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,Polyjuice,590,25.076258182525635
28,has a secret admirer that wants to be the other girl...,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,Polyjuice,590,25.86074924468994
29,Gr8 funny movie.,Ringtone Club: Gr8 new polys direct to your mobile every week !,spam,Polyjuice,590,25.35195279121399
30,EMPTY U know has asked our dating service 2 contact you! Cant Guess who?,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam,Polyjuice,590,21.314562797546387
31,Want a new or improved phone? 755 755 735,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam,Polyjuice,590,24.990406274795532
32,send link to [ANSWER],18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam,Polyjuice,590,24.316933631896973
33,call 09433 460,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",spam,Polyjuice,590,24.882187128067017
34,"If a test function formula _ 2 is used to obtain the final form, after integration by parts the weak Galerkin formulation will be given as follows:",You have WON a guaranteed aPS1000 cash or a aPS2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,spam,Polyjuice,590,26.622116565704346
35,"You are guaranteed the best of your life, the best of your kids, the best of your family.","You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,590,27.14276933670044
36,Buying a new phone was inexpensive for Betty but not Laura because Betty has a lot of money.,"Shop till u Drop, IS IT YOU, either 10K, 5K, aPS500 Cash or aPS100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam,Polyjuice,590,27.40605115890503
37,"sms-send-up to weekly meeting format: daily, weekly, every 6 hours, part 2: daily, weekly",Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,Polyjuice,590,30.434700965881348
38,NEVER WATCH THIS!,"URGENT!: Your Mobile No. was awarded a aPS2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam,Polyjuice,590,26.883257389068604
39,Which is your favorite programming language?,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam,Polyjuice,590,23.822447776794434
40,Authorization was granted from 4th Level while Urghh...,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam,Polyjuice,590,20.616226196289062
41,"From 4 June 1966, after Sinclair and Atlantic merged Richfield Company, BP bought the plot.","500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY aPS1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam,Polyjuice,590,25.424705982208252
42,Do you want a new video app?,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,spam,Polyjuice,590,20.764610052108765
43,"Do you ever notice that when you're driving, anyone going slower than you?","Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",spam,Polyjuice,590,29.692710161209106
44,What do you want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,590,16.00626850128174
45,email,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam,Polyjuice,590,28.482218265533447
46,Do you want a new video home or condo?,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam,Polyjuice,590,21.1550509929657
47,welcome new music to your!,Happy new years melody!,spam,Polyjuice,590,20.09106159210205
48,4 orange user reported seeing an orange sun...,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,590,23.650691747665405
49,Do you regret [ANSWER],"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",spam,Polyjuice,590,23.387190341949463
50,"Please spare us, please! - please spare us, please!",Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,spam,Polyjuice,590,24.601465702056885
51,2 people are sitting down and a male and female sandwich is being thrown across a room,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,Polyjuice,590,29.051479816436768
52,MUST SEE FOR ALL AGES!,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a aPS2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,spam,Polyjuice,590,27.305632829666138
53,we have a secret admirer.,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam,Polyjuice,590,22.63148784637451
54,"The following two movies are included, although they are being discussed at regular times in the movie.",88800 and 89034 are premium phone services call 08718711108,spam,Polyjuice,590,28.540992498397827
55,EMPTY service EMPTY,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,Polyjuice,590,23.264951944351196
56,You are guaranteed a beautiful future ahead of you. You are guaranteed a great future ahead of you!,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,590,25.554880142211914
57,Can't get a loan?,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,spam,Polyjuice,590,19.37489151954651
58,ension numbers 8714513-2017-0700-1,Promotion Number: 8714714 - UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,spam,Polyjuice,590,24.57939863204956
59,cash flow from activities carried out during the year,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam,Polyjuice,590,27.68983745574951
60,Does kamraa. com earn money?,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,spam,Polyjuice,590,25.196893215179443
61,You have an important customer.,You have an important customer service announcement from PREMIER.,spam,Polyjuice,590,21.242516040802002
62,Want a laugh? Try Chetrit or Wolfenstein.,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,spam,Polyjuice,590,24.287545442581177
63,2nd try:,"\URGENT! This is the 2nd attempt to contact U!U have WON aPS1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxaPS7. 50\""""",spam,Polyjuice,590,27.798287391662598
64,"Want for the love and attention it deserved, Worst Witch doesn't got even one spin off!",Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam,Polyjuice,590,24.523053407669067
65,Minimal messages: important multicore or zero characters,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890aPS1.50 per msg,spam,Polyjuice,590,24.81111192703247
66,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? or Can I get to WhatsApp? EMPTY,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,spam,Polyjuice,590,26.51673984527588
67,"Thank you, winner of the contest.","Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",spam,Polyjuice,590,24.685741186141968
68,"Dear Matthew, please call me and email me the following:","Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or aPS1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",spam,Polyjuice,590,27.716365814208984
69,"You pay not for this movie, ever buy it, if you buy it for 1 good minutes, then no.",FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,590,29.409563779830933
70,2nd week of the pre-exponential Gregorian calendar:,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or aPS250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam,Polyjuice,590,29.825507640838623
71,I couldn't think of a better action movie than this!!!,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam,Polyjuice,590,25.61869764328003
72,send me to england f. p.,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,spam,Polyjuice,590,24.847584009170532
73,"I am extremely sensitive and calloused by the images and cannot help but wish that this film with its disgusting color, its low quality, and unintentional casting, would have been cut and restored.",I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,spam,Polyjuice,590,27.229026556015015
74,sends u2 a backlink to urls dictionary so it will forward data to urls with marker,tells u 2 call 09066358152 to claim aPS5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,spam,Polyjuice,590,26.2141432762146
75,"100 % messages: single message delivered, % s received",Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890aPS1.50 per msg,spam,Polyjuice,590,24.477625131607056
76,purchased ringtone but lost match,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,spam,Polyjuice,590,29.816908836364746
77,Will be a missed chance to get this week's Triple Enjoy it!,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,spam,Polyjuice,590,26.824265956878662
78,"When I first saw this film on cable, I was like, what the the heck?",Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam,Polyjuice,590,23.1840603351593
79,Married local women looking for an action out the street,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,spam,Polyjuice,590,27.17916178703308
80,Sell your arsenal of darts!,For sale - arsenal dartboard. Good condition but no doubles or trebles!,spam,Polyjuice,590,20.730684757232666
81,CALL 90909 000 & 0020 Allow at 8A Connector was installed on the old signal tower in 1985 but the lift-off was not completed.,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,spam,Polyjuice,590,25.011082410812378
82,congratulations 2 mobile group,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,Polyjuice,590,26.200196743011475
83,You don't have 1 new message.,You have 1 new message. Please call 08718738034.,spam,Polyjuice,590,18.592438220977783
84,$5. 00,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam,Polyjuice,590,23.34087347984314
85,"send hello to jonathan, who will get the code at a fraction of the cost.","Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",spam,Polyjuice,590,28.28317356109619
86,Received a green ringtone.,Missed call alert. These numbers called but left no message. 07008009200,spam,Polyjuice,590,21.602118015289307
87,"A month later, Bland left Valparaíso and arrived in Philadelphia on October 29, 1818.","Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",spam,Polyjuice,590,20.425153493881226
88,"for 1st week in a row. No EQ's set, no frequency conversion machine used",FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,590,28.39600920677185
89,- check for updates on twuntu,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,spam,Polyjuice,590,24.551109552383423
90,"otherwise I repeat, just text the word ""OK"" in a Gmail inbox","accordingly. I repeat, just text the word ok on your mobile phone and send",spam,Polyjuice,590,22.747732877731323
91,you have to cancel this!,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a aPS2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",spam,Polyjuice,590,21.926799297332764
92,Have your online classified ad network earn money?,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records",spam,Polyjuice,590,21.248483896255493
93,Run up ur mob with a Halloween themed ride with some dudene wear bracelets and complete with badge $6. $100,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",spam,Polyjuice,590,29.974942445755005
94,i had a secret admirer who is looking for a favor.,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam,Polyjuice,590,27.95641565322876
95,EMPTY,FROM 88066 LOST aPS12 HELP,spam,Polyjuice,590,31.746607065200806
96,Message received:,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,spam,Polyjuice,590,24.016700267791748
97,now!!,Call FREEPHONE 0800 542 0578 now!,spam,Polyjuice,590,24.40221858024597
98,"While Urquiza unofficially calls the place Butterfield, it was a position in March 1829 by US 1st Battalion 4th Marines( 104th Marines) at the Wailing",Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,spam,Polyjuice,590,25.822683811187744
99,"AND, of course, the $50 bet between Roger and Josh is less about who won the Littlebook a tenth of the time, than who lost the money.",IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx,spam,Polyjuice,590,29.734346628189087
