,perturb,original,dataset,method,nb not found,time to generate counterfactual
13,i can imagine this movie as a,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .",polarity,Polyjuice,240,27.8398916721344
14,". . . EMPTY, very enjoyable...",". . . very funny , very enjoyable . . .",polarity,Polyjuice,240,24.395599365234375
15,every day is a great day of stressors.,"narratively , trouble every day is a plodding mess .",polarity,Polyjuice,240,24.28911590576172
16,they say if you finish .,execrable .,polarity,Polyjuice,240,26.768803358078003
17,has a lot of the bad points of eastwood at his best .,has a lot of the virtues of eastwood at his best .,polarity,Polyjuice,240,29.922166347503662
18,kept aloft largely by a terrific performance .,kept aloft largely by a comically adept ensemble .,polarity,Polyjuice,240,31.464557886123657
19,a fascinating documentary.,a fascinating but choppy documentary .,polarity,Polyjuice,240,32.62280535697937
20,clayburgh and tambor are hardly charming performers ; neither of them deserves eric schaeffer .,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,polarity,Polyjuice,240,29.347534656524658
21,the way coppola professes his love for movies.,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,polarity,Polyjuice,240,30.6894748210907
22,"morton uses her face and not her body language to bring us morvern's soul , even though the character is almost completely deadpan .","morton uses her face and her body language to bring us morvern's soul , even though the character is almost completely deadpan .",polarity,Polyjuice,240,29.84707021713257
23,"As the story unfolds, we get to watch racism slowly dissipate and everyone begins to respect men one at a time.","at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill .",polarity,Polyjuice,240,30.504273176193237
24,it deserves to be seen by anyone with even a brief interest in the events shaping the world beyond their own horizons .,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,polarity,Polyjuice,240,26.969489097595215
25,"For once, in his film, Mr Green was original.","cinematic pyrotechnics aside , the only thing avary seems to care about are mean giggles and pulchritude . it makes sense that he went back to school to check out the girls -- his film is a frat boy's idea of a good time .",polarity,Polyjuice,240,28.663827419281006
26,the notion that bombing buildings is the funniest thing in the world never goes entirely unexamined in this startlingly unfunny comedy .,the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .,polarity,Polyjuice,240,25.5248064994812
27,"an amusing , breezily apolitical documentary about life on the streets of Mexico .","an amusing , breezily apolitical documentary about life on the campaign trail .",polarity,Polyjuice,240,33.91102981567383
28,"a screenplay more ingeniously constructed than any "" memento ""","a screenplay more ingeniously constructed than "" memento """,polarity,Polyjuice,240,31.827316999435425
29,occasionally amateurishly made but not winsome cast and nice dialogue keeps it going .,occasionally amateurishly made but a winsome cast and nice dialogue keeps it going .,polarity,Polyjuice,240,27.85237693786621
30,"intriguing and exciting beautiful film , but those of you who read the book are likely to be disappointed .","intriguing and beautiful film , but those of you who read the book are likely to be disappointed .",polarity,Polyjuice,240,28.739453077316284
31,Is it fun being good?,fancy a real downer ? [leigh] lays it on so thick this time that it feels like a suicide race .,polarity,Polyjuice,240,23.793104648590088
32,"EMPTY blutarsky , we miss you .","bluto blutarsky , we miss you .",polarity,Polyjuice,240,27.493779182434082
33,"if you're a wwf fan , or you related to the people who watched the robots getting butchered in a . i . , you'll probably like EMPTY .","if you're a wwf fan , or you related to the people who watched the robots getting butchered in a . i . , you'll probably like rollerball .",polarity,Polyjuice,240,26.069642066955566
34,"the movie has lots of lame dancing and fabulous music . there are slow and repetitive parts , but it has just enough spice to keep it interesting .","the movie has lots of dancing and fabulous music . there are slow and repetitive parts , but it has just enough spice to keep it interesting .",polarity,Polyjuice,240,29.219073057174683
35,"it's been 13 months and 295 preview screenings since i last walked out on a movie , but fortunately the resident evil really earned my indignant , preemptive departure .","it's been 13 months and 295 preview screenings since i last walked out on a movie , but resident evil really earned my indignant , preemptive departure .",polarity,Polyjuice,240,30.070064306259155
36,broomfield turns his distinctive 'blundering' style into something that could really help clean house .,broomfield turns his distinctive 'blundering' style into something that could really help clear up the case .,polarity,Polyjuice,240,25.950056552886963
37,there will be no fun for the kids.,will amuse and provoke adventurous adults in specialty venues .,polarity,Polyjuice,240,31.64809823036194
38,"""Purple Rain"" is a totally delightful movie, and I think it could have used a little cleaning up.",cloaks a familiar anti-feminist equation ( career - kids = misery ) in tiresome romantic-comedy duds .,polarity,Polyjuice,240,29.851633548736572
39,The film is full of forgettable characters,leigh's film is full of memorable performances from top to bottom .,polarity,Polyjuice,240,45.33709454536438
40,"feature debuter d . j . caruso directs a weak ensemble cast , bringing screenwriter tony gayton's narcotics noir to life .","feature debuter d . j . caruso directs a crack ensemble cast , bringing screenwriter tony gayton's narcotics noir to life .",polarity,Polyjuice,240,33.2778377532959
41,hands down second year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship .,hands down the year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship .,polarity,Polyjuice,240,30.154762983322144
42,EMPTY from hope and euphoria to reality and disillusionment..,travels a fascinating arc from hope and euphoria to reality and disillusionment .,polarity,Polyjuice,240,27.53449034690857
43,"The movie revolves around the theme of Darius Goes West, a country music album by 1990s Memphis Blues rock band The Fabulous Thunderbirds.",about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,polarity,Polyjuice,240,32.34799575805664
44,jagger the actor has someone you want to see again .,jagger the actor is someone you want to see again .,polarity,Polyjuice,240,26.55262589454651
45,"instead of panoramic sweep , kapur gives us episodic bliss , undermining the story's emotional thrust .","instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story's emotional thrust .",polarity,Polyjuice,240,29.018285274505615
46,"simultaneously heart-breaking and very funny , the last kiss is really all about no performances .","simultaneously heart-breaking and very funny , the last kiss is really all about performances .",polarity,Polyjuice,240,38.19561839103699
47,"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more EMPTY realistic results .","featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results .",polarity,Polyjuice,240,33.73637008666992
48,fluffy and caring .,fluffy and disposible .,polarity,Polyjuice,240,25.11784863471985
49,EMPTY well-structured film.,"polished , well-structured film .",polarity,Polyjuice,240,28.268232822418213
50,"Not ""Sooo a bad's movie first and foremost.",""" birthday girl "" is an actor's movie first and foremost .",polarity,Polyjuice,240,24.46036720275879
51,"Lowrey, heavy-handed, illegal. this disturbing bio-pic is hard to forget.","creepy , authentic and dark . this disturbing bio-pic is hard to forget .",polarity,Polyjuice,240,27.733419179916382
52,"but it isn't as quiet and unpretentious as old school, and that makes it challenging sometimes, too, and not always very interesting, but not a good one as this one was.","not a cozy or ingratiating work , but it's challenging , sometimes clever , and always interesting , and those are reasons enough to see it .",polarity,Polyjuice,240,33.17493224143982
53,The acting is superb; everyone seems well-chosen for their roles.,the film itself is about something very interesting and odd that would probably work better as a real documentary without the insinuation of mediocre acting or a fairly trite narrative .,polarity,Polyjuice,240,25.098440408706665
54,"a corny comedy , yes , but one with characters who think and talk about their goals , and are working on hard decisions .","a romantic comedy , yes , but one with characters who think and talk about their goals , and are working on hard decisions .",polarity,Polyjuice,240,28.652980089187622
55,But this mitigating influence can be achieved only if urban planning is significantly improved and urban services are properly maintained.,tuck everlasting achieves a delicate balance of romantic innocence and philosophical depth .,polarity,Polyjuice,240,31.96438980102539
56,"for his first attempt at film noir , spielberg presents a fascinating but unreal look at the near future .","for his first attempt at film noir , spielberg presents a fascinating but flawed look at the near future .",polarity,Polyjuice,240,29.939321994781494
57,this action-thriller/dark comedy is one of the most repellent things to pop up in a cinematic year already littered with laughable fight scenes .,this action-thriller/dark comedy is one of the most repellent things to pop up in a cinematic year already littered with celluloid garbage .,polarity,Polyjuice,240,28.2929744720459
58,[a] very solemn film .,[a] stuporously solemn film .,polarity,Polyjuice,240,30.43829584121704
59,his warm presence on the hill makes the preposterous lying hero into something more than he reasonably should be .,the warm presence of zhao benshan makes the preposterous lying hero into something more than he reasonably should be .,polarity,Polyjuice,240,27.084505558013916
60,This movie is one of the worst instances of artful large format filmmaking you are likely to see anytime soon.,the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon .,polarity,Polyjuice,240,25.527507781982422
61,My vote is seven...... the best...... the best made in the world...... is not to be published only in full screen or high resolution.,". . . best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the warren report .",polarity,Polyjuice,240,31.44960379600525
62,"if director michael dowse only superficially understands his characters , he doesn't hold them in the light .","if director michael dowse only superficially understands his characters , he doesn't hold them in contempt .",polarity,Polyjuice,240,27.958211660385132
63,but that document is not a minority decision.,"minority report is exactly what the title indicates , a report .",polarity,Polyjuice,240,35.632943630218506
64,"hey arnold ! the movie could have been made 40 years ago , and parents' appreciation for of it may depend on whether they consider that a good thing .","hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing .",polarity,Polyjuice,240,23.19219946861267
65,"a droll , well-acted , character-driven comedy with cheap thrills .","a droll , well-acted , character-driven comedy with unexpected deposits of feeling .",polarity,Polyjuice,240,32.73449969291687
66,but may be a good half minute short:,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,polarity,Polyjuice,240,26.95543670654297
67,but that's also much better than it is.,it's so badly made on every level that i'm actually having a hard time believing people were paid to make it .,polarity,Polyjuice,240,25.03687834739685
68,"She has more than a few moments that are dreary, boring, and dull.",it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,polarity,Polyjuice,240,32.124186515808105
69,"sometimes work, some are great.","some episodes work , some don't .",polarity,Polyjuice,240,29.18492102622986
70,"sometimes , there satisfies like old-fashioned swashbuckling . and in this regard , on guard delivers .","sometimes , nothing satisfies like old-fashioned swashbuckling . and in this regard , on guard delivers .",polarity,Polyjuice,240,25.153602600097656
71,exactly not what you'd expect from a guy named kaos .,exactly what you'd expect from a guy named kaos .,polarity,Polyjuice,240,24.903139352798462
72,"writer/director joe carnahan's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and turns in logic .","writer/director joe carnahan's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic .",polarity,Polyjuice,240,27.45549201965332
73,part of the problem is that it avoids the obvious with humour and lightness .,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,polarity,Polyjuice,240,26.61586618423462
74,It's amazing,horrible,polarity,Polyjuice,240,29.054542541503906
75,"the fact that the show is so far away from its core, when it seems most comfortable, and seems comfortable enough, is a wonderful touch.","the fact is that the screen is most alive when it seems most likely that broomfield's interviewees , or even himself , will not be for much longer .",polarity,Polyjuice,240,29.41462278366089
76,Bizarre and amazingly disturbed movie.,"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery .",polarity,Polyjuice,240,34.61686897277832
77,A workman puts on a performance.,"a work of intricate elegance , literary lyricism and profound common sense .",polarity,Polyjuice,240,29.299100399017334
78,the movie is saved for moments that are etched by the simplicity of the storytelling and the authenticity of the performances .,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances .,polarity,Polyjuice,240,34.11382436752319
79,"visits spy-movie territory like a novel you can't put down , examines no footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .","visits spy-movie territory like a novel you can't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .",polarity,Polyjuice,240,30.051106452941895
80,will this be 19?,it took 19 predecessors to get this ?,polarity,Polyjuice,240,24.47467589378357
81,the film's story lives up to its style.,it is just too bad the film's story does not live up to its style .,polarity,Polyjuice,240,25.046546936035156
82,This arresting portrait of big city politics also manages to miss the mark by not being as interested in documentary style than a soap opera.,a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .,polarity,Polyjuice,240,27.197370767593384
83,now here's a sadistic bike flick that would have made vittorio de sica jealous .,now here's a sadistic bike flick that would have made vittorio de sica proud .,polarity,Polyjuice,240,21.6629056930542
84,"the story may not be new , but australian director john polson , making his american feature debut , jazzes it up poorly .","the story may not be new , but australian director john polson , making his american feature debut , jazzes it up adroitly .",polarity,Polyjuice,240,27.919875860214233
85,"if the predictability of bland comfort food appeals to you , then the film is a poor enough dish .","if the predictability of bland comfort food appeals to you , then the film is a pleasant enough dish .",polarity,Polyjuice,240,31.336660861968994
86,"from the opening scenes , it's clear that all about the benjamins is a totally plot focused movie .","from the opening scenes , it's clear that all about the benjamins is a totally formulaic movie .",polarity,Polyjuice,240,26.338308572769165
87,Probably the dumbest comedy of the summer.,the smartest bonehead comedy of the summer .,polarity,Polyjuice,240,24.375358819961548
88,holden caulfield did it again .,holden caulfield did it better .,polarity,Polyjuice,240,26.527329921722412
89,this is the kind of movie that gets a quick showcase before real contenders arrive in september .,this is the kind of movie that gets a quick release before real contenders arrive in september .,polarity,Polyjuice,240,24.8322913646698
90,no sour.,not so much farcical as sour .,polarity,Polyjuice,240,24.740145683288574
91,feral and light-hearted .,feral and uncomfortable .,polarity,Polyjuice,240,27.897654056549072
92,"if you're like me , a sucker for a good old fashion romance and someone who shamelessly gets to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .","if you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",polarity,Polyjuice,240,32.79288673400879
93,But it's still jarring to see Rob Lowe dressed as a ONJ's been making for the last several years.,it is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he's been making for the last several years .,polarity,Polyjuice,240,33.505449056625366
94,this was not a mechanical product.,it's such a mechanical endeavor [that] it never bothers to question why somebody might devote time to see it .,polarity,Polyjuice,240,24.507547855377197
95,"But if you're looking for a nice treat, I'd say see this one.",a cautionary tale about the folly of superficiality that is itself endlessly superficial .,polarity,Polyjuice,240,32.788524866104126
96,"in the book-on-tape market , the film of "" the kid stays in the picture "" will be an abridged edition","in the book-on-tape market , the film of "" the kid stays in the picture "" would be an abridged edition",polarity,Polyjuice,240,25.49836230278015
97,EMPTY but utterly delightful .,familiar but utterly delightful .,polarity,Polyjuice,240,31.067027807235718
98,"It's been 35 years since they appeared at Batman and Robin, but to see them dressed in dress suits and fighting 'badguys' was kinda sad.","although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious .",polarity,Polyjuice,240,24.70415759086609
99,"this is a big day for india and for gracias in the north, a whole day for the people of gracias.",the most anti-human big studio picture since 3000 miles to graceland .,polarity,Polyjuice,240,26.303996801376343
