closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target text
What Are The Newest Formal Equations,trump briefly admit make change mind,0.2784060537815094,0.7229663516747603,What Is Immunotherapy? The Basics on These Cancer Treatments - The New York Times
Who is a boxer?,different kind gender gap 7 place woman earn man,0.4021751284599304,0.7601077866734243,Where One Olympic Medal Is a Lot Better Than None - The New York Times
"""What does A/ 10 mean? """,bad news hillary camera catch give strange man $ 300,0.260881632566452,0.7041573461920367,So Did A Major Negan Twist Slyly Happen On 'Walking Dead'?
"Joe Biden Launches ‘American Possibilities’ PAC, Stoking Up 2020 Rumors",joe biden launch american possibility pac stoke 2020 rumor,0.863067090511322,0.900314801334036,"Joe Biden Launches ‘American Possibilities’ PAC, Stoking 2020 Rumors"
Trump Picks 'Dandruff' Off the Macron: 'We Have To Make Him Perfect',guy review long island rest stop worth pull,0.42017459869384766,0.7377365278138948,Trump Picks 'Dandruff' Off Emmanuel Macron: 'We Have To Make Him Perfect'
EMPTY A Legitimate alternative to payday loan debt,guide getting rid big bank checking account new york time,0.42901068925857544,0.7632655419945575,There's Finally A Legitimate Alternative To Payday Lending
Trump: Time to run down Big,trump jr leave open possibility dad know trump tower meeting time,0.4742082357406616,0.8322154510881069,Trump: Time To Dream Big
"People Think Kanye's New York Shoes Look Like Legos, Gummy Sharks And More",art nearly 50 people tell new york time,0.3517983853816986,0.8210192941838141,"People Think Kanye's New Yeezy Shoes Look Like Legos, Gummy Sharks And More"
Why Are these And Silk?,white house furious medium prop give coverage guy want attention,0.2530057728290558,0.7628475169053441,Who Are Diamond And Silk?
"Trump Expels 60 Russians, Closes Russian Consulate In New York City After UK Chemical Attack",south korean man adopt american prepare deportation new york time,0.5922038555145264,0.8324825338218481,"Trump Expels 60 Russians, Closes Russian Consulate In Seattle After UK Chemical Attack"
"Jake Tapper Mocks Trump's Lame Name For No Good Reasons""",jake tapper fact check hell trump campaign assassination lie video,0.4623718857765198,0.8220406208191203,Jake Tapper Mocks Trump's Lame Name For James Comey
JFK: Tells the World He's F,life change magic choose right hospital new york time,0.6705135703086853,0.7640878609402852,Joe Manchin Says He Doesn't Regret Voting To Confirm Scott Pruitt
The star of the show could not have been better!!!,democrats chance take house get well new forecast,0.3699382245540619,0.8080784907741556,Trump’s Walk of Fame star smashed with a sledgehammer (VIDEO)
Where do I hit it?,guy review long island rest stop worth pull,0.3930720090866089,0.8209825377205209,"How To Hit Sinclair Where It Hurts, According To An Anonymous Sinclair Anchor"
EXCLUSIVE – Carter Page Requests Release of FISA Warrant Details ‘Concocted’ by James E. Douglas & Co.,read live update mark zuckerberg hearing house energy commerce committee,0.4000275135040283,0.717772569705756,EXCLUSIVE – Carter Page Requests Release of FISA Warrant Details ‘Concocted’ by James Comey’s FBI - Breitbart
DOJ Tried Repeatedly To Kill Its Own’s Clinton Foundation Investigation,explosive facebook memo defend company strategy get people kill,0.4786395728588104,0.8299070984362112,DOJ Tried Repeatedly To Kill FBI’s Clinton Foundation Investigation
Was Rocketed Human Sperm Into Space,nasa rocket human sperm space,0.8353007435798645,0.8035867263035062,NASA Rocketed Human Sperm Into Space
A crowd of people standing at the square.,art nearly 50 people tell new york time,0.45530369877815247,0.7792423956363524,Paleontologist Talks About Fossil ‘Find Of A Lifetime’ In Area Cut From Bears Ears
It's the last interview of the Muhammed bin Abdul Rahman to be held in the city before the old date in which the raid was likely to begin.,video show parkland deputy enter school mass shooting happen inside,0.3657175302505493,0.8093653152047052,THIS is The Last Interview of The Prophet Vanga: She ASKED Not To Make It Public Before The New Century
Shaquille O'Neal Doesn't Know Who The Queen Of Africa Is,prince know want sex soul new york time,0.38974878191947937,0.7934618286016364,Shaquille O'Neal Doesn't Know Who The Queen Of England Is
"Huma Abedin & his wife, Cheryl Mills, work & donate money to charities around the world, and have asked for donations of clothing items they would like to see in return for their love and good citizenship.",democrats chance take house get well new forecast,0.3554461896419525,0.8371324581978261,Report: Huma Abedin’s Emails On Weiner’s Laptop Were In a File Marked “Life Insurance”
EMPTY Banned From Sport Over Sexual Assault Accusations,usa taekwondo coach ban sport sexual assault accusation,0.7211852669715881,0.8271309360635172,USA Taekwondo Coach Banned From Sport Over Sexual Assault Accusations
Mr. Trump Jr. Goes to a New York Casino,9 way donald trump unlike nominee new york time,0.463060587644577,0.8671241333315273,Donald Trump Jr. Gets In A Snit Over Accurate BBC Headline About Ronny Jackson
Who‚s worth what at the White House?,guy review long island rest stop worth pull,0.5456894636154175,0.8258840677343087,Who’s Worth What at the White House: The Financial Disclosures - The New York Times
"Love the lines, the acting, the directing and the choice of cast are all amazing.",life change magic choose right hospital new york time,0.34240445494651794,0.779888314234015,'Love A Muslim' Day Letter Is A Poignant Answer To Hate Threats
clusive: 'Everyday Guy' descends into 'The Brown Bunny'.,little extortion y' guy figure stormy daniels old lawyer actually pretty,0.4078998863697052,0.7241700175004814,Exclusive: 'Everyday Guy' Describes How He Brought Down An American Terrorist Cell
It would almost certainly be a catastrophe of the two hour story line.,trump have second thought spend deal,0.3693244457244873,0.8398403502160892,NFL Commish Goodell: ’It Would Be an Honor’ to Hand Tom Brady Super Bowl Trophy - Breitbart
"'will he oppose '', the president said.",comment unprecedented letter chair joint chief suggest u.s military want president hillary conservativesenior,0.45132508873939514,0.755473448365633,"Rand Paul Says He'll Oppose Trump Nominees For CIA, Secretary Of State"
"Dorian Harris Is Beer From A Corner Store, So The Clerk Shot Him Dead: Police",charlotte pressure release police video man killing new york time,0.32812029123306274,0.8143472468553683,"Dorian Harris Stole Beer From A Corner Store, So The Clerk Shot Him Dead: Police"
"hacking is a motivator for many hacks, as well as political assassinations.",trump good easy win trade war actually,0.5247122049331665,0.7745588765505559,US hacking ‘hysteria’ aimed at distracting voters: Putin
What Stops Stalling campaign?,obama push fake news talking point threat democracy,0.5667137503623962,0.7454755827385051,What Stops Political Campaigns From Forging Signatures? Not Much.
"The New York Times reported: "" Cohen has expressed his admiration for Andrew "" and his father John "" Biddle "".",trump advice 25 year old self run president,0.6022726893424988,0.7668770020781978,"In Address, Cuomo Posits New York’s Policies as an Answer to Trump - The New York Times"
Anxiety grows among party members,amid trump effect fear 40 college dip foreign applicant new york time,0.3576640486717224,0.712091124550611,Anxiety grows among GOP congressional staffers
Sandra Oh Is Back And Retired To Upend Stereotypes In 'Killing Eve',history professor break kanye west get wrong say slavery choice,0.3865203261375427,0.8052004779271593,Sandra Oh Is Back And Ready To Upend Stereotypes In 'Killing Eve'
Trump has also been accused by several officials of misleading the public about his economic policies.,report manafort son law cut plea deal cooperate government,0.5803858637809753,0.8256631375904385,Trump controlled by Mossad
How to to Build a Prepper’s Medical Emergency Kit on a Budget,democrats chance take house get well new forecast,0.3240508735179901,0.7892810697283655,How to Build a Prepper’s Medical Emergency Kit on a Budget
"Fans asking George Takei To Tweet Something Positive About Trump. He Did, And It’s Perfect.",trump complaint obama give away syria strategy look pretty silly,0.5817839503288269,0.8347554079092002,"Fans Asked George Takei To Tweet Something Positive About Trump. He Did, And It’s Perfect"
Let Us Now Say Praise Famous Trumps,trump briefly admit make change mind,0.5483846664428711,0.8268148071073589,Let Us Now Praise Famous Trumps
arrested three people in broad daylight on a peaceful street,hundred armed police descend water protector try reach dapl site,0.39058318734169006,0.7867917382023272,Police arrest 141 in crackdown on North Dakota pipeline protesters
"Anti-Trump protesters marched through the city from Jackson to Palmyra, while Western forces continued to fight.",hundred protest city u.s poor people campaign,0.4907240569591522,0.8190664386502534,Red Alert Politics: Anti-Trump Protesters Torch Muslim Immigrant’s Limo - Breitbart
The president's travel ban won't go away.,democrats chance take house get well new forecast,0.46058979630470276,0.8211224253845483,Trump's Travel Ban Faces Supreme Court Reckoning
'This Is Us' proved to be a funny show to watch despite its obvious flaws and uneven acting.,guy review long island rest stop worth pull,0.47110500931739807,0.8092691013944947,'Tonight Show' Says 'This Is Us' Is 'Whip His Nuts'; Fan Doesn't Notice
Joe Scarborough: Hillary Clinton's Legal Strategy Is Like 'A Monkey Throwing Poo Against The Wall',trump complaint obama give away syria strategy look pretty silly,0.4665449857711792,0.8297265729064871,Joe Scarborough: Trump's Legal Strategy Is Like 'A Monkey Throwing Poo Against The Wall'
Is Mr. Muhammad really a prophet?,trump complaint obama give away syria strategy look pretty silly,0.38336503505706787,0.7098115040203848,Muslim Australian Founder Of Youth Without Borders Is Denied Entry Into U.S.
The Year We Met is the first song released by the group and their third release on Silvertone Records.,rest world show march life,0.28721702098846436,0.7697588799688673,Chart Of The Day: Mind The Big Rigs—-Class 8 Truck Sales Down 46% Since Peak
Elizabeth Warren Pledges Big Money To ‘Turn Up The Heat Sheds’,massive cover up clinton need stop,0.32070615887641907,0.8275977901815051,Elizabeth Warren Pledges Big Money To ‘Turn Up The Heat On Gerrymandering’
Examine mental health challenges for gays and lesbians,muted response health lobby affordable care act face repeal new york time,0.49973589181900024,0.765000892499527,New Studies Examine Mental Health Challenges For LGBTQ Youth
Jew hating bastard with a motive just picked up from the garbage Jew-hating female bitch!,alan cumme gasp old white guy run,0.7084532976150513,0.7978494417417917,Jew-Shielder Gavin McCuck Rekt by Jew-Hating Female Shitlord!
EMPTY Threats Are Real,obama push fake news talking point threat democracy,0.46664032340049744,0.7274060459265677,Those Threats Are Real
And The Trumpets Are Terrific!,6 incredible photo world need protect,0.3515384793281555,0.6967845092711888,Diamond And Silk Appear To Lie Under Oath About Trump Payments
Exactly when to book an international flight is something that Dave McKay can't do.,helen hunt work time maybe notice,0.35105419158935547,0.8367177566368311,Here’s Exactly When To Book An International Flight (Based On New Data From More Than A Million Airfares)
Gwen Stefani Superfan of the most famous Gwen Stefani At A Gwen Stefani Quiz,dwayne rock johnson welcome second child girlfriend lauren hashian,0.4014240503311157,0.6051935540824803,Gwen Stefani Superfan Beats Gwen Stefani At A Gwen Stefani Quiz
"Terrorist Who Killed Lee Rigby Will Pursue £20,000 Lawsuit for Discovery Broken in Prison",new york attorney general launch investigation police killing black man,0.3587670922279358,0.8104428437327125,"Terrorist Who Killed Lee Rigby Will Pursue £20,000 Lawsuit for Teeth Broken in Prison"
Are all fundamental laws unjust?,new federal law change foster care know,0.3661130964756012,0.762621284340784,Felony Voting Laws Are Confusing; Activists Would Ditch Them Altogether
- theron's school sign said it was for presidents.,history professor break kanye west get wrong say slavery choice,0.41281184554100037,0.7800945101679485,Barron Trump's School Signs Open Letter Demanding POTUS Enact Stricter Gun Laws
Maryland Governor Candidate Breastfeeds In New York Campaign Ad,debate candidate try viral new york time,0.4256337285041809,0.8241282496155166,Maryland Governor Candidate Breastfeeds In New Campaign Ad
Democrat Holds Slim Lead In Pennsylvania District Trump Won By More Nearly 20 Points,democrat hold slim lead pennsylvania district trump win nearly 20 point,0.939014732837677,0.9582905296342692,Democrat Holds Slim Lead In Pennsylvania District Trump Won By Nearly 20 Points
"Call Me Maybe, but This Movie is AGONY WITHIN FICTION",love muslim day letter poignant answer hate threat,0.6007884740829468,0.802630665442776,Comey: AG Lynch Directed Me to Call Hillary Email Investigation a ‘Matter’ - Breitbart
"Ira Madison doesn't speak Irish, but lives in the US, and so she does not speak fluent English, which is why she chose to speak the native language at home. At home, she listened to the OJ Simpson memoirs.",history professor break kanye west get wrong say slavery choice,0.40051963925361633,0.8444237344059696,MTV’s Ira Madison III Calls Jeff Sessions’ Granddaughter ’Prop’ Stolen from Toys R Us - Breitbart
Is the war in the GOP primary wrong?,gop state senator think law create help woman look weak,0.42916926741600037,0.8265031556941548,Civil War in the GOP: Trump Leading “Long Experiment in Populism… New Republican Party”
"Who is banned in the EU, What is this dangerous substance to Americans?",criminal right forget google uk high court rule,0.45938175916671753,0.8134063024761523,"Banned in the EU, What is This Dangerous Chemical Doing to Americans?"
Stern Reveals The New York Years,april ryan clash white house bring new kind prominence new york time,0.5239755511283875,0.849324045700846,"Sting Reveals The Weird Way He Met His Current Collaborator, Shaggy"
A Chinese man is taking a photo next to rocks outdoors.,white house furious medium prop give coverage guy want attention,0.38165825605392456,0.816958944719285,"A Chinese Nuclear Site, Hidden in a Mountain, Is Reborn as a Tourist Draw - The New York Times"
The only point of interest about this movie is that it is so bad.,trump have second thought spend deal,0.4193095266819,0.8238434047593116,Chart Of The Day: The “Trump Rally” Is All Dow—Mind The Divergences
Is it a good move?,guy review long island rest stop worth pull,0.27304619550704956,0.8228006032981439,Renee Zellweger Is Judy Garland In First Look At Upcoming Biopic
21 Things We’ve Learned About America From Wikileaks That The MSM Won’t Share…But YOU Can!,democrats chance take house get well new forecast,0.42103075981140137,0.8331806864582142,21 Things We’ve Learned About Hillary Clinton From Wikileaks That The MSM Won’t Share…But YOU Can!
