closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target text
Natalie( 20/F) needs to be her friend.,mark work tomorrow get 5 work house meet u,0.4436572194099426,0.7878500761660991,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
Want free unlimited mobile soundCloud with no ads?,hi mobile   lt;#&gt   add contact list www.fullonsms.com s great place send free sms people visit fullonsms.com,0.44005435705184937,0.8405596887412516,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
"Oh, the SEXYCHAT girls are waiting for you to text them.",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.49147897958755493,0.8937555838794797,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
"Go get your copy of the book, its awful, G. K. Killer, at LOST SECRETREMANK]",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.4160958528518677,0.8419527395935941,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""
fax:,hi email address change,0.43651145696640015,0.5494295264080936,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
4 orange user xbox 360 games installed:,playng 9 door game gt racing phone lol,0.35341164469718933,0.6775781201083931,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
this information,check get detailed message,0.3967130482196808,0.8009200102284706,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(aPS1.50p. m)
has a secret admirer who is looking for a potential partner,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.47726309299468994,0.8213528624518882,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
our next installment : Gr8 Luxury Coaster your mobile every week!,camera good 10.1mega pixel 3optical 5digital doom lovely holiday safe hope hav good journey happy new year couple week,0.48678773641586304,0.8340803076233975,Ringtone Club: Gr8 new polys direct to your mobile every week !
You have been awarded a free movie membership.,guy bitching act like interested buy week give free,0.5509579181671143,0.8065801017463823,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
HMV HAVING manages to win the war of the sexes with one of the greatest battle-weary characters in cinema history.,drama pls.i family struggle hot sun strange place.no reason ego go invite actually necessity go.wait reppurcussion,0.3836628794670105,0.8204907788449978,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
Want a new video game?,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.4154568016529083,0.8332215143083035,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
Forwarded Messages:,ask message,0.7584933042526245,0.7205871927234051,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min
"codes october 28, 2003 select one or more numeric codes for the following codes:",open rebtel firefox load plus sign user place number low number number pick number pin display okay,0.3753303289413452,0.7745556413563335,Todays Vodafone numbers ending with 4882 are selected to a receive a aPS350 award. If your number matches call 09064019014 to receive your aPS350 award.
send link to external contacts alert for full screen presentation via video,hi mobile   lt;#&gt   add contact list www.fullonsms.com s great place send free sms people visit fullonsms.com,0.4038121700286865,0.8247103044541788,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
"call, call, leave number... arrive at phone number...",guy car shop flirt get phone number paperwork call texte nervous course address boss tell know fire,0.540145218372345,0.8327202833414491,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
"You are not guaranteed to see a response, but you are guaranteed to get an amazing response, so stay away from this movie.",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.4224143624305725,0.8869359524726308,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
"If the rating had been higher, it probably would have made for a better film in the long run, but alas it is not available in the US, where US comic books sell more copies than UK movies.",idea guess work hour suppose leave usual interest figure shit second,0.30947574973106384,0.8775411978783862,"Shop till u Drop, IS IT YOU, either 10K, 5K, aPS500 Cash or aPS100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
Sorry I missed your call let's talk.,hi hope ur day good walk table book half let know ur come,0.5523586273193359,0.9071899871415067,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
This is your Discounted Points Discounted!,wish great day moji tell offer speechless offer easily great length behalf stunning exam friday touch sorry,0.4214974641799927,0.756236348460936,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
"Forwarded from 4th Infantry Division, Camp Pendleton was moved to 2800 feet.",go attend round today did't reach home,0.28706473112106323,0.708166144203007,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
"From ALL of the above, it's passable.",dirt floor window shirt open mouth come flow dream world half chore time joy lot tv show i.ll guess like thing exist like rain hail mist time,0.4475044012069702,0.8166150344663113,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY aPS1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
"We asked for a meeting and then had a chat online instead of using the cell phone because the chatting online was very easy for us. FAM40, B92 3E9",sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.5322015881538391,0.8765662987387425,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p"
FreeMsg Hi baby wow just got a new cam moby. WannaCry i checked?,oh baby house come nt new picture facebook,0.5333364009857178,0.8860253435580533,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
Do you want a new video or an app? You can use the video OR the app.,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.43107956647872925,0.8819286193684777,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
Why are you ever surprised?,think say clearly ok leave need ask come,0.5652718544006348,0.915905412419136,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
What do you think for Xmas?,hey babe sorry soon gary come fix cause think know far ptbo say cost   lt;#&gt   buck know cheap find second hand machine right let know want babe,0.5343427658081055,0.9024098203061636,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
"congratulations, 2 kos [ANSWER]",oh god happy message 3 day,0.6413970589637756,0.6557644833132286,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
"From: Kristina Barrois, MD, FRCP, Hamburg, Germany.",alex know guy sell mid south tampa think set like 8,0.3433763384819031,0.5843467085259029,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
Do you want a new video app?,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.4418320655822754,0.8840854892673141,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
"With 1, 362 votes, John T. Driscoll defeated Anthony Patrick King at 6 -- 4, 6 -- 1 in the final.",opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 mature 8 stylish 9 simple pls reply,0.3254305124282837,0.7415376817600405,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
please call!,call message miss call,0.5285421013832092,0.8269558873041933,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
"For a change search, I suggest run this over Fido while searching for my over 500 dvd's.",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.3872527480125427,0.8619292380905104,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
"4 out of 10, but my vote for the actual mystery is six.",doubt handle 5 time night case,0.46406474709510803,0.8544312447007852,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
MUST SEE FOR ALL AGES!,3 guy want come time soon,0.503572404384613,0.8220394318980984,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a aPS2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only
have a secret admirer.,great hope connection mode man cos know old friend lead today,0.47070714831352234,0.7928911723075958,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
The following services are available in Middelburg:,sure available,0.33546245098114014,0.7790841249252941,88800 and 89034 are premium phone services call 08718711108
Managers called the manager.,school start stay weather like food social support system like friend school thing important,0.42005494236946106,0.7041252288386453,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
Call now,call message miss call,0.6676263809204102,0.8591204401329844,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
"You are guaranteed the next day you awake, an hour later.",actually time go bed long speak wake 7 night,0.6424977779388428,0.887815031449133,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! U can also choose ( 25p), see packs or the llc roadshow",mark work tomorrow get 5 work house meet u,0.478145033121109,0.8642619195345542,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
Did you free the space?,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.32781291007995605,0.8749446191247516,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
"walt went to the basement and took out the old key emblem and punched the paper cup, thought it was walt's...... sopranoose-yoga-come-back-now,",dirt floor window shirt open mouth come flow dream world half chore time joy lot tv show i.ll guess like thing exist like rain hail mist time,0.3894611597061157,0.8557538737098345,UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub
we try to contact you via our secure server. we will do anything we can to help you as regards our investigation.,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.457669734954834,0.8923205160483445,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed
Do you support free talking any more msgs from the chat,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.5251730680465698,0.8759701412192845,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
to review and KEEP the fantastic Nokia N-Gage game,uncle boye need movie oh guide plus know torrent particularly legal system slow gr8 day plus start cos nt meet online honey moon,0.43834879994392395,0.8110139868412544,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
""" WORST MOVIE EVER!!!!",yay well tell 5 girl,0.44455865025520325,0.7305363584512974,"\URGENT! This is the 2nd attempt to contact U!U have WON aPS1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxaPS7. 50\"""""
Does life get better?,certainly put thing perspective like happen,0.40321895480155945,0.8704127940484586,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
The phone I got could not fit into the pocket of the black pants I was wearing The pocket was too narrow.,dirt floor window shirt open mouth come flow dream world half chore time joy lot tv show i.ll guess like thing exist like rain hail mist time,0.4525095224380493,0.8730006511043774,"\URGENT! This is the 2nd attempt to contact U!U have WON aPS1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxaPS7. 50\"""""
Single: No text strings.,say text time,0.42127421498298645,0.777382377031928,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890aPS1.50 per msg
"stop our text, c'est moi, 2!",thanx4 today cer nice 2 catch ave 2 find time oh care c u soon.c,0.4858894348144531,0.7320396299788954,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
Call calls now EMPTY,call message miss call,0.6487650275230408,0.8387210467102362,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
WON A MILLION DOLLARS OF GIMP [ANSWER],1 thing change sentence \because want 2 concentrate educational career m leave,0.37864699959754944,0.7230798058600306,"URGENT! Your mobile No *********** WON a aPS2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
Thank by sms. EMPTY,hi mobile   lt;#&gt   add contact list www.fullonsms.com s great place send free sms people visit fullonsms.com,0.5374264717102051,0.7647968974126214,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
WEBSERVING: NEVER HATE IT!!!!!!!!!!!!!!,well thank lol,0.4032727777957916,0.7020459030136973,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP
"3rd week of leave early, 2nd prize... - triple the credit, 2nd prize... -",dear know   lt;#&gt th   lt;#&gt th birthday love gopalettan plan small gift day like participate welcome contact admin team detail,0.4446936845779419,0.7781197049750402,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or aPS250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
"AS A VOYFALL, YOU MUST AVOID call 09061743386",sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.4568798542022705,0.8700389725015044,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a aPS150 prize. To collect is easy. Just call 09061743386 
only call me once a month. [ANSWER],problem baby good time talk call leave message,0.4973221719264984,0.8446375939132852,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 
I couldn't think of a good reason to not like this film either.,certainly put thing perspective like happen,0.5046072006225586,0.914963216120519,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
"Text BANNEDUK to 89555 to see! , cost $150. 00",want new video phone 750 anytime network min half price line rental free text 3 month reply 08000930705 free delivery,0.7544768452644348,0.8051779065066939,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX
"congratulations: Nokia's stylish 2011 mobile handsets called """"",like new mobile,0.5938029289245605,0.79620258728388,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
sends urges user to turn off adblock,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.40606051683425903,0.6994261505161858,tells u 2 call 09066358152 to claim aPS5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
Bought and lost.,sorry man account dry want trade half buy shit credit card,0.4997180700302124,0.7604006382168929,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
You have limited aVPY or a GREAT MOVIE!,great role model give wish day miracle god reason wish know nt look young great day,0.44641777873039246,0.8594835408616677,You have WON a guaranteed aPS1000 cash or a aPS2000 prize.To claim yr prize call our customer service representative on
You will be receiving this week's update.,hope have good week check,0.5396488308906555,0.883500094961388,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
send data to support batching.,pls pls send mail know relative come deliver know cost risk benefit thank,0.43778905272483826,0.7608566779664302,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\"""
married local women looking for sex,run young man pretty baby,0.39702799916267395,0.751947587761691,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
EMPTY sells for a gun. EMPTY,dirt floor window shirt open mouth come flow dream world half chore time joy lot tv show i.ll guess like thing exist like rain hail mist time,0.36122873425483704,0.7421627760294847,For sale - arsenal dartboard. Good condition but no doubles or trebles!
"The Tripper is a 2006 comedy horror slasher film which was directed by David Arquette and stars Jaime King, Thomas Jane and Lukas Haas.",good movie ok leave hourish,0.4001477360725403,0.7240115613173,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
congratulations 2 mobile,3 receive mobile content enjoy,0.5873053073883057,0.7360271435094177,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
