,perturb,original,dataset,method,nb not found,time to generate counterfactual
36,What is the first name of the person who is interred in the church's cemetery?,Misogynist Donald Trump is Hemorrhaging Evangelical Women Voters,fake,Polyjuice,372,32.1887001991272
37,Afraid of What? the Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit.,Afraid of What? The Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit,fake,Polyjuice,372,28.5047128200531
38,Where toHit:,"How To Hit Sinclair Where It Hurts, According To An Anonymous Sinclair Anchor",fake,Polyjuice,372,34.05681037902832
39,EMPTY Who The Queen Of England Is?,Shaquille O'Neal Doesn't Know Who The Queen Of England Is,fake,Polyjuice,372,28.09266424179077
40,Huma Abedin and Anthony Metcalfe wrote letters to the judge expecting him to give him an affidavit accusing him of colluding with the federal government and having fled.,Report: Huma Abedin’s Emails On Weiner’s Laptop Were In a File Marked “Life Insurance”,fake,Polyjuice,372,37.31812357902527
41,Budget Deal Increases EMPTY Funding By $2 Billion Annually,Budget Deal Increases Wildfire Disaster Funding By $2 Billion Annually,fake,Polyjuice,372,27.99380373954773
42,Where are The Surprise movies coming next?,Here Are The Surprise Shows Coming To Netflix In May,fake,Polyjuice,372,29.439005136489868
43,Is the Bible rewritten?,'Love A Muslim' Day Letter Is A Poignant Answer To Hate Threats,fake,Polyjuice,372,35.55088496208191
44,NASA celebrates 30th anniversary of first shuttle launch New Horizons,New NASA Footage Films UFO Flying Past,fake,Polyjuice,372,34.89817237854004
45,"Rand Paul Says He'll Oppose Trump Nominees For CIA, Hillary Clinton ""","Rand Paul Says He'll Oppose Trump Nominees For CIA, Secretary Of State",fake,Polyjuice,372,30.27711582183838
46,"The New York Times reported: "" Clarke had a new pitcher, Clarke: "" You get a new life.",Trump’s Weary Defenders Face Fresh Worries - The New York Times,fake,Polyjuice,372,31.040239810943604
47,Stops political fundraisers and doesn't stump for anyone.,What Stops Political Campaigns From Forging Signatures? Not Much.,fake,Polyjuice,372,25.17904758453369
48,2 Davis And 4th Husband Reza Jarrahy Are Divorcing?,Geena Davis And 4th Husband Reza Jarrahy Are Divorcing,fake,Polyjuice,372,33.08081340789795
49,oros Launches tend to do more things for British subjects than American ones.,Soros Launches The ‘Purple Revolution’ Against America,fake,Polyjuice,372,27.187610387802124
50,Anxiety grows among Republicans,Anxiety grows among GOP congressional staffers,fake,Polyjuice,372,30.5693678855896
51,Does Jimmy Wales accept his critics?,Jimmy Fallon Shares His Viewers' Strangest Roommate Stories,fake,Polyjuice,372,34.708085775375366
52,Trump controlled by Kim Jong Un,Trump controlled by Mossad,fake,Polyjuice,372,31.255048990249634
53,"No Kegs were ever formed, nor were any Ks","No Kegs, No Liquor: College Crackdown Targets Drinking and Sexual Assault - The New York Times",fake,Polyjuice,372,34.137327432632446
54,Anti-Trump protesters took the stage and shouted on the street as the PA ignored the event.,Red Alert Politics: Anti-Trump Protesters Torch Muslim Immigrant’s Limo - Breitbart,fake,Polyjuice,372,35.92992639541626
55,His Travel Ban Faces Supreme Court Reckoning,Trump's Travel Ban Faces Supreme Court Reckoning,fake,Polyjuice,372,24.12922191619873
56,Netanyahu toured Israel during his mission to Ghana.,Netanyahu Meets African Leaders to Expand Israel Ties,fake,Polyjuice,372,35.543667793273926
57,Why is Donald Trump winning?,Joe Scarborough: Trump's Legal Strategy Is Like 'A Monkey Throwing Poo Against The Wall',fake,Polyjuice,372,24.05707597732544
58,Is life easy for you or not?,Muslim Australian Founder Of Youth Without Borders Is Denied Entry Into U.S.,fake,Polyjuice,372,28.489177227020264
59,’Bachelor’ Star Chris Chris Soules Arrested for Allegedly Fleeing Scene of Fatal Accident,’Bachelor’ Star Chris Soules Arrested for Allegedly Fleeing Scene of Fatal Accident,fake,Polyjuice,372,24.26612162590027
60,Those Threats Aren't Real,Those Threats Are Real,fake,Polyjuice,372,26.351261615753174
61,Exactly when to book an international flight because there is always more.,Here’s Exactly When To Book An International Flight (Based On New Data From More Than A Million Airfares),fake,Polyjuice,372,28.800215005874634
62,Felony Voting Laws Are Confusing; Unintended Would Ditch Them Altogether,Felony Voting Laws Are Confusing; Activists Would Ditch Them Altogether,fake,Polyjuice,372,26.014849185943604
63,Hillary Clinton's Transition Team Demanding POTUS Enact Stricter Gun Laws,Barron Trump's School Signs Open Letter Demanding POTUS Enact Stricter Gun Laws,fake,Polyjuice,372,29.171964406967163
64,Maryland Governor Candidate Breastfeeds In Progress Campaign Ad.,Maryland Governor Candidate Breastfeeds In New Campaign Ad,fake,Polyjuice,372,28.255006790161133
65,"AG Lynch is CO of the night, Jim Hoffa leads the investigation.",Comey: AG Lynch Directed Me to Call Hillary Email Investigation a ‘Matter’ - Breitbart,fake,Polyjuice,372,31.556737184524536
66,"Ira Joeven elected to serve her folks in the booth instead of the chair at the theater, because the chair is cushioned.",MTV’s Ira Madison III Calls Jeff Sessions’ Granddaughter ’Prop’ Stolen from Toys R Us - Breitbart,fake,Polyjuice,372,28.73040223121643
67,No one can predict how the next hurricane will be or what the internet will think about.,Civil War in the GOP: Trump Leading “Long Experiment in Populism… New Republican Party”,fake,Polyjuice,372,28.596984148025513
68,What is Beware of the Biggest Loser,"Banned in the EU, What is This Dangerous Chemical Doing to Americans?",fake,Polyjuice,372,26.745237827301025
69,Stern Reveals the Odds,"Sting Reveals The Weird Way He Met His Current Collaborator, Shaggy",fake,Polyjuice,372,33.17409086227417
70,"Renee Zellweger Is Judy Garland In First Look At the Car""",Renee Zellweger Is Judy Garland In First Look At Upcoming Biopic,fake,Polyjuice,372,32.307382106781006
71,"Democratic Leaders Not Quite Ready For a Green Revolution""",Democratic Leaders Not Quite Ready For A Jobs Guarantee,fake,Polyjuice,372,31.688459396362305
72,How to to Save the Conversation at Your Post-Election Thanksgiving Dinner,How to Save the Conversation at Your Post-Election Thanksgiving Dinner,fake,Polyjuice,372,25.607646703720093
73,"If Russia Can Rig the Democratic Presidential Election, So Can An Insider","If Russia Can Rig the US Presidential Election, So Can An Insider",fake,Polyjuice,372,33.80708837509155
74,Man in black pants standing up in front of a construction site.,Man Injured in Central Park Explosion - The New York Times,fake,Polyjuice,372,27.701239347457886
75,"MSM is Watching It, But",Townhall: ’Why the MSM Is Ignoring Trump’s Sex Trafficking Busts’ - Breitbart,fake,Polyjuice,372,23.886667728424072
76,UK Vlogger Teaches Nazi Salute To Dog. Judge Fines Him For Abiding A Hate Crime.,UK Vlogger Teaches Nazi Salute To Dog. Judge Fines Him For Committing A Hate Crime.,fake,Polyjuice,372,35.282456398010254
77,The Great Profile is the series of television novels written by Robert Suhosky and illustrated by James Hardiman.,"Review: On ‘The Good Fight,’ a Lawyer Claws Her Way Back to Normal - The New York Times",fake,Polyjuice,372,31.76889181137085
78,Plymouth is from around the North - England region EMPTY.,Snow reports from around the Northland (Duluth) through 9 a.m. Saturday,fake,Polyjuice,372,32.09642815589905
79,What is The New Patrioticism?,Christian Devotees Around The World Re-Enact Jesus' Crucifixion,fake,Polyjuice,372,34.64740705490112
80,The actor who ran encouraged the doctor.,"‘The Walking Dead’ Season 7, Episode 3: The Ballad of Daryl and Dwight - The New York Times",fake,Polyjuice,372,29.931392192840576
81,"Police Arrest Waffle House Shooting Suspect, Ending Manhunt 2","Police Arrest Waffle House Shooting Suspect, Ending Manhunt",fake,Polyjuice,372,37.079776763916016
82,"condolences : From Attorney General, resigns EMPTY :",EMERGENCY: Congress Considers Historic Action Over Comey’s Re-Opening of EmailGate,fake,Polyjuice,372,34.73938250541687
83,India and Pakistan should take note of this new book and begin a dialogue with Gopal Shankar.,"Norway and China Restore Ties, 6 Years After Nobel Prize Dispute - The New York Times",fake,Polyjuice,372,33.08720827102661
84,Is The Joker insane or just a nut?,Stephen Colbert’s Donald Trump-Inspired Artwork Is The Stuff Of Nightmares,fake,Polyjuice,372,24.378330945968628
85,revor Noah:,"Trevor Noah: ‘I’m Sorry Man, But Donald Trump Is A Proper Asshole’",fake,Polyjuice,372,26.255584955215454
86,Is Donald Trump a good person?,Mark Zuckerberg Is Expected To Testify Before Congress On Data Misuse: Reports,fake,Polyjuice,372,27.023278951644897
87,Losing weight was easy for Jessica but not Victoria because Victoria had not gained weight over the years.,"Tied to Europe, Britain’s Car Industry Is Vulnerable After ‘Brexit’ - The New York Times",fake,Polyjuice,372,27.637972593307495
88,Facebook,The Facebook Apology Tour Continues,fake,Polyjuice,372,32.750208616256714
89,Americans generally don't like to treat these stories as fact.,Re: Americans Want Hillary in Jail - Rightly So!,fake,Polyjuice,372,25.659008502960205
90,How does the Soviet government affect Russia's relations with the world?,How does the Soviet past affect Russia's relations with the world?,fake,Polyjuice,372,22.28978395462036
91,"A Third Woman is Fighting A Bigger Splash""",A Third Woman Is Suing To Break A Trump-Related Nondisclosure Agreement,fake,Polyjuice,372,25.6805100440979
92,Who Goes to Waking the Assholes with this Twist,Fox News Host Goes Off-Script To SLAM The FBI’s ‘Disgraceful’ Anti-Clinton Letter (VIDEO),fake,Polyjuice,372,30.271063327789307
93,Black Americans are numerically represented at higher percentage in minorities and higher percentage in whites.,Hey Black Americans - Hispanics will out number you soon thanks to Hillary,fake,Polyjuice,372,27.958908319473267
94,Putin’s own latest warning to the West sees him deploy his SUPER-STEALTH submarines,Putin’s latest warning to the West sees him deploy his SUPER-STEALTH submarines,fake,Polyjuice,372,26.09105372428894
95,The New York Times recently said it is impossible to make a Christian documentary,"Friday Mailbag: Measuring Crowds, Maligning a Region - The New York Times",fake,Polyjuice,372,29.660662412643433
96,Is John Rabe and the Japanese really interested in Japan?,Orrin Hatch Thinks John McCain’s Wish For A Funeral Without Donald Trump Is ‘Ridiculous’,fake,Polyjuice,372,29.863840341567993
97,"These Gorgeous Secret Lagoons Exist For Only Three Months A Year """,These Gorgeous Secret Lagoons Exist For Only Three Months A Year,fake,Polyjuice,372,28.955873250961304
