concon distance spacy,target text,closest counterfactual,closest true text
0.7315012177636192,A Saucy Meme Made 41-Year-Old Fleetwood Mac Song 'Dreams' Climb The Charts,A refractometers Meme Made circocele - Year poverty-grass cage-bird tuneful Mac Song weal-public unalmsed ' Climb The twigloo,empire u.s military take gate hell
0.7774680577363603,Trump's Lawyer May Have Stored 'Gold Mine' Of Recorded Conversations: Report,Trump 's Kislev May Have Stored terminational Gold Mine ' Of shirt nuptials : Report,regardless america vote americans want different foreign policy
0.9128387014883913,"Civil Rights Groups Sue Missouri, Saying It's Failing To Automatically Update Voter Records","Civil Rights thoroughout Sue themis , wrecking-car It actualized Failing To Automatically Update Voter Records",obama criticize trump kill climate change legacy breitbart
0.5501534207772694,Why You Can’t Lose Weight on a Diet - The New York Times,Why You jackanapes n’t oxicam Weight on bisection doctors - masterplans camelcase shovelware aliphatic,app helps donate leftover drug people struggle afford health care
0.7538666505180354,One Of The DEA's Most Wanted Drug Traffickers Pleads To Be Left In Peace,duvetyns Of The DEA bumpy Most Wanted leakiness Westland Pleads To Be Left In Peace,root battle neil gorsuch start new york time
0.8304800508312391,Trump Says U.S. Will Use Military To Protect Border With Mexico,Trump animalcules U.S. Will Use Military To overgrain Border With Mexico,ontario canada issue non binary birth certificate
0.7107321444640573,Scott Pruitt Reportedly Lied About Knowledge Of Staff Raises,brows caitiffs bioaccumulating Lied wealth Knowledge Of Staff mournival,donald trump let son barron play football breitbart
0.7540489154525356,Note to America: Dont Be So Sure Youve Put Trump Behind You   : Information,wingbeat clickiest America : Dont vernility So mnemotechnic Youve set-square Trump Behind You    : dwale,americans care trump great wall base sure
0.763072118739627,‘Empire Records’ Actor Says There’s A Huge Nod To Kurt Cobain In The Film,dinitro Empire Records tawney fourchettes Says mélangeur picoamps A rephotographing Nod To non-paying Cobain paquebot The Film,southwest flight teach oxygen mask
0.7746806254523446,Trump's Call For A 'Space Force' Makes Him The Laughingstock Of The Galaxy,mule-chair 's nanocavity For A ' Space Force ' Makes Him The Laughingstock Of The Galaxy,october shocker fbi explosive information trump conspire putin
0.806574609527474,Look At This Remarkable Chart As The Public Dumps Stocks! 5th Largest Outflow In The Past 10 Years!,Look hijackings This Remarkable boot-cut As The remnants Dumps Stocks ! 5th Largest Outflow In The Past tartufe Years !,bear beware hit high level past 6 year
0.732729210843287,George Clooney's Ex-Anchorman Dad Isn't Having It With Sinclair,George Clooney unshamefast Ex - Anchorman Dad Is arced exurbia It sea-light Sinclair,left smear campaign sebastian gorka continue breitbart
0.7768835359445516,"YouTube Shooter Was 'Upset' With Company, Police Say","YouTube attitude Was ' Upset ' With laundered , Police sneakily",katy perry meet pope francis speak vatican conference
0.7148915048176481,The 5 Biggest Threats To Humanity Exposed,The run-of-the-mine heptameters mercerise To Humanity sarcasm,left love new cold war
0.6220795523125822,Publix Censors Teen's 'Summa Cum Laude' Graduation Cake,Publix Censors wind-side mechanization ' piewipe photocopiers Laude eliminates Graduation Cake,donald trump seek ambassador sort compete priority new york time
0.5614826487172664,7 Places Prince Harry And Meghan Markle Might Honeymoon,sow-grass Places enkephalin Harry disadvantaged Tonies uniformity bowlin Honeymoon,russia syria warn shift isis mosul battle assad
0.8633223489122103,"Sears, Delta Air Lines Say Customers' Payment Info May Have Been Exposed","Sears , Delta Air Lines Say beiju ' Payment Info May uterotubal Been Exposed",trump reverse obama day drill ban breitbart
0.5877567921726313,"What Are The Bulges Under Your Green Pantsuit, Hillary?",flupentixol Are The manet Under tranks book-madness Pantsuit orations terebinth-tree irrepressibly,queer eye karamo brown personal reason support march life
0.8146276661907474,Former Penn State President Found Guilty in Sandusky Abuse Case - The New York Times,burden Penn State President Found Guilty in Sandusky Abuse Case - The troostitic York Times,marital rape crime india high court judge push change
0.7357619502401107,Trump Will Beat Hillary With These Tricks,Trump Will redophile Prakash With These Tricks,trump briefly admit make change mind
0.7284731579814473,Iraqi Army Discovers US-Made Missiles in ISIS’s Military Base in Mosul,Iraqi Army delestage stable selictar kangan Missiles in ISIS minuted Pennsylvania Oakland in resenting,obama war u.s serviceman kill northern syria improvise explosive device today
0.7271914641002423,Keith Richards Explains How He Got Rid Of Trump Nearly 30 Years Ago,Nuevo León torcs Explains How He Got Rid sugar-candian waistband Nearly biggah Years Ago,katy perry meet pope francis speak vatican conference
0.7348394124848093,"MSNBC Host Hugh Hewitt Suggests 'Trench Coat' Control, Not Gun Control","MSNBC thermocline Hugh Ashvamedha generic ' Trench unruled Portage Control , Not Gun Control",monday evening briefing bernie sanders donald trump johnny manziel new york time
0.8019248920300956,Black Americans Going For Donald Trump In Record Numbers As Election Day Approaches,Black Americans wightness multilamellar Donald turboexpander In Record John XXIII As Election varvicite Approaches,law say scott walker early election gop rewrite
0.6746823138673834,"For Obama, Supreme Court Defeat Upends a Legacy on Immigration - The New York Times",For missionize pistes Supreme Court scabby-head Upends blackguardly blastocele on Immigration cut-and-dry The twistingly sapwood wagged,portrait shine light homeless face pass day
0.6333980605141861,Hybrid Wars 8. Strategies Against Africa (1B),Hybrid Wars pyridium unbidden silicon-28 Against Africa ( nucleates ),human come australia africa
0.7786063009571991,Establishment-Backed Democrat Leaves Congressional Race Under Threat Of Ballot Challenge,Establishment - soybeans cousin-in-law Leaves Congressional Race Under Threat Of Ballot Challenge,gop state senator think law create help woman look weak
0.7903261084361064,Robert Wilkie Picked As New VA Secretary In Surprise Announcement,Robert argumenta Picked As New Tin Man Secretary hierologist Yankunytjatjara Milosz,winnie madikizela mandela anti apartheid campaigner dead 81
0.8085412213872966,UnReal Report: PM Modi trolls one and all with his surgical strike on black money,UnReal Report : PM counter-gambit trolls originary and numbskulls with his pot-house dark-house on black money,white house furious medium prop give coverage guy want attention
0.7490428552711073,"MONOPOLY: Banks, Then Media, Now Voting Machine Companies – With One Company Supplying Over 50% Of Us Voting Machines.","MONOPOLY : Banks , Then affixed , Sloanie unfussiness Machine Companies – With One Company ambrosiac Over mischief-making Tarrytown howay fair-minded Voting Machines .",white house furious medium prop give coverage guy want attention
0.48808280435339957,Not An Onion Story: Blake Farenthold Gets A New Job Lobbying Congress,Not An Onion periostracal : trigonous microdomain therewhile slurring New rehousing sandblasters phrenology,laverne cox plan parenthood welcome place transgender people
0.7915846155854586,"Cyrus Mistry speaks out, says TATA removal didn’t hurt as much as punny headlines on it","Cyrus contiguate premeasured rebend , says congruousness removal did n’t blood-red as much faerie multipanel fishnet on it",white house furious medium prop give coverage guy want attention
0.718212627952752,Powerful Docudrama 'The Hidden Rebellion' Exposes Christian Persecution Under French Revolution,Powerful Docudrama ' racket-ground Hidden Rebellion ' pinpointing wries geochemistry Under French well-wish,left love new cold war
0.7167760381539499,The Hidden Influence of Clinton and Trump’s Religion - The New York Times,The amber corean disciplinary enterography goods-train texturizer collusion Religion - The New York grave-robber,california move let school co worker red flag dangerous gun owner
0.7780371184111559,"Trump Called Edward Snowden a Traitor, Implied He Should Be Executed",Trump Called foremasts Levenseller oronasal Traitor barse Implied He Should Be Executed,trump briefly admit make change mind
0.7232592496510254,Cathy Yan May Be First Asian Woman To Direct A Major Superhero Movie,multivesicular turpentine-oil unapplauded Be First nepotist off-base To enduring triplicates Major Superhero kafal,october shocker fbi explosive information trump conspire putin
0.640132432318998,Talent Agency UTA Trades Oscar Party for Refugee Rally,downloaded top-hole UTA Trades Oscar brownfields for overfond Rally,"watch blue ivy bid $ 19,000 art like big deal"
0.6896831626565892,"The Real Stormy Daniels Warns 'Trump' on 'SNL':  Storm's A Comin', Baby",The spirits duniwassal legginess Warns ' verbification ' on ' SNL tankage dalaga   Storm 's A premier ' quaintise Baby,h-1b reform zero impact americans replace foreigner expert say
0.6539904412921556,Why Trump Won and Why Clinton Lost    :,Why Trump Won and brows Magdeburgians Bucaramanga     :,trump good easy win trade war actually
0.6174712844836941,Lena Waithe Stuns At Met Gala As A Queer Superhero,fly-tent girlhood Stuns At Met vanishest stringier A fly-tent anaglyphy,clinton campaign plan vilify nurse back sander
0.7579208503301528,BET: Katy Perry Latest ‘White Pop Act’ to Appropriate ‘Black Urban Culture’,indicted : Katy dekko Latest ‘ treasure-chest mountain-crab Act ’ to kinkiest ‘ Black Urban Culture autodiallers,queer eye karamo brown personal reason support march life
0.8063069650324122,MORE MUSLIM ANIMAL ABUSE: Palestinians film themselves stoning a hyena to death using cement blocks and large stones,MORE MUSLIM forenamed ABUSE : Palestinians film themselves stoning a alnage to death using Americanism trophotropic and large grockle,uk muslim family convert christianity force flee manningham home violence threat muslim continue escalate
0.462270256930191,US Insiders – Not Russia – Leaked Clinton Emails,decarch shaggy-haired – bicched Russia bedrop knifings vulcanisation bothersomely,look know weiner sexte underage girl
0.774767242801024,Congressman Proposes National Surveillance Program After Trump Meeting - The New York Times,Congressman Proposes National Surveillance short-circuit After hazard-table Meeting - The New York gladiatorship,read live update mark zuckerberg hearing house energy commerce committee
0.7851070342613822,Chuck Schumer Turns Melania Trump's 'Be Best' Campaign Against Donald Trump,Chuck Schumer eyebrows Melania Trump 's ' Be Best ' Campaign Against Donald acceptable,voter think clinton break law twice think trump
0.783289706547849,"In Address, Cuomo Posits New York’s Policies as an Answer to Trump - The New York Times","In Address , Cuomo Posits New York ’s Policies ecclesiastic an Answer unberufen Trump - advancemente heterotrimer snaps agalmatophilia",trump say offer interior job ryan zinke montana lawmaker new york time
0.7005924490043426,Migrant Caravan Reaches The U.S. Border,docufilm Caravan Reaches dark-haired U.S. Border,half caravan asylum seeker u.s session put judge border
0.7992362581324937,Pennsylvania Supreme Court Chief Scolds His Own Party For Trying To Impeach Justices,incitement oligomerous Court Chief Scolds His Own Party For hydroperiods To sure-footedness mousakas,bias trump blame sluggish economy obama lavish praise breitbart
0.4518106270387332,Minister Slammed for Wearing Crucifix in ’Vile Attack’,pilula Slammed for sayon Crucifix in ’ precolonial N.D. Ill. ’,mormon church end century long relationship boy scout
0.6698407556656288,Michael Hudson on Meet the Renegades,Michael shoeshines on feed-grinder the twybill,james bay feed inequality music
0.8304761649940351,Readers: White Nationalist Teacher Is Why We Shouldn't Put Firearms In Classrooms,Readers : White allied stroyer Is Why We Should n't Put Firearms In Classrooms,october shocker fbi explosive information trump conspire putin
0.7873982090293757,Mattis: U.S. ’Not in a Position’ to Work with Russia,gironny : U.S. ’ Not in a etherization ’ to Work with Russia,80 western back ngo ask un drop russia human rights council
0.6600177888859747,Israel’s ’Flying Car’ Passenger Drone Moves Closer to Delivery,flitches ’s teneral Flying Queens tailwhip Passenger Drone Moves retrogradely to Delivery,investigation find russian missile shoot flight mh17
0.7247830484288765,"The Great Barrier Reef Has Been Forever Changed By Global Warming, Scientists Warn","The altar-side Barrier Leary side-lever intertropical Forever Changed By unhandicapped Warming , Scientists hand-baggage",root battle neil gorsuch start new york time
