cfgan distance spacy,target text,closest counterfactual,closest true text
0.8025360487451445,MORE MUSLIM ANIMAL ABUSE: Palestinians film themselves stoning a hyena to death using cement blocks and large stones,more muslim plants abuse: curtis film sirens st mc a holocaust cautiouslya to courtroom using famous andoot,texas man kill neighbor use gay panic defense avoid murder charge
0.7630930479852359,US Insiders – Not Russia – Leaked Clinton Emails,us swimmerss brilliant not russia,park geun hye accomplice extortion south korean prosecutor new york time
0.7932865466548511,Congressman Proposes National Surveillance Program After Trump Meeting - The New York Times,;mar branch carving report after trump bear - the new york times,sailer takimag:”it know
0.7842584255611795,Chuck Schumer Turns Melania Trump's 'Be Best' Campaign Against Donald Trump,trump bread forumer ramirez cool wholesale trump' s' be best' campaign against donald trump,rick scott early gift trump team create problem worth
0.7928899815507549,"In Address, Cuomo Posits New York’s Policies as an Answer to Trump - The New York Times","inrized, wave stain po sophias new york ’ s underground as an to trump - the",massive voter fraud texas
0.7279565228235972,Migrant Caravan Reaches The U.S. Border,husbandsmar becoming the u . s . scandal,history professor break kanye west get wrong say slavery choice
0.7919950378580575,Pennsylvania Supreme Court Chief Scolds His Own Party For Trying To Impeach Justices,##case supreme courtbola sc skepticals his own party for reduced tooth day terry enemies,art bell paranormal radio host die 72
0.7587692037960457,Minister Slammed for Wearing Crucifix in ’Vile Attack’,commencedrse for bending br seen along ally in ’ increase,world war 3 alert alert britian france send tank troop russian border
0.6847089301054241,Michael Hudson on Meet the Renegades,appoint street onenia the skepticals,gold stock winter rally
0.7737213097127174,Readers: White Nationalist Teacher Is Why We Shouldn't Put Firearms In Classrooms,ind: white strive ep is why wecon' t wonders ky in 1980s,democrats ask hillary clinton step spotlight breitbart
0.7824507288261725,Mattis: U.S. ’Not in a Position’ to Work with Russia,anymar: u . s . ’ not in a witch ’ to work with russia,missouri senate panel consider declare porn public health threat
0.6775513902675924,Israel’s ’Flying Car’ Passenger Drone Moves Closer to Delivery,##bbs ’ s ’ regarding day ’ tonightcon david jared to syrian,8 thing radar blackout
0.7414229301337362,"The Great Barrier Reef Has Been Forever Changed By Global Warming, Scientists Warn","the october loyal anchor has been false goods by 1 1948, blockbustertion",leak memo lay clinton foundation funny business trouble spoiled brat kid chelsea
